alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
69,0.000E+00,0.000E+00,1.647E-02,0.000E+00,5.952E-03,0.000E+00,1.074E-05,1.074E-05,1.047E-02,3.735E-02,1.630E-02,2.741E-02,2.317E+00,1.517E+00,-8.287E-01,3.215E+01,2.072E+00,3.142E+00,3.873E-03,2.449E+00,2.509E+00,6.314E-02,4.598E+00,1.536E+00,-5.665E-01,1.529E+01,1.821E+00,3.142E+00,-1.076E-03,2.691E+00,2.672E+00,2.693E-01,1.424E+00,1.537E+00,-6.247E-01,1.607E+01,1.951E+00,3.142E+00,8.627E-03,2.427E+00,2.560E+00,9.697E-02,3.579E+00,1.536E+00,-7.171E-01,1.352E+01,2.423E+00,3.142E+00,-3.125E-03,2.560E+00,2.511E+00,4.909E-02,5.507E+00
70,0.000E+00,0.000E+00,1.775E-02,0.000E+00,6.118E-03,0.000E+00,8.301E-06,1.074E-05,1.173E-02,4.175E-02,1.778E-02,2.908E-02,2.523E+00,1.458E+00,-8.000E-01,3.076E+01,2.305E+00,3.142E+00,5.111E-03,2.411E+00,2.487E+00,6.149E-02,4.694E+00,1.481E+00,-5.468E-01,1.474E+01,2.051E+00,3.142E+00,-9.940E-04,2.700E+00,2.683E+00,2.626E-01,1.456E+00,1.503E+00,-6.009E-01,1.507E+01,2.098E+00,3.142E+00,4.729E-03,2.492E+00,2.565E+00,9.662E-02,3.590E+00,1.504E+00,-7.347E-01,1.611E+01,2.471E+00,3.142E+00,-2.330E-03,2.520E+00,2.484E+00,4.803E-02,5.599E+00
71,0.000E+00,0.000E+00,1.839E-02,0.000E+00,6.200E-03,0.000E+00,7.080E-06,1.074E-05,1.235E-02,4.396E-02,1.851E-02,2.992E-02,2.625E+00,1.432E+00,-7.856E-01,3.006E+01,2.421E+00,3.142E+00,5.730E-03,2.391E+00,2.477E+00,6.067E-02,4.742E+00,1.456E+00,-5.370E-01,1.446E+01,2.165E+00,3.142E+00,-9.528E-04,2.705E+00,2.689E+00,2.592E-01,1.473E+00,1.488E+00,-5.889E-01,1.458E+01,2.171E+00,3.142E+00,2.781E-03,2.525E+00,2.568E+00,9.644E-02,3.596E+00,1.490E+00,-7.435E-01,1.741E+01,2.495E+00,3.142E+00,-1.932E-03,2.500E+00,2.470E+00,4.749E-02,5.645E+00
72,0.000E+00,0.000E+00,1.903E-02,0.000E+00,6.283E-03,0.000E+00,5.859E-06,1.074E-05,1.298E-02,4.616E-02,1.925E-02,3.075E-02,2.728E+00,1.406E+00,-7.712E-01,2.937E+01,2.538E+00,3.142E+00,6.350E-03,2.372E+00,2.466E+00,5.984E-02,4.790E+00,1.432E+00,-5.271E-01,1.419E+01,2.280E+00,3.142E+00,-9.116E-04,2.710E+00,2.695E+00,2.559E-01,1.489E+00,1.474E+00,-5.770E-01,1.408E+01,2.245E+00,3.142E+00,8.321E-04,2.557E+00,2.570E+00,9.626E-02,3.601E+00,1.477E+00,-7.523E-01,1.871E+01,2.519E+00,3.142E+00,-1.535E-03,2.479E+00,2.456E+00,4.696E-02,5.690E+00
73,0.000E+00,0.000E+00,2.001E-02,0.000E+00,6.393E-03,0.000E+00,6.348E-06,1.074E-05,1.402E-02,4.949E-02,2.037E-02,3.203E-02,2.887E+00,1.386E+00,-7.352E-01,2.389E+01,2.750E+00,3.142E+00,4.576E-03,2.408E+00,2.477E+00,6.096E-02,4.724E+00,1.400E+00,-5.105E-01,1.369E+01,2.451E+00,3.142E+00,4.284E-04,2.643E+00,2.650E+00,2.609E-01,1.464E+00,1.447E+00,-5.732E-01,1.413E+01,2.377E+00,3.142E+00,-8.259E-05,2.590E+00,2.589E+00,9.622E-02,3.603E+00,1.449E+00,-7.663E-01,2.082E+01,2.621E+00,3.142E+00,-1.501E-03,2.449E+00,2.426E+00,4.748E-02,5.645E+00
74,0.000E+00,0.000E+00,2.099E-02,0.000E+00,6.503E-03,0.000E+00,6.836E-06,1.074E-05,1.505E-02,5.281E-02,2.150E-02,3.330E-02,3.047E+00,1.382E+00,-6.992E-01,1.841E+01,2.962E+00,3.142E+00,2.803E-03,2.445E+00,2.488E+00,6.208E-02,4.658E+00,1.371E+00,-4.939E-01,1.320E+01,2.621E+00,3.142E+00,1.768E-03,2.577E+00,2.606E+00,2.659E-01,1.440E+00,1.422E+00,-5.693E-01,1.417E+01,2.510E+00,3.142E+00,-9.973E-04,2.623E+00,2.607E+00,9.617E-02,3.604E+00,1.423E+00,-7.803E-01,2.293E+01,2.723E+00,3.142E+00,-1.467E-03,2.418E+00,2.396E+00,4.799E-02,5.600E+00
75,0.000E+00,0.000E+00,2.264E-02,0.000E+00,6.755E-03,0.000E+00,7.324E-06,9.766E-06,1.605E-02,5.662E-02,2.277E-02,3.442E-02,3.232E+00,1.391E+00,-7.017E-01,1.933E+01,2.844E+00,3.142E+00,3.865E-03,2.427E+00,2.485E+00,6.109E-02,4.716E+00,1.345E+00,-4.855E-01,1.339E+01,2.747E+00,3.142E+00,2.110E-03,2.515E+00,2.548E+00,2.690E-01,1.425E+00,1.407E+00,-5.570E-01,1.383E+01,2.591E+00,3.142E+00,2.378E-03,2.525E+00,2.560E+00,9.521E-02,3.635E+00,1.390E+00,-7.858E-01,2.541E+01,2.842E+00,3.142E+00,5.931E-05,2.394E+00,2.395E+00,4.739E-02,5.653E+00
76,0.000E+00,0.000E+00,2.429E-02,0.000E+00,7.007E-03,0.000E+00,7.813E-06,8.789E-06,1.704E-02,6.042E-02,2.404E-02,3.554E-02,3.418E+00,1.401E+00,-7.042E-01,2.025E+01,2.726E+00,3.142E+00,4.926E-03,2.409E+00,2.483E+00,6.010E-02,4.774E+00,1.320E+00,-4.771E-01,1.359E+01,2.872E+00,3.142E+00,2.452E-03,2.453E+00,2.491E+00,2.721E-01,1.411E+00,1.392E+00,-5.448E-01,1.349E+01,2.672E+00,3.142E+00,5.753E-03,2.426E+00,2.514E+00,9.425E-02,3.665E+00,1.360E+00,-7.913E-01,2.790E+01,2.962E+00,3.142E+00,1.585E-03,2.370E+00,2.393E+00,4.678E-02,5.707E+00
77,0.000E+00,0.000E+00,2.541E-02,0.000E+00,6.865E-03,0.000E+00,8.301E-06,9.766E-06,1.851E-02,6.423E-02,2.532E-02,3.701E-02,3.600E+00,1.340E+00,-6.900E-01,2.077E+01,3.067E+00,3.142E+00,8.120E-03,2.319E+00,2.436E+00,5.910E-02,4.837E+00,1.277E+00,-4.593E-01,1.297E+01,3.217E+00,3.142E+00,2.047E-03,2.490E+00,2.522E+00,2.676E-01,1.432E+00,1.369E+00,-5.376E-01,1.328E+01,2.830E+00,3.142E+00,6.772E-03,2.370E+00,2.470E+00,9.445E-02,3.659E+00,1.297E+00,-7.812E-01,2.878E+01,3.363E+00,3.142E+00,1.744E-03,2.359E+00,2.384E+00,4.570E-02,5.807E+00
78,0.000E+00,0.000E+00,2.654E-02,0.000E+00,6.723E-03,0.000E+00,8.789E-06,1.074E-05,1.998E-02,6.805E-02,2.660E-02,3.847E-02,3.782E+00,1.286E+00,-6.758E-01,2.129E+01,3.408E+00,3.142E+00,1.131E-02,2.230E+00,2.389E+00,5.809E-02,4.899E+00,1.241E+00,-4.416E-01,1.235E+01,3.562E+00,3.142E+00,1.643E-03,2.528E+00,2.553E+00,2.632E-01,1.453E+00,1.347E+00,-5.305E-01,1.306E+01,2.988E+00,3.142E+00,7.791E-03,2.314E+00,2.427E+00,9.466E-02,3.652E+00,1.241E+00,-7.712E-01,2.967E+01,3.765E+00,3.142E+00,1.903E-03,2.347E+00,2.375E+00,4.462E-02,5.908E+00
79,0.000E+00,0.000E+00,2.610E-02,9.259E-03,3.367E-03,9.766E-07,1.859E-03,6.738E-04,2.472E-02,8.223E-02,1.862E-02,2.890E-02,3.972E+00,1.299E+00,-6.612E-01,1.848E+01,3.456E+00,3.142E+00,1.719E-02,2.070E+00,2.292E+00,6.658E-02,4.460E+00,1.217E+00,-4.391E-01,1.223E+01,3.838E+00,3.142E+00,4.690E-03,2.377E+00,2.443E+00,2.637E-01,1.450E+00,1.314E+00,-5.295E-01,1.327E+01,3.238E+00,3.142E+00,1.086E-02,2.207E+00,2.355E+00,9.213E-02,3.738E+00,1.210E+00,-7.507E-01,2.612E+01,4.194E+00,3.142E+00,5.611E-03,2.251E+00,2.327E+00,4.169E-02,6.225E+00
80,0.000E+00,0.000E+00,2.566E-02,1.852E-02,1.172E-05,1.953E-06,3.710E-03,1.337E-03,2.946E-02,9.642E-02,1.064E-02,1.933E-02,4.162E+00,1.318E+00,-6.465E-01,1.566E+01,3.503E+00,3.142E+00,2.307E-02,1.911E+00,2.195E+00,7.507E-02,4.022E+00,1.194E+00,-4.366E-01,1.211E+01,4.114E+00,3.142E+00,7.738E-03,2.226E+00,2.333E+00,2.642E-01,1.448E+00,1.283E+00,-5.285E-01,1.347E+01,3.487E+00,3.142E+00,1.392E-02,2.099E+00,2.284E+00,8.959E-02,3.823E+00,1.190E+00,-7.303E-01,2.257E+01,4.624E+00,3.142E+00,9.319E-03,2.155E+00,2.279E+00,3.877E-02,6.542E+00
81,0.000E+00,0.000E+00,2.743E-02,9.259E-03,2.337E-03,9.766E-07,1.861E-03,6.743E-04,2.693E-02,8.724E-02,1.994E-02,2.907E-02,4.155E+00,1.225E+00,-6.534E-01,1.717E+01,4.342E+00,3.142E+00,4.417E-02,1.717E+00,2.229E+00,6.470E-02,4.587E+00,1.126E+00,-4.108E-01,1.154E+01,5.035E+00,3.142E+00,1.277E-02,2.031E+00,2.186E+00,2.589E-01,1.474E+00,1.244E+00,-5.181E-01,1.293E+01,3.917E+00,3.142E+00,3.391E-02,1.850E+00,2.251E+00,8.839E-02,3.867E+00,1.145E+00,-7.287E-01,2.300E+01,5.186E+00,3.142E+00,1.898E-02,1.995E+00,2.229E+00,3.853E-02,6.572E+00
82,0.000E+00,0.000E+00,2.919E-02,0.000E+00,4.663E-03,0.000E+00,1.172E-05,1.172E-05,2.440E-02,7.807E-02,2.924E-02,3.882E-02,4.147E+00,1.150E+00,-6.603E-01,1.868E+01,5.181E+00,3.142E+00,6.526E-02,1.522E+00,2.263E+00,5.433E-02,5.153E+00,1.073E+00,-3.850E-01,1.098E+01,5.956E+00,3.142E+00,1.781E-02,1.835E+00,2.039E+00,2.536E-01,1.500E+00,1.212E+00,-5.076E-01,1.239E+01,4.346E+00,3.142E+00,5.391E-02,1.600E+00,2.219E+00,8.719E-02,3.910E+00,1.106E+00,-7.272E-01,2.343E+01,5.747E+00,3.142E+00,2.863E-02,1.836E+00,2.179E+00,3.829E-02,6.601E+00
83,0.000E+00,0.000E+00,2.716E-02,0.000E+00,3.800E-03,0.000E+00,7.324E-06,9.766E-06,2.334E-02,7.306E-02,2.719E-02,3.558E-02,3.859E+00,1.101E+00,-6.495E-01,1.762E+01,6.142E+00,3.142E+00,7.714E-02,1.351E+00,2.142E+00,5.102E-02,5.416E+00,1.035E+00,-3.651E-01,1.027E+01,6.962E+00,3.142E+00,5.341E-02,1.471E+00,1.960E+00,2.509E-01,1.515E+00,1.167E+00,-4.929E-01,1.158E+01,5.098E+00,3.142E+00,7.146E-02,1.384E+00,2.112E+00,8.395E-02,4.039E+00,1.053E+00,-6.990E-01,2.043E+01,7.038E+00,3.142E+00,5.882E-02,1.516E+00,2.115E+00,3.540E-02,7.006E+00
84,0.000E+00,0.000E+00,2.513E-02,0.000E+00,2.937E-03,0.000E+00,2.930E-06,7.813E-06,2.228E-02,6.804E-02,2.514E-02,3.235E-02,3.570E+00,1.064E+00,-6.386E-01,1.656E+01,7.104E+00,3.142E+00,8.901E-02,1.180E+00,2.021E+00,4.772E-02,5.679E+00,1.006E+00,-3.451E-01,9.561E+00,7.968E+00,3.142E+00,8.901E-02,1.107E+00,1.880E+00,2.483E-01,1.529E+00,1.133E+00,-4.781E-01,1.077E+01,5.851E+00,3.142E+00,8.901E-02,1.167E+00,2.005E+00,8.071E-02,4.168E+00,1.022E+00,-6.708E-01,1.742E+01,8.328E+00,3.142E+00,8.901E-02,1.195E+00,2.052E+00,3.252E-02,7.411E+00
85,0.000E+00,0.000E+00,1.846E-02,0.000E+00,1.787E-03,0.000E+00,4.395E-06,5.859E-06,1.677E-02,5.055E-02,1.846E-02,2.321E-02,2.624E+00,1.043E+00,-6.177E-01,1.435E+01,8.166E+00,3.142E+00,8.901E-02,1.059E+00,1.795E+00,4.123E-02,6.414E+00,9.724E-01,-3.204E-01,8.369E+00,9.955E+00,3.142E+00,8.901E-02,1.005E+00,1.699E+00,2.345E-01,1.611E+00,1.116E+00,-4.568E-01,9.562E+00,6.560E+00,3.142E+00,8.901E-02,1.036E+00,1.765E+00,7.798E-02,4.291E+00,1.042E+00,-6.705E-01,1.530E+01,8.466E+00,3.142E+00,8.901E-02,1.050E+00,1.787E+00,2.924E-02,8.036E+00
86,0.000E+00,0.000E+00,1.180E-02,0.000E+00,6.367E-04,0.000E+00,5.859E-06,3.906E-06,1.127E-02,3.306E-02,1.177E-02,1.407E-02,1.677E+00,1.036E+00,-5.968E-01,1.215E+01,9.227E+00,3.142E+00,8.901E-02,9.373E-01,1.568E+00,3.475E-02,7.150E+00,9.586E-01,-2.957E-01,7.178E+00,1.194E+01,3.142E+00,8.901E-02,9.031E-01,1.517E+00,2.208E-01,1.693E+00,1.109E+00,-4.354E-01,8.356E+00,7.269E+00,3.142E+00,8.901E-02,9.059E-01,1.525E+00,7.526E-02,4.414E+00,1.068E+00,-6.701E-01,1.317E+01,8.603E+00,3.142E+00,8.901E-02,9.059E-01,1.523E+00,2.595E-02,8.660E+00
87,0.000E+00,0.000E+00,6.125E-03,0.000E+00,3.184E-04,0.000E+00,3.516E-05,1.270E-05,5.746E-03,1.688E-02,6.000E-03,7.271E-03,8.600E-01,1.010E+00,-6.263E-01,1.084E+01,1.185E+01,3.142E+00,-2.675E-01,9.165E+00,1.110E+00,3.103E-02,7.806E+00,1.059E+00,-3.940E-01,7.262E+00,9.360E+00,3.142E+00,-2.470E-01,6.526E+00,1.071E+00,1.867E-01,2.006E+00,1.140E+00,-5.036E-01,7.889E+00,7.726E+00,3.142E+00,8.896E-02,7.449E-01,1.270E+00,6.899E-02,4.765E+00,9.555E-01,-6.909E-01,1.138E+01,1.575E+01,3.142E+00,-1.903E-01,4.950E+00,1.153E+00,1.837E-02,1.187E+01
88,0.000E+00,0.000E+00,4.531E-04,0.000E+00,0.000E+00,0.000E+00,6.445E-05,2.148E-05,2.217E-04,6.963E-04,2.266E-04,4.746E-04,4.272E-02,1.001E+00,-6.558E-01,9.534E+00,1.447E+01,3.142E+00,-6.240E-01,1.739E+01,6.515E-01,2.731E-02,8.463E+00,1.188E+00,-4.923E-01,7.346E+00,6.777E+00,3.142E+00,-5.829E-01,1.215E+01,6.255E-01,1.527E-01,2.320E+00,1.168E+00,-5.719E-01,7.423E+00,8.183E+00,3.142E+00,8.890E-02,5.839E-01,1.015E+00,6.272E-02,5.116E+00,9.194E-01,-7.117E-01,9.590E+00,2.290E+01,3.142E+00,-4.697E-01,8.994E+00,7.826E-01,1.080E-02,1.507E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.906E-06,1.953E-06,9.766E-07,2.930E-06,0.000E+00,9.766E-07,-2.248E-04,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
