alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
49,0.000E+00,0.000E+00,6.584E-03,0.000E+00,3.727E-03,0.000E+00,0.000E+00,1.953E-06,2.916E-03,1.196E-02,6.526E-03,1.434E-02,9.348E-01,1.692E+00,-5.767E-01,7.784E+00,1.817E+00,3.142E+00,-5.940E-04,2.498E+00,2.488E+00,6.948E-02,4.272E+00,1.618E+00,-3.211E-01,4.118E+00,2.112E+00,3.142E+00,-5.160E-04,2.722E+00,2.713E+00,2.833E-01,1.362E+00,1.661E+00,-3.978E-01,4.592E+00,2.019E+00,3.142E+00,-2.440E-03,2.696E+00,2.656E+00,1.014E-01,3.447E+00,1.753E+00,-5.422E-01,5.435E+00,1.817E+00,3.142E+00,-2.215E-03,2.482E+00,2.448E+00,5.289E-02,5.212E+00
50,0.000E+00,0.000E+00,6.756E-03,0.000E+00,3.822E-03,0.000E+00,0.000E+00,2.441E-06,2.995E-03,1.231E-02,6.730E-03,1.467E-02,9.601E-01,1.693E+00,-6.075E-01,8.814E+00,1.776E+00,3.142E+00,-2.567E-04,2.484E+00,2.479E+00,6.870E-02,4.310E+00,1.612E+00,-2.887E-01,3.636E+00,2.215E+00,3.142E+00,4.191E-04,2.706E+00,2.713E+00,2.825E-01,1.365E+00,1.655E+00,-4.011E-01,4.688E+00,2.034E+00,3.142E+00,-2.366E-03,2.693E+00,2.653E+00,1.012E-01,3.454E+00,1.752E+00,-5.580E-01,5.880E+00,1.786E+00,3.142E+00,-3.015E-03,2.508E+00,2.461E+00,5.344E-02,5.171E+00
51,0.000E+00,0.000E+00,6.929E-03,0.000E+00,3.918E-03,0.000E+00,0.000E+00,2.930E-06,3.074E-03,1.266E-02,6.934E-03,1.499E-02,9.855E-01,1.699E+00,-6.383E-01,9.845E+00,1.736E+00,3.142E+00,8.060E-05,2.469E+00,2.470E+00,6.791E-02,4.347E+00,1.613E+00,-2.564E-01,3.153E+00,2.319E+00,3.142E+00,1.354E-03,2.690E+00,2.713E+00,2.817E-01,1.369E+00,1.649E+00,-4.044E-01,4.784E+00,2.050E+00,3.142E+00,-2.292E-03,2.689E+00,2.651E+00,1.009E-01,3.462E+00,1.752E+00,-5.738E-01,6.325E+00,1.755E+00,3.142E+00,-3.815E-03,2.534E+00,2.475E+00,5.400E-02,5.129E+00
52,0.000E+00,0.000E+00,7.345E-03,0.000E+00,3.924E-03,0.000E+00,1.465E-06,2.441E-06,3.451E-03,1.401E-02,7.360E-03,1.548E-02,1.047E+00,1.673E+00,-6.468E-01,1.067E+01,1.793E+00,3.142E+00,1.383E-04,2.545E+00,2.547E+00,6.639E-02,4.425E+00,1.594E+00,-2.542E-01,3.106E+00,2.469E+00,3.142E+00,-1.384E-03,2.750E+00,2.726E+00,2.766E-01,1.391E+00,1.648E+00,-3.991E-01,4.702E+00,2.063E+00,3.142E+00,-2.638E-03,2.716E+00,2.672E+00,9.973E-02,3.497E+00,1.734E+00,-5.798E-01,6.477E+00,1.823E+00,3.142E+00,-5.903E-03,2.562E+00,2.470E+00,5.346E-02,5.169E+00
53,0.000E+00,0.000E+00,7.553E-03,0.000E+00,3.927E-03,0.000E+00,2.197E-06,2.197E-06,3.640E-03,1.469E-02,7.574E-03,1.573E-02,1.077E+00,1.661E+00,-6.511E-01,1.108E+01,1.822E+00,3.142E+00,1.671E-04,2.583E+00,2.586E+00,6.564E-02,4.464E+00,1.585E+00,-2.531E-01,3.082E+00,2.545E+00,3.142E+00,-2.752E-03,2.781E+00,2.732E+00,2.741E-01,1.402E+00,1.647E+00,-3.964E-01,4.661E+00,2.069E+00,3.142E+00,-2.811E-03,2.730E+00,2.682E+00,9.914E-02,3.514E+00,1.725E+00,-5.827E-01,6.553E+00,1.858E+00,3.142E+00,-6.947E-03,2.575E+00,2.467E+00,5.318E-02,5.189E+00
54,0.000E+00,0.000E+00,7.761E-03,0.000E+00,3.930E-03,0.000E+00,2.930E-06,1.953E-06,3.828E-03,1.537E-02,7.787E-03,1.597E-02,1.108E+00,1.649E+00,-6.554E-01,1.150E+01,1.851E+00,3.142E+00,1.960E-04,2.621E+00,2.624E+00,6.488E-02,4.503E+00,1.577E+00,-2.520E-01,3.058E+00,2.620E+00,3.142E+00,-4.121E-03,2.811E+00,2.738E+00,2.716E-01,1.413E+00,1.646E+00,-3.937E-01,4.620E+00,2.075E+00,3.142E+00,-2.984E-03,2.744E+00,2.693E+00,9.855E-02,3.531E+00,1.717E+00,-5.857E-01,6.629E+00,1.892E+00,3.142E+00,-7.991E-03,2.589E+00,2.465E+00,5.291E-02,5.208E+00
55,0.000E+00,0.000E+00,8.379E-03,0.000E+00,4.019E-03,0.000E+00,1.953E-06,1.465E-06,4.286E-03,1.672E-02,8.344E-03,1.680E-02,1.187E+00,1.634E+00,-6.142E-01,9.560E+00,1.978E+00,3.142E+00,-1.508E-03,2.618E+00,2.593E+00,6.439E-02,4.530E+00,1.586E+00,-2.977E-01,3.694E+00,2.402E+00,3.142E+00,-2.889E-03,2.806E+00,2.755E+00,2.714E-01,1.414E+00,1.636E+00,-4.044E-01,4.840E+00,2.106E+00,3.142E+00,-3.202E-03,2.763E+00,2.708E+00,9.928E-02,3.510E+00,1.694E+00,-6.094E-01,7.468E+00,1.937E+00,3.142E+00,-5.322E-03,2.571E+00,2.488E+00,5.298E-02,5.203E+00
56,0.000E+00,0.000E+00,8.689E-03,0.000E+00,4.064E-03,0.000E+00,1.465E-06,1.221E-06,4.514E-03,1.740E-02,8.622E-03,1.721E-02,1.227E+00,1.632E+00,-5.937E-01,8.592E+00,2.041E+00,3.142E+00,-2.360E-03,2.616E+00,2.578E+00,6.414E-02,4.543E+00,1.596E+00,-3.206E-01,4.012E+00,2.293E+00,3.142E+00,-2.273E-03,2.803E+00,2.763E+00,2.714E-01,1.414E+00,1.631E+00,-4.098E-01,4.949E+00,2.121E+00,3.142E+00,-3.311E-03,2.772E+00,2.715E+00,9.965E-02,3.499E+00,1.684E+00,-6.212E-01,7.888E+00,1.959E+00,3.142E+00,-3.987E-03,2.562E+00,2.500E+00,5.301E-02,5.201E+00
57,0.000E+00,0.000E+00,8.998E-03,0.000E+00,4.108E-03,0.000E+00,9.766E-07,9.766E-07,4.743E-03,1.807E-02,8.900E-03,1.763E-02,1.267E+00,1.634E+00,-5.731E-01,7.624E+00,2.104E+00,3.142E+00,-3.212E-03,2.615E+00,2.563E+00,6.389E-02,4.556E+00,1.609E+00,-3.435E-01,4.330E+00,2.184E+00,3.142E+00,-1.657E-03,2.801E+00,2.771E+00,2.713E-01,1.415E+00,1.626E+00,-4.152E-01,5.059E+00,2.136E+00,3.142E+00,-3.420E-03,2.782E+00,2.722E+00,1.000E-01,3.488E+00,1.675E+00,-6.331E-01,8.308E+00,1.982E+00,3.142E+00,-2.652E-03,2.553E+00,2.511E+00,5.305E-02,5.198E+00
58,0.000E+00,0.000E+00,9.566E-03,0.000E+00,4.504E-03,0.000E+00,1.953E-06,2.930E-06,5.033E-03,1.920E-02,9.532E-03,1.895E-02,1.355E+00,1.618E+00,-5.810E-01,7.933E+00,2.162E+00,3.142E+00,-1.888E-03,2.590E+00,2.559E+00,6.291E-02,4.611E+00,1.602E+00,-3.402E-01,4.256E+00,2.242E+00,3.142E+00,-2.992E-03,2.822E+00,2.769E+00,2.694E-01,1.423E+00,1.620E+00,-4.169E-01,5.121E+00,2.159E+00,3.142E+00,-2.970E-03,2.749E+00,2.698E+00,9.750E-02,3.565E+00,1.684E+00,-6.371E-01,7.875E+00,2.002E+00,3.142E+00,-1.720E-03,2.492E+00,2.466E+00,5.168E-02,5.303E+00
