alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
30,0.000E+00,0.000E+00,4.593E-03,1.405E-03,0.000E+00,1.562E-06,4.688E-06,3.632E-03,1.481E-02,4.905E-01,1.705E+00,-3.064E-01,3.691E+00,1.757E+00,3.142E+00,-3.270E-03,2.573E+00,2.521E+00,2.109E-01,1.749E+00,1.719E+00,-3.043E-01,3.349E+00,1.818E+00,3.142E+00,-1.657E-03,2.592E+00,2.565E+00,1.042E-01,3.371E+00,1.818E+00,-3.283E-01,2.924E+00,1.617E+00,3.142E+00,-4.793E-03,2.438E+00,2.368E+00,5.230E-02,5.254E+00
31,0.000E+00,0.000E+00,5.042E-03,1.384E-03,0.000E+00,1.855E-06,5.078E-06,4.034E-03,1.595E-02,5.304E-01,1.697E+00,-3.048E-01,3.639E+00,1.810E+00,3.142E+00,-2.882E-03,2.572E+00,2.527E+00,2.114E-01,1.745E+00,1.713E+00,-3.126E-01,3.443E+00,1.837E+00,3.142E+00,-1.426E-03,2.592E+00,2.569E+00,1.035E-01,3.390E+00,1.806E+00,-3.571E-01,3.283E+00,1.620E+00,3.142E+00,-4.246E-03,2.440E+00,2.378E+00,5.199E-02,5.278E+00
32,0.000E+00,0.000E+00,5.266E-03,1.373E-03,0.000E+00,2.002E-06,5.273E-06,4.235E-03,1.653E-02,5.503E-01,1.693E+00,-3.041E-01,3.614E+00,1.837E+00,3.142E+00,-2.688E-03,2.572E+00,2.529E+00,2.117E-01,1.743E+00,1.711E+00,-3.168E-01,3.490E+00,1.846E+00,3.142E+00,-1.311E-03,2.592E+00,2.571E+00,1.032E-01,3.399E+00,1.802E+00,-3.715E-01,3.463E+00,1.622E+00,3.142E+00,-3.972E-03,2.441E+00,2.383E+00,5.183E-02,5.291E+00
33,0.000E+00,0.000E+00,5.490E-03,1.363E-03,0.000E+00,2.148E-06,5.469E-06,4.436E-03,1.710E-02,5.703E-01,1.689E+00,-3.033E-01,3.588E+00,1.864E+00,3.142E+00,-2.494E-03,2.572E+00,2.532E+00,2.119E-01,1.742E+00,1.708E+00,-3.210E-01,3.537E+00,1.855E+00,3.142E+00,-1.196E-03,2.592E+00,2.572E+00,1.028E-01,3.409E+00,1.798E+00,-3.859E-01,3.643E+00,1.623E+00,3.142E+00,-3.699E-03,2.442E+00,2.388E+00,5.167E-02,5.303E+00
34,0.000E+00,0.000E+00,5.715E-03,1.353E-03,0.000E+00,2.295E-06,5.664E-06,4.637E-03,1.767E-02,5.902E-01,1.685E+00,-3.026E-01,3.562E+00,1.891E+00,3.142E+00,-2.300E-03,2.571E+00,2.535E+00,2.121E-01,1.740E+00,1.706E+00,-3.252E-01,3.584E+00,1.865E+00,3.142E+00,-1.080E-03,2.592E+00,2.574E+00,1.025E-01,3.418E+00,1.795E+00,-4.002E-01,3.822E+00,1.624E+00,3.142E+00,-3.425E-03,2.443E+00,2.393E+00,5.152E-02,5.315E+00
35,0.000E+00,0.000E+00,5.939E-03,1.342E-03,0.000E+00,2.441E-06,5.859E-06,4.838E-03,1.824E-02,6.101E-01,1.682E+00,-3.018E-01,3.536E+00,1.918E+00,3.142E+00,-2.106E-03,2.571E+00,2.538E+00,2.124E-01,1.738E+00,1.704E+00,-3.294E-01,3.631E+00,1.874E+00,3.142E+00,-9.649E-04,2.592E+00,2.576E+00,1.022E-01,3.428E+00,1.792E+00,-4.146E-01,4.002E+00,1.626E+00,3.142E+00,-3.152E-03,2.444E+00,2.398E+00,5.136E-02,5.327E+00
36,0.000E+00,0.000E+00,6.163E-03,1.332E-03,0.000E+00,2.588E-06,6.055E-06,5.039E-03,1.881E-02,6.301E-01,1.678E+00,-3.010E-01,3.510E+00,1.944E+00,3.142E+00,-1.913E-03,2.571E+00,2.540E+00,2.126E-01,1.737E+00,1.701E+00,-3.336E-01,3.677E+00,1.884E+00,3.142E+00,-8.495E-04,2.592E+00,2.578E+00,1.018E-01,3.437E+00,1.791E+00,-4.290E-01,4.182E+00,1.627E+00,3.142E+00,-2.878E-03,2.445E+00,2.403E+00,5.120E-02,5.340E+00
37,0.000E+00,0.000E+00,6.388E-03,1.321E-03,0.000E+00,2.734E-06,6.250E-06,5.240E-03,1.938E-02,6.500E-01,1.675E+00,-3.003E-01,3.485E+00,1.971E+00,3.142E+00,-1.719E-03,2.570E+00,2.543E+00,2.129E-01,1.735E+00,1.699E+00,-3.378E-01,3.724E+00,1.893E+00,3.142E+00,-7.342E-04,2.592E+00,2.580E+00,1.015E-01,3.447E+00,1.789E+00,-4.434E-01,4.362E+00,1.629E+00,3.142E+00,-2.605E-03,2.446E+00,2.408E+00,5.104E-02,5.352E+00
38,0.000E+00,0.000E+00,6.612E-03,1.311E-03,0.000E+00,2.881E-06,6.445E-06,5.441E-03,1.995E-02,6.699E-01,1.671E+00,-2.995E-01,3.459E+00,1.998E+00,3.142E+00,-1.525E-03,2.570E+00,2.546E+00,2.131E-01,1.733E+00,1.697E+00,-3.420E-01,3.771E+00,1.902E+00,3.142E+00,-6.188E-04,2.592E+00,2.582E+00,1.012E-01,3.456E+00,1.788E+00,-4.578E-01,4.541E+00,1.630E+00,3.142E+00,-2.331E-03,2.447E+00,2.413E+00,5.089E-02,5.364E+00
39,0.000E+00,0.000E+00,6.836E-03,1.301E-03,0.000E+00,3.027E-06,6.641E-06,5.642E-03,2.053E-02,6.899E-01,1.668E+00,-2.988E-01,3.433E+00,2.025E+00,3.142E+00,-1.331E-03,2.570E+00,2.549E+00,2.133E-01,1.732E+00,1.695E+00,-3.462E-01,3.818E+00,1.912E+00,3.142E+00,-5.035E-04,2.592E+00,2.584E+00,1.008E-01,3.466E+00,1.788E+00,-4.721E-01,4.721E+00,1.632E+00,3.142E+00,-2.058E-03,2.448E+00,2.418E+00,5.073E-02,5.376E+00
40,0.000E+00,0.000E+00,7.060E-03,1.290E-03,0.000E+00,3.174E-06,6.836E-06,5.843E-03,2.110E-02,7.098E-01,1.665E+00,-2.980E-01,3.407E+00,2.052E+00,3.142E+00,-1.137E-03,2.569E+00,2.551E+00,2.136E-01,1.730E+00,1.693E+00,-3.504E-01,3.865E+00,1.921E+00,3.142E+00,-3.881E-04,2.592E+00,2.585E+00,1.005E-01,3.475E+00,1.788E+00,-4.865E-01,4.901E+00,1.633E+00,3.142E+00,-1.784E-03,2.449E+00,2.423E+00,5.057E-02,5.388E+00
41,0.000E+00,0.000E+00,7.285E-03,1.280E-03,0.000E+00,3.320E-06,7.031E-06,6.044E-03,2.167E-02,7.298E-01,1.662E+00,-2.972E-01,3.381E+00,2.079E+00,3.142E+00,-9.430E-04,2.569E+00,2.554E+00,2.138E-01,1.728E+00,1.690E+00,-3.546E-01,3.912E+00,1.930E+00,3.142E+00,-2.728E-04,2.592E+00,2.587E+00,1.002E-01,3.485E+00,1.788E+00,-5.009E-01,5.081E+00,1.635E+00,3.142E+00,-1.511E-03,2.450E+00,2.428E+00,5.042E-02,5.401E+00
42,0.000E+00,0.000E+00,7.509E-03,1.269E-03,0.000E+00,3.467E-06,7.227E-06,6.245E-03,2.224E-02,7.497E-01,1.659E+00,-2.965E-01,3.356E+00,2.105E+00,3.142E+00,-7.491E-04,2.569E+00,2.557E+00,2.141E-01,1.727E+00,1.688E+00,-3.587E-01,3.959E+00,1.940E+00,3.142E+00,-1.574E-04,2.592E+00,2.589E+00,9.984E-02,3.494E+00,1.788E+00,-5.153E-01,5.261E+00,1.636E+00,3.142E+00,-1.237E-03,2.451E+00,2.433E+00,5.026E-02,5.413E+00
43,0.000E+00,0.000E+00,7.733E-03,1.259E-03,0.000E+00,3.613E-06,7.422E-06,6.446E-03,2.281E-02,7.696E-01,1.656E+00,-2.957E-01,3.330E+00,2.132E+00,3.142E+00,-5.551E-04,2.568E+00,2.559E+00,2.143E-01,1.725E+00,1.686E+00,-3.629E-01,4.006E+00,1.949E+00,3.142E+00,-4.206E-05,2.592E+00,2.591E+00,9.951E-02,3.504E+00,1.789E+00,-5.297E-01,5.440E+00,1.638E+00,3.142E+00,-9.640E-04,2.452E+00,2.438E+00,5.010E-02,5.425E+00
44,0.000E+00,0.000E+00,7.958E-03,1.249E-03,0.000E+00,3.760E-06,7.617E-06,6.647E-03,2.338E-02,7.896E-01,1.653E+00,-2.950E-01,3.304E+00,2.159E+00,3.142E+00,-3.612E-04,2.568E+00,2.562E+00,2.145E-01,1.723E+00,1.684E+00,-3.671E-01,4.053E+00,1.958E+00,3.142E+00,7.330E-05,2.592E+00,2.593E+00,9.917E-02,3.513E+00,1.790E+00,-5.440E-01,5.620E+00,1.639E+00,3.142E+00,-6.905E-04,2.453E+00,2.443E+00,4.995E-02,5.437E+00
45,0.000E+00,0.000E+00,8.182E-03,1.238E-03,0.000E+00,3.906E-06,7.813E-06,6.848E-03,2.396E-02,8.095E-01,1.650E+00,-2.942E-01,3.278E+00,2.186E+00,3.142E+00,-1.673E-04,2.568E+00,2.565E+00,2.148E-01,1.722E+00,1.683E+00,-3.713E-01,4.100E+00,1.968E+00,3.142E+00,1.887E-04,2.592E+00,2.595E+00,9.884E-02,3.523E+00,1.791E+00,-5.584E-01,5.800E+00,1.641E+00,3.142E+00,-4.170E-04,2.454E+00,2.448E+00,4.979E-02,5.450E+00
46,0.000E+00,0.000E+00,8.643E-03,1.246E-03,0.000E+00,2.734E-06,1.094E-05,7.259E-03,2.520E-02,8.521E-01,1.655E+00,-3.168E-01,3.456E+00,2.170E+00,3.142E+00,-1.250E-03,2.643E+00,2.622E+00,2.143E-01,1.725E+00,1.680E+00,-3.689E-01,4.004E+00,2.004E+00,3.142E+00,-1.015E-03,2.624E+00,2.608E+00,9.930E-02,3.509E+00,1.767E+00,-5.723E-01,6.217E+00,1.704E+00,3.142E+00,-9.142E-04,2.460E+00,2.447E+00,4.802E-02,5.602E+00
47,0.000E+00,0.000E+00,8.874E-03,1.250E-03,0.000E+00,2.148E-06,1.250E-05,7.464E-03,2.583E-02,8.735E-01,1.657E+00,-3.280E-01,3.544E+00,2.162E+00,3.142E+00,-1.792E-03,2.681E+00,2.651E+00,2.141E-01,1.727E+00,1.679E+00,-3.678E-01,3.957E+00,2.022E+00,3.142E+00,-1.617E-03,2.641E+00,2.614E+00,9.952E-02,3.502E+00,1.756E+00,-5.793E-01,6.425E+00,1.735E+00,3.142E+00,-1.163E-03,2.463E+00,2.446E+00,4.714E-02,5.678E+00
48,0.000E+00,0.000E+00,9.105E-03,1.254E-03,0.000E+00,1.562E-06,1.406E-05,7.669E-03,2.645E-02,8.948E-01,1.659E+00,-3.393E-01,3.633E+00,2.155E+00,3.142E+00,-2.334E-03,2.719E+00,2.680E+00,2.138E-01,1.728E+00,1.679E+00,-3.666E-01,3.909E+00,2.040E+00,3.142E+00,-2.219E-03,2.657E+00,2.620E+00,9.975E-02,3.496E+00,1.746E+00,-5.862E-01,6.633E+00,1.767E+00,3.142E+00,-1.411E-03,2.467E+00,2.445E+00,4.626E-02,5.754E+00
49,0.000E+00,0.000E+00,9.432E-03,1.188E-03,0.000E+00,4.688E-06,1.406E-05,8.259E-03,2.833E-02,9.471E-01,1.647E+00,-3.748E-01,4.313E+00,2.102E+00,3.142E+00,-2.103E-03,2.643E+00,2.608E+00,2.079E-01,1.772E+00,1.658E+00,-3.681E-01,4.018E+00,2.121E+00,3.142E+00,-1.611E-03,2.662E+00,2.636E+00,9.860E-02,3.530E+00,1.754E+00,-6.197E-01,7.746E+00,1.679E+00,3.142E+00,-3.857E-04,2.441E+00,2.435E+00,4.589E-02,5.788E+00
50,0.000E+00,0.000E+00,9.595E-03,1.155E-03,0.000E+00,6.250E-06,1.406E-05,8.554E-03,2.928E-02,9.733E-01,1.643E+00,-3.926E-01,4.652E+00,2.076E+00,3.142E+00,-1.987E-03,2.605E+00,2.572E+00,2.049E-01,1.794E+00,1.648E+00,-3.689E-01,4.073E+00,2.161E+00,3.142E+00,-1.307E-03,2.665E+00,2.643E+00,9.802E-02,3.548E+00,1.760E+00,-6.365E-01,8.302E+00,1.635E+00,3.142E+00,1.271E-04,2.428E+00,2.430E+00,4.571E-02,5.805E+00
51,0.000E+00,0.000E+00,9.759E-03,1.122E-03,0.000E+00,7.813E-06,1.406E-05,8.849E-03,3.022E-02,9.995E-01,1.642E+00,-4.103E-01,4.992E+00,2.050E+00,3.142E+00,-1.872E-03,2.566E+00,2.537E+00,2.019E-01,1.816E+00,1.638E+00,-3.697E-01,4.127E+00,2.201E+00,3.142E+00,-1.003E-03,2.667E+00,2.651E+00,9.744E-02,3.565E+00,1.769E+00,-6.532E-01,8.858E+00,1.591E+00,3.142E+00,6.399E-04,2.416E+00,2.425E+00,4.553E-02,5.822E+00
52,0.000E+00,0.000E+00,1.032E-02,1.139E-03,0.000E+00,5.469E-06,1.563E-05,9.580E-03,3.220E-02,1.066E+00,1.661E+00,-3.986E-01,4.644E+00,2.007E+00,3.142E+00,-1.419E-03,2.569E+00,2.547E+00,2.039E-01,1.800E+00,1.637E+00,-3.912E-01,4.535E+00,2.146E+00,3.142E+00,1.144E-04,2.620E+00,2.622E+00,9.745E-02,3.565E+00,1.735E+00,-6.691E-01,9.883E+00,1.668E+00,3.142E+00,-9.858E-04,2.434E+00,2.420E+00,4.494E-02,5.878E+00
53,0.000E+00,0.000E+00,1.059E-02,1.147E-03,0.000E+00,4.297E-06,1.641E-05,9.946E-03,3.319E-02,1.099E+00,1.671E+00,-3.928E-01,4.470E+00,1.986E+00,3.142E+00,-1.192E-03,2.571E+00,2.552E+00,2.049E-01,1.793E+00,1.637E+00,-4.019E-01,4.738E+00,2.118E+00,3.142E+00,6.731E-04,2.597E+00,2.608E+00,9.746E-02,3.564E+00,1.719E+00,-6.771E-01,1.040E+01,1.706E+00,3.142E+00,-1.799E-03,2.444E+00,2.417E+00,4.465E-02,5.905E+00
54,0.000E+00,0.000E+00,1.087E-02,1.155E-03,0.000E+00,3.125E-06,1.719E-05,1.031E-02,3.418E-02,1.132E+00,1.682E+00,-3.869E-01,4.296E+00,1.965E+00,3.142E+00,-9.658E-04,2.573E+00,2.557E+00,2.059E-01,1.785E+00,1.639E+00,-4.127E-01,4.942E+00,2.091E+00,3.142E+00,1.232E-03,2.574E+00,2.593E+00,9.747E-02,3.564E+00,1.704E+00,-6.851E-01,1.091E+01,1.745E+00,3.142E+00,-2.611E-03,2.453E+00,2.414E+00,4.436E-02,5.933E+00
55,0.000E+00,0.000E+00,1.195E-02,8.449E-04,0.000E+00,6.250E-06,2.266E-05,1.134E-02,3.655E-02,1.217E+00,1.652E+00,-3.723E-01,4.232E+00,2.090E+00,3.142E+00,-1.550E-03,2.624E+00,2.599E+00,2.029E-01,1.808E+00,1.644E+00,-4.110E-01,4.909E+00,2.064E+00,3.142E+00,-3.675E-04,2.647E+00,2.640E+00,9.732E-02,3.569E+00,1.714E+00,-6.863E-01,1.074E+01,1.723E+00,3.142E+00,-3.948E-03,2.529E+00,2.468E+00,4.382E-02,5.987E+00
56,0.000E+00,0.000E+00,1.249E-02,6.896E-04,0.000E+00,7.813E-06,2.539E-05,1.185E-02,3.773E-02,1.260E+00,1.638E+00,-3.649E-01,4.200E+00,2.153E+00,3.142E+00,-1.842E-03,2.650E+00,2.620E+00,2.013E-01,1.820E+00,1.647E+00,-4.101E-01,4.892E+00,2.050E+00,3.142E+00,-1.167E-03,2.684E+00,2.663E+00,9.724E-02,3.571E+00,1.718E+00,-6.869E-01,1.065E+01,1.712E+00,3.142E+00,-4.616E-03,2.567E+00,2.494E+00,4.355E-02,6.014E+00
57,0.000E+00,0.000E+00,1.303E-02,5.344E-04,0.000E+00,9.375E-06,2.812E-05,1.236E-02,3.892E-02,1.303E+00,1.624E+00,-3.576E-01,4.167E+00,2.216E+00,3.142E+00,-2.134E-03,2.676E+00,2.641E+00,1.998E-01,1.832E+00,1.650E+00,-4.093E-01,4.876E+00,2.037E+00,3.142E+00,-1.967E-03,2.720E+00,2.687E+00,9.717E-02,3.573E+00,1.723E+00,-6.876E-01,1.057E+01,1.702E+00,3.142E+00,-5.284E-03,2.605E+00,2.521E+00,4.328E-02,6.041E+00
58,0.000E+00,0.000E+00,1.385E-02,4.645E-04,0.000E+00,1.289E-05,2.969E-05,1.335E-02,4.170E-02,1.392E+00,1.613E+00,-4.678E-01,6.976E+00,1.964E+00,3.142E+00,-1.874E-03,2.619E+00,2.588E+00,2.052E-01,1.791E+00,1.625E+00,-4.357E-01,5.642E+00,2.063E+00,3.142E+00,-1.405E-03,2.688E+00,2.664E+00,9.702E-02,3.578E+00,1.686E+00,-6.827E-01,1.009E+01,1.878E+00,3.142E+00,-4.207E-03,2.565E+00,2.499E+00,4.342E-02,6.027E+00
59,0.000E+00,0.000E+00,1.425E-02,4.295E-04,0.000E+00,1.465E-05,3.047E-05,1.384E-02,4.309E-02,1.437E+00,1.634E+00,-5.230E-01,8.381E+00,1.839E+00,3.142E+00,-1.744E-03,2.590E+00,2.562E+00,2.079E-01,1.771E+00,1.615E+00,-4.489E-01,6.025E+00,2.075E+00,3.142E+00,-1.123E-03,2.671E+00,2.653E+00,9.695E-02,3.580E+00,1.670E+00,-6.802E-01,9.854E+00,1.966E+00,3.142E+00,-3.668E-03,2.545E+00,2.488E+00,4.349E-02,6.020E+00
60,0.000E+00,0.000E+00,1.466E-02,3.945E-04,0.000E+00,1.641E-05,3.125E-05,1.433E-02,4.448E-02,1.482E+00,1.666E+00,-5.781E-01,9.785E+00,1.713E+00,3.142E+00,-1.613E-03,2.561E+00,2.535E+00,2.106E-01,1.751E+00,1.607E+00,-4.621E-01,6.408E+00,2.088E+00,3.142E+00,-8.424E-04,2.655E+00,2.641E+00,9.687E-02,3.582E+00,1.654E+00,-6.778E-01,9.616E+00,2.054E+00,3.142E+00,-3.130E-03,2.525E+00,2.477E+00,4.356E-02,6.013E+00
61,0.000E+00,0.000E+00,1.589E-02,2.207E-04,0.000E+00,2.031E-05,5.117E-05,1.568E-02,4.784E-02,1.599E+00,1.619E+00,-5.708E-01,1.038E+01,1.836E+00,3.142E+00,-9.138E-04,2.573E+00,2.558E+00,2.043E-01,1.799E+00,1.604E+00,-4.878E-01,7.361E+00,2.012E+00,3.142E+00,5.579E-04,2.636E+00,2.645E+00,9.591E-02,3.612E+00,1.644E+00,-6.887E-01,1.062E+01,2.033E+00,3.142E+00,-3.913E-03,2.584E+00,2.522E+00,4.438E-02,5.933E+00
62,0.000E+00,0.000E+00,1.651E-02,1.338E-04,0.000E+00,2.227E-05,6.113E-05,1.635E-02,4.952E-02,1.658E+00,1.596E+00,-5.671E-01,1.068E+01,1.897E+00,3.142E+00,-5.639E-04,2.578E+00,2.570E+00,2.012E-01,1.822E+00,1.606E+00,-5.006E-01,7.838E+00,1.974E+00,3.142E+00,1.258E-03,2.627E+00,2.647E+00,9.543E-02,3.628E+00,1.640E+00,-6.942E-01,1.113E+01,2.023E+00,3.142E+00,-4.304E-03,2.614E+00,2.545E+00,4.479E-02,5.893E+00
63,0.000E+00,0.000E+00,1.712E-02,4.688E-05,0.000E+00,2.422E-05,7.109E-05,1.703E-02,5.119E-02,1.716E+00,1.574E+00,-5.635E-01,1.098E+01,1.958E+00,3.142E+00,-2.141E-04,2.584E+00,2.581E+00,1.980E-01,1.846E+00,1.608E+00,-5.135E-01,8.314E+00,1.936E+00,3.142E+00,1.958E-03,2.617E+00,2.650E+00,9.495E-02,3.643E+00,1.637E+00,-6.996E-01,1.163E+01,2.012E+00,3.142E+00,-4.696E-03,2.644E+00,2.568E+00,4.519E-02,5.853E+00
64,0.000E+00,0.000E+00,1.851E-02,2.773E-05,0.000E+00,3.750E-05,7.930E-05,1.837E-02,5.539E-02,1.854E+00,1.578E+00,-5.862E-01,1.251E+01,1.879E+00,3.142E+00,3.311E-05,2.579E+00,2.579E+00,2.032E-01,1.807E+00,1.591E+00,-5.393E-01,9.654E+00,1.939E+00,3.142E+00,4.229E-04,2.630E+00,2.637E+00,9.642E-02,3.597E+00,1.614E+00,-6.858E-01,1.105E+01,2.135E+00,3.142E+00,-2.728E-03,2.587E+00,2.543E+00,4.355E-02,6.019E+00
65,0.000E+00,0.000E+00,1.921E-02,1.816E-05,0.000E+00,4.414E-05,8.340E-05,1.904E-02,5.749E-02,1.923E+00,1.583E+00,-5.976E-01,1.328E+01,1.839E+00,3.142E+00,1.567E-04,2.576E+00,2.578E+00,2.058E-01,1.787E+00,1.584E+00,-5.521E-01,1.032E+01,1.940E+00,3.142E+00,-3.447E-04,2.637E+00,2.631E+00,9.715E-02,3.574E+00,1.603E+00,-6.789E-01,1.076E+01,2.197E+00,3.142E+00,-1.744E-03,2.559E+00,2.531E+00,4.273E-02,6.102E+00
66,0.000E+00,0.000E+00,1.991E-02,8.594E-06,0.000E+00,5.078E-05,8.750E-05,1.972E-02,5.959E-02,1.993E+00,1.588E+00,-6.089E-01,1.404E+01,1.800E+00,3.142E+00,2.803E-04,2.573E+00,2.577E+00,2.083E-01,1.767E+00,1.579E+00,-5.650E-01,1.099E+01,1.941E+00,3.142E+00,-1.112E-03,2.643E+00,2.625E+00,9.788E-02,3.551E+00,1.593E+00,-6.720E-01,1.046E+01,2.258E+00,3.142E+00,-7.604E-04,2.531E+00,2.519E+00,4.190E-02,6.185E+00
67,0.000E+00,0.000E+00,2.162E-02,4.688E-06,0.000E+00,5.195E-05,1.012E-04,2.152E-02,6.467E-02,2.167E+00,1.551E+00,-5.801E-01,1.301E+01,1.948E+00,3.142E+00,3.181E-03,2.481E+00,2.528E+00,2.061E-01,1.784E+00,1.560E+00,-5.594E-01,1.096E+01,2.014E+00,3.142E+00,-5.140E-05,2.619E+00,2.618E+00,9.798E-02,3.549E+00,1.557E+00,-6.734E-01,1.089E+01,2.415E+00,3.142E+00,6.046E-04,2.526E+00,2.536E+00,4.242E-02,6.131E+00
68,0.000E+00,0.000E+00,2.247E-02,2.734E-06,0.000E+00,5.254E-05,1.080E-04,2.242E-02,6.721E-02,2.254E+00,1.534E+00,-5.657E-01,1.249E+01,2.021E+00,3.142E+00,4.632E-03,2.435E+00,2.504E+00,2.049E-01,1.793E+00,1.551E+00,-5.566E-01,1.095E+01,2.050E+00,3.142E+00,4.791E-04,2.607E+00,2.615E+00,9.802E-02,3.547E+00,1.540E+00,-6.741E-01,1.111E+01,2.493E+00,3.142E+00,1.287E-03,2.524E+00,2.544E+00,4.267E-02,6.104E+00
69,0.000E+00,0.000E+00,2.333E-02,7.812E-07,0.000E+00,5.313E-05,1.148E-04,2.333E-02,6.976E-02,2.341E+00,1.519E+00,-5.513E-01,1.198E+01,2.095E+00,3.142E+00,6.083E-03,2.388E+00,2.480E+00,2.038E-01,1.801E+00,1.543E+00,-5.538E-01,1.093E+01,2.086E+00,3.142E+00,1.010E-03,2.595E+00,2.612E+00,9.807E-02,3.546E+00,1.524E+00,-6.748E-01,1.132E+01,2.571E+00,3.142E+00,1.970E-03,2.522E+00,2.553E+00,4.293E-02,6.077E+00
70,0.000E+00,0.000E+00,2.529E-02,4.688E-06,3.906E-07,5.508E-05,1.309E-04,2.539E-02,7.592E-02,2.545E+00,1.479E+00,-5.685E-01,1.437E+01,2.160E+00,3.142E+00,3.555E-03,2.454E+00,2.508E+00,2.000E-01,1.831E+00,1.512E+00,-5.628E-01,1.214E+01,2.155E+00,3.142E+00,2.511E-03,2.546E+00,2.586E+00,9.766E-02,3.558E+00,1.482E+00,-7.248E-01,1.630E+01,2.554E+00,3.142E+00,9.917E-04,2.498E+00,2.514E+00,4.210E-02,6.165E+00
71,0.000E+00,0.000E+00,2.626E-02,6.641E-06,5.859E-07,5.605E-05,1.389E-04,2.642E-02,7.900E-02,2.647E+00,1.463E+00,-5.770E-01,1.557E+01,2.192E+00,3.142E+00,2.291E-03,2.487E+00,2.522E+00,1.981E-01,1.846E+00,1.498E+00,-5.673E-01,1.274E+01,2.190E+00,3.142E+00,3.262E-03,2.522E+00,2.573E+00,9.745E-02,3.565E+00,1.471E+00,-7.499E-01,1.879E+01,2.546E+00,3.142E+00,5.027E-04,2.487E+00,2.495E+00,4.168E-02,6.210E+00
72,0.000E+00,0.000E+00,2.724E-02,8.594E-06,7.812E-07,5.703E-05,1.469E-04,2.745E-02,8.209E-02,2.750E+00,1.448E+00,-5.856E-01,1.676E+01,2.224E+00,3.142E+00,1.027E-03,2.520E+00,2.536E+00,1.963E-01,1.860E+00,1.485E+00,-5.718E-01,1.334E+01,2.224E+00,3.142E+00,4.012E-03,2.497E+00,2.560E+00,9.724E-02,3.571E+00,1.464E+00,-7.749E-01,2.128E+01,2.538E+00,3.142E+00,1.369E-05,2.475E+00,2.475E+00,4.127E-02,6.254E+00
73,0.000E+00,0.000E+00,2.891E-02,4.297E-06,3.906E-07,7.617E-05,1.543E-04,2.906E-02,8.717E-02,2.917E+00,1.429E+00,-5.696E-01,1.583E+01,2.331E+00,3.142E+00,5.022E-03,2.383E+00,2.454E+00,2.062E-01,1.786E+00,1.463E+00,-5.653E-01,1.330E+01,2.330E+00,3.142E+00,5.676E-03,2.452E+00,2.539E+00,9.714E-02,3.574E+00,1.451E+00,-7.837E-01,2.262E+01,2.577E+00,3.142E+00,1.739E-03,2.399E+00,2.423E+00,4.218E-02,6.157E+00
