alpha,H,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
31,0.000E+00,0.000E+00,2.380E-03,0.000E+00,3.534E-03,5.241E-03,1.143E-03,5.091E-03,4.059E-01,1.782E+00,-2.759E-01,2.522E+00,1.795E+00,3.142E+00,-1.870E-04,2.556E+00,2.553E+00,8.556E-02,3.341E+00,1.712E+00,-3.087E-01,3.372E+00,1.858E+00,3.142E+00,-2.866E-03,2.667E+00,2.619E+00,1.056E-01,3.333E+00,1.763E+00,-2.852E-01,2.829E+00,1.762E+00,3.142E+00,-8.382E-04,2.388E+00,2.376E+00,6.339E-02,4.551E+00
32,0.000E+00,0.000E+00,2.445E-03,0.000E+00,3.658E-03,5.398E-03,1.198E-03,5.325E-03,4.205E-01,1.774E+00,-2.958E-01,2.752E+00,1.788E+00,3.142E+00,2.480E-05,2.555E+00,2.556E+00,8.501E-02,3.359E+00,1.712E+00,-3.131E-01,3.402E+00,1.864E+00,3.142E+00,-2.900E-03,2.673E+00,2.625E+00,1.052E-01,3.344E+00,1.757E+00,-3.082E-01,3.122E+00,1.742E+00,3.142E+00,-8.827E-04,2.393E+00,2.380E+00,6.283E-02,4.584E+00
33,0.000E+00,0.000E+00,2.511E-03,0.000E+00,3.781E-03,5.555E-03,1.253E-03,5.558E-03,4.351E-01,1.767E+00,-3.156E-01,2.983E+00,1.780E+00,3.142E+00,2.366E-04,2.555E+00,2.558E+00,8.445E-02,3.377E+00,1.711E+00,-3.176E-01,3.433E+00,1.869E+00,3.142E+00,-2.934E-03,2.679E+00,2.630E+00,1.048E-01,3.355E+00,1.753E+00,-3.312E-01,3.415E+00,1.723E+00,3.142E+00,-9.271E-04,2.399E+00,2.385E+00,6.228E-02,4.618E+00
34,0.000E+00,0.000E+00,2.576E-03,0.000E+00,3.905E-03,5.712E-03,1.308E-03,5.792E-03,4.496E-01,1.763E+00,-3.355E-01,3.213E+00,1.772E+00,3.142E+00,4.483E-04,2.554E+00,2.561E+00,8.389E-02,3.394E+00,1.711E+00,-3.220E-01,3.464E+00,1.874E+00,3.142E+00,-2.967E-03,2.685E+00,2.635E+00,1.044E-01,3.367E+00,1.752E+00,-3.543E-01,3.707E+00,1.703E+00,3.142E+00,-9.716E-04,2.404E+00,2.389E+00,6.172E-02,4.651E+00
35,0.000E+00,0.000E+00,2.641E-03,0.000E+00,4.028E-03,5.869E-03,1.363E-03,6.025E-03,4.642E-01,1.760E+00,-3.553E-01,3.443E+00,1.765E+00,3.142E+00,6.601E-04,2.553E+00,2.563E+00,8.333E-02,3.412E+00,1.711E+00,-3.265E-01,3.494E+00,1.879E+00,3.142E+00,-3.001E-03,2.691E+00,2.641E+00,1.040E-01,3.378E+00,1.753E+00,-3.773E-01,4.000E+00,1.684E+00,3.142E+00,-1.016E-03,2.409E+00,2.394E+00,6.117E-02,4.684E+00
36,0.000E+00,0.000E+00,2.707E-03,0.000E+00,4.152E-03,6.026E-03,1.418E-03,6.259E-03,4.788E-01,1.758E+00,-3.751E-01,3.673E+00,1.757E+00,3.142E+00,8.719E-04,2.552E+00,2.566E+00,8.277E-02,3.430E+00,1.711E+00,-3.309E-01,3.525E+00,1.885E+00,3.142E+00,-3.034E-03,2.697E+00,2.646E+00,1.036E-01,3.389E+00,1.755E+00,-4.004E-01,4.293E+00,1.665E+00,3.142E+00,-1.061E-03,2.414E+00,2.398E+00,6.061E-02,4.717E+00
37,0.000E+00,0.000E+00,2.772E-03,0.000E+00,4.275E-03,6.183E-03,1.473E-03,6.492E-03,4.934E-01,1.757E+00,-3.950E-01,3.904E+00,1.749E+00,3.142E+00,1.084E-03,2.551E+00,2.568E+00,8.221E-02,3.448E+00,1.711E+00,-3.354E-01,3.556E+00,1.890E+00,3.142E+00,-3.068E-03,2.703E+00,2.652E+00,1.032E-01,3.401E+00,1.759E+00,-4.234E-01,4.586E+00,1.645E+00,3.142E+00,-1.105E-03,2.419E+00,2.403E+00,6.006E-02,4.751E+00
38,0.000E+00,0.000E+00,2.837E-03,0.000E+00,4.399E-03,6.340E-03,1.528E-03,6.726E-03,5.079E-01,1.757E+00,-4.148E-01,4.134E+00,1.741E+00,3.142E+00,1.295E-03,2.550E+00,2.571E+00,8.166E-02,3.465E+00,1.711E+00,-3.398E-01,3.586E+00,1.895E+00,3.142E+00,-3.102E-03,2.709E+00,2.657E+00,1.028E-01,3.412E+00,1.764E+00,-4.464E-01,4.879E+00,1.626E+00,3.142E+00,-1.150E-03,2.424E+00,2.407E+00,5.950E-02,4.784E+00
39,0.000E+00,0.000E+00,2.903E-03,0.000E+00,4.522E-03,6.497E-03,1.583E-03,6.959E-03,5.225E-01,1.759E+00,-4.347E-01,4.364E+00,1.734E+00,3.142E+00,1.507E-03,2.549E+00,2.573E+00,8.110E-02,3.483E+00,1.710E+00,-3.443E-01,3.617E+00,1.900E+00,3.142E+00,-3.135E-03,2.715E+00,2.662E+00,1.024E-01,3.423E+00,1.770E+00,-4.695E-01,5.171E+00,1.607E+00,3.142E+00,-1.194E-03,2.429E+00,2.412E+00,5.895E-02,4.817E+00
40,0.000E+00,0.000E+00,2.968E-03,0.000E+00,4.646E-03,6.654E-03,1.638E-03,7.193E-03,5.371E-01,1.760E+00,-4.545E-01,4.594E+00,1.726E+00,3.142E+00,1.719E-03,2.548E+00,2.576E+00,8.054E-02,3.501E+00,1.710E+00,-3.488E-01,3.648E+00,1.906E+00,3.142E+00,-3.169E-03,2.722E+00,2.668E+00,1.020E-01,3.435E+00,1.777E+00,-4.925E-01,5.464E+00,1.587E+00,3.142E+00,-1.239E-03,2.435E+00,2.416E+00,5.839E-02,4.851E+00
41,0.000E+00,0.000E+00,3.033E-03,0.000E+00,4.769E-03,6.811E-03,1.693E-03,7.426E-03,5.517E-01,1.763E+00,-4.744E-01,4.824E+00,1.718E+00,3.142E+00,1.931E-03,2.547E+00,2.578E+00,7.998E-02,3.518E+00,1.710E+00,-3.532E-01,3.678E+00,1.911E+00,3.142E+00,-3.202E-03,2.728E+00,2.673E+00,1.015E-01,3.446E+00,1.784E+00,-5.155E-01,5.757E+00,1.568E+00,3.142E+00,-1.283E-03,2.440E+00,2.421E+00,5.784E-02,4.884E+00
42,0.000E+00,0.000E+00,3.099E-03,0.000E+00,4.893E-03,6.967E-03,1.748E-03,7.660E-03,5.663E-01,1.766E+00,-4.942E-01,5.055E+00,1.711E+00,3.142E+00,2.143E-03,2.547E+00,2.581E+00,7.942E-02,3.536E+00,1.710E+00,-3.577E-01,3.709E+00,1.916E+00,3.142E+00,-3.236E-03,2.734E+00,2.679E+00,1.011E-01,3.457E+00,1.793E+00,-5.386E-01,6.050E+00,1.549E+00,3.142E+00,-1.327E-03,2.445E+00,2.425E+00,5.728E-02,4.917E+00
43,0.000E+00,0.000E+00,3.164E-03,0.000E+00,5.016E-03,7.124E-03,1.803E-03,7.893E-03,5.808E-01,1.770E+00,-5.140E-01,5.285E+00,1.703E+00,3.142E+00,2.354E-03,2.546E+00,2.583E+00,7.886E-02,3.554E+00,1.710E+00,-3.621E-01,3.739E+00,1.921E+00,3.142E+00,-3.270E-03,2.740E+00,2.684E+00,1.007E-01,3.469E+00,1.802E+00,-5.616E-01,6.343E+00,1.529E+00,3.142E+00,-1.372E-03,2.450E+00,2.429E+00,5.673E-02,4.951E+00
44,0.000E+00,0.000E+00,3.229E-03,0.000E+00,5.140E-03,7.281E-03,1.858E-03,8.127E-03,5.954E-01,1.774E+00,-5.339E-01,5.515E+00,1.695E+00,3.142E+00,2.566E-03,2.545E+00,2.586E+00,7.831E-02,3.572E+00,1.710E+00,-3.666E-01,3.770E+00,1.927E+00,3.142E+00,-3.303E-03,2.746E+00,2.689E+00,1.003E-01,3.480E+00,1.812E+00,-5.847E-01,6.635E+00,1.510E+00,3.142E+00,-1.416E-03,2.455E+00,2.434E+00,5.617E-02,4.984E+00
45,0.000E+00,0.000E+00,3.295E-03,0.000E+00,5.263E-03,7.438E-03,1.913E-03,8.360E-03,6.100E-01,1.778E+00,-5.537E-01,5.745E+00,1.688E+00,3.142E+00,2.778E-03,2.544E+00,2.588E+00,7.775E-02,3.589E+00,1.710E+00,-3.710E-01,3.801E+00,1.932E+00,3.142E+00,-3.337E-03,2.752E+00,2.695E+00,9.991E-02,3.491E+00,1.822E+00,-6.077E-01,6.928E+00,1.491E+00,3.142E+00,-1.461E-03,2.460E+00,2.438E+00,5.562E-02,5.017E+00
46,0.000E+00,0.000E+00,3.480E-03,0.000E+00,5.560E-03,7.813E-03,2.034E-03,8.795E-03,6.434E-01,1.757E+00,-5.685E-01,6.114E+00,1.753E+00,3.142E+00,5.107E-04,2.593E+00,2.600E+00,7.745E-02,3.600E+00,1.702E+00,-3.786E-01,3.881E+00,1.969E+00,3.142E+00,-2.249E-03,2.726E+00,2.688E+00,1.000E-01,3.488E+00,1.813E+00,-6.251E-01,7.294E+00,1.518E+00,3.142E+00,-6.829E-04,2.453E+00,2.442E+00,5.510E-02,5.053E+00
47,0.000E+00,0.000E+00,3.666E-03,0.000E+00,5.856E-03,8.188E-03,2.154E-03,9.230E-03,6.768E-01,1.737E+00,-5.833E-01,6.482E+00,1.819E+00,3.142E+00,-1.756E-03,2.642E+00,2.611E+00,7.716E-02,3.610E+00,1.695E+00,-3.861E-01,3.962E+00,2.006E+00,3.142E+00,-1.162E-03,2.701E+00,2.681E+00,1.001E-01,3.485E+00,1.805E+00,-6.426E-01,7.660E+00,1.546E+00,3.142E+00,9.509E-05,2.445E+00,2.446E+00,5.459E-02,5.089E+00
48,0.000E+00,0.000E+00,3.851E-03,0.000E+00,6.152E-03,8.563E-03,2.275E-03,9.664E-03,7.103E-01,1.718E+00,-5.980E-01,6.851E+00,1.885E+00,3.142E+00,-4.024E-03,2.691E+00,2.623E+00,7.687E-02,3.620E+00,1.687E+00,-3.936E-01,4.042E+00,2.044E+00,3.142E+00,-7.421E-05,2.675E+00,2.673E+00,1.002E-01,3.482E+00,1.798E+00,-6.600E-01,8.026E+00,1.573E+00,3.142E+00,8.731E-04,2.437E+00,2.450E+00,5.408E-02,5.125E+00
49,0.000E+00,0.000E+00,3.944E-03,0.000E+00,6.300E-03,8.750E-03,2.335E-03,9.882E-03,7.270E-01,1.709E+00,-6.054E-01,7.035E+00,1.918E+00,3.142E+00,-5.157E-03,2.716E+00,2.628E+00,7.672E-02,3.625E+00,1.684E+00,-3.974E-01,4.082E+00,2.062E+00,3.142E+00,4.696E-04,2.662E+00,2.670E+00,1.003E-01,3.481E+00,1.794E+00,-6.687E-01,8.209E+00,1.587E+00,3.142E+00,1.262E-03,2.433E+00,2.452E+00,5.383E-02,5.142E+00
50,0.000E+00,0.000E+00,4.037E-03,0.000E+00,6.448E-03,8.938E-03,2.395E-03,1.010E-02,7.437E-01,1.700E+00,-6.128E-01,7.219E+00,1.951E+00,3.142E+00,-6.291E-03,2.740E+00,2.634E+00,7.657E-02,3.631E+00,1.680E+00,-4.012E-01,4.123E+00,2.081E+00,3.142E+00,1.013E-03,2.649E+00,2.666E+00,1.003E-01,3.479E+00,1.791E+00,-6.774E-01,8.391E+00,1.601E+00,3.142E+00,1.651E-03,2.429E+00,2.454E+00,5.357E-02,5.160E+00
51,0.000E+00,0.000E+00,4.222E-03,0.000E+00,6.866E-03,9.418E-03,2.634E-03,1.092E-02,7.931E-01,1.683E+00,-6.349E-01,8.188E+00,1.965E+00,3.142E+00,-6.097E-03,2.742E+00,2.639E+00,7.640E-02,3.637E+00,1.669E+00,-4.177E-01,4.523E+00,2.069E+00,3.142E+00,6.293E-04,2.666E+00,2.676E+00,9.970E-02,3.498E+00,1.777E+00,-6.823E-01,8.474E+00,1.654E+00,3.142E+00,1.085E-03,2.449E+00,2.465E+00,5.353E-02,5.163E+00
52,0.000E+00,0.000E+00,4.407E-03,0.000E+00,7.284E-03,9.899E-03,2.873E-03,1.173E-02,8.425E-01,1.669E+00,-6.571E-01,9.157E+00,1.980E+00,3.142E+00,-5.903E-03,2.744E+00,2.644E+00,7.623E-02,3.643E+00,1.661E+00,-4.343E-01,4.924E+00,2.057E+00,3.142E+00,2.453E-04,2.682E+00,2.686E+00,9.908E-02,3.517E+00,1.764E+00,-6.873E-01,8.556E+00,1.707E+00,3.142E+00,5.187E-04,2.468E+00,2.475E+00,5.349E-02,5.166E+00
53,0.000E+00,0.000E+00,4.592E-03,0.000E+00,7.701E-03,1.038E-02,3.112E-03,1.255E-02,8.918E-01,1.657E+00,-6.792E-01,1.013E+01,1.994E+00,3.142E+00,-5.709E-03,2.746E+00,2.650E+00,7.606E-02,3.649E+00,1.654E+00,-4.508E-01,5.324E+00,2.046E+00,3.142E+00,-1.388E-04,2.699E+00,2.696E+00,9.846E-02,3.536E+00,1.751E+00,-6.922E-01,8.639E+00,1.760E+00,3.142E+00,-4.750E-05,2.488E+00,2.486E+00,5.345E-02,5.169E+00
54,0.000E+00,0.000E+00,4.685E-03,0.000E+00,7.910E-03,1.062E-02,3.231E-03,1.296E-02,9.165E-01,1.653E+00,-6.903E-01,1.061E+01,2.001E+00,3.142E+00,-5.612E-03,2.747E+00,2.652E+00,7.597E-02,3.652E+00,1.651E+00,-4.591E-01,5.524E+00,2.040E+00,3.142E+00,-3.308E-04,2.707E+00,2.701E+00,9.815E-02,3.545E+00,1.745E+00,-6.946E-01,8.680E+00,1.786E+00,3.142E+00,-3.306E-04,2.497E+00,2.491E+00,5.343E-02,5.170E+00
55,0.000E+00,0.000E+00,4.777E-03,0.000E+00,8.119E-03,1.086E-02,3.350E-03,1.336E-02,9.412E-01,1.648E+00,-7.014E-01,1.109E+01,2.008E+00,3.142E+00,-5.515E-03,2.748E+00,2.655E+00,7.589E-02,3.655E+00,1.649E+00,-4.674E-01,5.725E+00,2.034E+00,3.142E+00,-5.229E-04,2.716E+00,2.706E+00,9.784E-02,3.554E+00,1.739E+00,-6.971E-01,8.721E+00,1.813E+00,3.142E+00,-6.137E-04,2.507E+00,2.496E+00,5.341E-02,5.172E+00
56,0.000E+00,0.000E+00,4.963E-03,0.000E+00,8.536E-03,1.134E-02,3.589E-03,1.418E-02,9.906E-01,1.641E+00,-7.235E-01,1.206E+01,2.022E+00,3.142E+00,-5.321E-03,2.751E+00,2.660E+00,7.572E-02,3.662E+00,1.645E+00,-4.839E-01,6.125E+00,2.022E+00,3.142E+00,-9.069E-04,2.732E+00,2.716E+00,9.722E-02,3.573E+00,1.727E+00,-7.020E-01,8.803E+00,1.865E+00,3.142E+00,-1.180E-03,2.526E+00,2.507E+00,5.337E-02,5.175E+00
57,0.000E+00,0.000E+00,5.148E-03,0.000E+00,8.954E-03,1.182E-02,3.828E-03,1.500E-02,1.040E+00,1.635E+00,-7.456E-01,1.303E+01,2.036E+00,3.142E+00,-5.127E-03,2.753E+00,2.665E+00,7.554E-02,3.668E+00,1.643E+00,-5.005E-01,6.526E+00,2.011E+00,3.142E+00,-1.291E-03,2.749E+00,2.726E+00,9.660E-02,3.592E+00,1.715E+00,-7.069E-01,8.886E+00,1.918E+00,3.142E+00,-1.746E-03,2.546E+00,2.518E+00,5.334E-02,5.177E+00
58,0.000E+00,0.000E+00,5.333E-03,0.000E+00,9.371E-03,1.230E-02,4.067E-03,1.581E-02,1.089E+00,1.631E+00,-7.678E-01,1.400E+01,2.050E+00,3.142E+00,-4.933E-03,2.755E+00,2.670E+00,7.537E-02,3.674E+00,1.642E+00,-5.170E-01,6.926E+00,1.999E+00,3.142E+00,-1.675E-03,2.765E+00,2.736E+00,9.598E-02,3.611E+00,1.704E+00,-7.119E-01,8.968E+00,1.971E+00,3.142E+00,-2.312E-03,2.565E+00,2.528E+00,5.330E-02,5.180E+00
59,0.000E+00,0.000E+00,5.425E-03,0.000E+00,9.580E-03,1.254E-02,4.186E-03,1.622E-02,1.114E+00,1.629E+00,-7.789E-01,1.449E+01,2.057E+00,3.142E+00,-4.836E-03,2.756E+00,2.673E+00,7.529E-02,3.677E+00,1.641E+00,-5.253E-01,7.126E+00,1.993E+00,3.142E+00,-1.867E-03,2.774E+00,2.741E+00,9.567E-02,3.620E+00,1.698E+00,-7.143E-01,9.009E+00,1.998E+00,3.142E+00,-2.595E-03,2.575E+00,2.534E+00,5.328E-02,5.182E+00
60,0.000E+00,0.000E+00,5.518E-03,0.000E+00,9.789E-03,1.278E-02,4.305E-03,1.663E-02,1.139E+00,1.627E+00,-7.899E-01,1.497E+01,2.064E+00,3.142E+00,-4.739E-03,2.757E+00,2.676E+00,7.520E-02,3.680E+00,1.641E+00,-5.336E-01,7.326E+00,1.987E+00,3.142E+00,-2.059E-03,2.782E+00,2.746E+00,9.536E-02,3.630E+00,1.692E+00,-7.168E-01,9.051E+00,2.024E+00,3.142E+00,-2.879E-03,2.585E+00,2.539E+00,5.326E-02,5.183E+00
61,0.000E+00,0.000E+00,5.843E-03,0.000E+00,1.046E-02,1.353E-02,4.647E-03,1.789E-02,1.216E+00,1.603E+00,-7.928E-01,1.615E+01,2.120E+00,3.142E+00,-4.532E-03,2.730E+00,2.653E+00,7.469E-02,3.699E+00,1.615E+00,-5.641E-01,9.173E+00,1.958E+00,3.142E+00,-1.911E-03,2.760E+00,2.727E+00,9.499E-02,3.642E+00,1.647E+00,-7.522E-01,1.223E+01,2.056E+00,3.142E+00,-2.528E-03,2.571E+00,2.530E+00,5.264E-02,5.230E+00
62,0.000E+00,0.000E+00,6.168E-03,0.000E+00,1.113E-02,1.427E-02,4.988E-03,1.915E-02,1.294E+00,1.580E+00,-7.957E-01,1.733E+01,2.176E+00,3.142E+00,-4.324E-03,2.703E+00,2.630E+00,7.418E-02,3.718E+00,1.601E+00,-5.946E-01,1.102E+01,1.928E+00,3.142E+00,-1.763E-03,2.738E+00,2.708E+00,9.462E-02,3.654E+00,1.616E+00,-7.876E-01,1.541E+01,2.087E+00,3.142E+00,-2.178E-03,2.556E+00,2.522E+00,5.203E-02,5.276E+00
63,0.000E+00,0.000E+00,6.492E-03,0.000E+00,1.180E-02,1.501E-02,5.329E-03,2.042E-02,1.372E+00,1.559E+00,-7.985E-01,1.852E+01,2.232E+00,3.142E+00,-4.117E-03,2.676E+00,2.607E+00,7.367E-02,3.738E+00,1.595E+00,-6.251E-01,1.286E+01,1.898E+00,3.142E+00,-1.615E-03,2.716E+00,2.689E+00,9.425E-02,3.666E+00,1.595E+00,-8.229E-01,1.858E+01,2.118E+00,3.142E+00,-1.827E-03,2.542E+00,2.513E+00,5.141E-02,5.323E+00
64,0.000E+00,0.000E+00,6.655E-03,0.000E+00,1.214E-02,1.539E-02,5.500E-03,2.105E-02,1.411E+00,1.548E+00,-8.000E-01,1.911E+01,2.260E+00,3.142E+00,-4.013E-03,2.662E+00,2.596E+00,7.341E-02,3.747E+00,1.594E+00,-6.403E-01,1.379E+01,1.883E+00,3.142E+00,-1.541E-03,2.705E+00,2.679E+00,9.406E-02,3.671E+00,1.587E+00,-8.406E-01,2.017E+01,2.134E+00,3.142E+00,-1.652E-03,2.535E+00,2.509E+00,5.110E-02,5.346E+00
65,0.000E+00,0.000E+00,6.817E-03,0.000E+00,1.247E-02,1.576E-02,5.670E-03,2.168E-02,1.450E+00,1.538E+00,-8.014E-01,1.970E+01,2.288E+00,3.142E+00,-3.910E-03,2.649E+00,2.584E+00,7.316E-02,3.757E+00,1.594E+00,-6.556E-01,1.471E+01,1.868E+00,3.142E+00,-1.466E-03,2.694E+00,2.670E+00,9.388E-02,3.677E+00,1.581E+00,-8.583E-01,2.176E+01,2.149E+00,3.142E+00,-1.477E-03,2.528E+00,2.505E+00,5.079E-02,5.369E+00
66,0.000E+00,0.000E+00,7.223E-03,0.000E+00,1.343E-02,1.675E-02,6.252E-03,2.351E-02,1.561E+00,1.495E+00,-8.187E-01,2.447E+01,2.369E+00,3.142E+00,-1.436E-03,2.572E+00,2.546E+00,7.308E-02,3.760E+00,1.565E+00,-6.569E-01,1.585E+01,1.934E+00,3.142E+00,-8.509E-04,2.679E+00,2.664E+00,9.381E-02,3.680E+00,1.542E+00,-8.655E-01,2.490E+01,2.246E+00,3.142E+00,-1.586E-03,2.530E+00,2.505E+00,5.033E-02,5.407E+00
67,0.000E+00,0.000E+00,7.629E-03,0.000E+00,1.439E-02,1.773E-02,6.834E-03,2.534E-02,1.672E+00,1.460E+00,-8.359E-01,2.923E+01,2.451E+00,3.142E+00,1.038E-03,2.495E+00,2.507E+00,7.300E-02,3.763E+00,1.538E+00,-6.583E-01,1.699E+01,1.999E+00,3.142E+00,-2.353E-04,2.663E+00,2.659E+00,9.374E-02,3.682E+00,1.508E+00,-8.726E-01,2.803E+01,2.342E+00,3.142E+00,-1.696E-03,2.532E+00,2.506E+00,4.986E-02,5.445E+00
68,0.000E+00,0.000E+00,8.035E-03,0.000E+00,1.534E-02,1.872E-02,7.416E-03,2.717E-02,1.783E+00,1.431E+00,-8.531E-01,3.400E+01,2.532E+00,3.142E+00,3.512E-03,2.418E+00,2.468E+00,7.293E-02,3.766E+00,1.512E+00,-6.596E-01,1.813E+01,2.065E+00,3.142E+00,3.802E-04,2.647E+00,2.653E+00,9.367E-02,3.684E+00,1.477E+00,-8.798E-01,3.116E+01,2.438E+00,3.142E+00,-1.805E-03,2.535E+00,2.507E+00,4.939E-02,5.483E+00
69,0.000E+00,0.000E+00,8.238E-03,0.000E+00,1.582E-02,1.922E-02,7.707E-03,2.808E-02,1.839E+00,1.418E+00,-8.617E-01,3.639E+01,2.573E+00,3.142E+00,4.749E-03,2.380E+00,2.448E+00,7.289E-02,3.767E+00,1.500E+00,-6.603E-01,1.870E+01,2.098E+00,3.142E+00,6.880E-04,2.639E+00,2.651E+00,9.363E-02,3.685E+00,1.462E+00,-8.833E-01,3.273E+01,2.486E+00,3.142E+00,-1.860E-03,2.536E+00,2.507E+00,4.916E-02,5.502E+00
70,0.000E+00,0.000E+00,8.441E-03,0.000E+00,1.630E-02,1.971E-02,7.998E-03,2.899E-02,1.894E+00,1.407E+00,-8.704E-01,3.877E+01,2.613E+00,3.142E+00,5.986E-03,2.341E+00,2.429E+00,7.285E-02,3.768E+00,1.488E+00,-6.610E-01,1.927E+01,2.131E+00,3.142E+00,9.958E-04,2.632E+00,2.648E+00,9.360E-02,3.686E+00,1.448E+00,-8.869E-01,3.430E+01,2.534E+00,3.142E+00,-1.915E-03,2.537E+00,2.507E+00,4.893E-02,5.521E+00
71,0.000E+00,0.000E+00,8.803E-03,0.000E+00,1.726E-02,2.084E-02,8.487E-03,3.084E-02,2.004E+00,1.364E+00,-8.524E-01,3.574E+01,2.893E+00,3.142E+00,3.806E-03,2.414E+00,2.471E+00,7.126E-02,3.832E+00,1.463E+00,-6.522E-01,1.863E+01,2.263E+00,3.142E+00,1.910E-03,2.574E+00,2.604E+00,9.486E-02,3.646E+00,1.418E+00,-8.731E-01,3.407E+01,2.673E+00,3.142E+00,-1.820E-04,2.511E+00,2.508E+00,4.908E-02,5.508E+00
