alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
78,0.000E+00,0.000E+00,2.674E-02,3.124E-03,0.000E+00,0.000E+00,1.270E-05,2.358E-02,8.018E-02,4.055E+00,1.249E+00,-8.860E-01,3.893E+01,3.833E+00,3.142E+00,1.548E-02,2.249E+00,2.475E+00,3.854E-02,5.350E+00,1.352E+00,-5.455E-01,1.392E+01,2.917E+00,3.142E+00,6.324E-03,2.416E+00,2.512E+00,9.093E-02,3.776E+00,1.310E+00,-9.568E-01,4.548E+01,3.418E+00,3.142E+00,4.278E-03,2.510E+00,2.578E+00,2.166E-02,8.119E+00
79,0.000E+00,0.000E+00,2.740E-02,2.741E-03,0.000E+00,0.000E+00,1.416E-05,2.467E-02,8.238E-02,4.161E+00,1.213E+00,-8.751E-01,3.624E+01,4.248E+00,3.142E+00,1.337E-02,2.236E+00,2.428E+00,3.738E-02,5.460E+00,1.314E+00,-5.370E-01,1.375E+01,3.210E+00,3.142E+00,1.064E-02,2.305E+00,2.457E+00,8.834E-02,3.871E+00,1.250E+00,-9.554E-01,4.796E+01,3.858E+00,3.142E+00,3.761E-03,2.534E+00,2.594E+00,2.088E-02,8.306E+00
80,0.000E+00,0.000E+00,2.806E-02,2.357E-03,0.000E+00,0.000E+00,1.563E-05,2.576E-02,8.457E-02,4.268E+00,1.184E+00,-8.642E-01,3.354E+01,4.663E+00,3.142E+00,1.126E-02,2.223E+00,2.381E+00,3.622E-02,5.570E+00,1.279E+00,-5.285E-01,1.358E+01,3.503E+00,3.142E+00,1.495E-02,2.193E+00,2.403E+00,8.574E-02,3.965E+00,1.198E+00,-9.539E-01,5.045E+01,4.298E+00,3.142E+00,3.244E-03,2.557E+00,2.609E+00,2.009E-02,8.494E+00
81,0.000E+00,0.000E+00,2.778E-02,1.748E-03,0.000E+00,0.000E+00,1.563E-05,2.604E-02,8.354E-02,4.220E+00,1.115E+00,-8.421E-01,3.099E+01,5.659E+00,3.142E+00,1.399E-02,2.148E+00,2.337E+00,3.481E-02,5.718E+00,1.244E+00,-5.148E-01,1.289E+01,3.911E+00,3.142E+00,2.100E-02,2.052E+00,2.327E+00,8.336E-02,4.061E+00,1.146E+00,-9.440E-01,4.739E+01,4.952E+00,3.142E+00,5.858E-03,2.465E+00,2.555E+00,1.902E-02,8.787E+00
82,0.000E+00,0.000E+00,2.750E-02,1.139E-03,0.000E+00,0.000E+00,1.563E-05,2.633E-02,8.251E-02,4.172E+00,1.065E+00,-8.200E-01,2.843E+01,6.655E+00,3.142E+00,1.672E-02,2.073E+00,2.294E+00,3.341E-02,5.866E+00,1.214E+00,-5.010E-01,1.219E+01,4.320E+00,3.142E+00,2.706E-02,1.912E+00,2.251E+00,8.097E-02,4.156E+00,1.104E+00,-9.342E-01,4.433E+01,5.606E+00,3.142E+00,8.471E-03,2.373E+00,2.500E+00,1.795E-02,9.080E+00
83,0.000E+00,0.000E+00,2.463E-02,6.714E-04,0.000E+00,0.000E+00,1.172E-05,2.387E-02,7.384E-02,3.733E+00,1.024E+00,-8.136E-01,2.784E+01,7.560E+00,3.142E+00,5.287E-02,1.702E+00,2.295E+00,2.998E-02,6.318E+00,1.175E+00,-4.908E-01,1.184E+01,4.874E+00,3.142E+00,5.426E-02,1.582E+00,2.152E+00,7.890E-02,4.248E+00,1.091E+00,-9.302E-01,4.055E+01,5.986E+00,3.142E+00,1.952E-02,2.145E+00,2.403E+00,1.642E-02,9.594E+00
84,0.000E+00,0.000E+00,2.176E-02,2.041E-04,0.000E+00,0.000E+00,7.813E-06,2.141E-02,6.517E-02,3.294E+00,9.910E-01,-8.072E-01,2.724E+01,8.465E+00,3.142E+00,8.901E-02,1.331E+00,2.296E+00,2.656E-02,6.769E+00,1.143E+00,-4.806E-01,1.150E+01,5.428E+00,3.142E+00,8.145E-02,1.253E+00,2.053E+00,7.682E-02,4.340E+00,1.082E+00,-9.263E-01,3.677E+01,6.365E+00,3.142E+00,3.057E-02,1.917E+00,2.306E+00,1.488E-02,1.011E+01
85,0.000E+00,0.000E+00,1.486E-02,1.021E-04,0.000E+00,4.883E-07,7.324E-06,1.473E-02,4.458E-02,2.254E+00,1.040E+00,-7.961E-01,2.246E+01,7.924E+00,3.142E+00,8.901E-02,1.197E+00,2.050E+00,2.424E-02,7.182E+00,1.159E+00,-4.706E-01,1.011E+01,5.559E+00,3.142E+00,8.523E-02,1.105E+00,1.841E+00,7.323E-02,4.521E+00,1.109E+00,-9.220E-01,3.328E+01,6.106E+00,3.142E+00,5.979E-02,1.533E+00,2.133E+00,1.279E-02,1.110E+01
86,0.000E+00,0.000E+00,7.955E-03,0.000E+00,0.000E+00,9.766E-07,6.836E-06,8.056E-03,2.399E-02,1.215E+00,1.100E+00,-7.851E-01,1.767E+01,7.383E+00,3.142E+00,8.901E-02,1.063E+00,1.805E+00,2.192E-02,7.596E+00,1.181E+00,-4.607E-01,8.729E+00,5.689E+00,3.142E+00,8.901E-02,9.566E-01,1.630E+00,6.964E-02,4.702E+00,1.140E+00,-9.177E-01,2.980E+01,5.848E+00,3.142E+00,8.901E-02,1.149E+00,1.960E+00,1.070E-02,1.210E+01
87,0.000E+00,0.000E+00,3.980E-03,0.000E+00,0.000E+00,1.855E-05,4.492E-05,4.048E-03,1.208E-02,6.112E-01,7.342E-01,-1.019E+00,6.885E+02,9.428E+00,3.142E+00,-9.273E-02,3.083E+00,1.486E+00,1.571E-02,9.776E+00,1.183E+00,-6.366E-01,1.792E+01,4.654E+00,3.142E+00,8.901E-02,8.864E-01,1.487E+00,7.701E-02,4.360E+00,7.716E-01,-8.899E-01,2.378E+01,2.551E+01,3.142E+00,8.901E-02,1.205E+00,2.041E+00,9.899E-03,1.262E+01
88,0.000E+00,0.000E+00,5.859E-06,0.000E+00,0.000E+00,3.613E-05,8.301E-05,4.102E-05,1.768E-04,7.732E-03,7.121E-01,-1.254E+00,1.359E+03,1.147E+01,3.142E+00,-2.745E-01,5.104E+00,1.166E+00,9.492E-03,1.196E+01,1.293E+00,-8.124E-01,2.711E+01,3.619E+00,3.142E+00,8.901E-02,8.161E-01,1.344E+00,8.438E-02,4.018E+00,7.202E-01,-8.621E-01,1.777E+01,4.517E+01,3.142E+00,8.901E-02,1.260E+00,2.122E+00,9.099E-03,1.315E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.766E-07,0.000E+00,1.953E-06,-3.245E-04,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
