alpha,H,He,Fe,Ti,O,Fe_1,O_1,Ti_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Ti,phiTilt_Ti,phiM_Ti,phiN_Ti,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,energyK_Ti,energyE_Ti
20,0.000E+00,0.000E+00,3.503E-03,1.938E-03,0.000E+00,0.000E+00,0.000E+00,1.606E-03,1.023E-02,5.295E-01,1.758E+00,-9.616E-02,1.674E+00,1.781E+00,3.142E+00,3.648E-03,2.275E+00,2.326E+00,5.927E-02,4.003E+00,1.644E+00,-9.924E-02,2.214E+00,1.953E+00,3.142E+00,-2.864E-03,2.878E+00,2.826E+00,1.025E-01,3.416E+00,1.769E+00,-1.223E-01,1.885E+00,1.661E+00,3.142E+00,-5.298E-03,2.559E+00,2.477E+00,3.945E-02,5.539E+00
21,0.000E+00,0.000E+00,3.609E-03,1.963E-03,0.000E+00,0.000E+00,0.000E+00,1.680E-03,1.052E-02,5.447E-01,1.766E+00,-1.093E-01,1.735E+00,1.747E+00,3.142E+00,3.446E-03,2.287E+00,2.335E+00,5.891E-02,4.020E+00,1.649E+00,-1.044E-01,2.218E+00,1.949E+00,3.142E+00,-2.781E-03,2.870E+00,2.820E+00,1.026E-01,3.413E+00,1.769E+00,-1.527E-01,2.146E+00,1.599E+00,3.142E+00,-4.628E-03,2.539E+00,2.466E+00,3.943E-02,5.541E+00
22,0.000E+00,0.000E+00,3.716E-03,1.987E-03,0.000E+00,0.000E+00,0.000E+00,1.753E-03,1.081E-02,5.599E-01,1.774E+00,-1.225E-01,1.796E+00,1.714E+00,3.142E+00,3.244E-03,2.298E+00,2.344E+00,5.856E-02,4.038E+00,1.653E+00,-1.096E-01,2.223E+00,1.945E+00,3.142E+00,-2.697E-03,2.863E+00,2.814E+00,1.027E-01,3.411E+00,1.775E+00,-1.831E-01,2.408E+00,1.537E+00,3.142E+00,-3.957E-03,2.518E+00,2.456E+00,3.940E-02,5.544E+00
23,0.000E+00,0.000E+00,3.822E-03,2.012E-03,0.000E+00,0.000E+00,0.000E+00,1.827E-03,1.111E-02,5.751E-01,1.782E+00,-1.357E-01,1.857E+00,1.681E+00,3.142E+00,3.042E-03,2.310E+00,2.352E+00,5.820E-02,4.055E+00,1.658E+00,-1.147E-01,2.227E+00,1.941E+00,3.142E+00,-2.613E-03,2.856E+00,2.808E+00,1.028E-01,3.409E+00,1.786E+00,-2.135E-01,2.669E+00,1.475E+00,3.142E+00,-3.287E-03,2.497E+00,2.446E+00,3.938E-02,5.546E+00
24,0.000E+00,0.000E+00,3.875E-03,2.024E-03,0.000E+00,0.000E+00,0.000E+00,1.864E-03,1.125E-02,5.827E-01,1.786E+00,-1.423E-01,1.888E+00,1.664E+00,3.142E+00,2.941E-03,2.315E+00,2.357E+00,5.802E-02,4.064E+00,1.661E+00,-1.173E-01,2.230E+00,1.939E+00,3.142E+00,-2.571E-03,2.852E+00,2.806E+00,1.028E-01,3.408E+00,1.792E+00,-2.287E-01,2.800E+00,1.444E+00,3.142E+00,-2.951E-03,2.487E+00,2.441E+00,3.936E-02,5.547E+00
25,0.000E+00,0.000E+00,3.929E-03,2.036E-03,0.000E+00,0.000E+00,0.000E+00,1.900E-03,1.140E-02,5.903E-01,1.790E+00,-1.489E-01,1.918E+00,1.647E+00,3.142E+00,2.840E-03,2.321E+00,2.361E+00,5.784E-02,4.073E+00,1.663E+00,-1.199E-01,2.232E+00,1.937E+00,3.142E+00,-2.530E-03,2.848E+00,2.803E+00,1.029E-01,3.407E+00,1.800E+00,-2.440E-01,2.930E+00,1.413E+00,3.142E+00,-2.616E-03,2.477E+00,2.436E+00,3.935E-02,5.548E+00
26,0.000E+00,0.000E+00,4.035E-03,2.061E-03,0.000E+00,0.000E+00,0.000E+00,1.974E-03,1.169E-02,6.056E-01,1.800E+00,-1.620E-01,1.979E+00,1.614E+00,3.142E+00,2.637E-03,2.332E+00,2.370E+00,5.749E-02,4.090E+00,1.668E+00,-1.250E-01,2.236E+00,1.934E+00,3.142E+00,-2.446E-03,2.841E+00,2.797E+00,1.030E-01,3.404E+00,1.817E+00,-2.744E-01,3.192E+00,1.350E+00,3.142E+00,-1.946E-03,2.456E+00,2.426E+00,3.932E-02,5.551E+00
27,0.000E+00,0.000E+00,4.142E-03,2.085E-03,0.000E+00,0.000E+00,0.000E+00,2.047E-03,1.198E-02,6.208E-01,1.809E+00,-1.752E-01,2.040E+00,1.581E+00,3.142E+00,2.435E-03,2.344E+00,2.379E+00,5.713E-02,4.107E+00,1.672E+00,-1.302E-01,2.241E+00,1.930E+00,3.142E+00,-2.362E-03,2.834E+00,2.791E+00,1.030E-01,3.402E+00,1.838E+00,-3.048E-01,3.453E+00,1.288E+00,3.142E+00,-1.275E-03,2.436E+00,2.416E+00,3.930E-02,5.553E+00
28,0.000E+00,0.000E+00,4.248E-03,2.109E-03,0.000E+00,0.000E+00,0.000E+00,2.121E-03,1.228E-02,6.360E-01,1.819E+00,-1.884E-01,2.101E+00,1.547E+00,3.142E+00,2.233E-03,2.355E+00,2.388E+00,5.677E-02,4.125E+00,1.677E+00,-1.353E-01,2.245E+00,1.926E+00,3.142E+00,-2.279E-03,2.826E+00,2.785E+00,1.031E-01,3.400E+00,1.861E+00,-3.352E-01,3.714E+00,1.226E+00,3.142E+00,-6.044E-04,2.415E+00,2.406E+00,3.927E-02,5.556E+00
29,0.000E+00,0.000E+00,4.301E-03,2.122E-03,0.000E+00,0.000E+00,0.000E+00,2.158E-03,1.242E-02,6.436E-01,1.824E+00,-1.950E-01,2.132E+00,1.531E+00,3.142E+00,2.132E-03,2.361E+00,2.392E+00,5.660E-02,4.134E+00,1.679E+00,-1.379E-01,2.248E+00,1.924E+00,3.142E+00,-2.237E-03,2.822E+00,2.783E+00,1.032E-01,3.399E+00,1.874E+00,-3.505E-01,3.845E+00,1.195E+00,3.142E+00,-2.691E-04,2.405E+00,2.401E+00,3.926E-02,5.557E+00
30,0.000E+00,0.000E+00,4.354E-03,2.134E-03,0.000E+00,0.000E+00,0.000E+00,2.194E-03,1.257E-02,6.512E-01,1.829E+00,-2.016E-01,2.162E+00,1.514E+00,3.142E+00,2.031E-03,2.367E+00,2.396E+00,5.642E-02,4.142E+00,1.682E+00,-1.405E-01,2.250E+00,1.922E+00,3.142E+00,-2.195E-03,2.819E+00,2.780E+00,1.032E-01,3.398E+00,1.887E+00,-3.657E-01,3.976E+00,1.164E+00,3.142E+00,6.615E-05,2.395E+00,2.395E+00,3.925E-02,5.558E+00
31,0.000E+00,0.000E+00,4.596E-03,2.187E-03,0.000E+00,0.000E+00,4.883E-07,2.381E-03,1.335E-02,6.888E-01,1.825E+00,-2.164E-01,2.223E+00,1.549E+00,3.142E+00,1.138E-03,2.388E+00,2.404E+00,5.648E-02,4.139E+00,1.680E+00,-1.476E-01,2.280E+00,1.944E+00,3.142E+00,-2.215E-03,2.827E+00,2.787E+00,1.030E-01,3.404E+00,1.869E+00,-3.708E-01,3.940E+00,1.243E+00,3.142E+00,-3.839E-04,2.395E+00,2.390E+00,3.868E-02,5.617E+00
32,0.000E+00,0.000E+00,4.717E-03,2.213E-03,0.000E+00,0.000E+00,7.324E-07,2.474E-03,1.374E-02,7.075E-01,1.823E+00,-2.239E-01,2.254E+00,1.566E+00,3.142E+00,6.907E-04,2.399E+00,2.408E+00,5.651E-02,4.137E+00,1.680E+00,-1.512E-01,2.295E+00,1.955E+00,3.142E+00,-2.225E-03,2.831E+00,2.791E+00,1.028E-01,3.408E+00,1.860E+00,-3.734E-01,3.922E+00,1.282E+00,3.142E+00,-6.089E-04,2.396E+00,2.387E+00,3.839E-02,5.647E+00
33,0.000E+00,0.000E+00,4.838E-03,2.240E-03,0.000E+00,0.000E+00,9.766E-07,2.567E-03,1.413E-02,7.263E-01,1.822E+00,-2.313E-01,2.284E+00,1.584E+00,3.142E+00,2.440E-04,2.410E+00,2.412E+00,5.655E-02,4.136E+00,1.679E+00,-1.548E-01,2.310E+00,1.966E+00,3.142E+00,-2.236E-03,2.835E+00,2.795E+00,1.027E-01,3.411E+00,1.852E+00,-3.759E-01,3.905E+00,1.322E+00,3.142E+00,-8.340E-04,2.396E+00,2.384E+00,3.811E-02,5.676E+00
34,0.000E+00,0.000E+00,4.959E-03,2.267E-03,0.000E+00,0.000E+00,1.221E-06,2.661E-03,1.452E-02,7.451E-01,1.820E+00,-2.388E-01,2.315E+00,1.601E+00,3.142E+00,-2.028E-04,2.421E+00,2.416E+00,5.658E-02,4.134E+00,1.678E+00,-1.583E-01,2.325E+00,1.977E+00,3.142E+00,-2.246E-03,2.839E+00,2.799E+00,1.026E-01,3.415E+00,1.843E+00,-3.785E-01,3.887E+00,1.361E+00,3.142E+00,-1.059E-03,2.396E+00,2.381E+00,3.783E-02,5.706E+00
35,0.000E+00,0.000E+00,5.080E-03,2.293E-03,0.000E+00,0.000E+00,1.465E-06,2.754E-03,1.491E-02,7.638E-01,1.818E+00,-2.462E-01,2.345E+00,1.618E+00,3.142E+00,-6.496E-04,2.432E+00,2.420E+00,5.661E-02,4.132E+00,1.677E+00,-1.619E-01,2.340E+00,1.988E+00,3.142E+00,-2.256E-03,2.843E+00,2.802E+00,1.025E-01,3.418E+00,1.836E+00,-3.811E-01,3.869E+00,1.400E+00,3.142E+00,-1.284E-03,2.397E+00,2.378E+00,3.754E-02,5.736E+00
36,0.000E+00,0.000E+00,5.201E-03,2.320E-03,0.000E+00,0.000E+00,1.709E-06,2.847E-03,1.530E-02,7.826E-01,1.816E+00,-2.536E-01,2.376E+00,1.636E+00,3.142E+00,-1.096E-03,2.442E+00,2.424E+00,5.665E-02,4.131E+00,1.677E+00,-1.655E-01,2.355E+00,2.000E+00,3.142E+00,-2.266E-03,2.847E+00,2.806E+00,1.023E-01,3.422E+00,1.828E+00,-3.836E-01,3.851E+00,1.440E+00,3.142E+00,-1.509E-03,2.397E+00,2.375E+00,3.726E-02,5.765E+00
37,0.000E+00,0.000E+00,5.322E-03,2.346E-03,0.000E+00,0.000E+00,1.953E-06,2.940E-03,1.569E-02,8.014E-01,1.814E+00,-2.611E-01,2.406E+00,1.653E+00,3.142E+00,-1.543E-03,2.453E+00,2.428E+00,5.668E-02,4.129E+00,1.676E+00,-1.691E-01,2.370E+00,2.011E+00,3.142E+00,-2.276E-03,2.851E+00,2.810E+00,1.022E-01,3.425E+00,1.821E+00,-3.862E-01,3.834E+00,1.479E+00,3.142E+00,-1.734E-03,2.397E+00,2.372E+00,3.697E-02,5.795E+00
38,0.000E+00,0.000E+00,5.443E-03,2.373E-03,0.000E+00,0.000E+00,2.197E-06,3.034E-03,1.608E-02,8.202E-01,1.813E+00,-2.685E-01,2.436E+00,1.670E+00,3.142E+00,-1.990E-03,2.464E+00,2.432E+00,5.671E-02,4.127E+00,1.675E+00,-1.726E-01,2.386E+00,2.022E+00,3.142E+00,-2.286E-03,2.855E+00,2.814E+00,1.021E-01,3.429E+00,1.813E+00,-3.888E-01,3.816E+00,1.518E+00,3.142E+00,-1.959E-03,2.398E+00,2.369E+00,3.669E-02,5.824E+00
39,0.000E+00,0.000E+00,5.564E-03,2.399E-03,0.000E+00,0.000E+00,2.441E-06,3.127E-03,1.647E-02,8.389E-01,1.811E+00,-2.760E-01,2.467E+00,1.688E+00,3.142E+00,-2.437E-03,2.475E+00,2.436E+00,5.674E-02,4.126E+00,1.674E+00,-1.762E-01,2.401E+00,2.033E+00,3.142E+00,-2.296E-03,2.859E+00,2.818E+00,1.020E-01,3.432E+00,1.807E+00,-3.914E-01,3.798E+00,1.558E+00,3.142E+00,-2.184E-03,2.398E+00,2.366E+00,3.641E-02,5.854E+00
40,0.000E+00,0.000E+00,5.685E-03,2.426E-03,0.000E+00,0.000E+00,2.686E-06,3.220E-03,1.686E-02,8.577E-01,1.809E+00,-2.834E-01,2.497E+00,1.705E+00,3.142E+00,-2.883E-03,2.485E+00,2.440E+00,5.678E-02,4.124E+00,1.674E+00,-1.798E-01,2.416E+00,2.044E+00,3.142E+00,-2.306E-03,2.863E+00,2.821E+00,1.019E-01,3.435E+00,1.800E+00,-3.939E-01,3.780E+00,1.597E+00,3.142E+00,-2.409E-03,2.398E+00,2.363E+00,3.612E-02,5.883E+00
41,0.000E+00,0.000E+00,5.805E-03,2.452E-03,0.000E+00,0.000E+00,2.930E-06,3.313E-03,1.725E-02,8.765E-01,1.808E+00,-2.908E-01,2.528E+00,1.723E+00,3.142E+00,-3.330E-03,2.496E+00,2.444E+00,5.681E-02,4.122E+00,1.673E+00,-1.833E-01,2.431E+00,2.055E+00,3.142E+00,-2.316E-03,2.867E+00,2.825E+00,1.017E-01,3.439E+00,1.794E+00,-3.965E-01,3.763E+00,1.636E+00,3.142E+00,-2.634E-03,2.399E+00,2.361E+00,3.584E-02,5.913E+00
42,0.000E+00,0.000E+00,5.926E-03,2.479E-03,0.000E+00,0.000E+00,3.174E-06,3.407E-03,1.764E-02,8.952E-01,1.806E+00,-2.983E-01,2.558E+00,1.740E+00,3.142E+00,-3.777E-03,2.507E+00,2.448E+00,5.684E-02,4.121E+00,1.672E+00,-1.869E-01,2.446E+00,2.066E+00,3.142E+00,-2.327E-03,2.871E+00,2.829E+00,1.016E-01,3.442E+00,1.787E+00,-3.991E-01,3.745E+00,1.676E+00,3.142E+00,-2.859E-03,2.399E+00,2.358E+00,3.555E-02,5.942E+00
43,0.000E+00,0.000E+00,6.047E-03,2.505E-03,0.000E+00,0.000E+00,3.418E-06,3.500E-03,1.803E-02,9.140E-01,1.804E+00,-3.057E-01,2.589E+00,1.757E+00,3.142E+00,-4.224E-03,2.518E+00,2.452E+00,5.687E-02,4.119E+00,1.672E+00,-1.905E-01,2.461E+00,2.077E+00,3.142E+00,-2.337E-03,2.876E+00,2.833E+00,1.015E-01,3.446E+00,1.781E+00,-4.016E-01,3.727E+00,1.715E+00,3.142E+00,-3.084E-03,2.399E+00,2.355E+00,3.527E-02,5.972E+00
44,0.000E+00,0.000E+00,6.168E-03,2.532E-03,0.000E+00,0.000E+00,3.662E-06,3.593E-03,1.842E-02,9.328E-01,1.803E+00,-3.132E-01,2.619E+00,1.775E+00,3.142E+00,-4.670E-03,2.529E+00,2.456E+00,5.691E-02,4.118E+00,1.671E+00,-1.940E-01,2.476E+00,2.088E+00,3.142E+00,-2.347E-03,2.880E+00,2.837E+00,1.014E-01,3.449E+00,1.775E+00,-4.042E-01,3.709E+00,1.754E+00,3.142E+00,-3.309E-03,2.400E+00,2.352E+00,3.498E-02,6.001E+00
45,0.000E+00,0.000E+00,6.289E-03,2.559E-03,0.000E+00,0.000E+00,3.906E-06,3.687E-03,1.881E-02,9.515E-01,1.801E+00,-3.206E-01,2.650E+00,1.792E+00,3.142E+00,-5.117E-03,2.539E+00,2.460E+00,5.694E-02,4.116E+00,1.670E+00,-1.976E-01,2.491E+00,2.099E+00,3.142E+00,-2.357E-03,2.884E+00,2.840E+00,1.012E-01,3.453E+00,1.770E+00,-4.068E-01,3.692E+00,1.794E+00,3.142E+00,-3.534E-03,2.400E+00,2.349E+00,3.470E-02,6.031E+00
46,0.000E+00,0.000E+00,6.576E-03,2.564E-03,0.000E+00,0.000E+00,5.371E-06,4.011E-03,1.986E-02,9.998E-01,1.796E+00,-3.796E-01,3.434E+00,1.680E+00,3.142E+00,-6.727E-03,2.623E+00,2.514E+00,5.466E-02,4.238E+00,1.669E+00,-2.203E-01,2.668E+00,2.093E+00,3.142E+00,-2.261E-03,2.883E+00,2.842E+00,9.952E-02,3.503E+00,1.777E+00,-4.435E-01,4.259E+00,1.706E+00,3.142E+00,-4.005E-03,2.452E+00,2.393E+00,3.500E-02,5.997E+00
47,0.000E+00,0.000E+00,6.719E-03,2.567E-03,0.000E+00,0.000E+00,6.104E-06,4.173E-03,2.039E-02,1.024E+00,1.801E+00,-4.091E-01,3.826E+00,1.625E+00,3.142E+00,-7.532E-03,2.664E+00,2.541E+00,5.352E-02,4.298E+00,1.669E+00,-2.317E-01,2.757E+00,2.090E+00,3.142E+00,-2.213E-03,2.883E+00,2.842E+00,9.867E-02,3.528E+00,1.783E+00,-4.618E-01,4.543E+00,1.662E+00,3.142E+00,-4.241E-03,2.478E+00,2.414E+00,3.516E-02,5.980E+00
48,0.000E+00,0.000E+00,6.862E-03,2.570E-03,0.000E+00,0.000E+00,6.836E-06,4.335E-03,2.091E-02,1.048E+00,1.809E+00,-4.386E-01,4.218E+00,1.569E+00,3.142E+00,-8.337E-03,2.706E+00,2.569E+00,5.238E-02,4.359E+00,1.669E+00,-2.431E-01,2.846E+00,2.086E+00,3.142E+00,-2.165E-03,2.883E+00,2.843E+00,9.781E-02,3.554E+00,1.791E+00,-4.801E-01,4.827E+00,1.619E+00,3.142E+00,-4.477E-03,2.504E+00,2.436E+00,3.531E-02,5.962E+00
49,0.000E+00,0.000E+00,7.300E-03,2.710E-03,0.000E+00,0.000E+00,6.836E-06,4.567E-03,2.213E-02,1.110E+00,1.776E+00,-5.393E-01,6.740E+00,1.518E+00,3.142E+00,-5.622E-03,2.583E+00,2.493E+00,5.324E-02,4.311E+00,1.662E+00,-2.460E-01,2.827E+00,2.153E+00,3.142E+00,-3.059E-03,2.898E+00,2.842E+00,9.758E-02,3.561E+00,1.771E+00,-5.022E-01,5.157E+00,1.689E+00,3.142E+00,-5.138E-03,2.533E+00,2.454E+00,3.512E-02,5.983E+00
50,0.000E+00,0.000E+00,7.519E-03,2.781E-03,0.000E+00,0.000E+00,6.836E-06,4.684E-03,2.274E-02,1.141E+00,1.778E+00,-5.897E-01,8.001E+00,1.492E+00,3.142E+00,-4.264E-03,2.522E+00,2.455E+00,5.368E-02,4.287E+00,1.659E+00,-2.474E-01,2.817E+00,2.186E+00,3.142E+00,-3.507E-03,2.906E+00,2.841E+00,9.747E-02,3.564E+00,1.762E+00,-5.132E-01,5.322E+00,1.725E+00,3.142E+00,-5.468E-03,2.548E+00,2.463E+00,3.503E-02,5.994E+00
51,0.000E+00,0.000E+00,7.738E-03,2.851E-03,0.000E+00,0.000E+00,6.836E-06,4.800E-03,2.334E-02,1.171E+00,1.787E+00,-6.400E-01,9.262E+00,1.466E+00,3.142E+00,-2.906E-03,2.460E+00,2.417E+00,5.411E-02,4.263E+00,1.656E+00,-2.489E-01,2.808E+00,2.219E+00,3.142E+00,-3.954E-03,2.914E+00,2.841E+00,9.735E-02,3.568E+00,1.754E+00,-5.243E-01,5.486E+00,1.760E+00,3.142E+00,-5.799E-03,2.563E+00,2.472E+00,3.494E-02,6.004E+00
52,0.000E+00,0.000E+00,8.284E-03,2.974E-03,0.000E+00,0.000E+00,1.025E-05,5.214E-03,2.479E-02,1.251E+00,1.777E+00,-6.455E-01,9.060E+00,1.527E+00,3.142E+00,1.366E-04,2.390E+00,2.390E+00,5.319E-02,4.314E+00,1.670E+00,-2.931E-01,3.338E+00,2.038E+00,3.142E+00,-2.758E-03,2.873E+00,2.822E+00,9.677E-02,3.585E+00,1.733E+00,-5.630E-01,6.691E+00,1.754E+00,3.142E+00,-3.253E-03,2.548E+00,2.498E+00,3.420E-02,6.090E+00
53,0.000E+00,0.000E+00,8.557E-03,3.035E-03,0.000E+00,0.000E+00,1.196E-05,5.422E-03,2.551E-02,1.291E+00,1.772E+00,-6.482E-01,8.959E+00,1.558E+00,3.142E+00,1.658E-03,2.354E+00,2.377E+00,5.273E-02,4.340E+00,1.681E+00,-3.151E-01,3.603E+00,1.947E+00,3.142E+00,-2.161E-03,2.852E+00,2.813E+00,9.648E-02,3.594E+00,1.726E+00,-5.824E-01,7.293E+00,1.750E+00,3.142E+00,-1.981E-03,2.541E+00,2.510E+00,3.383E-02,6.133E+00
54,0.000E+00,0.000E+00,8.830E-03,3.097E-03,0.000E+00,0.000E+00,1.367E-05,5.629E-03,2.623E-02,1.331E+00,1.768E+00,-6.509E-01,8.858E+00,1.588E+00,3.142E+00,3.180E-03,2.319E+00,2.364E+00,5.228E-02,4.365E+00,1.695E+00,-3.372E-01,3.867E+00,1.856E+00,3.142E+00,-1.563E-03,2.832E+00,2.804E+00,9.619E-02,3.603E+00,1.721E+00,-6.018E-01,7.896E+00,1.747E+00,3.142E+00,-7.081E-04,2.534E+00,2.523E+00,3.346E-02,6.176E+00
55,0.000E+00,0.000E+00,9.349E-03,3.219E-03,0.000E+00,0.000E+00,1.270E-05,6.008E-03,2.768E-02,1.406E+00,1.748E+00,-6.407E-01,8.610E+00,1.663E+00,3.142E+00,6.072E-05,2.376E+00,2.376E+00,5.193E-02,4.385E+00,1.694E+00,-3.172E-01,3.543E+00,1.913E+00,3.142E+00,-9.717E-04,2.843E+00,2.826E+00,9.675E-02,3.586E+00,1.729E+00,-6.438E-01,9.032E+00,1.702E+00,3.142E+00,-2.599E-03,2.553E+00,2.513E+00,3.352E-02,6.169E+00
56,0.000E+00,0.000E+00,9.608E-03,3.280E-03,0.000E+00,0.000E+00,1.221E-05,6.197E-03,2.840E-02,1.444E+00,1.738E+00,-6.357E-01,8.486E+00,1.700E+00,3.142E+00,-1.499E-03,2.405E+00,2.382E+00,5.176E-02,4.395E+00,1.694E+00,-3.072E-01,3.381E+00,1.942E+00,3.142E+00,-6.760E-04,2.849E+00,2.837E+00,9.703E-02,3.578E+00,1.735E+00,-6.648E-01,9.600E+00,1.679E+00,3.142E+00,-3.544E-03,2.563E+00,2.507E+00,3.355E-02,6.165E+00
57,0.000E+00,0.000E+00,9.867E-03,3.341E-03,0.000E+00,0.000E+00,1.172E-05,6.387E-03,2.912E-02,1.482E+00,1.729E+00,-6.306E-01,8.362E+00,1.737E+00,3.142E+00,-3.058E-03,2.433E+00,2.388E+00,5.159E-02,4.405E+00,1.695E+00,-2.972E-01,3.219E+00,1.970E+00,3.142E+00,-3.804E-04,2.854E+00,2.848E+00,9.730E-02,3.569E+00,1.742E+00,-6.858E-01,1.017E+01,1.657E+00,3.142E+00,-4.489E-03,2.573E+00,2.502E+00,3.359E-02,6.161E+00
58,0.000E+00,0.000E+00,1.049E-02,3.364E-03,0.000E+00,0.000E+00,1.025E-05,7.043E-03,3.120E-02,1.583E+00,1.700E+00,-6.539E-01,9.316E+00,1.818E+00,3.142E+00,-3.109E-03,2.449E+00,2.403E+00,5.116E-02,4.430E+00,1.656E+00,-3.445E-01,4.133E+00,1.992E+00,3.142E+00,-1.720E-03,2.890E+00,2.858E+00,9.722E-02,3.572E+00,1.693E+00,-6.713E-01,9.817E+00,1.847E+00,3.142E+00,-3.215E-03,2.547E+00,2.496E+00,3.247E-02,6.302E+00
59,0.000E+00,0.000E+00,1.080E-02,3.375E-03,0.000E+00,0.000E+00,9.521E-06,7.371E-03,3.224E-02,1.634E+00,1.687E+00,-6.655E-01,9.792E+00,1.858E+00,3.142E+00,-3.135E-03,2.457E+00,2.410E+00,5.095E-02,4.442E+00,1.643E+00,-3.682E-01,4.590E+00,2.003E+00,3.142E+00,-2.390E-03,2.907E+00,2.863E+00,9.717E-02,3.573E+00,1.670E+00,-6.640E-01,9.642E+00,1.941E+00,3.142E+00,-2.577E-03,2.534E+00,2.493E+00,3.191E-02,6.373E+00
60,0.000E+00,0.000E+00,1.111E-02,3.387E-03,0.000E+00,0.000E+00,8.789E-06,7.699E-03,3.328E-02,1.684E+00,1.675E+00,-6.772E-01,1.027E+01,1.898E+00,3.142E+00,-3.160E-03,2.464E+00,2.417E+00,5.074E-02,4.455E+00,1.633E+00,-3.919E-01,5.047E+00,2.014E+00,3.142E+00,-3.060E-03,2.925E+00,2.868E+00,9.713E-02,3.574E+00,1.649E+00,-6.568E-01,9.466E+00,2.036E+00,3.142E+00,-1.940E-03,2.520E+00,2.491E+00,3.135E-02,6.443E+00
61,0.000E+00,0.000E+00,1.187E-02,3.537E-03,0.000E+00,0.000E+00,1.416E-05,8.358E-03,3.568E-02,1.803E+00,1.695E+00,-6.958E-01,1.044E+01,1.843E+00,3.142E+00,-5.488E-03,2.598E+00,2.509E+00,4.908E-02,4.559E+00,1.631E+00,-4.142E-01,5.538E+00,1.978E+00,3.142E+00,-1.935E-03,2.875E+00,2.839E+00,9.531E-02,3.632E+00,1.640E+00,-6.829E-01,1.044E+01,2.054E+00,3.142E+00,-3.385E-03,2.547E+00,2.494E+00,3.087E-02,6.508E+00
62,0.000E+00,0.000E+00,1.225E-02,3.612E-03,0.000E+00,0.000E+00,1.685E-05,8.688E-03,3.688E-02,1.863E+00,1.705E+00,-7.052E-01,1.052E+01,1.816E+00,3.142E+00,-6.652E-03,2.665E+00,2.555E+00,4.825E-02,4.611E+00,1.632E+00,-4.253E-01,5.783E+00,1.959E+00,3.142E+00,-1.372E-03,2.850E+00,2.825E+00,9.440E-02,3.661E+00,1.636E+00,-6.960E-01,1.093E+01,2.063E+00,3.142E+00,-4.108E-03,2.560E+00,2.496E+00,3.063E-02,6.541E+00
63,0.000E+00,0.000E+00,1.263E-02,3.687E-03,0.000E+00,0.000E+00,1.953E-05,9.018E-03,3.808E-02,1.923E+00,1.716E+00,-7.145E-01,1.060E+01,1.789E+00,3.142E+00,-7.816E-03,2.731E+00,2.601E+00,4.743E-02,4.663E+00,1.632E+00,-4.365E-01,6.029E+00,1.941E+00,3.142E+00,-8.091E-04,2.825E+00,2.810E+00,9.348E-02,3.690E+00,1.633E+00,-7.090E-01,1.142E+01,2.072E+00,3.142E+00,-4.831E-03,2.573E+00,2.497E+00,3.039E-02,6.573E+00
64,0.000E+00,0.000E+00,1.370E-02,3.607E-03,0.000E+00,0.000E+00,1.855E-05,1.012E-02,4.120E-02,2.082E+00,1.648E+00,-6.816E-01,9.271E+00,2.131E+00,3.142E+00,-5.889E-03,2.662E+00,2.566E+00,4.769E-02,4.646E+00,1.620E+00,-4.745E-01,7.441E+00,1.880E+00,3.142E+00,2.417E-04,2.792E+00,2.796E+00,9.347E-02,3.691E+00,1.623E+00,-7.017E-01,1.065E+01,2.169E+00,3.142E+00,-4.982E-03,2.614E+00,2.534E+00,2.972E-02,6.669E+00
65,0.000E+00,0.000E+00,1.424E-02,3.568E-03,0.000E+00,0.000E+00,1.807E-05,1.067E-02,4.277E-02,2.161E+00,1.621E+00,-6.651E-01,8.605E+00,2.303E+00,3.142E+00,-4.926E-03,2.628E+00,2.548E+00,4.782E-02,4.637E+00,1.618E+00,-4.935E-01,8.148E+00,1.849E+00,3.142E+00,7.671E-04,2.775E+00,2.789E+00,9.346E-02,3.691E+00,1.619E+00,-6.980E-01,1.026E+01,2.218E+00,3.142E+00,-5.058E-03,2.635E+00,2.553E+00,2.939E-02,6.717E+00
66,0.000E+00,0.000E+00,1.477E-02,3.528E-03,0.000E+00,0.000E+00,1.758E-05,1.122E-02,4.433E-02,2.241E+00,1.600E+00,-6.487E-01,7.939E+00,2.474E+00,3.142E+00,-3.962E-03,2.594E+00,2.531E+00,4.795E-02,4.629E+00,1.618E+00,-5.125E-01,8.854E+00,1.818E+00,3.142E+00,1.293E-03,2.759E+00,2.781E+00,9.345E-02,3.692E+00,1.615E+00,-6.943E-01,9.873E+00,2.267E+00,3.142E+00,-5.134E-03,2.655E+00,2.571E+00,2.905E-02,6.765E+00
