alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
39,0.000E+00,0.000E+00,1.018E-02,0.000E+00,0.000E+00,2.373E-04,2.522E-04,5.027E-03,2.017E-02,7.219E-01,1.699E+00,-3.730E-01,4.434E+00,1.789E+00,3.142E+00,-2.844E-03,2.642E+00,2.595E+00,2.076E-01,1.775E+00,1.698E+00,-3.573E-01,3.977E+00,1.877E+00,3.142E+00,-1.899E-03,2.691E+00,2.659E+00,1.035E-01,3.390E+00,1.755E+00,-5.280E-01,6.614E+00,1.587E+00,3.142E+00,-1.281E-03,2.439E+00,2.420E+00,4.855E-02,5.552E+00
40,0.000E+00,0.000E+00,1.047E-02,0.000E+00,0.000E+00,2.598E-04,2.748E-04,5.157E-03,2.074E-02,7.425E-01,1.696E+00,-3.731E-01,4.419E+00,1.807E+00,3.142E+00,-3.069E-03,2.649E+00,2.599E+00,2.066E-01,1.782E+00,1.696E+00,-3.582E-01,3.973E+00,1.895E+00,3.142E+00,-2.158E-03,2.698E+00,2.661E+00,1.034E-01,3.393E+00,1.760E+00,-5.443E-01,6.933E+00,1.565E+00,3.142E+00,-1.409E-03,2.447E+00,2.426E+00,4.849E-02,5.557E+00
41,0.000E+00,0.000E+00,1.076E-02,0.000E+00,0.000E+00,2.822E-04,2.974E-04,5.286E-03,2.131E-02,7.631E-01,1.693E+00,-3.732E-01,4.404E+00,1.825E+00,3.142E+00,-3.295E-03,2.657E+00,2.602E+00,2.055E-01,1.790E+00,1.693E+00,-3.592E-01,3.970E+00,1.912E+00,3.142E+00,-2.417E-03,2.705E+00,2.664E+00,1.033E-01,3.395E+00,1.767E+00,-5.607E-01,7.252E+00,1.543E+00,3.142E+00,-1.536E-03,2.455E+00,2.432E+00,4.843E-02,5.562E+00
42,0.000E+00,0.000E+00,1.105E-02,0.000E+00,0.000E+00,3.047E-04,3.199E-04,5.415E-03,2.187E-02,7.837E-01,1.690E+00,-3.734E-01,4.389E+00,1.843E+00,3.142E+00,-3.520E-03,2.664E+00,2.606E+00,2.045E-01,1.797E+00,1.691E+00,-3.601E-01,3.967E+00,1.930E+00,3.142E+00,-2.676E-03,2.712E+00,2.666E+00,1.032E-01,3.397E+00,1.774E+00,-5.770E-01,7.572E+00,1.521E+00,3.142E+00,-1.664E-03,2.463E+00,2.438E+00,4.838E-02,5.567E+00
43,0.000E+00,0.000E+00,1.133E-02,0.000E+00,0.000E+00,3.271E-04,3.425E-04,5.544E-03,2.244E-02,8.043E-01,1.688E+00,-3.735E-01,4.374E+00,1.861E+00,3.142E+00,-3.745E-03,2.671E+00,2.609E+00,2.035E-01,1.804E+00,1.688E+00,-3.610E-01,3.964E+00,1.948E+00,3.142E+00,-2.935E-03,2.718E+00,2.668E+00,1.031E-01,3.400E+00,1.782E+00,-5.933E-01,7.891E+00,1.499E+00,3.142E+00,-1.792E-03,2.471E+00,2.444E+00,4.832E-02,5.572E+00
44,0.000E+00,0.000E+00,1.162E-02,0.000E+00,0.000E+00,3.496E-04,3.651E-04,5.674E-03,2.300E-02,8.249E-01,1.685E+00,-3.736E-01,4.359E+00,1.879E+00,3.142E+00,-3.970E-03,2.678E+00,2.613E+00,2.025E-01,1.812E+00,1.686E+00,-3.620E-01,3.961E+00,1.965E+00,3.142E+00,-3.194E-03,2.725E+00,2.671E+00,1.030E-01,3.402E+00,1.790E+00,-6.096E-01,8.210E+00,1.477E+00,3.142E+00,-1.919E-03,2.479E+00,2.450E+00,4.826E-02,5.577E+00
45,0.000E+00,0.000E+00,1.191E-02,0.000E+00,0.000E+00,3.721E-04,3.877E-04,5.803E-03,2.357E-02,8.455E-01,1.682E+00,-3.737E-01,4.345E+00,1.897E+00,3.142E+00,-4.195E-03,2.686E+00,2.616E+00,2.015E-01,1.819E+00,1.683E+00,-3.629E-01,3.958E+00,1.983E+00,3.142E+00,-3.453E-03,2.732E+00,2.673E+00,1.029E-01,3.405E+00,1.799E+00,-6.259E-01,8.529E+00,1.455E+00,3.142E+00,-2.047E-03,2.487E+00,2.456E+00,4.820E-02,5.582E+00
46,0.000E+00,0.000E+00,1.266E-02,0.000E+00,0.000E+00,2.607E-04,2.944E-04,6.228E-03,2.481E-02,8.910E-01,1.696E+00,-3.565E-01,3.920E+00,1.904E+00,3.142E+00,-2.520E-03,2.657E+00,2.615E+00,2.049E-01,1.793E+00,1.670E+00,-3.664E-01,4.035E+00,2.042E+00,3.142E+00,-2.610E-03,2.710E+00,2.666E+00,1.032E-01,3.398E+00,1.770E+00,-6.202E-01,8.016E+00,1.591E+00,3.142E+00,-2.522E-03,2.510E+00,2.471E+00,4.941E-02,5.482E+00
47,0.000E+00,0.000E+00,1.304E-02,0.000E+00,0.000E+00,2.051E-04,2.478E-04,6.441E-03,2.544E-02,9.138E-01,1.705E+00,-3.479E-01,3.707E+00,1.908E+00,3.142E+00,-1.682E-03,2.643E+00,2.615E+00,2.067E-01,1.780E+00,1.663E+00,-3.682E-01,4.074E+00,2.071E+00,3.142E+00,-2.188E-03,2.700E+00,2.663E+00,1.033E-01,3.395E+00,1.757E+00,-6.173E-01,7.759E+00,1.658E+00,3.142E+00,-2.759E-03,2.521E+00,2.478E+00,5.002E-02,5.432E+00
48,0.000E+00,0.000E+00,1.342E-02,0.000E+00,0.000E+00,1.494E-04,2.012E-04,6.653E-03,2.606E-02,9.365E-01,1.714E+00,-3.393E-01,3.495E+00,1.912E+00,3.142E+00,-8.442E-04,2.629E+00,2.615E+00,2.084E-01,1.767E+00,1.656E+00,-3.700E-01,4.112E+00,2.101E+00,3.142E+00,-1.767E-03,2.689E+00,2.659E+00,1.034E-01,3.391E+00,1.745E+00,-6.145E-01,7.502E+00,1.726E+00,3.142E+00,-2.996E-03,2.532E+00,2.486E+00,5.063E-02,5.382E+00
49,0.000E+00,0.000E+00,1.396E-02,0.000E+00,0.000E+00,4.272E-04,4.658E-04,7.070E-03,2.763E-02,9.979E-01,1.702E+00,-3.431E-01,3.634E+00,1.932E+00,3.142E+00,-1.990E-03,2.691E+00,2.657E+00,2.043E-01,1.798E+00,1.661E+00,-3.825E-01,4.215E+00,2.084E+00,3.142E+00,-2.024E-03,2.712E+00,2.678E+00,1.010E-01,3.460E+00,1.750E+00,-6.717E-01,9.721E+00,1.629E+00,3.142E+00,-6.539E-04,2.529E+00,2.519E+00,4.857E-02,5.556E+00
50,0.000E+00,0.000E+00,1.423E-02,0.000E+00,0.000E+00,5.662E-04,5.981E-04,7.279E-03,2.841E-02,1.029E+00,1.696E+00,-3.450E-01,3.703E+00,1.942E+00,3.142E+00,-2.563E-03,2.722E+00,2.678E+00,2.022E-01,1.813E+00,1.664E+00,-3.888E-01,4.266E+00,2.075E+00,3.142E+00,-2.152E-03,2.724E+00,2.687E+00,9.985E-02,3.494E+00,1.759E+00,-7.003E-01,1.083E+01,1.581E+00,3.142E+00,5.174E-04,2.527E+00,2.536E+00,4.754E-02,5.644E+00
51,0.000E+00,0.000E+00,1.451E-02,0.000E+00,0.000E+00,7.051E-04,7.305E-04,7.487E-03,2.920E-02,1.059E+00,1.691E+00,-3.470E-01,3.773E+00,1.952E+00,3.142E+00,-3.137E-03,2.753E+00,2.699E+00,2.002E-01,1.829E+00,1.667E+00,-3.951E-01,4.317E+00,2.066E+00,3.142E+00,-2.281E-03,2.736E+00,2.697E+00,9.866E-02,3.528E+00,1.771E+00,-7.290E-01,1.194E+01,1.532E+00,3.142E+00,1.689E-03,2.526E+00,2.552E+00,4.651E-02,5.731E+00
52,0.000E+00,0.000E+00,1.553E-02,0.000E+00,0.000E+00,6.562E-04,7.075E-04,8.036E-03,3.133E-02,1.132E+00,1.683E+00,-3.898E-01,4.581E+00,1.880E+00,3.142E+00,-1.659E-03,2.640E+00,2.612E+00,2.031E-01,1.807E+00,1.656E+00,-4.133E-01,4.706E+00,2.070E+00,3.142E+00,-1.990E-05,2.677E+00,2.676E+00,9.956E-02,3.502E+00,1.722E+00,-7.125E-01,1.147E+01,1.698E+00,3.142E+00,-1.765E-03,2.491E+00,2.466E+00,4.672E-02,5.712E+00
53,0.000E+00,0.000E+00,1.604E-02,0.000E+00,0.000E+00,6.318E-04,6.960E-04,8.310E-03,3.240E-02,1.169E+00,1.684E+00,-4.112E-01,4.984E+00,1.844E+00,3.142E+00,-9.197E-04,2.584E+00,2.568E+00,2.046E-01,1.795E+00,1.651E+00,-4.223E-01,4.901E+00,2.072E+00,3.142E+00,1.110E-03,2.647E+00,2.665E+00,1.000E-01,3.489E+00,1.700E+00,-7.042E-01,1.124E+01,1.781E+00,3.142E+00,-3.492E-03,2.474E+00,2.423E+00,4.682E-02,5.703E+00
54,0.000E+00,0.000E+00,1.655E-02,0.000E+00,0.000E+00,6.074E-04,6.846E-04,8.584E-03,3.346E-02,1.205E+00,1.686E+00,-4.326E-01,5.388E+00,1.807E+00,3.142E+00,-1.807E-04,2.528E+00,2.525E+00,2.060E-01,1.784E+00,1.647E+00,-4.314E-01,5.096E+00,2.073E+00,3.142E+00,2.241E-03,2.618E+00,2.655E+00,1.004E-01,3.475E+00,1.680E+00,-6.960E-01,1.100E+01,1.864E+00,3.142E+00,-5.219E-03,2.456E+00,2.379E+00,4.692E-02,5.694E+00
55,0.000E+00,0.000E+00,1.742E-02,0.000E+00,0.000E+00,8.506E-04,8.569E-04,9.098E-03,3.534E-02,1.280E+00,1.639E+00,-4.127E-01,5.130E+00,2.035E+00,3.142E+00,1.158E-04,2.571E+00,2.573E+00,2.039E-01,1.800E+00,1.650E+00,-4.504E-01,5.589E+00,2.002E+00,3.142E+00,1.573E-03,2.599E+00,2.624E+00,9.941E-02,3.506E+00,1.673E+00,-6.930E-01,1.108E+01,1.877E+00,3.142E+00,-5.215E-03,2.539E+00,2.459E+00,4.619E-02,5.761E+00
56,0.000E+00,0.000E+00,1.786E-02,0.000E+00,0.000E+00,9.722E-04,9.431E-04,9.354E-03,3.629E-02,1.317E+00,1.618E+00,-4.028E-01,5.001E+00,2.149E+00,3.142E+00,2.641E-04,2.592E+00,2.597E+00,2.029E-01,1.808E+00,1.652E+00,-4.598E-01,5.836E+00,1.966E+00,3.142E+00,1.238E-03,2.589E+00,2.609E+00,9.889E-02,3.521E+00,1.670E+00,-6.915E-01,1.112E+01,1.883E+00,3.142E+00,-5.213E-03,2.580E+00,2.498E+00,4.583E-02,5.794E+00
57,0.000E+00,0.000E+00,1.830E-02,0.000E+00,0.000E+00,1.094E-03,1.029E-03,9.611E-03,3.723E-02,1.354E+00,1.599E+00,-3.929E-01,4.872E+00,2.262E+00,3.142E+00,4.124E-04,2.614E+00,2.620E+00,2.018E-01,1.816E+00,1.655E+00,-4.693E-01,6.082E+00,1.930E+00,3.142E+00,9.043E-04,2.579E+00,2.594E+00,9.837E-02,3.537E+00,1.667E+00,-6.900E-01,1.116E+01,1.889E+00,3.142E+00,-5.211E-03,2.621E+00,2.538E+00,4.547E-02,5.827E+00
58,0.000E+00,0.000E+00,1.907E-02,0.000E+00,0.000E+00,1.700E-03,1.563E-03,1.033E-02,3.965E-02,1.455E+00,1.604E+00,-4.109E-01,5.189E+00,2.208E+00,3.142E+00,1.518E-03,2.631E+00,2.656E+00,2.006E-01,1.826E+00,1.641E+00,-4.700E-01,6.248E+00,1.971E+00,3.142E+00,1.996E-03,2.559E+00,2.590E+00,9.805E-02,3.546E+00,1.658E+00,-6.872E-01,1.078E+01,1.952E+00,3.142E+00,-4.792E-03,2.597E+00,2.521E+00,4.503E-02,5.869E+00
59,0.000E+00,0.000E+00,1.946E-02,0.000E+00,0.000E+00,2.003E-03,1.829E-03,1.069E-02,4.087E-02,1.505E+00,1.607E+00,-4.200E-01,5.347E+00,2.181E+00,3.142E+00,2.071E-03,2.639E+00,2.674E+00,2.000E-01,1.831E+00,1.634E+00,-4.703E-01,6.331E+00,1.992E+00,3.142E+00,2.541E-03,2.548E+00,2.589E+00,9.790E-02,3.551E+00,1.654E+00,-6.859E-01,1.059E+01,1.983E+00,3.142E+00,-4.582E-03,2.585E+00,2.513E+00,4.481E-02,5.890E+00
60,0.000E+00,0.000E+00,1.984E-02,0.000E+00,0.000E+00,2.307E-03,2.096E-03,1.104E-02,4.208E-02,1.555E+00,1.611E+00,-4.290E-01,5.506E+00,2.154E+00,3.142E+00,2.624E-03,2.648E+00,2.692E+00,1.994E-01,1.835E+00,1.627E+00,-4.706E-01,6.414E+00,2.012E+00,3.142E+00,3.087E-03,2.538E+00,2.587E+00,9.774E-02,3.556E+00,1.650E+00,-6.845E-01,1.040E+01,2.015E+00,3.142E+00,-4.372E-03,2.573E+00,2.504E+00,4.460E-02,5.910E+00
61,0.000E+00,0.000E+00,2.096E-02,0.000E+00,0.000E+00,3.000E-03,2.637E-03,1.195E-02,4.511E-02,1.682E+00,1.591E+00,-4.564E-01,6.512E+00,2.127E+00,3.142E+00,1.654E-03,2.658E+00,2.685E+00,1.970E-01,1.854E+00,1.607E+00,-4.837E-01,7.022E+00,2.042E+00,3.142E+00,2.014E-03,2.592E+00,2.624E+00,9.658E-02,3.592E+00,1.644E+00,-7.037E-01,1.098E+01,2.044E+00,3.142E+00,-4.994E-03,2.577E+00,2.499E+00,4.515E-02,5.858E+00
62,0.000E+00,0.000E+00,2.152E-02,0.000E+00,0.000E+00,3.347E-03,2.907E-03,1.240E-02,4.663E-02,1.746E+00,1.585E+00,-4.700E-01,7.015E+00,2.113E+00,3.142E+00,1.170E-03,2.663E+00,2.682E+00,1.959E-01,1.863E+00,1.599E+00,-4.903E-01,7.326E+00,2.057E+00,3.142E+00,1.478E-03,2.619E+00,2.643E+00,9.599E-02,3.610E+00,1.641E+00,-7.133E-01,1.127E+01,2.058E+00,3.142E+00,-5.305E-03,2.580E+00,2.497E+00,4.543E-02,5.832E+00
63,0.000E+00,0.000E+00,2.207E-02,0.000E+00,0.000E+00,3.694E-03,3.178E-03,1.286E-02,4.814E-02,1.809E+00,1.580E+00,-4.837E-01,7.519E+00,2.100E+00,3.142E+00,6.848E-04,2.668E+00,2.679E+00,1.947E-01,1.873E+00,1.590E+00,-4.969E-01,7.630E+00,2.071E+00,3.142E+00,9.411E-04,2.645E+00,2.661E+00,9.541E-02,3.628E+00,1.638E+00,-7.229E-01,1.156E+01,2.073E+00,3.142E+00,-5.616E-03,2.582E+00,2.494E+00,4.570E-02,5.805E+00
64,0.000E+00,0.000E+00,2.295E-02,0.000E+00,0.000E+00,4.813E-03,4.150E-03,1.372E-02,5.105E-02,1.944E+00,1.552E+00,-5.513E-01,1.165E+01,1.959E+00,3.142E+00,5.420E-04,2.664E+00,2.673E+00,1.914E-01,1.901E+00,1.578E+00,-5.090E-01,8.171E+00,2.095E+00,3.142E+00,3.305E-04,2.649E+00,2.654E+00,9.622E-02,3.603E+00,1.599E+00,-7.256E-01,1.212E+01,2.228E+00,3.142E+00,-4.761E-03,2.549E+00,2.475E+00,4.459E-02,5.913E+00
65,0.000E+00,0.000E+00,2.338E-02,0.000E+00,0.000E+00,5.373E-03,4.637E-03,1.416E-02,5.251E-02,2.011E+00,1.556E+00,-5.851E-01,1.372E+01,1.889E+00,3.142E+00,4.706E-04,2.662E+00,2.670E+00,1.898E-01,1.915E+00,1.572E+00,-5.151E-01,8.442E+00,2.107E+00,3.142E+00,2.521E-05,2.651E+00,2.651E+00,9.663E-02,3.590E+00,1.580E+00,-7.269E-01,1.241E+01,2.306E+00,3.142E+00,-4.334E-03,2.533E+00,2.466E+00,4.404E-02,5.967E+00
66,0.000E+00,0.000E+00,2.382E-02,0.000E+00,0.000E+00,5.933E-03,5.123E-03,1.459E-02,5.396E-02,2.079E+00,1.566E+00,-6.189E-01,1.578E+01,1.819E+00,3.142E+00,3.992E-04,2.660E+00,2.667E+00,1.881E-01,1.929E+00,1.566E+00,-5.212E-01,8.712E+00,2.119E+00,3.142E+00,-2.801E-04,2.652E+00,2.648E+00,9.704E-02,3.577E+00,1.562E+00,-7.283E-01,1.269E+01,2.384E+00,3.142E+00,-3.906E-03,2.516E+00,2.456E+00,4.348E-02,6.021E+00
67,0.000E+00,0.000E+00,2.592E-02,0.000E+00,0.000E+00,6.432E-03,5.634E-03,1.594E-02,5.829E-02,2.257E+00,1.524E+00,-6.204E-01,1.750E+01,1.918E+00,3.142E+00,-1.360E-04,2.666E+00,2.663E+00,1.904E-01,1.909E+00,1.545E+00,-5.764E-01,1.237E+01,2.013E+00,3.142E+00,1.327E-03,2.596E+00,2.617E+00,9.681E-02,3.584E+00,1.523E+00,-7.472E-01,1.552E+01,2.444E+00,3.142E+00,-3.500E-03,2.512E+00,2.458E+00,4.306E-02,6.064E+00
68,0.000E+00,0.000E+00,2.697E-02,0.000E+00,0.000E+00,6.682E-03,5.890E-03,1.661E-02,6.045E-02,2.345E+00,1.505E+00,-6.212E-01,1.835E+01,1.967E+00,3.142E+00,-4.036E-04,2.669E+00,2.662E+00,1.915E-01,1.900E+00,1.546E+00,-6.040E-01,1.419E+01,1.960E+00,3.142E+00,2.131E-03,2.568E+00,2.602E+00,9.669E-02,3.588E+00,1.506E+00,-7.566E-01,1.693E+01,2.474E+00,3.142E+00,-3.297E-03,2.509E+00,2.459E+00,4.285E-02,6.086E+00
69,0.000E+00,0.000E+00,2.802E-02,0.000E+00,0.000E+00,6.932E-03,6.146E-03,1.729E-02,6.262E-02,2.434E+00,1.486E+00,-6.219E-01,1.921E+01,2.016E+00,3.142E+00,-6.712E-04,2.671E+00,2.660E+00,1.927E-01,1.890E+00,1.552E+00,-6.316E-01,1.602E+01,1.907E+00,3.142E+00,2.934E-03,2.539E+00,2.586E+00,9.658E-02,3.592E+00,1.491E+00,-7.660E-01,1.834E+01,2.504E+00,3.142E+00,-3.094E-03,2.507E+00,2.459E+00,4.264E-02,6.107E+00
70,0.000E+00,0.000E+00,2.938E-02,0.000E+00,0.000E+00,8.571E-03,7.510E-03,1.883E-02,6.756E-02,2.652E+00,1.468E+00,-6.145E-01,1.883E+01,2.101E+00,3.142E+00,5.129E-04,2.557E+00,2.564E+00,1.894E-01,1.918E+00,1.501E+00,-6.063E-01,1.496E+01,2.136E+00,3.142E+00,1.623E-03,2.552E+00,2.578E+00,9.645E-02,3.595E+00,1.477E+00,-7.963E-01,2.375E+01,2.421E+00,3.142E+00,1.978E-03,2.430E+00,2.459E+00,4.235E-02,6.137E+00
71,0.000E+00,0.000E+00,3.006E-02,0.000E+00,0.000E+00,9.391E-03,8.192E-03,1.960E-02,7.002E-02,2.761E+00,1.459E+00,-6.108E-01,1.865E+01,2.144E+00,3.142E+00,1.105E-03,2.500E+00,2.516E+00,1.878E-01,1.932E+00,1.478E+00,-5.937E-01,1.443E+01,2.251E+00,3.142E+00,9.677E-04,2.559E+00,2.574E+00,9.639E-02,3.597E+00,1.475E+00,-8.114E-01,2.645E+01,2.379E+00,3.142E+00,4.514E-03,2.392E+00,2.459E+00,4.221E-02,6.152E+00
72,0.000E+00,0.000E+00,3.074E-02,0.000E+00,0.000E+00,1.021E-02,8.874E-03,2.037E-02,7.249E-02,2.869E+00,1.450E+00,-6.071E-01,1.846E+01,2.186E+00,3.142E+00,1.697E-03,2.442E+00,2.468E+00,1.861E-01,1.946E+00,1.457E+00,-5.811E-01,1.390E+01,2.366E+00,3.142E+00,3.122E-04,2.565E+00,2.570E+00,9.633E-02,3.599E+00,1.476E+00,-8.265E-01,2.916E+01,2.338E+00,3.142E+00,7.050E-03,2.354E+00,2.459E+00,4.207E-02,6.167E+00
73,0.000E+00,0.000E+00,3.150E-02,0.000E+00,0.000E+00,1.187E-02,1.025E-02,2.155E-02,7.591E-02,3.038E+00,1.426E+00,-5.725E-01,1.604E+01,2.344E+00,3.142E+00,1.518E-03,2.479E+00,2.503E+00,1.853E-01,1.954E+00,1.446E+00,-5.801E-01,1.417E+01,2.410E+00,3.142E+00,2.342E-03,2.517E+00,2.554E+00,9.611E-02,3.606E+00,1.437E+00,-8.142E-01,2.729E+01,2.573E+00,3.142E+00,4.767E-03,2.394E+00,2.465E+00,4.101E-02,6.285E+00
74,0.000E+00,0.000E+00,3.227E-02,0.000E+00,0.000E+00,1.353E-02,1.163E-02,2.272E-02,7.934E-02,3.206E+00,1.411E+00,-5.379E-01,1.363E+01,2.502E+00,3.142E+00,1.340E-03,2.516E+00,2.537E+00,1.845E-01,1.961E+00,1.434E+00,-5.792E-01,1.443E+01,2.454E+00,3.142E+00,4.372E-03,2.470E+00,2.538E+00,9.590E-02,3.613E+00,1.404E+00,-8.019E-01,2.542E+01,2.807E+00,3.142E+00,2.484E-03,2.435E+00,2.472E+00,3.995E-02,6.403E+00
