alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
75,0.000E+00,0.000E+00,3.289E-02,0.000E+00,0.000E+00,1.550E-02,1.321E-02,2.406E-02,8.294E-02,3.390E+00,1.360E+00,-5.425E-01,1.480E+01,2.755E+00,3.142E+00,2.057E-03,2.506E+00,2.538E+00,1.775E-01,2.029E+00,1.405E+00,-5.651E-01,1.398E+01,2.620E+00,3.142E+00,5.664E-03,2.406E+00,2.491E+00,9.573E-02,3.618E+00,1.387E+00,-7.994E-01,2.653E+01,2.865E+00,3.142E+00,5.744E-03,2.337E+00,2.419E+00,3.985E-02,6.413E+00
76,0.000E+00,0.000E+00,3.352E-02,0.000E+00,0.000E+00,1.747E-02,1.479E-02,2.540E-02,8.654E-02,3.574E+00,1.314E+00,-5.471E-01,1.597E+01,3.008E+00,3.142E+00,2.775E-03,2.496E+00,2.539E+00,1.705E-01,2.097E+00,1.380E+00,-5.511E-01,1.352E+01,2.786E+00,3.142E+00,6.956E-03,2.343E+00,2.445E+00,9.556E-02,3.623E+00,1.370E+00,-7.970E-01,2.765E+01,2.922E+00,3.142E+00,9.004E-03,2.239E+00,2.366E+00,3.976E-02,6.424E+00
77,0.000E+00,0.000E+00,3.523E-02,0.000E+00,0.000E+00,1.847E-02,1.576E-02,2.680E-02,9.090E-02,3.764E+00,1.293E+00,-5.292E-01,1.474E+01,3.224E+00,3.142E+00,2.612E-03,2.434E+00,2.473E+00,1.703E-01,2.099E+00,1.354E+00,-5.391E-01,1.333E+01,2.943E+00,3.142E+00,6.057E-03,2.309E+00,2.396E+00,9.348E-02,3.692E+00,1.326E+00,-7.753E-01,2.557E+01,3.258E+00,3.142E+00,1.294E-02,2.175E+00,2.352E+00,3.947E-02,6.458E+00
78,0.000E+00,0.000E+00,3.695E-02,0.000E+00,0.000E+00,1.946E-02,1.672E-02,2.821E-02,9.526E-02,3.954E+00,1.277E+00,-5.112E-01,1.351E+01,3.441E+00,3.142E+00,2.450E-03,2.372E+00,2.408E+00,1.701E-01,2.101E+00,1.330E+00,-5.272E-01,1.314E+01,3.101E+00,3.142E+00,5.159E-03,2.275E+00,2.348E+00,9.139E-02,3.761E+00,1.290E+00,-7.535E-01,2.350E+01,3.594E+00,3.142E+00,1.687E-02,2.112E+00,2.338E+00,3.919E-02,6.492E+00
79,0.000E+00,0.000E+00,3.568E-02,0.000E+00,0.000E+00,2.280E-02,1.920E-02,2.919E-02,9.692E-02,4.099E+00,1.231E+00,-5.050E-01,1.378E+01,3.830E+00,3.142E+00,9.561E-03,2.233E+00,2.363E+00,1.664E-01,2.142E+00,1.301E+00,-5.250E-01,1.293E+01,3.379E+00,3.142E+00,6.428E-03,2.235E+00,2.324E+00,9.145E-02,3.758E+00,1.241E+00,-7.441E-01,2.302E+01,4.065E+00,3.142E+00,1.544E-02,2.162E+00,2.374E+00,3.822E-02,6.611E+00
80,0.000E+00,0.000E+00,3.441E-02,0.000E+00,0.000E+00,2.613E-02,2.168E-02,3.018E-02,9.858E-02,4.243E+00,1.190E+00,-4.988E-01,1.406E+01,4.218E+00,3.142E+00,1.667E-02,2.095E+00,2.317E+00,1.627E-01,2.182E+00,1.275E+00,-5.228E-01,1.271E+01,3.657E+00,3.142E+00,7.697E-03,2.195E+00,2.299E+00,9.152E-02,3.756E+00,1.199E+00,-7.347E-01,2.255E+01,4.535E+00,3.142E+00,1.400E-02,2.212E+00,2.410E+00,3.726E-02,6.731E+00
81,0.000E+00,0.000E+00,3.274E-02,0.000E+00,0.000E+00,2.820E-02,2.339E-02,3.040E-02,9.780E-02,4.274E+00,1.136E+00,-4.814E-01,1.321E+01,5.046E+00,3.142E+00,2.001E-02,2.010E+00,2.267E+00,1.586E-01,2.230E+00,1.218E+00,-5.098E-01,1.269E+01,4.222E+00,3.142E+00,1.483E-02,2.044E+00,2.229E+00,8.947E-02,3.829E+00,1.147E+00,-7.250E-01,2.215E+01,5.223E+00,3.142E+00,2.309E-02,2.014E+00,2.306E+00,3.753E-02,6.696E+00
82,0.000E+00,0.000E+00,3.108E-02,0.000E+00,0.000E+00,3.026E-02,2.510E-02,3.062E-02,9.703E-02,4.304E+00,1.094E+00,-4.641E-01,1.235E+01,5.873E+00,3.142E+00,2.335E-02,1.925E+00,2.216E+00,1.545E-01,2.279E+00,1.170E+00,-4.968E-01,1.267E+01,4.788E+00,3.142E+00,2.197E-02,1.893E+00,2.159E+00,8.742E-02,3.902E+00,1.104E+00,-7.153E-01,2.175E+01,5.910E+00,3.142E+00,3.217E-02,1.816E+00,2.201E+00,3.780E-02,6.662E+00
83,0.000E+00,0.000E+00,2.649E-02,0.000E+00,0.000E+00,3.036E-02,2.514E-02,2.837E-02,8.798E-02,3.988E+00,1.048E+00,-4.496E-01,1.184E+01,6.953E+00,3.142E+00,5.618E-02,1.542E+00,2.099E+00,1.452E-01,2.408E+00,1.121E+00,-4.860E-01,1.201E+01,5.707E+00,3.142E+00,5.549E-02,1.530E+00,2.078E+00,8.462E-02,4.011E+00,1.046E+00,-7.005E-01,2.003E+01,7.315E+00,3.142E+00,6.059E-02,1.491E+00,2.095E+00,3.361E-02,7.305E+00
84,0.000E+00,0.000E+00,2.190E-02,0.000E+00,0.000E+00,3.046E-02,2.518E-02,2.613E-02,7.892E-02,3.671E+00,1.012E+00,-4.351E-01,1.133E+01,8.032E+00,3.142E+00,8.901E-02,1.158E+00,1.982E+00,1.359E-01,2.538E+00,1.084E+00,-4.753E-01,1.134E+01,6.627E+00,3.142E+00,8.901E-02,1.166E+00,1.997E+00,8.181E-02,4.121E+00,1.005E+00,-6.858E-01,1.832E+01,8.719E+00,3.142E+00,8.901E-02,1.166E+00,1.988E+00,2.941E-02,7.948E+00
85,0.000E+00,0.000E+00,1.532E-02,0.000E+00,0.000E+00,2.279E-02,1.874E-02,1.896E-02,5.696E-02,2.670E+00,1.026E+00,-4.256E-01,9.932E+00,8.379E+00,3.142E+00,8.901E-02,1.162E+00,1.985E+00,1.266E-01,2.702E+00,1.077E+00,-4.495E-01,9.747E+00,7.344E+00,3.142E+00,8.901E-02,1.166E+00,1.993E+00,7.605E-02,4.394E+00,1.020E+00,-6.827E-01,1.640E+01,8.889E+00,3.142E+00,8.901E-02,1.078E+00,1.833E+00,2.672E-02,8.536E+00
86,0.000E+00,0.000E+00,8.736E-03,0.000E+00,0.000E+00,1.511E-02,1.230E-02,1.180E-02,3.500E-02,1.668E+00,1.047E+00,-4.162E-01,8.532E+00,8.725E+00,3.142E+00,8.901E-02,1.166E+00,1.988E+00,1.173E-01,2.866E+00,1.082E+00,-4.238E-01,8.150E+00,8.062E+00,3.142E+00,8.901E-02,1.166E+00,1.988E+00,7.030E-02,4.666E+00,1.038E+00,-6.795E-01,1.447E+01,9.060E+00,3.142E+00,8.901E-02,9.898E-01,1.677E+00,2.402E-02,9.123E+00
87,0.000E+00,0.000E+00,4.375E-03,0.000E+00,0.000E+00,7.676E-03,6.244E-03,5.935E-03,1.761E-02,8.415E-01,1.061E+00,-5.135E-01,9.124E+00,9.339E+00,3.142E+00,-2.951E-01,1.088E+01,1.279E+00,9.439E-02,3.567E+00,1.133E+00,-5.259E-01,8.801E+00,7.500E+00,3.142E+00,-2.951E-01,1.088E+01,1.279E+00,6.521E-02,4.979E+00,9.237E-01,-7.351E-01,1.552E+01,1.463E+01,3.142E+00,-3.199E-01,1.992E+01,1.167E+00,1.841E-02,1.137E+01
88,0.000E+00,0.000E+00,1.367E-05,0.000E+00,0.000E+00,2.383E-04,1.846E-04,7.129E-05,2.119E-04,1.522E-02,1.071E+00,-6.108E-01,9.716E+00,9.953E+00,3.142E+00,-6.793E-01,2.059E+01,5.702E-01,7.148E-02,4.268E+00,1.184E+00,-6.280E-01,9.453E+00,6.938E+00,3.142E+00,-6.793E-01,2.059E+01,5.702E-01,6.013E-02,5.292E+00,8.572E-01,-7.907E-01,1.657E+01,2.020E+01,3.142E+00,-7.287E-01,3.886E+01,6.565E-01,1.280E-02,1.362E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.766E-07,2.930E-06,0.000E+00,1.953E-06,-5.899E-05,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
