!  table1  
!         -H.H.Binder, Lexikon der chemischen Elemente, Hirzel Verlag Stuttgart/Leipzig, 1999 
!         -Taschenbuch fuer Chemiker und Physiker, Band3, Springer-Verlag 1998
!         -CRC Handbook of Chemistry and Physics, 78th ed., 11-42ff
!         -Landolt-Boernstein, New Series IV/5b)
!         Molare Masse                                                 standard- standard-  standard-
!           [g/mol]    (solid/liquid)    surface displace- heat of     enthalpie enthalpie  bildungs-
!         rel.A.M.     mass     atomic   binding   ment   dissociation schmelzen verdampfen enthalpie
!symbol Z   mass      density   density  energy   energy  delta_H_Diss deltaH_f  deltaH_v   deltaH_at
!           [amu]     [g/cm^3] [at./A^3]  [eV]    [ev]      [eV]       [kJ/mol]  [kJ/mol]   [kJ/mol]
 Z	mass	mass_density	atomic_density	binding_energy	displacement_energy	h_diss	h_schmelz	h_damp	h_bildung     name
 Sb    51 121.757      6.684    0.03306  2.74239   0.         0         21.985   165.8      264.6  antimon/antimony
 Te    52 127.60       6.250    0.02950  2.19412   0.         0         17.49    104.6      211.7  tellur/tellurium
 I     53 126.90447    4.940    0.02344  1.10649   0.       1.5417      15.52     41.96     106.76 iod/iodine
 Xe    54 131.29       2.939    0.01348  0.00000   0.5        0.0        3.10     12.65       0    xenon
 Xe(g) 54 131.29       2.939    0.01348  0.00000   0.         0.0        3.10     12.65       0    xenon
 Cs    55 132.90544    1.878    0.00851  0.79287   0.         0          2.09     67.7       76.5  c�sium/cesium
 Ba    56 137.327      3.620    0.01587  1.88630   0.         0          7.75    141.5      182.0  barium
 La    57 138.9055     6.162    0.02671  4.28044   0.         0          6.2     413.7      413.0  lanthan/lanthanum
 Ce    58 140.115      6.773    0.02911  4.37994   0.         0          5.46    414.2      422.6  cer/cerium
 Pr    59 140.90765    6.475    0.02767  3.68553   0.         0          6.89    296.78    355.6 praseodym/praseodymium
 Nd    60 144.24       7.004    0.02924  3.39534   0.         0          7.10    273.0      327.6  neodym/neodymium
 Pm    61 145.9127     7.220    0.02980  3.19220   0.         0         12.6       0        308.   promethium
 Sm    62 150.36       7.536    0.03018  2.14229   0.         0          8.62    166.4      206.7  samarium
 Eu    63 151.965      5.243    0.02078  1.81686   0.         0          9.21    144.7      175.3  europium
 Gd    64 157.25       7.895    0.03024  4.11980   0.         0         10.05    359.4      397.5  gadolinium
 Tb    65 158.92534    8.253    0.03127  4.02859   0.         0         10.8     330.9      388.7  terbium
 Dy    66 162.50       8.559    0.03172  3.00978   0.         0         11.06    230        290.4  dysprosium
