alpha,H,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,3dK_Al,3dTilt_Al,3dM_Al,3dN_Al,energyK_Al,energyE_Al,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,3dK_Na,3dTilt_Na,3dM_Na,3dN_Na,energyK_Na,energyE_Na,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
1.000E+01,0.000E+00,0.000E+00,1.149E-03,0.000E+00,2.056E-03,0.000E+00,0.000E+00,0.000E+00,1.396E-03,6.168E-03,1.176E-03,2.816E-03,2.995E-01,1.735E+00,-1.352E-01,2.206E+00,1.645E+00,4.935E+00,9.679E-02,1.000E+00,1.000E+00,7.446E-02,4.047E+00,1.672E+00,-3.379E-02,1.661E+00,1.942E+00,4.935E+00,6.235E-02,1.000E+00,1.000E+00,3.067E-01,1.270E+00,1.702E+00,-1.021E-01,2.035E+00,1.787E+00,4.935E+00,7.148E-02,1.000E+00,1.000E+00,1.133E-01,3.140E+00,1.764E+00,-3.652E-02,1.346E+00,1.804E+00,4.935E+00,6.400E-02,1.000E+00,1.000E+00,6.086E-02,4.687E+00
1.100E+01,0.000E+00,0.000E+00,1.181E-03,0.000E+00,2.088E-03,0.000E+00,0.000E+00,0.000E+00,1.433E-03,6.343E-03,1.202E-03,2.870E-03,3.064E-01,1.725E+00,-1.396E-01,2.204E+00,1.717E+00,4.935E+00,1.037E-01,1.000E+00,1.000E+00,7.412E-02,4.062E+00,1.670E+00,-4.711E-02,1.722E+00,1.967E+00,4.935E+00,7.102E-02,1.000E+00,1.000E+00,3.064E-01,1.271E+00,1.703E+00,-1.107E-01,2.073E+00,1.794E+00,4.935E+00,7.870E-02,1.000E+00,1.000E+00,1.131E-01,3.146E+00,1.762E+00,-4.898E-02,1.401E+00,1.817E+00,4.935E+00,7.246E-02,1.000E+00,1.000E+00,6.089E-02,4.685E+00
1.200E+01,0.000E+00,0.000E+00,1.212E-03,0.000E+00,2.121E-03,0.000E+00,0.000E+00,0.000E+00,1.469E-03,6.517E-03,1.228E-03,2.925E-03,3.133E-01,1.715E+00,-1.439E-01,2.203E+00,1.790E+00,4.935E+00,1.106E-01,1.000E+00,1.000E+00,7.379E-02,4.077E+00,1.668E+00,-6.043E-02,1.782E+00,1.991E+00,4.935E+00,7.968E-02,1.000E+00,1.000E+00,3.062E-01,1.272E+00,1.704E+00,-1.194E-01,2.111E+00,1.801E+00,4.935E+00,8.592E-02,1.000E+00,1.000E+00,1.128E-01,3.153E+00,1.760E+00,-6.145E-02,1.455E+00,1.830E+00,4.935E+00,8.091E-02,1.000E+00,1.000E+00,6.092E-02,4.684E+00
1.300E+01,0.000E+00,0.000E+00,1.243E-03,0.000E+00,2.153E-03,0.000E+00,0.000E+00,0.000E+00,1.506E-03,6.692E-03,1.254E-03,2.979E-03,3.202E-01,1.706E+00,-1.482E-01,2.201E+00,1.862E+00,4.935E+00,1.175E-01,1.000E+00,1.000E+00,7.345E-02,4.092E+00,1.667E+00,-7.374E-02,1.843E+00,2.015E+00,4.935E+00,8.835E-02,1.000E+00,1.000E+00,3.060E-01,1.273E+00,1.705E+00,-1.281E-01,2.149E+00,1.808E+00,4.935E+00,9.314E-02,1.000E+00,1.000E+00,1.125E-01,3.160E+00,1.758E+00,-7.392E-02,1.510E+00,1.843E+00,4.935E+00,8.937E-02,1.000E+00,1.000E+00,6.094E-02,4.682E+00
1.400E+01,0.000E+00,0.000E+00,1.259E-03,0.000E+00,2.169E-03,0.000E+00,0.000E+00,0.000E+00,1.524E-03,6.779E-03,1.267E-03,3.006E-03,3.236E-01,1.702E+00,-1.504E-01,2.201E+00,1.899E+00,4.935E+00,1.210E-01,1.000E+00,1.000E+00,7.328E-02,4.099E+00,1.666E+00,-8.040E-02,1.873E+00,2.028E+00,4.935E+00,9.269E-02,1.000E+00,1.000E+00,3.058E-01,1.273E+00,1.706E+00,-1.324E-01,2.168E+00,1.812E+00,4.935E+00,9.675E-02,1.000E+00,1.000E+00,1.124E-01,3.163E+00,1.758E+00,-8.015E-02,1.537E+00,1.849E+00,4.935E+00,9.360E-02,1.000E+00,1.000E+00,6.096E-02,4.681E+00
1.500E+01,0.000E+00,0.000E+00,1.274E-03,0.000E+00,2.186E-03,0.000E+00,0.000E+00,0.000E+00,1.542E-03,6.866E-03,1.280E-03,3.033E-03,3.271E-01,1.697E+00,-1.525E-01,2.200E+00,1.935E+00,4.935E+00,1.244E-01,1.000E+00,1.000E+00,7.311E-02,4.106E+00,1.666E+00,-8.706E-02,1.903E+00,2.040E+00,4.935E+00,9.702E-02,1.000E+00,1.000E+00,3.057E-01,1.273E+00,1.706E+00,-1.368E-01,2.187E+00,1.816E+00,4.935E+00,1.004E-01,1.000E+00,1.000E+00,1.122E-01,3.166E+00,1.757E+00,-8.638E-02,1.565E+00,1.856E+00,4.935E+00,9.783E-02,1.000E+00,1.000E+00,6.097E-02,4.681E+00
1.600E+01,0.000E+00,0.000E+00,1.306E-03,0.000E+00,2.218E-03,0.000E+00,0.000E+00,0.000E+00,1.578E-03,7.041E-03,1.306E-03,3.087E-03,3.340E-01,1.689E+00,-1.568E-01,2.198E+00,2.007E+00,4.935E+00,1.313E-01,1.000E+00,1.000E+00,7.277E-02,4.121E+00,1.664E+00,-1.004E-01,1.964E+00,2.064E+00,4.935E+00,1.057E-01,1.000E+00,1.000E+00,3.055E-01,1.274E+00,1.707E+00,-1.454E-01,2.225E+00,1.823E+00,4.935E+00,1.076E-01,1.000E+00,1.000E+00,1.119E-01,3.173E+00,1.756E+00,-9.885E-02,1.619E+00,1.869E+00,4.935E+00,1.063E-01,1.000E+00,1.000E+00,6.100E-02,4.679E+00
1.700E+01,0.000E+00,0.000E+00,1.337E-03,0.000E+00,2.250E-03,0.000E+00,0.000E+00,0.000E+00,1.615E-03,7.215E-03,1.333E-03,3.141E-03,3.409E-01,1.681E+00,-1.612E-01,2.197E+00,2.080E+00,4.935E+00,1.382E-01,1.000E+00,1.000E+00,7.244E-02,4.136E+00,1.663E+00,-1.137E-01,2.024E+00,2.089E+00,4.935E+00,1.144E-01,1.000E+00,1.000E+00,3.052E-01,1.275E+00,1.709E+00,-1.541E-01,2.263E+00,1.830E+00,4.935E+00,1.148E-01,1.000E+00,1.000E+00,1.117E-01,3.180E+00,1.754E+00,-1.113E-01,1.674E+00,1.882E+00,4.935E+00,1.147E-01,1.000E+00,1.000E+00,6.103E-02,4.677E+00
1.800E+01,0.000E+00,0.000E+00,1.368E-03,0.000E+00,2.283E-03,0.000E+00,0.000E+00,0.000E+00,1.651E-03,7.390E-03,1.359E-03,3.195E-03,3.478E-01,1.674E+00,-1.655E-01,2.195E+00,2.152E+00,4.935E+00,1.451E-01,1.000E+00,1.000E+00,7.210E-02,4.151E+00,1.662E+00,-1.270E-01,2.085E+00,2.113E+00,4.935E+00,1.230E-01,1.000E+00,1.000E+00,3.050E-01,1.276E+00,1.710E+00,-1.628E-01,2.301E+00,1.837E+00,4.935E+00,1.220E-01,1.000E+00,1.000E+00,1.114E-01,3.186E+00,1.753E+00,-1.238E-01,1.729E+00,1.895E+00,4.935E+00,1.232E-01,1.000E+00,1.000E+00,6.105E-02,4.676E+00
1.900E+01,0.000E+00,0.000E+00,1.384E-03,0.000E+00,2.299E-03,0.000E+00,0.000E+00,0.000E+00,1.669E-03,7.477E-03,1.372E-03,3.222E-03,3.513E-01,1.670E+00,-1.676E-01,2.195E+00,2.188E+00,4.935E+00,1.486E-01,1.000E+00,1.000E+00,7.193E-02,4.158E+00,1.662E+00,-1.337E-01,2.115E+00,2.125E+00,4.935E+00,1.274E-01,1.000E+00,1.000E+00,3.049E-01,1.277E+00,1.711E+00,-1.671E-01,2.321E+00,1.840E+00,4.935E+00,1.256E-01,1.000E+00,1.000E+00,1.112E-01,3.190E+00,1.753E+00,-1.300E-01,1.756E+00,1.902E+00,4.935E+00,1.274E-01,1.000E+00,1.000E+00,6.107E-02,4.675E+00
