alpha,H,He,Ca,S,Ca_1,S_1,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
7.100E+01,0.000E+00,0.000E+00,0.000E+00,4.877E-03,6.034E-02,5.547E-02,4.354E+00,1.520E+00,-7.097E-01,1.784E+01,2.200E+00,4.887E+00,4.104E-01,1.051E+00,1.000E+00,9.827E-02,3.003E+00,1.539E+00,-6.901E-01,1.624E+01,2.134E+00,4.923E+00,3.965E-01,1.012E+00,1.000E+00,9.164E-02,3.322E+00
7.200E+01,0.000E+00,0.000E+00,0.000E+00,5.110E-03,6.263E-02,5.758E-02,4.521E+00,1.499E+00,-7.138E-01,1.884E+01,2.266E+00,4.871E+00,4.160E-01,1.069E+00,1.000E+00,9.730E-02,3.025E+00,1.529E+00,-7.007E-01,1.741E+01,2.149E+00,4.920E+00,4.011E-01,1.016E+00,1.000E+00,9.125E-02,3.333E+00
7.300E+01,0.000E+00,0.000E+00,0.000E+00,4.951E-03,6.626E-02,6.132E-02,4.781E+00,1.484E+00,-7.101E-01,1.878E+01,2.338E+00,4.842E+00,4.188E-01,1.102E+00,1.000E+00,9.834E-02,3.001E+00,1.507E+00,-7.027E-01,1.820E+01,2.221E+00,4.887E+00,4.059E-01,1.051E+00,1.000E+00,9.066E-02,3.350E+00
7.400E+01,0.000E+00,0.000E+00,0.000E+00,4.791E-03,6.989E-02,6.507E-02,5.042E+00,1.469E+00,-7.064E-01,1.871E+01,2.409E+00,4.813E+00,4.215E-01,1.136E+00,1.000E+00,9.938E-02,2.976E+00,1.487E+00,-7.046E-01,1.899E+01,2.294E+00,4.856E+00,4.107E-01,1.085E+00,1.000E+00,9.007E-02,3.367E+00
7.500E+01,0.000E+00,0.000E+00,0.000E+00,5.470E-03,7.361E-02,6.816E-02,5.311E+00,1.435E+00,-6.953E-01,1.819E+01,2.603E+00,4.755E+00,4.353E-01,1.204E+00,1.000E+00,9.824E-02,3.003E+00,1.458E+00,-6.867E-01,1.781E+01,2.460E+00,4.790E+00,4.204E-01,1.163E+00,1.000E+00,8.879E-02,3.406E+00
7.600E+01,0.000E+00,0.000E+00,0.000E+00,6.148E-03,7.732E-02,7.126E-02,5.581E+00,1.405E+00,-6.842E-01,1.767E+01,2.798E+00,4.701E+00,4.490E-01,1.273E+00,1.000E+00,9.710E-02,3.030E+00,1.433E+00,-6.687E-01,1.662E+01,2.627E+00,4.727E+00,4.302E-01,1.240E+00,1.000E+00,8.752E-02,3.444E+00
7.700E+01,0.000E+00,0.000E+00,0.000E+00,6.540E-03,8.140E-02,7.488E-02,5.873E+00,1.375E+00,-6.779E-01,1.740E+01,3.004E+00,4.646E+00,4.601E-01,1.346E+00,1.000E+00,9.591E-02,3.060E+00,1.400E+00,-6.601E-01,1.617E+01,2.852E+00,4.702E+00,4.375E-01,1.272E+00,1.000E+00,8.713E-02,3.456E+00
7.800E+01,0.000E+00,0.000E+00,0.000E+00,6.931E-03,8.548E-02,7.851E-02,6.165E+00,1.348E+00,-6.715E-01,1.714E+01,3.211E+00,4.595E+00,4.711E-01,1.418E+00,1.000E+00,9.472E-02,3.089E+00,1.370E+00,-6.516E-01,1.573E+01,3.077E+00,4.677E+00,4.448E-01,1.304E+00,1.000E+00,8.673E-02,3.468E+00
7.900E+01,0.000E+00,0.000E+00,0.000E+00,7.610E-03,8.933E-02,8.165E-02,6.442E+00,1.303E+00,-6.676E-01,1.751E+01,3.551E+00,4.502E+00,4.853E-01,1.557E+00,1.000E+00,9.515E-02,3.078E+00,1.327E+00,-6.444E-01,1.576E+01,3.403E+00,4.560E+00,4.634E-01,1.469E+00,1.000E+00,8.618E-02,3.486E+00
8.000E+01,0.000E+00,0.000E+00,0.000E+00,8.289E-03,9.317E-02,8.479E-02,6.718E+00,1.262E+00,-6.637E-01,1.788E+01,3.891E+00,4.418E+00,4.995E-01,1.695E+00,1.000E+00,9.558E-02,3.067E+00,1.288E+00,-6.372E-01,1.580E+01,3.729E+00,4.455E+00,4.820E-01,1.633E+00,1.000E+00,8.563E-02,3.503E+00
8.100E+01,0.000E+00,0.000E+00,0.000E+00,8.259E-03,9.567E-02,8.733E-02,6.899E+00,1.234E+00,-6.477E-01,1.640E+01,4.306E+00,4.348E+00,5.058E-01,1.818E+00,1.000E+00,9.076E-02,3.197E+00,1.251E+00,-6.301E-01,1.552E+01,4.123E+00,4.361E+00,4.932E-01,1.795E+00,1.000E+00,8.318E-02,3.585E+00
8.200E+01,0.000E+00,0.000E+00,0.000E+00,8.229E-03,9.817E-02,8.987E-02,7.080E+00,1.212E+00,-6.317E-01,1.492E+01,4.721E+00,4.282E+00,5.121E-01,1.941E+00,1.000E+00,8.593E-02,3.328E+00,1.219E+00,-6.230E-01,1.524E+01,4.517E+00,4.274E+00,5.044E-01,1.957E+00,1.000E+00,8.073E-02,3.667E+00
8.300E+01,0.000E+00,0.000E+00,4.883E-07,7.539E-03,9.582E-02,8.824E-02,6.911E+00,1.154E+00,-6.255E-01,1.473E+01,5.611E+00,4.089E+00,5.330E-01,2.357E+00,1.000E+00,8.278E-02,3.426E+00,1.168E+00,-6.070E-01,1.411E+01,5.373E+00,4.123E+00,5.181E-01,2.277E+00,1.000E+00,7.746E-02,3.790E+00
8.400E+01,0.000E+00,0.000E+00,9.766E-07,6.849E-03,9.347E-02,8.662E-02,6.743E+00,1.107E+00,-6.194E-01,1.454E+01,6.501E+00,3.927E+00,5.540E-01,2.772E+00,1.000E+00,7.963E-02,3.525E+00,1.131E+00,-5.910E-01,1.299E+01,6.230E+00,3.992E+00,5.317E-01,2.598E+00,1.000E+00,7.419E-02,3.913E+00
8.500E+01,0.000E+00,0.000E+00,4.883E-07,5.947E-03,7.959E-02,7.361E-02,5.740E+00,1.077E+00,-6.036E-01,1.295E+01,7.634E+00,3.858E+00,5.638E-01,2.975E+00,1.000E+00,7.533E-02,3.683E+00,1.090E+00,-5.776E-01,1.188E+01,7.472E+00,3.891E+00,5.428E-01,2.877E+00,1.000E+00,6.902E-02,4.149E+00
8.600E+01,0.000E+00,0.000E+00,0.000E+00,5.046E-03,6.571E-02,6.060E-02,4.737E+00,1.060E+00,-5.879E-01,1.136E+01,8.766E+00,3.793E+00,5.736E-01,3.177E+00,1.000E+00,7.104E-02,3.840E+00,1.063E+00,-5.642E-01,1.078E+01,8.713E+00,3.800E+00,5.538E-01,3.157E+00,1.000E+00,6.386E-02,4.386E+00
8.700E+01,0.000E+00,0.000E+00,0.000E+00,2.809E-03,3.690E-02,3.408E-02,2.661E+00,1.041E+00,-6.145E-01,1.012E+01,1.088E+01,3.770E+00,6.307E-01,3.253E+00,1.000E+00,5.951E-02,4.472E+00,1.057E+00,-5.779E-01,9.039E+00,1.067E+01,3.792E+00,6.066E-01,3.180E+00,1.000E+00,5.632E-02,4.869E+00
8.800E+01,0.000E+00,0.000E+00,0.000E+00,5.723E-04,8.091E-03,7.569E-03,5.843E-01,1.036E+00,-6.411E-01,8.873E+00,1.299E+01,3.747E+00,6.878E-01,3.329E+00,1.000E+00,4.798E-02,5.105E+00,1.071E+00,-5.916E-01,7.298E+00,1.262E+01,3.785E+00,6.594E-01,3.202E+00,1.000E+00,4.879E-02,5.353E+00
8.900E+01,0.000E+00,0.000E+00,0.000E+00,3.906E-06,4.961E-04,4.297E-04,3.317E-02,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
