alpha,H,He,Fe,S,Fe_1,S_1,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
6.700E+01,0.000E+00,0.000E+00,2.337E-02,0.000E+00,2.644E-02,4.981E-02,4.379E+00,1.620E+00,-6.228E-01,7.607E+00,2.332E+00,4.935E+00,4.378E-01,1.000E+00,1.000E+00,5.337E-02,4.306E+00,1.625E+00,-5.577E-01,8.782E+00,1.941E+00,4.935E+00,3.226E-01,1.000E+00,1.000E+00,1.095E-01,2.886E+00
6.800E+01,0.000E+00,0.000E+00,2.412E-02,0.000E+00,2.739E-02,5.154E-02,4.529E+00,1.612E+00,-6.377E-01,8.031E+00,2.356E+00,4.935E+00,4.470E-01,1.000E+00,1.000E+00,5.256E-02,4.351E+00,1.622E+00,-5.772E-01,9.584E+00,1.922E+00,4.935E+00,3.285E-01,1.000E+00,1.000E+00,1.098E-01,2.879E+00
6.900E+01,0.000E+00,0.000E+00,2.487E-02,0.000E+00,2.833E-02,5.327E-02,4.679E+00,1.605E+00,-6.525E-01,8.455E+00,2.380E+00,4.935E+00,4.562E-01,1.000E+00,1.000E+00,5.174E-02,4.396E+00,1.621E+00,-5.966E-01,1.039E+01,1.903E+00,4.935E+00,3.344E-01,1.000E+00,1.000E+00,1.101E-01,2.873E+00
7.000E+01,0.000E+00,0.000E+00,2.631E-02,0.000E+00,3.075E-02,5.706E-02,5.016E+00,1.571E+00,-6.863E-01,1.021E+01,2.449E+00,4.924E+00,4.756E-01,1.011E+00,1.000E+00,5.097E-02,4.441E+00,1.567E+00,-6.254E-01,1.323E+01,1.997E+00,4.919E+00,3.446E-01,1.017E+00,1.000E+00,1.073E-01,2.934E+00
7.100E+01,0.000E+00,0.000E+00,2.702E-02,0.000E+00,3.197E-02,5.895E-02,5.184E+00,1.558E+00,-7.032E-01,1.109E+01,2.484E+00,4.919E+00,4.852E-01,1.017E+00,1.000E+00,5.059E-02,4.464E+00,1.546E+00,-6.398E-01,1.466E+01,2.044E+00,4.911E+00,3.496E-01,1.025E+00,1.000E+00,1.059E-01,2.965E+00
7.200E+01,0.000E+00,0.000E+00,2.774E-02,0.000E+00,3.318E-02,6.084E-02,5.353E+00,1.545E+00,-7.200E-01,1.197E+01,2.518E+00,4.913E+00,4.949E-01,1.023E+00,1.000E+00,5.021E-02,4.487E+00,1.527E+00,-6.542E-01,1.608E+01,2.091E+00,4.904E+00,3.547E-01,1.033E+00,1.000E+00,1.045E-01,2.996E+00
7.300E+01,0.000E+00,0.000E+00,2.875E-02,0.000E+00,3.539E-02,6.409E-02,5.637E+00,1.511E+00,-7.690E-01,1.662E+01,2.507E+00,4.887E+00,5.109E-01,1.051E+00,1.000E+00,4.962E-02,4.523E+00,1.506E+00,-6.572E-01,1.666E+01,2.168E+00,4.867E+00,3.633E-01,1.074E+00,1.000E+00,1.044E-01,2.997E+00
7.400E+01,0.000E+00,0.000E+00,2.976E-02,0.000E+00,3.761E-02,6.733E-02,5.921E+00,1.495E+00,-8.181E-01,2.128E+01,2.496E+00,4.862E+00,5.270E-01,1.079E+00,1.000E+00,4.904E-02,4.559E+00,1.486E+00,-6.602E-01,1.725E+01,2.246E+00,4.831E+00,3.719E-01,1.114E+00,1.000E+00,1.044E-01,2.998E+00
7.500E+01,0.000E+00,0.000E+00,3.104E-02,0.000E+00,3.924E-02,7.022E-02,6.176E+00,1.456E+00,-8.420E-01,2.550E+01,2.615E+00,4.781E+00,5.482E-01,1.173E+00,1.000E+00,4.780E-02,4.640E+00,1.445E+00,-6.513E-01,1.707E+01,2.457E+00,4.788E+00,3.832E-01,1.165E+00,1.000E+00,1.024E-01,3.044E+00
7.600E+01,0.000E+00,0.000E+00,3.233E-02,0.000E+00,4.088E-02,7.311E-02,6.432E+00,1.425E+00,-8.658E-01,2.973E+01,2.735E+00,4.707E+00,5.694E-01,1.266E+00,1.000E+00,4.657E-02,4.721E+00,1.408E+00,-6.425E-01,1.689E+01,2.668E+00,4.746E+00,3.946E-01,1.216E+00,1.000E+00,1.005E-01,3.090E+00
7.700E+01,0.000E+00,0.000E+00,3.307E-02,0.000E+00,4.282E-02,7.583E-02,6.668E+00,1.378E+00,-8.527E-01,2.914E+01,3.015E+00,4.629E+00,5.801E-01,1.369E+00,1.000E+00,4.512E-02,4.824E+00,1.374E+00,-6.306E-01,1.631E+01,2.899E+00,4.658E+00,4.095E-01,1.331E+00,1.000E+00,9.978E-02,3.107E+00
7.800E+01,0.000E+00,0.000E+00,3.382E-02,0.000E+00,4.475E-02,7.856E-02,6.905E+00,1.337E+00,-8.395E-01,2.855E+01,3.295E+00,4.558E+00,5.907E-01,1.473E+00,1.000E+00,4.367E-02,4.928E+00,1.344E+00,-6.187E-01,1.573E+01,3.131E+00,4.576E+00,4.243E-01,1.446E+00,1.000E+00,9.909E-02,3.124E+00
7.900E+01,0.000E+00,0.000E+00,3.418E-02,0.000E+00,4.661E-02,8.090E-02,7.105E+00,1.294E+00,-8.459E-01,3.015E+01,3.604E+00,4.476E+00,6.079E-01,1.598E+00,1.000E+00,4.261E-02,5.011E+00,1.309E+00,-6.148E-01,1.580E+01,3.409E+00,4.524E+00,4.346E-01,1.524E+00,1.000E+00,9.606E-02,3.203E+00
8.000E+01,0.000E+00,0.000E+00,3.455E-02,0.000E+00,4.848E-02,8.325E-02,7.306E+00,1.255E+00,-8.522E-01,3.174E+01,3.913E+00,4.401E+00,6.250E-01,1.723E+00,1.000E+00,4.154E-02,5.094E+00,1.276E+00,-6.109E-01,1.588E+01,3.687E+00,4.474E+00,4.448E-01,1.602E+00,1.000E+00,9.303E-02,3.283E+00
8.100E+01,0.000E+00,0.000E+00,3.392E-02,0.000E+00,4.841E-02,8.248E-02,7.243E+00,1.201E+00,-8.364E-01,2.937E+01,4.554E+00,4.289E+00,6.403E-01,1.929E+00,1.000E+00,3.923E-02,5.298E+00,1.228E+00,-5.970E-01,1.516E+01,4.232E+00,4.333E+00,4.644E-01,1.846E+00,1.000E+00,9.124E-02,3.335E+00
8.200E+01,0.000E+00,0.000E+00,3.330E-02,0.000E+00,4.835E-02,8.172E-02,7.180E+00,1.159E+00,-8.206E-01,2.699E+01,5.194E+00,4.188E+00,6.556E-01,2.134E+00,1.000E+00,3.692E-02,5.502E+00,1.189E+00,-5.832E-01,1.445E+01,4.777E+00,4.209E+00,4.840E-01,2.089E+00,1.000E+00,8.944E-02,3.386E+00
8.300E+01,0.000E+00,0.000E+00,2.999E-02,0.000E+00,4.494E-02,7.507E-02,6.592E+00,1.116E+00,-8.197E-01,2.692E+01,5.869E+00,4.101E+00,6.696E-01,2.327E+00,1.000E+00,3.451E-02,5.759E+00,1.143E+00,-5.684E-01,1.367E+01,5.568E+00,4.063E+00,4.931E-01,2.418E+00,1.000E+00,8.672E-02,3.471E+00
8.400E+01,0.000E+00,0.000E+00,2.668E-02,0.000E+00,4.154E-02,6.842E-02,6.003E+00,1.079E+00,-8.189E-01,2.685E+01,6.545E+00,4.022E+00,6.835E-01,2.520E+00,1.000E+00,3.210E-02,6.017E+00,1.108E+00,-5.536E-01,1.290E+01,6.359E+00,3.936E+00,5.022E-01,2.747E+00,1.000E+00,8.400E-02,3.556E+00
8.500E+01,0.000E+00,0.000E+00,1.946E-02,0.000E+00,3.069E-02,5.027E-02,4.412E+00,1.070E+00,-8.161E-01,2.421E+01,7.066E+00,3.973E+00,6.982E-01,2.647E+00,1.000E+00,2.815E-02,6.590E+00,1.105E+00,-5.443E-01,1.157E+01,6.844E+00,3.920E+00,5.113E-01,2.794E+00,1.000E+00,7.789E-02,3.785E+00
8.600E+01,0.000E+00,0.000E+00,1.224E-02,0.000E+00,1.985E-02,3.211E-02,2.821E+00,1.066E+00,-8.133E-01,2.158E+01,7.588E+00,3.927E+00,7.129E-01,2.774E+00,1.000E+00,2.419E-02,7.164E+00,1.108E+00,-5.350E-01,1.025E+01,7.328E+00,3.904E+00,5.203E-01,2.840E+00,1.000E+00,7.178E-02,4.013E+00
8.700E+01,0.000E+00,0.000E+00,6.203E-03,0.000E+00,1.020E-02,1.655E-02,1.446E+00,9.657E-01,-8.859E-01,2.598E+01,1.041E+01,3.648E+00,7.492E-01,3.688E+00,1.000E+00,1.860E-02,8.670E+00,1.127E+00,-6.288E-01,1.178E+01,7.167E+00,3.936E+00,6.032E-01,2.748E+00,1.000E+00,6.442E-02,4.392E+00
8.800E+01,0.000E+00,0.000E+00,1.641E-04,0.000E+00,5.596E-04,9.932E-04,7.207E-02,8.959E-01,-9.584E-01,3.039E+01,1.323E+01,3.436E+00,7.854E-01,4.601E+00,1.000E+00,1.301E-02,1.018E+01,1.147E+00,-7.226E-01,1.331E+01,7.006E+00,3.970E+00,6.860E-01,2.655E+00,1.000E+00,5.706E-02,4.771E+00
8.900E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.270E-05,2.637E-05,2.265E-03,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
