alpha,H,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
51,0.000E+00,6.691E-03,4.992E-04,0.000E+00,0.000E+00,8.789E-07,6.227E-03,2.015E-02,8.850E-01,1.798E+00,-5.740E-01,6.412E+00,1.562E+00,3.142E+00,-5.472E-03,2.524E+00,2.440E+00,5.555E-02,4.189E+00,1.660E+00,-3.261E-01,3.513E+00,2.151E+00,3.142E+00,-2.136E-03,2.803E+00,2.765E+00,1.027E-01,3.412E+00,1.765E+00,-5.259E-01,4.988E+00,1.814E+00,3.142E+00,-3.871E-03,2.599E+00,2.538E+00,5.296E-02,5.209E+00
52,0.000E+00,7.088E-03,4.281E-04,0.000E+00,0.000E+00,9.766E-07,6.680E-03,2.132E-02,9.366E-01,1.791E+00,-5.911E-01,6.580E+00,1.608E+00,3.142E+00,-5.468E-03,2.544E+00,2.459E+00,5.488E-02,4.226E+00,1.659E+00,-3.376E-01,3.657E+00,2.136E+00,3.142E+00,-1.837E-03,2.801E+00,2.768E+00,1.023E-01,3.422E+00,1.749E+00,-5.459E-01,5.469E+00,1.838E+00,3.142E+00,-3.861E-03,2.611E+00,2.549E+00,5.223E-02,5.267E+00
53,0.000E+00,7.486E-03,3.570E-04,0.000E+00,0.000E+00,1.074E-06,7.134E-03,2.248E-02,9.881E-01,1.783E+00,-6.081E-01,6.748E+00,1.654E+00,3.142E+00,-5.464E-03,2.564E+00,2.478E+00,5.420E-02,4.264E+00,1.659E+00,-3.490E-01,3.802E+00,2.121E+00,3.142E+00,-1.539E-03,2.798E+00,2.771E+00,1.020E-01,3.431E+00,1.736E+00,-5.658E-01,5.950E+00,1.862E+00,3.142E+00,-3.851E-03,2.622E+00,2.560E+00,5.150E-02,5.325E+00
54,0.000E+00,7.685E-03,3.215E-04,0.000E+00,0.000E+00,1.123E-06,7.360E-03,2.306E-02,1.014E+00,1.779E+00,-6.167E-01,6.832E+00,1.678E+00,3.142E+00,-5.463E-03,2.574E+00,2.488E+00,5.386E-02,4.282E+00,1.660E+00,-3.547E-01,3.874E+00,2.114E+00,3.142E+00,-1.389E-03,2.797E+00,2.773E+00,1.018E-01,3.436E+00,1.730E+00,-5.758E-01,6.190E+00,1.874E+00,3.142E+00,-3.846E-03,2.628E+00,2.566E+00,5.113E-02,5.353E+00
55,0.000E+00,7.883E-03,2.859E-04,0.000E+00,0.000E+00,1.172E-06,7.587E-03,2.365E-02,1.040E+00,1.775E+00,-6.252E-01,6.916E+00,1.701E+00,3.142E+00,-5.461E-03,2.584E+00,2.498E+00,5.353E-02,4.301E+00,1.660E+00,-3.605E-01,3.946E+00,2.106E+00,3.142E+00,-1.240E-03,2.796E+00,2.774E+00,1.017E-01,3.441E+00,1.725E+00,-5.858E-01,6.430E+00,1.886E+00,3.142E+00,-3.841E-03,2.634E+00,2.571E+00,5.077E-02,5.382E+00
56,0.000E+00,8.281E-03,2.148E-04,0.000E+00,0.000E+00,1.270E-06,8.040E-03,2.481E-02,1.091E+00,1.768E+00,-6.423E-01,7.084E+00,1.747E+00,3.142E+00,-5.457E-03,2.604E+00,2.517E+00,5.285E-02,4.338E+00,1.661E+00,-3.719E-01,4.090E+00,2.091E+00,3.142E+00,-9.406E-04,2.794E+00,2.777E+00,1.013E-01,3.450E+00,1.715E+00,-6.057E-01,6.911E+00,1.910E+00,3.142E+00,-3.832E-03,2.645E+00,2.583E+00,5.004E-02,5.440E+00
57,0.000E+00,8.678E-03,1.438E-04,0.000E+00,0.000E+00,1.367E-06,8.493E-03,2.597E-02,1.143E+00,1.761E+00,-6.593E-01,7.252E+00,1.794E+00,3.142E+00,-5.454E-03,2.624E+00,2.536E+00,5.218E-02,4.375E+00,1.662E+00,-3.834E-01,4.234E+00,2.076E+00,3.142E+00,-6.417E-04,2.791E+00,2.780E+00,1.010E-01,3.460E+00,1.706E+00,-6.256E-01,7.392E+00,1.934E+00,3.142E+00,-3.822E-03,2.656E+00,2.594E+00,4.930E-02,5.498E+00
58,0.000E+00,9.075E-03,7.266E-05,0.000E+00,0.000E+00,1.465E-06,8.946E-03,2.714E-02,1.194E+00,1.753E+00,-6.764E-01,7.420E+00,1.840E+00,3.142E+00,-5.450E-03,2.644E+00,2.556E+00,5.150E-02,4.412E+00,1.664E+00,-3.948E-01,4.378E+00,2.061E+00,3.142E+00,-3.428E-04,2.789E+00,2.783E+00,1.007E-01,3.469E+00,1.698E+00,-6.456E-01,7.873E+00,1.958E+00,3.142E+00,-3.812E-03,2.668E+00,2.605E+00,4.857E-02,5.555E+00
59,0.000E+00,9.274E-03,3.711E-05,0.000E+00,0.000E+00,1.514E-06,9.173E-03,2.772E-02,1.220E+00,1.750E+00,-6.849E-01,7.504E+00,1.863E+00,3.142E+00,-5.448E-03,2.654E+00,2.565E+00,5.116E-02,4.431E+00,1.665E+00,-4.006E-01,4.450E+00,2.054E+00,3.142E+00,-1.933E-04,2.788E+00,2.784E+00,1.005E-01,3.474E+00,1.695E+00,-6.556E-01,8.113E+00,1.970E+00,3.142E+00,-3.807E-03,2.674E+00,2.611E+00,4.821E-02,5.584E+00
60,0.000E+00,9.473E-03,1.562E-06,0.000E+00,0.000E+00,1.562E-06,9.399E-03,2.830E-02,1.246E+00,1.746E+00,-6.934E-01,7.588E+00,1.886E+00,3.142E+00,-5.447E-03,2.664E+00,2.575E+00,5.083E-02,4.450E+00,1.666E+00,-4.063E-01,4.522E+00,2.046E+00,3.142E+00,-4.384E-05,2.787E+00,2.786E+00,1.003E-01,3.479E+00,1.692E+00,-6.655E-01,8.353E+00,1.982E+00,3.142E+00,-3.802E-03,2.679E+00,2.616E+00,4.784E-02,5.613E+00
