alpha,H,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
0,0.000E+00,2.332E-03,6.898E-04,0.000E+00,0.000E+00,0.000E+00,1.656E-03,6.963E-03,3.075E-01,1.830E+00,3.692E-02,1.162E+00,1.488E+00,3.142E+00,1.120E-03,2.389E+00,2.405E+00,6.219E-02,3.871E+00,1.684E+00,-6.866E-02,2.322E+00,1.504E+00,3.142E+00,-2.511E-03,2.711E+00,2.669E+00,1.126E-01,3.157E+00,1.728E+00,-3.870E-02,1.874E+00,1.466E+00,3.142E+00,-3.594E-03,2.463E+00,2.409E+00,6.040E-02,4.714E+00
1,0.000E+00,2.355E-03,7.031E-04,0.000E+00,0.000E+00,0.000E+00,1.660E-03,6.996E-03,3.098E-01,1.809E+00,1.975E-02,1.256E+00,1.477E+00,3.142E+00,3.956E-04,2.404E+00,2.410E+00,6.260E-02,3.853E+00,1.679E+00,-6.691E-02,2.276E+00,1.546E+00,3.142E+00,-2.568E-03,2.724E+00,2.680E+00,1.124E-01,3.162E+00,1.722E+00,-3.056E-02,1.791E+00,1.517E+00,3.142E+00,-3.688E-03,2.469E+00,2.414E+00,6.057E-02,4.704E+00
2,0.000E+00,2.378E-03,7.164E-04,0.000E+00,0.000E+00,0.000E+00,1.664E-03,7.028E-03,3.121E-01,1.788E+00,2.585E-03,1.350E+00,1.465E+00,3.142E+00,-3.289E-04,2.420E+00,2.415E+00,6.301E-02,3.836E+00,1.675E+00,-6.515E-02,2.231E+00,1.587E+00,3.142E+00,-2.626E-03,2.737E+00,2.692E+00,1.122E-01,3.167E+00,1.718E+00,-2.242E-02,1.707E+00,1.568E+00,3.142E+00,-3.782E-03,2.476E+00,2.419E+00,6.074E-02,4.694E+00
3,0.000E+00,2.401E-03,7.297E-04,0.000E+00,0.000E+00,0.000E+00,1.668E-03,7.061E-03,3.144E-01,1.786E+00,-1.458E-02,1.444E+00,1.453E+00,3.142E+00,-1.053E-03,2.436E+00,2.419E+00,6.342E-02,3.819E+00,1.672E+00,-6.340E-02,2.186E+00,1.629E+00,3.142E+00,-2.683E-03,2.750E+00,2.703E+00,1.120E-01,3.173E+00,1.715E+00,-1.428E-02,1.624E+00,1.619E+00,3.142E+00,-3.876E-03,2.482E+00,2.423E+00,6.091E-02,4.684E+00
4,0.000E+00,2.412E-03,7.363E-04,0.000E+00,0.000E+00,0.000E+00,1.670E-03,7.077E-03,3.155E-01,1.787E+00,-2.316E-02,1.491E+00,1.447E+00,3.142E+00,-1.416E-03,2.443E+00,2.422E+00,6.363E-02,3.810E+00,1.670E+00,-6.252E-02,2.163E+00,1.649E+00,3.142E+00,-2.712E-03,2.756E+00,2.709E+00,1.118E-01,3.175E+00,1.714E+00,-1.021E-02,1.582E+00,1.645E+00,3.142E+00,-3.923E-03,2.485E+00,2.426E+00,6.100E-02,4.679E+00
5,0.000E+00,2.423E-03,7.430E-04,0.000E+00,0.000E+00,0.000E+00,1.671E-03,7.093E-03,3.166E-01,1.788E+00,-3.175E-02,1.538E+00,1.442E+00,3.142E+00,-1.778E-03,2.451E+00,2.424E+00,6.384E-02,3.802E+00,1.668E+00,-6.165E-02,2.141E+00,1.670E+00,3.142E+00,-2.741E-03,2.762E+00,2.715E+00,1.117E-01,3.178E+00,1.713E+00,-6.141E-03,1.541E+00,1.670E+00,3.142E+00,-3.970E-03,2.488E+00,2.428E+00,6.108E-02,4.674E+00
6,0.000E+00,2.446E-03,7.562E-04,0.000E+00,0.000E+00,0.000E+00,1.675E-03,7.126E-03,3.189E-01,1.790E+00,-4.891E-02,1.632E+00,1.430E+00,3.142E+00,-2.502E-03,2.467E+00,2.429E+00,6.425E-02,3.784E+00,1.665E+00,-5.989E-02,2.095E+00,1.712E+00,3.142E+00,-2.798E-03,2.775E+00,2.726E+00,1.115E-01,3.183E+00,1.714E+00,1.999E-03,1.458E+00,1.721E+00,3.142E+00,-4.064E-03,2.494E+00,2.433E+00,6.125E-02,4.664E+00
7,0.000E+00,2.469E-03,7.695E-04,0.000E+00,0.000E+00,0.000E+00,1.679E-03,7.158E-03,3.212E-01,1.793E+00,-6.608E-02,1.726E+00,1.418E+00,3.142E+00,-3.227E-03,2.483E+00,2.433E+00,6.466E-02,3.767E+00,1.663E+00,-5.814E-02,2.050E+00,1.753E+00,3.142E+00,-2.856E-03,2.788E+00,2.738E+00,1.113E-01,3.188E+00,1.724E+00,1.014E-02,1.374E+00,1.772E+00,3.142E+00,-4.158E-03,2.501E+00,2.437E+00,6.142E-02,4.655E+00
8,0.000E+00,2.492E-03,7.828E-04,0.000E+00,0.000E+00,0.000E+00,1.683E-03,7.191E-03,3.235E-01,1.797E+00,-8.324E-02,1.820E+00,1.407E+00,3.142E+00,-3.951E-03,2.498E+00,2.438E+00,6.507E-02,3.750E+00,1.660E+00,-5.639E-02,2.005E+00,1.795E+00,3.142E+00,-2.913E-03,2.801E+00,2.749E+00,1.111E-01,3.194E+00,1.735E+00,1.828E-02,1.291E+00,1.823E+00,3.142E+00,-4.252E-03,2.507E+00,2.442E+00,6.159E-02,4.645E+00
9,0.000E+00,2.503E-03,7.895E-04,0.000E+00,0.000E+00,0.000E+00,1.685E-03,7.207E-03,3.246E-01,1.799E+00,-9.183E-02,1.867E+00,1.401E+00,3.142E+00,-4.313E-03,2.506E+00,2.440E+00,6.528E-02,3.741E+00,1.659E+00,-5.551E-02,1.982E+00,1.815E+00,3.142E+00,-2.942E-03,2.807E+00,2.755E+00,1.110E-01,3.196E+00,1.742E+00,2.235E-02,1.250E+00,1.849E+00,3.142E+00,-4.298E-03,2.510E+00,2.444E+00,6.168E-02,4.640E+00
10,0.000E+00,2.515E-03,7.961E-04,0.000E+00,0.000E+00,0.000E+00,1.687E-03,7.223E-03,3.257E-01,1.801E+00,-1.004E-01,1.914E+00,1.395E+00,3.142E+00,-4.676E-03,2.514E+00,2.443E+00,6.548E-02,3.733E+00,1.658E+00,-5.463E-02,1.959E+00,1.836E+00,3.142E+00,-2.971E-03,2.814E+00,2.761E+00,1.109E-01,3.199E+00,1.748E+00,2.642E-02,1.208E+00,1.875E+00,3.142E+00,-4.345E-03,2.513E+00,2.447E+00,6.176E-02,4.635E+00
11,0.000E+00,2.548E-03,8.125E-04,0.000E+00,0.000E+00,0.000E+00,1.717E-03,7.371E-03,3.313E-01,1.797E+00,-1.025E-01,1.905E+00,1.426E+00,3.142E+00,-4.129E-03,2.494E+00,2.431E+00,6.539E-02,3.736E+00,1.657E+00,-5.664E-02,1.944E+00,1.874E+00,3.142E+00,-2.694E-03,2.805E+00,2.757E+00,1.108E-01,3.199E+00,1.731E+00,9.828E-03,1.286E+00,1.858E+00,3.142E+00,-4.303E-03,2.513E+00,2.447E+00,6.175E-02,4.636E+00
12,0.000E+00,2.582E-03,8.289E-04,0.000E+00,0.000E+00,0.000E+00,1.746E-03,7.518E-03,3.368E-01,1.794E+00,-1.047E-01,1.896E+00,1.457E+00,3.142E+00,-3.582E-03,2.473E+00,2.419E+00,6.529E-02,3.740E+00,1.655E+00,-5.865E-02,1.928E+00,1.912E+00,3.142E+00,-2.417E-03,2.796E+00,2.753E+00,1.108E-01,3.200E+00,1.722E+00,-6.764E-03,1.364E+00,1.842E+00,3.142E+00,-4.260E-03,2.512E+00,2.447E+00,6.173E-02,4.637E+00
13,0.000E+00,2.615E-03,8.453E-04,0.000E+00,0.000E+00,0.000E+00,1.776E-03,7.665E-03,3.423E-01,1.790E+00,-1.068E-01,1.887E+00,1.488E+00,3.142E+00,-3.035E-03,2.453E+00,2.407E+00,6.520E-02,3.744E+00,1.653E+00,-6.066E-02,1.912E+00,1.949E+00,3.142E+00,-2.141E-03,2.787E+00,2.750E+00,1.108E-01,3.201E+00,1.725E+00,-2.335E-02,1.442E+00,1.826E+00,3.142E+00,-4.218E-03,2.511E+00,2.447E+00,6.171E-02,4.638E+00
14,0.000E+00,2.632E-03,8.535E-04,0.000E+00,0.000E+00,0.000E+00,1.791E-03,7.738E-03,3.451E-01,1.789E+00,-1.079E-01,1.883E+00,1.503E+00,3.142E+00,-2.762E-03,2.443E+00,2.401E+00,6.515E-02,3.746E+00,1.652E+00,-6.166E-02,1.904E+00,1.968E+00,3.142E+00,-2.002E-03,2.783E+00,2.748E+00,1.108E-01,3.201E+00,1.726E+00,-3.165E-02,1.481E+00,1.817E+00,3.142E+00,-4.196E-03,2.511E+00,2.447E+00,6.170E-02,4.639E+00
15,0.000E+00,2.649E-03,8.617E-04,0.000E+00,0.000E+00,0.000E+00,1.806E-03,7.812E-03,3.478E-01,1.787E+00,-1.089E-01,1.879E+00,1.519E+00,3.142E+00,-2.488E-03,2.433E+00,2.395E+00,6.510E-02,3.748E+00,1.652E+00,-6.267E-02,1.896E+00,1.987E+00,3.142E+00,-1.864E-03,2.779E+00,2.746E+00,1.108E-01,3.201E+00,1.728E+00,-3.995E-02,1.520E+00,1.809E+00,3.142E+00,-4.175E-03,2.511E+00,2.447E+00,6.169E-02,4.639E+00
16,0.000E+00,2.682E-03,8.781E-04,0.000E+00,0.000E+00,0.000E+00,1.836E-03,7.959E-03,3.534E-01,1.784E+00,-1.111E-01,1.870E+00,1.550E+00,3.142E+00,-1.941E-03,2.412E+00,2.383E+00,6.501E-02,3.752E+00,1.650E+00,-6.467E-02,1.880E+00,2.025E+00,3.142E+00,-1.587E-03,2.770E+00,2.742E+00,1.107E-01,3.202E+00,1.732E+00,-5.654E-02,1.598E+00,1.793E+00,3.142E+00,-4.132E-03,2.510E+00,2.447E+00,6.167E-02,4.640E+00
17,0.000E+00,2.716E-03,8.945E-04,0.000E+00,0.000E+00,0.000E+00,1.865E-03,8.106E-03,3.589E-01,1.781E+00,-1.132E-01,1.861E+00,1.581E+00,3.142E+00,-1.395E-03,2.392E+00,2.371E+00,6.491E-02,3.756E+00,1.649E+00,-6.668E-02,1.864E+00,2.063E+00,3.142E+00,-1.311E-03,2.761E+00,2.738E+00,1.107E-01,3.203E+00,1.737E+00,-7.313E-02,1.676E+00,1.777E+00,3.142E+00,-4.090E-03,2.509E+00,2.447E+00,6.165E-02,4.641E+00
18,0.000E+00,2.749E-03,9.109E-04,0.000E+00,0.000E+00,0.000E+00,1.895E-03,8.253E-03,3.644E-01,1.778E+00,-1.153E-01,1.853E+00,1.612E+00,3.142E+00,-8.478E-04,2.371E+00,2.359E+00,6.481E-02,3.760E+00,1.648E+00,-6.869E-02,1.848E+00,2.100E+00,3.142E+00,-1.034E-03,2.753E+00,2.735E+00,1.107E-01,3.203E+00,1.741E+00,-8.972E-02,1.754E+00,1.760E+00,3.142E+00,-4.047E-03,2.509E+00,2.447E+00,6.163E-02,4.643E+00
19,0.000E+00,2.766E-03,9.191E-04,0.000E+00,0.000E+00,0.000E+00,1.910E-03,8.326E-03,3.672E-01,1.776E+00,-1.164E-01,1.848E+00,1.627E+00,3.142E+00,-5.744E-04,2.361E+00,2.353E+00,6.477E-02,3.762E+00,1.648E+00,-6.969E-02,1.840E+00,2.119E+00,3.142E+00,-8.956E-04,2.748E+00,2.733E+00,1.107E-01,3.204E+00,1.744E+00,-9.801E-02,1.793E+00,1.752E+00,3.142E+00,-4.026E-03,2.509E+00,2.447E+00,6.162E-02,4.643E+00
20,0.000E+00,2.783E-03,9.273E-04,0.000E+00,0.000E+00,0.000E+00,1.925E-03,8.400E-03,3.699E-01,1.775E+00,-1.175E-01,1.844E+00,1.643E+00,3.142E+00,-3.010E-04,2.351E+00,2.347E+00,6.472E-02,3.764E+00,1.647E+00,-7.070E-02,1.832E+00,2.138E+00,3.142E+00,-7.573E-04,2.744E+00,2.731E+00,1.106E-01,3.204E+00,1.747E+00,-1.063E-01,1.832E+00,1.744E+00,3.142E+00,-4.005E-03,2.508E+00,2.447E+00,6.161E-02,4.644E+00
21,0.000E+00,2.873E-03,9.161E-04,0.000E+00,0.000E+00,0.000E+00,2.009E-03,8.589E-03,3.800E-01,1.777E+00,-1.283E-01,1.893E+00,1.643E+00,3.142E+00,-7.800E-04,2.360E+00,2.349E+00,6.397E-02,3.797E+00,1.648E+00,-9.155E-02,1.980E+00,2.101E+00,3.142E+00,-9.099E-04,2.742E+00,2.727E+00,1.101E-01,3.217E+00,1.749E+00,-1.200E-01,1.895E+00,1.745E+00,3.142E+00,-4.123E-03,2.511E+00,2.448E+00,6.119E-02,4.669E+00
22,0.000E+00,2.963E-03,9.049E-04,0.000E+00,0.000E+00,0.000E+00,2.094E-03,8.779E-03,3.902E-01,1.779E+00,-1.391E-01,1.941E+00,1.644E+00,3.142E+00,-1.259E-03,2.370E+00,2.351E+00,6.322E-02,3.830E+00,1.650E+00,-1.124E-01,2.128E+00,2.064E+00,3.142E+00,-1.063E-03,2.741E+00,2.723E+00,1.096E-01,3.229E+00,1.751E+00,-1.337E-01,1.958E+00,1.746E+00,3.142E+00,-4.241E-03,2.513E+00,2.449E+00,6.078E-02,4.693E+00
23,0.000E+00,3.054E-03,8.937E-04,0.000E+00,0.000E+00,0.000E+00,2.178E-03,8.968E-03,4.003E-01,1.781E+00,-1.499E-01,1.990E+00,1.644E+00,3.142E+00,-1.738E-03,2.379E+00,2.354E+00,6.247E-02,3.863E+00,1.654E+00,-1.333E-01,2.276E+00,2.027E+00,3.142E+00,-1.215E-03,2.739E+00,2.718E+00,1.092E-01,3.242E+00,1.753E+00,-1.474E-01,2.021E+00,1.747E+00,3.142E+00,-4.360E-03,2.516E+00,2.449E+00,6.037E-02,4.718E+00
24,0.000E+00,3.099E-03,8.880E-04,0.000E+00,0.000E+00,0.000E+00,2.221E-03,9.063E-03,4.054E-01,1.782E+00,-1.553E-01,2.014E+00,1.644E+00,3.142E+00,-1.978E-03,2.384E+00,2.355E+00,6.210E-02,3.880E+00,1.657E+00,-1.437E-01,2.350E+00,2.009E+00,3.142E+00,-1.291E-03,2.738E+00,2.716E+00,1.089E-01,3.248E+00,1.754E+00,-1.542E-01,2.053E+00,1.748E+00,3.142E+00,-4.419E-03,2.517E+00,2.450E+00,6.016E-02,4.731E+00
25,0.000E+00,3.144E-03,8.824E-04,0.000E+00,0.000E+00,0.000E+00,2.263E-03,9.157E-03,4.104E-01,1.783E+00,-1.607E-01,2.038E+00,1.644E+00,3.142E+00,-2.217E-03,2.388E+00,2.356E+00,6.172E-02,3.896E+00,1.659E+00,-1.541E-01,2.424E+00,1.990E+00,3.142E+00,-1.368E-03,2.738E+00,2.714E+00,1.087E-01,3.254E+00,1.755E+00,-1.610E-01,2.084E+00,1.749E+00,3.142E+00,-4.478E-03,2.518E+00,2.450E+00,5.995E-02,4.743E+00
26,0.000E+00,3.234E-03,8.712E-04,0.000E+00,0.000E+00,0.000E+00,2.347E-03,9.347E-03,4.205E-01,1.785E+00,-1.715E-01,2.087E+00,1.645E+00,3.142E+00,-2.696E-03,2.397E+00,2.358E+00,6.097E-02,3.929E+00,1.666E+00,-1.750E-01,2.572E+00,1.953E+00,3.142E+00,-1.520E-03,2.736E+00,2.710E+00,1.082E-01,3.267E+00,1.758E+00,-1.747E-01,2.147E+00,1.750E+00,3.142E+00,-4.597E-03,2.521E+00,2.451E+00,5.954E-02,4.768E+00
27,0.000E+00,3.324E-03,8.600E-04,0.000E+00,0.000E+00,0.000E+00,2.432E-03,9.536E-03,4.307E-01,1.787E+00,-1.823E-01,2.135E+00,1.645E+00,3.142E+00,-3.175E-03,2.407E+00,2.360E+00,6.023E-02,3.962E+00,1.673E+00,-1.958E-01,2.720E+00,1.916E+00,3.142E+00,-1.673E-03,2.735E+00,2.706E+00,1.077E-01,3.280E+00,1.761E+00,-1.884E-01,2.210E+00,1.751E+00,3.142E+00,-4.715E-03,2.523E+00,2.451E+00,5.913E-02,4.793E+00
28,0.000E+00,3.414E-03,8.487E-04,0.000E+00,0.000E+00,0.000E+00,2.516E-03,9.725E-03,4.408E-01,1.790E+00,-1.931E-01,2.184E+00,1.645E+00,3.142E+00,-3.654E-03,2.416E+00,2.363E+00,5.948E-02,3.995E+00,1.682E+00,-2.167E-01,2.868E+00,1.879E+00,3.142E+00,-1.826E-03,2.733E+00,2.702E+00,1.072E-01,3.292E+00,1.764E+00,-2.021E-01,2.273E+00,1.752E+00,3.142E+00,-4.834E-03,2.526E+00,2.452E+00,5.871E-02,4.817E+00
29,0.000E+00,3.460E-03,8.431E-04,0.000E+00,0.000E+00,0.000E+00,2.559E-03,9.820E-03,4.459E-01,1.791E+00,-1.985E-01,2.208E+00,1.646E+00,3.142E+00,-3.894E-03,2.421E+00,2.364E+00,5.910E-02,4.012E+00,1.686E+00,-2.271E-01,2.942E+00,1.861E+00,3.142E+00,-1.902E-03,2.732E+00,2.700E+00,1.069E-01,3.298E+00,1.765E+00,-2.089E-01,2.305E+00,1.753E+00,3.142E+00,-4.893E-03,2.527E+00,2.452E+00,5.851E-02,4.830E+00
30,0.000E+00,3.505E-03,8.375E-04,0.000E+00,0.000E+00,0.000E+00,2.601E-03,9.915E-03,4.509E-01,1.792E+00,-2.039E-01,2.233E+00,1.646E+00,3.142E+00,-4.133E-03,2.425E+00,2.365E+00,5.873E-02,4.029E+00,1.691E+00,-2.375E-01,3.016E+00,1.842E+00,3.142E+00,-1.978E-03,2.731E+00,2.698E+00,1.067E-01,3.305E+00,1.766E+00,-2.158E-01,2.336E+00,1.753E+00,3.142E+00,-4.952E-03,2.528E+00,2.453E+00,5.830E-02,4.842E+00
31,0.000E+00,3.714E-03,8.164E-04,0.000E+00,0.000E+00,0.000E+00,2.843E-03,1.067E-02,4.809E-01,1.791E+00,-2.368E-01,2.497E+00,1.625E+00,3.142E+00,-4.538E-03,2.445E+00,2.378E+00,5.868E-02,4.031E+00,1.691E+00,-2.456E-01,3.042E+00,1.866E+00,3.142E+00,-1.996E-03,2.736E+00,2.701E+00,1.063E-01,3.314E+00,1.745E+00,-2.584E-01,2.878E+00,1.725E+00,3.142E+00,-4.557E-03,2.532E+00,2.462E+00,5.764E-02,4.887E+00
32,0.000E+00,3.818E-03,8.059E-04,0.000E+00,0.000E+00,0.000E+00,2.965E-03,1.105E-02,4.960E-01,1.791E+00,-2.533E-01,2.629E+00,1.614E+00,3.142E+00,-4.740E-03,2.455E+00,2.384E+00,5.866E-02,4.032E+00,1.690E+00,-2.496E-01,3.056E+00,1.878E+00,3.142E+00,-2.005E-03,2.738E+00,2.703E+00,1.061E-01,3.319E+00,1.739E+00,-2.798E-01,3.149E+00,1.710E+00,3.142E+00,-4.360E-03,2.533E+00,2.466E+00,5.731E-02,4.909E+00
33,0.000E+00,3.923E-03,7.953E-04,0.000E+00,0.000E+00,0.000E+00,3.086E-03,1.143E-02,5.110E-01,1.793E+00,-2.697E-01,2.761E+00,1.604E+00,3.142E+00,-4.943E-03,2.465E+00,2.391E+00,5.864E-02,4.033E+00,1.690E+00,-2.536E-01,3.069E+00,1.890E+00,3.142E+00,-2.014E-03,2.740E+00,2.705E+00,1.060E-01,3.323E+00,1.736E+00,-3.011E-01,3.420E+00,1.696E+00,3.142E+00,-4.163E-03,2.535E+00,2.471E+00,5.698E-02,4.932E+00
34,0.000E+00,4.028E-03,7.848E-04,0.000E+00,0.000E+00,0.000E+00,3.207E-03,1.181E-02,5.260E-01,1.794E+00,-2.862E-01,2.894E+00,1.594E+00,3.142E+00,-5.145E-03,2.474E+00,2.397E+00,5.862E-02,4.034E+00,1.690E+00,-2.577E-01,3.083E+00,1.901E+00,3.142E+00,-2.022E-03,2.742E+00,2.707E+00,1.058E-01,3.328E+00,1.734E+00,-3.224E-01,3.690E+00,1.682E+00,3.142E+00,-3.965E-03,2.537E+00,2.476E+00,5.665E-02,4.954E+00
35,0.000E+00,4.132E-03,7.742E-04,0.000E+00,0.000E+00,0.000E+00,3.329E-03,1.219E-02,5.410E-01,1.797E+00,-3.027E-01,3.026E+00,1.583E+00,3.142E+00,-5.347E-03,2.484E+00,2.403E+00,5.860E-02,4.035E+00,1.689E+00,-2.617E-01,3.096E+00,1.913E+00,3.142E+00,-2.031E-03,2.744E+00,2.709E+00,1.056E-01,3.333E+00,1.734E+00,-3.438E-01,3.961E+00,1.667E+00,3.142E+00,-3.768E-03,2.538E+00,2.480E+00,5.632E-02,4.977E+00
36,0.000E+00,4.237E-03,7.637E-04,0.000E+00,0.000E+00,0.000E+00,3.450E-03,1.257E-02,5.560E-01,1.800E+00,-3.191E-01,3.158E+00,1.573E+00,3.142E+00,-5.550E-03,2.494E+00,2.410E+00,5.857E-02,4.036E+00,1.689E+00,-2.657E-01,3.110E+00,1.925E+00,3.142E+00,-2.040E-03,2.746E+00,2.711E+00,1.054E-01,3.338E+00,1.735E+00,-3.651E-01,4.232E+00,1.653E+00,3.142E+00,-3.570E-03,2.540E+00,2.485E+00,5.599E-02,4.999E+00
37,0.000E+00,4.341E-03,7.531E-04,0.000E+00,0.000E+00,0.000E+00,3.571E-03,1.294E-02,5.710E-01,1.804E+00,-3.356E-01,3.290E+00,1.562E+00,3.142E+00,-5.752E-03,2.504E+00,2.416E+00,5.855E-02,4.037E+00,1.689E+00,-2.697E-01,3.123E+00,1.937E+00,3.142E+00,-2.049E-03,2.749E+00,2.713E+00,1.053E-01,3.342E+00,1.738E+00,-3.864E-01,4.503E+00,1.639E+00,3.142E+00,-3.373E-03,2.541E+00,2.490E+00,5.566E-02,5.021E+00
38,0.000E+00,4.446E-03,7.426E-04,0.000E+00,0.000E+00,0.000E+00,3.692E-03,1.332E-02,5.860E-01,1.808E+00,-3.521E-01,3.423E+00,1.552E+00,3.142E+00,-5.954E-03,2.514E+00,2.423E+00,5.853E-02,4.038E+00,1.689E+00,-2.738E-01,3.136E+00,1.949E+00,3.142E+00,-2.058E-03,2.751E+00,2.715E+00,1.051E-01,3.347E+00,1.742E+00,-4.078E-01,4.774E+00,1.625E+00,3.142E+00,-3.176E-03,2.543E+00,2.494E+00,5.533E-02,5.044E+00
39,0.000E+00,4.551E-03,7.320E-04,0.000E+00,0.000E+00,0.000E+00,3.814E-03,1.370E-02,6.010E-01,1.812E+00,-3.685E-01,3.555E+00,1.542E+00,3.142E+00,-6.157E-03,2.524E+00,2.429E+00,5.851E-02,4.039E+00,1.688E+00,-2.778E-01,3.150E+00,1.961E+00,3.142E+00,-2.066E-03,2.753E+00,2.717E+00,1.049E-01,3.352E+00,1.746E+00,-4.291E-01,5.044E+00,1.610E+00,3.142E+00,-2.978E-03,2.545E+00,2.499E+00,5.500E-02,5.066E+00
40,0.000E+00,4.655E-03,7.215E-04,0.000E+00,0.000E+00,0.000E+00,3.935E-03,1.408E-02,6.160E-01,1.817E+00,-3.850E-01,3.687E+00,1.531E+00,3.142E+00,-6.359E-03,2.533E+00,2.435E+00,5.848E-02,4.040E+00,1.688E+00,-2.818E-01,3.163E+00,1.972E+00,3.142E+00,-2.075E-03,2.755E+00,2.719E+00,1.047E-01,3.356E+00,1.752E+00,-4.504E-01,5.315E+00,1.596E+00,3.142E+00,-2.781E-03,2.546E+00,2.503E+00,5.467E-02,5.089E+00
