alpha,H,He,Ca,Al,Si,O,Ca_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
61,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.605E-03,4.883E-07,5.679E-03,7.041E-03,3.758E-03,1.440E-02,1.134E-02,2.406E-02,1.580E+00,1.610E+00,-6.356E-01,1.018E+01,2.090E+00,3.142E+00,-3.797E-03,2.707E+00,2.643E+00,6.305E-02,4.603E+00,1.610E+00,-5.726E-01,7.251E+00,2.291E+00,3.142E+00,-1.764E-03,2.719E+00,2.688E+00,7.368E-02,3.739E+00,1.589E+00,-4.337E-01,5.840E+00,2.209E+00,3.142E+00,1.210E-05,2.672E+00,2.672E+00,9.822E-02,3.541E+00,1.676E+00,-6.802E-01,1.008E+01,1.918E+00,3.142E+00,1.978E-04,2.462E+00,2.465E+00,5.623E-02,4.977E+00
62,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.833E-03,2.441E-07,5.851E-03,7.221E-03,3.927E-03,1.497E-02,1.173E-02,2.482E-02,1.633E+00,1.602E+00,-6.401E-01,1.050E+01,2.114E+00,3.142E+00,-2.864E-03,2.702E+00,2.654E+00,6.342E-02,4.582E+00,1.597E+00,-5.507E-01,6.621E+00,2.414E+00,3.142E+00,-1.243E-03,2.650E+00,2.629E+00,7.475E-02,3.698E+00,1.573E+00,-4.301E-01,5.865E+00,2.283E+00,3.142E+00,-7.080E-05,2.680E+00,2.679E+00,9.824E-02,3.541E+00,1.673E+00,-6.916E-01,1.049E+01,1.925E+00,3.142E+00,2.619E-04,2.486E+00,2.490E+00,5.583E-02,5.003E+00
63,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.062E-03,0.000E+00,6.022E-03,7.402E-03,4.095E-03,1.553E-02,1.211E-02,2.558E-02,1.685E+00,1.593E+00,-6.446E-01,1.082E+01,2.138E+00,3.142E+00,-1.931E-03,2.696E+00,2.664E+00,6.380E-02,4.561E+00,1.589E+00,-5.287E-01,5.991E+00,2.537E+00,3.142E+00,-7.216E-04,2.581E+00,2.570E+00,7.581E-02,3.658E+00,1.557E+00,-4.265E-01,5.891E+00,2.357E+00,3.142E+00,-1.537E-04,2.688E+00,2.685E+00,9.827E-02,3.540E+00,1.670E+00,-7.031E-01,1.090E+01,1.931E+00,3.142E+00,3.260E-04,2.509E+00,2.514E+00,5.544E-02,5.030E+00
64,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.667E-03,0.000E+00,6.550E-03,8.093E-03,4.525E-03,1.690E-02,1.318E-02,2.757E-02,1.829E+00,1.569E+00,-6.424E-01,1.125E+01,2.210E+00,3.142E+00,2.551E-04,2.591E+00,2.594E+00,6.576E-02,4.459E+00,1.551E+00,-5.912E-01,8.972E+00,2.419E+00,3.142E+00,-1.664E-03,2.641E+00,2.613E+00,7.580E-02,3.658E+00,1.560E+00,-4.904E-01,8.322E+00,2.097E+00,3.142E+00,-1.837E-04,2.708E+00,2.705E+00,9.798E-02,3.549E+00,1.640E+00,-6.824E-01,1.022E+01,2.077E+00,3.142E+00,-4.758E-03,2.558E+00,2.484E+00,5.470E-02,5.081E+00
65,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.969E-03,0.000E+00,6.813E-03,8.438E-03,4.740E-03,1.759E-02,1.371E-02,2.856E-02,1.901E+00,1.558E+00,-6.413E-01,1.147E+01,2.247E+00,3.142E+00,1.348E-03,2.538E+00,2.559E+00,6.674E-02,4.408E+00,1.546E+00,-6.224E-01,1.046E+01,2.360E+00,3.142E+00,-2.135E-03,2.670E+00,2.635E+00,7.580E-02,3.658E+00,1.576E+00,-5.224E-01,9.538E+00,1.967E+00,3.142E+00,-1.987E-04,2.719E+00,2.715E+00,9.783E-02,3.553E+00,1.626E+00,-6.720E-01,9.877E+00,2.149E+00,3.142E+00,-7.300E-03,2.583E+00,2.469E+00,5.434E-02,5.106E+00
66,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.271E-03,0.000E+00,7.077E-03,8.783E-03,4.955E-03,1.827E-02,1.425E-02,2.955E-02,1.973E+00,1.546E+00,-6.402E-01,1.169E+01,2.283E+00,3.142E+00,2.441E-03,2.486E+00,2.524E+00,6.773E-02,4.356E+00,1.547E+00,-6.536E-01,1.195E+01,2.301E+00,3.142E+00,-2.606E-03,2.700E+00,2.656E+00,7.580E-02,3.658E+00,1.599E+00,-5.543E-01,1.075E+01,1.837E+00,3.142E+00,-2.137E-04,2.729E+00,2.725E+00,9.768E-02,3.558E+00,1.613E+00,-6.616E-01,9.537E+00,2.222E+00,3.142E+00,-9.842E-03,2.607E+00,2.453E+00,5.397E-02,5.132E+00
67,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.967E-03,0.000E+00,7.681E-03,9.381E-03,5.390E-03,1.981E-02,1.539E-02,3.208E-02,2.134E+00,1.530E+00,-6.859E-01,1.513E+01,2.235E+00,3.142E+00,1.250E-04,2.528E+00,2.530E+00,6.623E-02,4.433E+00,1.525E+00,-6.823E-01,1.398E+01,2.337E+00,3.142E+00,-3.187E-03,2.663E+00,2.610E+00,7.450E-02,3.707E+00,1.555E+00,-5.555E-01,1.124E+01,1.998E+00,3.142E+00,2.188E-04,2.689E+00,2.693E+00,9.814E-02,3.544E+00,1.541E+00,-7.491E-01,1.921E+01,2.146E+00,3.142E+00,-5.311E-03,2.558E+00,2.475E+00,5.300E-02,5.203E+00
68,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.031E-02,0.000E+00,7.983E-03,9.680E-03,5.608E-03,2.058E-02,1.596E-02,3.334E-02,2.215E+00,1.528E+00,-7.088E-01,1.685E+01,2.212E+00,3.142E+00,-1.033E-03,2.549E+00,2.533E+00,6.549E-02,4.472E+00,1.516E+00,-6.967E-01,1.500E+01,2.355E+00,3.142E+00,-3.477E-03,2.644E+00,2.587E+00,7.385E-02,3.731E+00,1.535E+00,-5.561E-01,1.148E+01,2.078E+00,3.142E+00,4.351E-04,2.670E+00,2.677E+00,9.837E-02,3.537E+00,1.535E+00,-7.928E-01,2.405E+01,2.108E+00,3.142E+00,-3.046E-03,2.533E+00,2.486E+00,5.251E-02,5.239E+00
69,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.066E-02,0.000E+00,8.285E-03,9.979E-03,5.825E-03,2.135E-02,1.654E-02,3.461E-02,2.295E+00,1.528E+00,-7.316E-01,1.857E+01,2.188E+00,3.142E+00,-2.191E-03,2.571E+00,2.536E+00,6.474E-02,4.510E+00,1.509E+00,-7.110E-01,1.601E+01,2.372E+00,3.142E+00,-3.767E-03,2.625E+00,2.564E+00,7.320E-02,3.755E+00,1.515E+00,-5.567E-01,1.172E+01,2.159E+00,3.142E+00,6.514E-04,2.650E+00,2.660E+00,9.860E-02,3.530E+00,1.539E+00,-8.365E-01,2.889E+01,2.070E+00,3.142E+00,-7.801E-04,2.509E+00,2.497E+00,5.202E-02,5.275E+00
70,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.158E-02,0.000E+00,8.987E-03,1.098E-02,6.432E-03,2.312E-02,1.802E-02,3.763E-02,2.499E+00,1.480E+00,-7.158E-01,1.849E+01,2.395E+00,3.142E+00,4.858E-04,2.485E+00,2.491E+00,6.318E-02,4.597E+00,1.454E+00,-7.182E-01,1.857E+01,2.547E+00,3.142E+00,1.071E-03,2.522E+00,2.536E+00,7.303E-02,3.762E+00,1.491E+00,-5.720E-01,1.310E+01,2.212E+00,3.142E+00,-5.912E-05,2.684E+00,2.683E+00,9.755E-02,3.562E+00,1.521E+00,-8.182E-01,2.677E+01,2.158E+00,3.142E+00,5.028E-04,2.450E+00,2.458E+00,5.182E-02,5.290E+00
71,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.204E-02,0.000E+00,9.338E-03,1.148E-02,6.735E-03,2.401E-02,1.876E-02,3.914E-02,2.601E+00,1.458E+00,-7.079E-01,1.845E+01,2.499E+00,3.142E+00,1.824E-03,2.442E+00,2.469E+00,6.240E-02,4.641E+00,1.430E+00,-7.218E-01,1.985E+01,2.635E+00,3.142E+00,3.490E-03,2.470E+00,2.522E+00,7.294E-02,3.765E+00,1.481E+00,-5.796E-01,1.379E+01,2.238E+00,3.142E+00,-4.144E-04,2.702E+00,2.694E+00,9.703E-02,3.578E+00,1.513E+00,-8.090E-01,2.572E+01,2.203E+00,3.142E+00,1.144E-03,2.421E+00,2.438E+00,5.172E-02,5.298E+00
72,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.250E-02,0.000E+00,9.689E-03,1.197E-02,7.038E-03,2.489E-02,1.950E-02,4.065E-02,2.703E+00,1.436E+00,-7.000E-01,1.841E+01,2.602E+00,3.142E+00,3.163E-03,2.399E+00,2.446E+00,6.162E-02,4.684E+00,1.407E+00,-7.254E-01,2.113E+01,2.722E+00,3.142E+00,5.910E-03,2.418E+00,2.508E+00,7.286E-02,3.768E+00,1.471E+00,-5.872E-01,1.448E+01,2.265E+00,3.142E+00,-7.697E-04,2.719E+00,2.706E+00,9.651E-02,3.594E+00,1.506E+00,-7.999E-01,2.466E+01,2.247E+00,3.142E+00,1.786E-03,2.392E+00,2.418E+00,5.162E-02,5.305E+00
73,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.284E-02,0.000E+00,1.028E-02,1.230E-02,7.811E-03,2.744E-02,2.060E-02,4.244E-02,2.862E+00,1.416E+00,-7.091E-01,1.983E+01,2.677E+00,3.142E+00,3.387E-03,2.434E+00,2.485E+00,6.225E-02,4.648E+00,1.399E+00,-7.454E-01,2.503E+01,2.653E+00,3.142E+00,7.938E-03,2.368E+00,2.486E+00,7.208E-02,3.799E+00,1.443E+00,-5.800E-01,1.467E+01,2.383E+00,3.142E+00,2.016E-03,2.611E+00,2.643E+00,9.683E-02,3.584E+00,1.470E+00,-7.753E-01,2.203E+01,2.469E+00,3.142E+00,1.346E-03,2.408E+00,2.428E+00,5.000E-02,5.436E+00
74,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.317E-02,0.000E+00,1.087E-02,1.262E-02,8.583E-03,2.999E-02,2.171E-02,4.423E-02,3.022E+00,1.397E+00,-7.183E-01,2.124E+01,2.751E+00,3.142E+00,3.612E-03,2.468E+00,2.524E+00,6.288E-02,4.612E+00,1.397E+00,-7.654E-01,2.893E+01,2.585E+00,3.142E+00,9.967E-03,2.317E+00,2.465E+00,7.131E-02,3.829E+00,1.416E+00,-5.727E-01,1.486E+01,2.502E+00,3.142E+00,4.802E-03,2.504E+00,2.580E+00,9.716E-02,3.573E+00,1.441E+00,-7.508E-01,1.940E+01,2.692E+00,3.142E+00,9.067E-04,2.424E+00,2.437E+00,4.838E-02,5.567E+00
75,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.356E-02,0.000E+00,1.149E-02,1.334E-02,9.429E-03,3.235E-02,2.295E-02,4.620E-02,3.195E+00,1.370E+00,-6.953E-01,1.972E+01,2.944E+00,3.142E+00,6.516E-03,2.412E+00,2.511E+00,6.102E-02,4.722E+00,1.349E+00,-7.592E-01,2.885E+01,2.877E+00,3.142E+00,4.358E-03,2.479E+00,2.542E+00,7.376E-02,3.736E+00,1.404E+00,-5.651E-01,1.439E+01,2.585E+00,3.142E+00,4.779E-03,2.457E+00,2.531E+00,9.462E-02,3.655E+00,1.398E+00,-7.491E-01,2.075E+01,2.890E+00,3.142E+00,-5.478E-05,2.450E+00,2.449E+00,4.865E-02,5.544E+00
76,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.395E-02,0.000E+00,1.211E-02,1.405E-02,1.028E-02,3.472E-02,2.419E-02,4.817E-02,3.369E+00,1.346E+00,-6.724E-01,1.820E+01,3.137E+00,3.142E+00,9.420E-03,2.356E+00,2.498E+00,5.915E-02,4.832E+00,1.306E+00,-7.530E-01,2.876E+01,3.170E+00,3.142E+00,-1.251E-03,2.640E+00,2.620E+00,7.621E-02,3.644E+00,1.394E+00,-5.574E-01,1.393E+01,2.669E+00,3.142E+00,4.757E-03,2.410E+00,2.481E+00,9.208E-02,3.737E+00,1.359E+00,-7.475E-01,2.210E+01,3.089E+00,3.142E+00,-1.016E-03,2.477E+00,2.461E+00,4.892E-02,5.521E+00
77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.458E-02,0.000E+00,1.274E-02,1.453E-02,1.087E-02,3.684E-02,2.535E-02,5.034E-02,3.537E+00,1.319E+00,-6.817E-01,1.992E+01,3.262E+00,3.142E+00,1.061E-02,2.271E+00,2.423E+00,5.956E-02,4.807E+00,1.279E+00,-7.396E-01,2.646E+01,3.443E+00,3.142E+00,4.919E-03,2.432E+00,2.500E+00,6.932E-02,3.934E+00,1.360E+00,-5.429E-01,1.350E+01,2.898E+00,3.142E+00,6.624E-03,2.359E+00,2.457E+00,9.163E-02,3.752E+00,1.318E+00,-7.461E-01,2.346E+01,3.317E+00,3.142E+00,2.445E-03,2.304E+00,2.335E+00,4.902E-02,5.513E+00
78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.521E-02,0.000E+00,1.337E-02,1.500E-02,1.147E-02,3.897E-02,2.652E-02,5.252E-02,3.705E+00,1.294E+00,-6.909E-01,2.165E+01,3.387E+00,3.142E+00,1.180E-02,2.186E+00,2.349E+00,5.997E-02,4.782E+00,1.258E+00,-7.262E-01,2.415E+01,3.716E+00,3.142E+00,1.109E-02,2.223E+00,2.380E+00,6.244E-02,4.224E+00,1.329E+00,-5.283E-01,1.308E+01,3.127E+00,3.142E+00,8.491E-03,2.309E+00,2.432E+00,9.119E-02,3.767E+00,1.281E+00,-7.446E-01,2.483E+01,3.546E+00,3.142E+00,5.907E-03,2.131E+00,2.208E+00,4.912E-02,5.504E+00
79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.536E-02,0.000E+00,1.379E-02,1.552E-02,1.222E-02,4.064E-02,2.753E-02,5.390E-02,3.831E+00,1.243E+00,-6.729E-01,2.011E+01,3.909E+00,3.142E+00,1.833E-02,2.082E+00,2.324E+00,5.777E-02,4.925E+00,1.208E+00,-7.119E-01,2.273E+01,4.270E+00,3.142E+00,2.287E-02,2.094E+00,2.405E+00,6.356E-02,4.170E+00,1.288E+00,-5.232E-01,1.296E+01,3.488E+00,3.142E+00,1.326E-02,2.203E+00,2.386E+00,8.981E-02,3.816E+00,1.226E+00,-7.287E-01,2.348E+01,4.099E+00,3.142E+00,1.635E-02,2.003E+00,2.205E+00,4.722E-02,5.673E+00
80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.551E-02,0.000E+00,1.421E-02,1.604E-02,1.297E-02,4.232E-02,2.854E-02,5.529E-02,3.958E+00,1.203E+00,-6.550E-01,1.857E+01,4.431E+00,3.142E+00,2.486E-02,1.978E+00,2.299E+00,5.557E-02,5.067E+00,1.169E+00,-6.976E-01,2.131E+01,4.824E+00,3.142E+00,3.466E-02,1.965E+00,2.431E+00,6.467E-02,4.116E+00,1.252E+00,-5.180E-01,1.284E+01,3.848E+00,3.142E+00,1.802E-02,2.098E+00,2.340E+00,8.844E-02,3.864E+00,1.182E+00,-7.128E-01,2.213E+01,4.652E+00,3.142E+00,2.680E-02,1.875E+00,2.202E+00,4.532E-02,5.841E+00
81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.515E-02,0.000E+00,1.430E-02,1.584E-02,1.354E-02,4.342E-02,2.870E-02,5.517E-02,3.984E+00,1.161E+00,-6.491E-01,1.820E+01,5.017E+00,3.142E+00,3.811E-02,1.820E+00,2.285E+00,5.317E-02,5.245E+00,1.119E+00,-6.957E-01,2.201E+01,5.460E+00,3.142E+00,3.087E-02,1.922E+00,2.322E+00,6.317E-02,4.189E+00,1.212E+00,-5.123E-01,1.291E+01,4.264E+00,3.142E+00,1.616E-02,2.078E+00,2.292E+00,8.728E-02,3.907E+00,1.150E+00,-7.141E-01,2.192E+01,5.140E+00,3.142E+00,3.825E-02,1.740E+00,2.183E+00,4.401E-02,5.971E+00
82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.480E-02,0.000E+00,1.438E-02,1.563E-02,1.410E-02,4.452E-02,2.885E-02,5.506E-02,4.009E+00,1.125E+00,-6.433E-01,1.783E+01,5.604E+00,3.142E+00,5.137E-02,1.663E+00,2.272E+00,5.077E-02,5.423E+00,1.077E+00,-6.937E-01,2.271E+01,6.095E+00,3.142E+00,2.709E-02,1.879E+00,2.214E+00,6.166E-02,4.262E+00,1.177E+00,-5.067E-01,1.299E+01,4.680E+00,3.142E+00,1.430E-02,2.059E+00,2.244E+00,8.613E-02,3.950E+00,1.121E+00,-7.154E-01,2.170E+01,5.627E+00,3.142E+00,4.970E-02,1.605E+00,2.163E+00,4.271E-02,6.100E+00
83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.322E-02,0.000E+00,1.325E-02,1.426E-02,1.325E-02,4.145E-02,2.650E-02,5.008E-02,3.681E+00,1.072E+00,-6.377E-01,1.744E+01,6.676E+00,3.142E+00,7.019E-02,1.426E+00,2.161E+00,4.741E-02,5.723E+00,1.017E+00,-6.740E-01,2.050E+01,7.627E+00,3.142E+00,5.200E-02,1.608E+00,2.174E+00,5.480E-02,4.685E+00,1.141E+00,-4.898E-01,1.197E+01,5.392E+00,3.142E+00,5.166E-02,1.621E+00,2.134E+00,8.222E-02,4.111E+00,1.056E+00,-6.836E-01,1.903E+01,7.113E+00,3.142E+00,6.935E-02,1.389E+00,2.086E+00,4.011E-02,6.399E+00
84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.163E-02,0.000E+00,1.212E-02,1.290E-02,1.240E-02,3.838E-02,2.414E-02,4.510E-02,3.354E+00,1.030E+00,-6.322E-01,1.704E+01,7.749E+00,3.142E+00,8.901E-02,1.188E+00,2.050E+00,4.405E-02,6.024E+00,9.790E-01,-6.544E-01,1.829E+01,9.158E+00,3.142E+00,7.691E-02,1.338E+00,2.135E+00,4.793E-02,5.108E+00,1.114E+00,-4.729E-01,1.096E+01,6.105E+00,3.142E+00,8.901E-02,1.182E+00,2.024E+00,7.832E-02,4.272E+00,1.017E+00,-6.518E-01,1.636E+01,8.600E+00,3.142E+00,8.901E-02,1.173E+00,2.009E+00,3.752E-02,6.698E+00
85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.235E-03,0.000E+00,8.708E-03,9.157E-03,9.143E-03,2.777E-02,1.737E-02,3.248E-02,2.416E+00,1.048E+00,-6.173E-01,1.437E+01,7.996E+00,3.142E+00,8.901E-02,1.048E+00,1.801E+00,4.193E-02,6.254E+00,1.023E+00,-6.752E-01,1.693E+01,8.518E+00,3.142E+00,8.296E-02,1.139E+00,1.851E+00,4.298E-02,5.554E+00,1.106E+00,-4.592E-01,9.785E+00,6.702E+00,3.142E+00,8.901E-02,1.046E+00,1.780E+00,7.483E-02,4.441E+00,1.048E+00,-6.487E-01,1.469E+01,8.276E+00,3.142E+00,8.901E-02,1.042E+00,1.772E+00,3.297E-02,7.417E+00
86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.837E-03,0.000E+00,5.296E-03,5.419E-03,5.887E-03,1.716E-02,1.061E-02,1.987E-02,1.478E+00,1.077E+00,-6.023E-01,1.170E+01,8.244E+00,3.142E+00,8.901E-02,9.090E-01,1.552E+00,3.981E-02,6.485E+00,1.070E+00,-6.959E-01,1.558E+01,7.877E+00,3.142E+00,8.901E-02,9.406E-01,1.567E+00,3.803E-02,6.000E+00,1.106E+00,-4.454E-01,8.612E+00,7.300E+00,3.142E+00,8.901E-02,9.111E-01,1.536E+00,7.134E-02,4.610E+00,1.083E+00,-6.457E-01,1.302E+01,7.953E+00,3.142E+00,8.901E-02,9.111E-01,1.536E+00,2.843E-02,8.137E+00
87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.421E-03,0.000E+00,2.677E-03,2.744E-03,2.985E-03,8.699E-03,5.339E-03,1.002E-02,7.459E-01,8.639E-01,-6.424E-01,1.177E+01,2.251E+01,3.142E+00,-2.870E-01,1.373E+01,1.126E+00,3.330E-02,7.530E+00,8.647E-01,-6.949E-01,1.363E+01,2.069E+01,3.142E+00,-2.565E-01,9.519E+00,1.129E+00,3.689E-02,6.128E+00,1.159E+00,-5.216E-01,8.767E+00,6.813E+00,3.142E+00,8.866E-02,7.712E-01,1.307E+00,6.592E-02,4.938E+00,1.055E+00,-7.083E-01,1.146E+01,1.054E+01,3.142E+00,-3.096E-01,1.490E+01,1.073E+00,2.049E-02,1.096E+01
88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.883E-06,0.000E+00,5.762E-05,6.836E-05,8.398E-05,2.344E-04,7.129E-05,1.807E-04,1.387E-02,7.938E-01,-6.825E-01,1.183E+01,3.678E+01,3.142E+00,-6.630E-01,2.656E+01,6.992E-01,2.679E-02,8.574E+00,8.129E-01,-6.940E-01,1.168E+01,3.350E+01,3.142E+00,-6.020E-01,1.810E+01,6.919E-01,3.576E-02,6.256E+00,1.212E+00,-5.977E-01,8.921E+00,6.326E+00,3.142E+00,8.831E-02,6.313E-01,1.079E+00,6.051E-02,5.266E+00,1.041E+00,-7.709E-01,9.898E+00,1.313E+01,3.142E+00,-7.083E-01,2.888E+01,6.108E-01,1.256E-02,1.378E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.766E-07,0.000E+00,9.766E-07,7.214E-04,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
