alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
0.0,0.0,0.0,0.004556640625,0.0,0.0,5.6640625e-05,0.0002197265625,0.0022880859375,0.0090185546875,0.4702508590876996,1.7611223834111787,0.01579340192629597,1.2644228652123721,1.7117961542930467,8.283185307179584,0.0,1.0,1.0,0.05918694451371295,4.006768850027208,1.6095710037777833,0.005256169855542136,1.779952906368172,1.9800385509412102,8.283185307179584,0.0,1.0,1.0,0.10857509169032395,3.2555092987242658,1.7329007592553682,0.0234463807212798,1.3647765714603737,1.7366168520499061,8.283185307179584,0.0036367468173866603,1.0,1.0,0.0517325892576897,5.296723848397625
1.0,0.0,0.0,0.0045759277343750005,0.0,0.0,5.444335937500001e-05,0.00020886230468749998,0.0022946777343750002,0.009085205078124999,0.4721502575370523,1.7554852422350815,0.012174934091435162,1.2782824636232573,1.7234453883319225,8.283185307179584,0.0053032496614991145,1.0,1.0,0.05913610122501113,4.009177228013758,1.607757604218317,-0.00039286261673919477,1.7950766456716991,1.9768223041627055,8.283185307179584,0.004859801868204484,1.0,1.0,0.10851790331892906,3.25695954947558,1.7291653060349668,0.020336601524703797,1.3679986922838894,1.75341956709082,8.283185307179584,0.008352199201246233,1.0,1.0,0.05200776566698345,5.276424752647639
2.0,0.0,0.0,0.004595214843750001,0.0,0.0,5.2246093750000006e-05,0.00019799804687499999,0.00230126953125,0.00915185546875,0.4740496559864051,1.7498756914839455,0.008556466256574354,1.2921420620341424,1.7350946223707986,8.283185307179584,0.010606499322998229,1.0,1.0,0.0590852579363093,4.01158560600031,1.6114460865015436,-0.006041895089020526,1.8102003849752264,1.9736060573842007,8.283185307179584,0.009719603736408969,1.0,1.0,0.10846071494753418,3.2584098002268944,1.7254362183030767,0.017226822328127795,1.371220813107405,1.7702222821317337,8.283185307179584,0.013067651585105805,1.0,1.0,0.052282942076277206,5.256125656897652
3.0,0.0,0.0,0.004614501953125001,0.0,0.0,5.0048828125000004e-05,0.0001871337890625,0.002307861328125,0.009218505859375,0.47594905443575786,1.7442980818687945,0.004937998421713547,1.3060016604450277,1.7467438564096744,8.283185307179584,0.015909748984497343,1.0,1.0,0.059034414647607475,4.013993983986861,1.6151386501340201,-0.011690927561301856,1.8253241242787535,1.9703898106056958,8.283185307179584,0.014579405604613453,1.0,1.0,0.10840352657613929,3.259860050978209,1.7217143658865746,0.014117043131551793,1.3744429339309208,1.7870249971726475,8.283185307179584,0.017783103968965378,1.0,1.0,0.05255811848557096,5.235826561147665
4.0,0.0,0.0,0.0046241455078125,0.0,0.0,4.89501953125e-05,0.00018170166015625,0.0023111572265625,0.0092518310546875,0.4768987536604342,1.7415227823655233,0.003128764504283143,1.3129314596504704,1.7525684734291125,8.283185307179584,0.0185613738152469,1.0,1.0,0.059008993003256564,4.015198172980137,1.6169854194967423,-0.014515443797442521,1.832885993930517,1.9687816872164436,8.283185307179584,0.017009306538715695,1.0,1.0,0.10837493239044185,3.260585176353866,1.7198564599347694,0.012562153533263794,1.3760539943426786,1.7954263546931044,8.283185307179584,0.020140830160895164,1.0,1.0,0.052695706690217836,5.225677013272671
5.0,0.0,0.0,0.0046337890625,0.0,0.0,4.78515625e-05,0.00017626953125,0.002314453125,0.00928515625,0.4778484528851106,1.7387574678861337,0.0013195305868527393,1.3198612588559129,1.7583930904485503,8.283185307179584,0.021212998645996458,1.0,1.0,0.058983571358905654,4.0164023619734115,1.6188320865380277,-0.017339960033583186,1.8404478635822805,1.9671735638271912,8.283185307179584,0.019439207472817938,1.0,1.0,0.1083463382047444,3.261310301729523,1.7180007510209614,0.011007263934975793,1.3776650547544365,1.8038277122135613,8.283185307179584,0.02249855635282495,1.0,1.0,0.052833294894864706,5.215527465397678
6.0,0.0,0.0,0.004653076171874999,0.0,0.0,4.5654296875e-05,0.0001654052734375,0.002321044921875,0.009351806640625,0.47974785133446335,1.7359262645665237,-0.002298937248008068,1.333720857266798,1.7700423244874264,8.283185307179584,0.02651624830749557,1.0,1.0,0.058932728070203826,4.018810739959962,1.6225240706156998,-0.022988992505864517,1.8555716028858078,1.9639573170486866,8.283185307179584,0.024299009341022422,1.0,1.0,0.10828914983334952,3.262760552480837,1.7142965521172397,0.007897484738399792,1.3808871755779522,1.820630427254475,8.283185307179584,0.027214008736684524,1.0,1.0,0.05310847130415845,5.195228369647692
7.0,0.0,0.0,0.0046723632812499995,0.0,0.0,4.345703125e-05,0.000154541015625,0.0023276367187499997,0.00941845703125,0.4816472497838161,1.734644394813572,-0.0059174050828688755,1.3475804556776834,1.7816915585263022,8.283185307179584,0.031819497968994685,1.0,1.0,0.058881884781502,4.021219117946513,1.626212798932892,-0.028638024978145847,1.8706953421893349,1.9607410702701817,8.283185307179584,0.029158811209226906,1.0,1.0,0.10823196146195463,3.2642108032321517,1.7106032060349778,0.0047877055418237904,1.3841092964014678,1.837433142295389,8.283185307179584,0.031929461120544095,1.0,1.0,0.053383647713452206,5.174929273897705
8.0,0.0,0.0,0.004691650390625,0.0,0.0,4.1259765624999996e-05,0.0001436767578125,0.002334228515625,0.009485107421875,0.48354664823316884,1.733373540562483,-0.009535872917729683,1.3614400540885685,1.793340792565178,8.283185307179584,0.0371227476304938,1.0,1.0,0.058831041492800176,4.023627495933065,1.6298968228834,-0.03428705745042718,1.885819081492862,1.957524823491677,8.283185307179584,0.03401861307743139,1.0,1.0,0.10817477309055973,3.2656610539834663,1.7069226059053686,0.001677926345247789,1.3873314172249835,1.8542358573363027,8.283185307179584,0.036644913504403666,1.0,1.0,0.05365882412274596,5.154630178147718
9.0,0.0,0.0,0.0047012939453125,0.0,0.0,4.0161132812499995e-05,0.00013824462890625,0.0023375244140625,0.0095184326171875,0.4844963474578452,1.732741909457144,-0.011345106835160088,1.368369853294011,1.7991654095846161,8.283185307179584,0.03977437246124336,1.0,1.0,0.05880561984844926,4.02483168492634,1.6317366903207233,-0.03711157368656784,1.8933809511446256,1.9559167001024247,8.283185307179584,0.036448514011533636,1.0,1.0,0.10814617890486228,3.2663861793591233,1.7050879678316622,0.00012303674695978838,1.3889424776367414,1.8626372148567596,8.283185307179584,0.039002639696333455,1.0,1.0,0.05379641232739284,5.144480630272724
10.0,0.0,0.0,0.0047109375,0.0,0.0,3.90625e-05,0.0001328125,0.0023408203125,0.0095517578125,0.4854460466825216,1.7321127162041141,-0.01315434075259049,1.3752996524994536,1.8049900266040542,8.283185307179584,0.042425997291992916,1.0,1.0,0.05878019820409835,4.026035873919615,1.6335749513357463,-0.03993608992270851,1.9009428207963892,1.9543085767131723,8.283185307179584,0.038878414945635875,1.0,1.0,0.10811758471916484,3.2671113047347804,1.7048942797849556,-0.0014318528513282123,1.3905535380484995,1.8710385723772165,8.283185307179584,0.04136036588826324,1.0,1.0,0.053934000532039714,5.134331082397732
11.0,0.0,0.0,0.0047824707031249875,0.0,0.0,3.6499023437500005e-05,0.00012548828125,0.0023901367187499876,0.009672241210937502,0.4926425005172623,1.7427572951320716,-0.02975509202442293,1.4451044441583076,1.7564082315464684,8.283185307179584,0.047947375487900415,1.0,1.0,0.05879485367155467,4.025339016829145,1.629818462867902,-0.04423823573660904,1.9069148994605585,1.999020852527341,8.283185307179584,0.04401316348852177,1.0,1.0,0.10771570059627916,3.277616785195196,1.7060102932217303,-0.01194294922619284,1.443983773431556,1.861302246127798,8.283185307179584,0.04605590909968574,1.0,1.0,0.05373103745760478,5.149168889820549
