alpha,H,He,Ti,S,Ti_1,S_1,amu/ion,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S,thetaK_Ti,thetaTilt_Ti,thetaM_Ti,thetaN_Ti,3dK_Ti,3dTilt_Ti,3dM_Ti,3dN_Ti,energyK_Ti,energyE_Ti
7.700E+01,0.000E+00,0.000E+00,3.254E-02,0.000E+00,2.573E-02,5.835E-02,4.661E+00,1.371E+00,-6.347E-01,1.617E+01,2.951E+00,4.655E+00,4.149E-01,1.334E+00,1.000E+00,9.356E-02,3.269E+00,1.377E+00,-8.873E-01,3.072E+01,3.086E+00,4.648E+00,6.083E-01,1.344E+00,1.000E+00,3.220E-02,6.334E+00
7.800E+01,0.000E+00,0.000E+00,3.384E-02,0.000E+00,2.730E-02,6.122E-02,4.892E+00,1.347E+00,-6.206E-01,1.545E+01,3.151E+00,4.589E+00,4.278E-01,1.427E+00,1.000E+00,9.296E-02,3.285E+00,1.331E+00,-8.864E-01,3.318E+01,3.336E+00,4.583E+00,6.195E-01,1.435E+00,1.000E+00,3.141E-02,6.435E+00
7.900E+01,0.000E+00,0.000E+00,3.467E-02,0.000E+00,2.881E-02,6.357E-02,5.079E+00,1.315E+00,-6.189E-01,1.548E+01,3.407E+00,4.527E+00,4.430E-01,1.519E+00,1.000E+00,9.133E-02,3.332E+00,1.292E+00,-8.760E-01,3.115E+01,3.704E+00,4.496E+00,6.362E-01,1.567E+00,1.000E+00,3.030E-02,6.590E+00
8.000E+01,0.000E+00,0.000E+00,3.550E-02,0.000E+00,3.032E-02,6.591E-02,5.266E+00,1.287E+00,-6.172E-01,1.552E+01,3.663E+00,4.468E+00,4.581E-01,1.612E+00,1.000E+00,8.969E-02,3.379E+00,1.259E+00,-8.657E-01,2.912E+01,4.072E+00,4.416E+00,6.529E-01,1.698E+00,1.000E+00,2.920E-02,6.744E+00
8.100E+01,0.000E+00,0.000E+00,3.571E-02,0.000E+00,3.075E-02,6.651E-02,5.315E+00,1.231E+00,-6.077E-01,1.529E+01,4.248E+00,4.336E+00,4.751E-01,1.840E+00,1.000E+00,8.672E-02,3.471E+00,1.200E+00,-8.658E-01,3.024E+01,4.672E+00,4.305E+00,6.693E-01,1.897E+00,1.000E+00,2.780E-02,6.966E+00
8.200E+01,0.000E+00,0.000E+00,3.592E-02,0.000E+00,3.118E-02,6.710E-02,5.364E+00,1.185E+00,-5.983E-01,1.505E+01,4.833E+00,4.219E+00,4.922E-01,2.068E+00,1.000E+00,8.376E-02,3.564E+00,1.149E+00,-8.660E-01,3.136E+01,5.271E+00,4.206E+00,6.858E-01,2.095E+00,1.000E+00,2.640E-02,7.188E+00
8.300E+01,0.000E+00,0.000E+00,3.346E-02,0.000E+00,3.033E-02,6.384E-02,5.102E+00,1.145E+00,-5.842E-01,1.422E+01,5.542E+00,4.097E+00,5.003E-01,2.338E+00,1.000E+00,8.191E-02,3.627E+00,1.106E+00,-8.624E-01,3.052E+01,5.993E+00,4.128E+00,7.015E-01,2.265E+00,1.000E+00,2.452E-02,7.546E+00
8.400E+01,0.000E+00,0.000E+00,3.101E-02,0.000E+00,2.948E-02,6.058E-02,4.840E+00,1.113E+00,-5.701E-01,1.339E+01,6.252E+00,3.988E+00,5.084E-01,2.607E+00,1.000E+00,8.006E-02,3.690E+00,1.070E+00,-8.589E-01,2.968E+01,6.714E+00,4.056E+00,7.173E-01,2.435E+00,1.000E+00,2.264E-02,7.903E+00
8.500E+01,0.000E+00,0.000E+00,2.372E-02,0.000E+00,2.358E-02,4.739E-02,3.785E+00,1.100E+00,-5.624E-01,1.212E+01,6.922E+00,3.950E+00,5.208E-01,2.710E+00,1.000E+00,7.463E-02,3.909E+00,1.058E+00,-8.563E-01,2.714E+01,7.247E+00,4.010E+00,7.301E-01,2.550E+00,1.000E+00,2.047E-02,8.441E+00
8.600E+01,0.000E+00,0.000E+00,1.643E-02,0.000E+00,1.768E-02,3.421E-02,2.731E+00,1.095E+00,-5.548E-01,1.084E+01,7.592E+00,3.913E+00,5.331E-01,2.812E+00,1.000E+00,6.919E-02,4.127E+00,1.051E+00,-8.537E-01,2.461E+01,7.780E+00,3.967E+00,7.430E-01,2.665E+00,1.000E+00,1.830E-02,8.978E+00
8.700E+01,0.000E+00,0.000E+00,8.453E-03,0.000E+00,9.230E-03,1.792E-02,1.422E+00,1.114E+00,-6.379E-01,1.152E+01,7.711E+00,3.916E+00,6.120E-01,2.804E+00,1.000E+00,5.927E-02,4.718E+00,8.801E-01,-8.455E-01,1.894E+01,1.723E+01,3.611E+00,7.642E-01,3.832E+00,1.000E+00,1.393E-02,1.090E+01
8.800E+01,0.000E+00,0.000E+00,4.785E-04,0.000E+00,7.754E-04,1.642E-03,1.130E-01,1.130E+00,-7.210E-01,1.219E+01,7.830E+00,3.919E+00,6.909E-01,2.795E+00,1.000E+00,4.934E-02,5.309E+00,8.500E-01,-8.374E-01,1.326E+01,2.668E+01,3.358E+00,7.854E-01,5.000E+00,1.000E+00,9.559E-03,1.282E+01
8.900E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.660E-05,5.273E-05,2.369E-03,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
