alpha,H,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
6.500E+01,0.000E+00,0.000E+00,0.000E+00,8.173E-03,0.000E+00,1.575E-02,1.954E-02,7.616E-03,2.788E-02,1.834E+00,1.548E+00,-7.387E-01,1.553E+01,2.281E+00,4.931E+00,4.555E-01,1.004E+00,1.000E+00,6.976E-02,3.892E+00,1.601E+00,-5.704E-01,1.074E+01,1.880E+00,4.935E+00,2.920E-01,1.000E+00,1.000E+00,9.222E-02,3.732E+00,1.630E+00,-7.257E-01,1.293E+01,2.017E+00,4.935E+00,4.345E-01,1.000E+00,1.000E+00,4.848E-02,5.558E+00
6.600E+01,0.000E+00,0.000E+00,0.000E+00,8.432E-03,0.000E+00,1.630E-02,2.034E-02,7.880E-03,2.879E-02,1.899E+00,1.526E+00,-7.405E-01,1.607E+01,2.367E+00,4.929E+00,4.591E-01,1.006E+00,1.000E+00,6.950E-02,3.903E+00,1.591E+00,-5.723E-01,1.100E+01,1.907E+00,4.935E+00,2.942E-01,1.000E+00,1.000E+00,9.209E-02,3.737E+00,1.619E+00,-7.325E-01,1.348E+01,2.049E+00,4.935E+00,4.360E-01,1.000E+00,1.000E+00,4.862E-02,5.546E+00
6.700E+01,0.000E+00,0.000E+00,0.000E+00,9.001E-03,0.000E+00,1.774E-02,2.190E-02,8.710E-03,3.136E-02,2.061E+00,1.498E+00,-7.643E-01,1.989E+01,2.379E+00,4.886E+00,4.613E-01,1.052E+00,1.000E+00,7.020E-02,3.874E+00,1.569E+00,-5.864E-01,1.233E+01,1.938E+00,4.920E+00,3.011E-01,1.015E+00,1.000E+00,9.150E-02,3.757E+00,1.575E+00,-7.490E-01,1.531E+01,2.184E+00,4.930E+00,4.564E-01,1.005E+00,1.000E+00,4.844E-02,5.562E+00
6.800E+01,0.000E+00,0.000E+00,0.000E+00,9.286E-03,0.000E+00,1.846E-02,2.267E-02,9.125E-03,3.264E-02,2.142E+00,1.487E+00,-7.763E-01,2.180E+01,2.385E+00,4.865E+00,4.624E-01,1.076E+00,1.000E+00,7.055E-02,3.860E+00,1.559E+00,-5.934E-01,1.300E+01,1.953E+00,4.913E+00,3.046E-01,1.023E+00,1.000E+00,9.121E-02,3.767E+00,1.556E+00,-7.573E-01,1.623E+01,2.251E+00,4.928E+00,4.666E-01,1.007E+00,1.000E+00,4.835E-02,5.569E+00
6.900E+01,0.000E+00,0.000E+00,0.000E+00,9.570E-03,0.000E+00,1.918E-02,2.345E-02,9.540E-03,3.392E-02,2.224E+00,1.478E+00,-7.882E-01,2.371E+01,2.391E+00,4.844E+00,4.634E-01,1.099E+00,1.000E+00,7.091E-02,3.845E+00,1.550E+00,-6.004E-01,1.367E+01,1.968E+00,4.906E+00,3.080E-01,1.031E+00,1.000E+00,9.092E-02,3.777E+00,1.537E+00,-7.655E-01,1.714E+01,2.319E+00,4.925E+00,4.768E-01,1.010E+00,1.000E+00,4.826E-02,5.577E+00
7.000E+01,0.000E+00,0.000E+00,0.000E+00,1.026E-02,0.000E+00,2.090E-02,2.533E-02,1.068E-02,3.730E-02,2.427E+00,1.434E+00,-7.917E-01,2.676E+01,2.538E+00,4.769E+00,4.752E-01,1.188E+00,1.000E+00,6.928E-02,3.913E+00,1.524E+00,-6.024E-01,1.460E+01,2.034E+00,4.872E+00,3.125E-01,1.067E+00,1.000E+00,9.144E-02,3.759E+00,1.505E+00,-7.940E-01,2.209E+01,2.332E+00,4.899E+00,4.836E-01,1.038E+00,1.000E+00,4.829E-02,5.574E+00
7.100E+01,0.000E+00,0.000E+00,0.000E+00,1.060E-02,0.000E+00,2.176E-02,2.627E-02,1.124E-02,3.898E-02,2.529E+00,1.413E+00,-7.935E-01,2.829E+01,2.611E+00,4.733E+00,4.810E-01,1.233E+00,1.000E+00,6.847E-02,3.947E+00,1.511E+00,-6.035E-01,1.506E+01,2.066E+00,4.856E+00,3.147E-01,1.086E+00,1.000E+00,9.171E-02,3.750E+00,1.494E+00,-8.082E-01,2.457E+01,2.338E+00,4.886E+00,4.870E-01,1.052E+00,1.000E+00,4.831E-02,5.573E+00
7.200E+01,0.000E+00,0.000E+00,0.000E+00,1.094E-02,0.000E+00,2.262E-02,2.721E-02,1.181E-02,4.067E-02,2.631E+00,1.393E+00,-7.953E-01,2.982E+01,2.685E+00,4.698E+00,4.869E-01,1.277E+00,1.000E+00,6.765E-02,3.982E+00,1.499E+00,-6.045E-01,1.553E+01,2.099E+00,4.840E+00,3.169E-01,1.104E+00,1.000E+00,9.197E-02,3.741E+00,1.485E+00,-8.224E-01,2.704E+01,2.345E+00,4.874E+00,4.905E-01,1.066E+00,1.000E+00,4.832E-02,5.572E+00
7.300E+01,0.000E+00,0.000E+00,0.000E+00,1.134E-02,0.000E+00,2.396E-02,2.845E-02,1.268E-02,4.336E-02,2.783E+00,1.369E+00,-7.763E-01,2.684E+01,2.887E+00,4.653E+00,4.932E-01,1.337E+00,1.000E+00,6.836E-02,3.951E+00,1.464E+00,-6.018E-01,1.582E+01,2.254E+00,4.800E+00,3.268E-01,1.151E+00,1.000E+00,9.138E-02,3.761E+00,1.428E+00,-7.953E-01,2.485E+01,2.661E+00,4.756E+00,5.030E-01,1.204E+00,1.000E+00,4.714E-02,5.677E+00
7.400E+01,0.000E+00,0.000E+00,0.000E+00,1.174E-02,0.000E+00,2.529E-02,2.969E-02,1.355E-02,4.605E-02,2.935E+00,1.350E+00,-7.573E-01,2.387E+01,3.089E+00,4.610E+00,4.995E-01,1.397E+00,1.000E+00,6.907E-02,3.921E+00,1.431E+00,-5.990E-01,1.612E+01,2.410E+00,4.761E+00,3.366E-01,1.197E+00,1.000E+00,9.079E-02,3.781E+00,1.381E+00,-7.682E-01,2.266E+01,2.976E+00,4.649E+00,5.156E-01,1.342E+00,1.000E+00,4.596E-02,5.781E+00
7.500E+01,0.000E+00,0.000E+00,0.000E+00,1.229E-02,0.000E+00,2.676E-02,3.108E-02,1.450E-02,4.918E-02,3.109E+00,1.311E+00,-7.420E-01,2.342E+01,3.356E+00,4.527E+00,5.088E-01,1.519E+00,1.000E+00,6.783E-02,3.975E+00,1.404E+00,-5.787E-01,1.488E+01,2.604E+00,4.733E+00,3.403E-01,1.232E+00,1.000E+00,9.101E-02,3.774E+00,1.354E+00,-7.616E-01,2.282E+01,3.139E+00,4.614E+00,5.158E-01,1.391E+00,1.000E+00,4.648E-02,5.734E+00
7.600E+01,0.000E+00,0.000E+00,0.000E+00,1.283E-02,0.000E+00,2.823E-02,3.247E-02,1.546E-02,5.232E-02,3.283E+00,1.276E+00,-7.267E-01,2.297E+01,3.624E+00,4.450E+00,5.180E-01,1.641E+00,1.000E+00,6.658E-02,4.029E+00,1.381E+00,-5.583E-01,1.364E+01,2.798E+00,4.705E+00,3.440E-01,1.268E+00,1.000E+00,9.123E-02,3.766E+00,1.328E+00,-7.550E-01,2.298E+01,3.301E+00,4.581E+00,5.160E-01,1.439E+00,1.000E+00,4.699E-02,5.688E+00
7.700E+01,0.000E+00,0.000E+00,0.000E+00,1.341E-02,0.000E+00,2.972E-02,3.427E-02,1.637E-02,5.497E-02,3.455E+00,1.243E+00,-7.266E-01,2.330E+01,3.920E+00,4.403E+00,5.285E-01,1.720E+00,1.000E+00,6.519E-02,4.093E+00,1.345E+00,-5.425E-01,1.301E+01,3.070E+00,4.621E+00,3.562E-01,1.382E+00,1.000E+00,9.013E-02,3.805E+00,1.295E+00,-7.452E-01,2.259E+01,3.573E+00,4.483E+00,5.277E-01,1.587E+00,1.000E+00,4.576E-02,5.802E+00
7.800E+01,0.000E+00,0.000E+00,0.000E+00,1.398E-02,0.000E+00,3.122E-02,3.606E-02,1.727E-02,5.762E-02,3.628E+00,1.213E+00,-7.264E-01,2.362E+01,4.217E+00,4.358E+00,5.390E-01,1.800E+00,1.000E+00,6.380E-02,4.157E+00,1.315E+00,-5.267E-01,1.239E+01,3.342E+00,4.542E+00,3.685E-01,1.495E+00,1.000E+00,8.902E-02,3.843E+00,1.264E+00,-7.354E-01,2.221E+01,3.845E+00,4.394E+00,5.393E-01,1.736E+00,1.000E+00,4.453E-02,5.917E+00
7.900E+01,0.000E+00,0.000E+00,0.000E+00,1.405E-02,0.000E+00,3.259E-02,3.697E-02,1.857E-02,6.096E-02,3.790E+00,1.173E+00,-7.182E-01,2.363E+01,4.659E+00,4.239E+00,5.514E-01,2.027E+00,1.000E+00,6.211E-02,4.242E+00,1.282E+00,-5.208E-01,1.237E+01,3.635E+00,4.480E+00,3.810E-01,1.593E+00,1.000E+00,8.818E-02,3.874E+00,1.221E+00,-7.282E-01,2.209E+01,4.279E+00,4.342E+00,5.490E-01,1.829E+00,1.000E+00,4.289E-02,6.086E+00
8.000E+01,0.000E+00,0.000E+00,0.000E+00,1.412E-02,0.000E+00,3.396E-02,3.787E-02,1.987E-02,6.430E-02,3.952E+00,1.137E+00,-7.100E-01,2.363E+01,5.102E+00,4.133E+00,5.638E-01,2.255E+00,1.000E+00,6.042E-02,4.326E+00,1.251E+00,-5.150E-01,1.235E+01,3.928E+00,4.421E+00,3.936E-01,1.690E+00,1.000E+00,8.733E-02,3.905E+00,1.183E+00,-7.209E-01,2.197E+01,4.713E+00,4.292E+00,5.586E-01,1.922E+00,1.000E+00,4.125E-02,6.255E+00
8.100E+01,0.000E+00,0.000E+00,0.000E+00,1.414E-02,0.000E+00,3.448E-02,3.810E-02,2.038E-02,6.547E-02,4.009E+00,1.096E+00,-6.974E-01,2.166E+01,5.931E+00,4.055E+00,5.737E-01,2.437E+00,1.000E+00,5.813E-02,4.453E+00,1.204E+00,-5.048E-01,1.212E+01,4.504E+00,4.304E+00,4.068E-01,1.900E+00,1.000E+00,8.586E-02,3.961E+00,1.145E+00,-7.162E-01,2.173E+01,5.244E+00,4.145E+00,5.734E-01,2.226E+00,1.000E+00,4.019E-02,6.378E+00
8.200E+01,0.000E+00,0.000E+00,0.000E+00,1.417E-02,0.000E+00,3.500E-02,3.833E-02,2.089E-02,6.664E-02,4.066E+00,1.066E+00,-6.848E-01,1.969E+01,6.761E+00,3.983E+00,5.835E-01,2.620E+00,1.000E+00,5.584E-02,4.580E+00,1.163E+00,-4.947E-01,1.189E+01,5.080E+00,4.199E+00,4.200E-01,2.111E+00,1.000E+00,8.439E-02,4.017E+00,1.112E+00,-7.114E-01,2.149E+01,5.775E+00,4.018E+00,5.882E-01,2.531E+00,1.000E+00,3.912E-02,6.500E+00
8.300E+01,0.000E+00,0.000E+00,0.000E+00,1.263E-02,0.000E+00,3.317E-02,3.609E-02,2.057E-02,6.330E-02,3.852E+00,1.031E+00,-6.758E-01,1.878E+01,7.713E+00,3.899E+00,5.923E-01,2.854E+00,1.000E+00,5.327E-02,4.745E+00,1.124E+00,-4.831E-01,1.133E+01,5.858E+00,4.058E+00,4.300E-01,2.431E+00,1.000E+00,8.210E-02,4.111E+00,1.068E+00,-6.950E-01,1.954E+01,6.841E+00,3.928E+00,5.971E-01,2.770E+00,1.000E+00,3.687E-02,6.796E+00
8.400E+01,0.000E+00,0.000E+00,0.000E+00,1.108E-02,0.000E+00,3.135E-02,3.385E-02,2.025E-02,5.996E-02,3.637E+00,1.004E+00,-6.667E-01,1.787E+01,8.666E+00,3.821E+00,6.010E-01,3.087E+00,1.000E+00,5.070E-02,4.909E+00,1.093E+00,-4.715E-01,1.078E+01,6.636E+00,3.935E+00,4.401E-01,2.752E+00,1.000E+00,7.982E-02,4.206E+00,1.038E+00,-6.786E-01,1.758E+01,7.906E+00,3.846E+00,6.060E-01,3.009E+00,1.000E+00,3.461E-02,7.093E+00
8.500E+01,0.000E+00,0.000E+00,0.000E+00,8.275E-03,0.000E+00,2.370E-02,2.521E-02,1.540E-02,4.571E-02,2.749E+00,1.018E+00,-6.678E-01,1.611E+01,8.859E+00,3.831E+00,6.134E-01,3.056E+00,1.000E+00,4.650E-02,5.242E+00,1.070E+00,-4.537E-01,9.715E+00,7.634E+00,3.898E+00,4.439E-01,2.855E+00,1.000E+00,7.567E-02,4.403E+00,1.046E+00,-6.705E-01,1.558E+01,8.245E+00,3.838E+00,6.120E-01,3.034E+00,1.000E+00,3.183E-02,7.555E+00
8.600E+01,0.000E+00,0.000E+00,0.000E+00,5.466E-03,0.000E+00,1.604E-02,1.657E-02,1.056E-02,3.146E-02,1.861E+00,1.036E+00,-6.688E-01,1.436E+01,9.053E+00,3.842E+00,6.258E-01,3.024E+00,1.000E+00,4.230E-02,5.576E+00,1.056E+00,-4.359E-01,8.655E+00,8.631E+00,3.863E+00,4.478E-01,2.958E+00,1.000E+00,7.151E-02,4.601E+00,1.060E+00,-6.623E-01,1.357E+01,8.583E+00,3.830E+00,6.180E-01,3.059E+00,1.000E+00,2.905E-02,8.017E+00
8.700E+01,0.000E+00,0.000E+00,0.000E+00,2.765E-03,0.000E+00,8.196E-03,8.507E-03,5.404E-03,1.609E-02,9.508E-01,9.727E-01,-7.591E-01,1.798E+01,1.104E+01,3.706E+00,7.056E-01,3.474E+00,1.000E+00,3.123E-02,7.319E+00,1.080E+00,-5.215E-01,9.476E+00,8.510E+00,3.867E+00,5.276E-01,2.947E+00,1.000E+00,6.621E-02,4.919E+00,1.008E+00,-7.552E-01,1.572E+01,1.058E+01,3.724E+00,7.017E-01,3.411E+00,1.000E+00,2.174E-02,1.034E+01
8.800E+01,0.000E+00,0.000E+00,0.000E+00,6.348E-05,0.000E+00,3.486E-04,4.414E-04,2.510E-04,7.207E-04,4.045E-02,9.256E-01,-8.494E-01,2.160E+01,1.302E+01,3.588E+00,7.854E-01,3.923E+00,1.000E+00,2.017E-02,9.062E+00,1.102E+00,-6.072E-01,1.030E+01,8.389E+00,3.871E+00,6.074E-01,2.936E+00,1.000E+00,6.091E-02,5.238E+00,9.658E-01,-8.481E-01,1.786E+01,1.257E+01,3.628E+00,7.854E-01,3.763E+00,1.000E+00,1.443E-02,1.267E+01
8.900E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.883E-06,3.906E-06,3.906E-06,1.465E-05,2.616E-05,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
