alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
1.000E+01,0.000E+00,0.000E+00,3.160E-03,6.221E-04,0.000E+00,0.000E+00,9.766E-07,2.477E-03,9.540E-03,4.151E-01,1.768E+00,-3.865E-02,1.410E+00,1.710E+00,4.935E+00,5.028E-02,1.000E+00,1.000E+00,5.728E-02,4.099E+00,1.630E+00,-2.390E-02,1.663E+00,2.147E+00,4.935E+00,4.967E-02,1.000E+00,1.000E+00,1.083E-01,3.262E+00,1.749E+00,-6.129E-02,1.680E+00,1.641E+00,4.935E+00,4.354E-02,1.000E+00,1.000E+00,5.465E-02,5.084E+00
1.100E+01,0.000E+00,0.000E+00,3.219E-03,6.219E-04,0.000E+00,0.000E+00,9.766E-07,2.515E-03,9.677E-03,4.218E-01,1.753E+00,-2.842E-02,1.341E+00,1.822E+00,4.935E+00,5.426E-02,1.000E+00,1.000E+00,5.768E-02,4.080E+00,1.636E+00,-3.636E-02,1.738E+00,2.100E+00,4.935E+00,5.452E-02,1.000E+00,1.000E+00,1.080E-01,3.270E+00,1.752E+00,-7.743E-02,1.776E+00,1.624E+00,4.935E+00,5.113E-02,1.000E+00,1.000E+00,5.478E-02,5.075E+00
1.200E+01,0.000E+00,0.000E+00,3.277E-03,6.218E-04,0.000E+00,0.000E+00,9.766E-07,2.554E-03,9.814E-03,4.284E-01,1.740E+00,-1.819E-02,1.273E+00,1.935E+00,4.935E+00,5.824E-02,1.000E+00,1.000E+00,5.808E-02,4.061E+00,1.642E+00,-4.882E-02,1.814E+00,2.053E+00,4.935E+00,5.937E-02,1.000E+00,1.000E+00,1.077E-01,3.277E+00,1.755E+00,-9.356E-02,1.872E+00,1.606E+00,4.935E+00,5.872E-02,1.000E+00,1.000E+00,5.491E-02,5.066E+00
1.300E+01,0.000E+00,0.000E+00,3.335E-03,6.217E-04,0.000E+00,0.000E+00,9.766E-07,2.593E-03,9.951E-03,4.351E-01,1.729E+00,-7.958E-03,1.204E+00,2.047E+00,4.935E+00,6.222E-02,1.000E+00,1.000E+00,5.848E-02,4.042E+00,1.649E+00,-6.128E-02,1.889E+00,2.006E+00,4.935E+00,6.421E-02,1.000E+00,1.000E+00,1.074E-01,3.285E+00,1.758E+00,-1.097E-01,1.967E+00,1.589E+00,4.935E+00,6.632E-02,1.000E+00,1.000E+00,5.503E-02,5.057E+00
1.400E+01,0.000E+00,0.000E+00,3.364E-03,6.216E-04,0.000E+00,0.000E+00,9.766E-07,2.612E-03,1.002E-02,4.384E-01,1.725E+00,-2.842E-03,1.170E+00,2.103E+00,4.935E+00,6.421E-02,1.000E+00,1.000E+00,5.868E-02,4.032E+00,1.652E+00,-6.751E-02,1.926E+00,1.982E+00,4.935E+00,6.664E-02,1.000E+00,1.000E+00,1.073E-01,3.288E+00,1.760E+00,-1.178E-01,2.015E+00,1.580E+00,4.935E+00,7.012E-02,1.000E+00,1.000E+00,5.510E-02,5.053E+00
1.500E+01,0.000E+00,0.000E+00,3.394E-03,6.216E-04,0.000E+00,0.000E+00,9.766E-07,2.632E-03,1.009E-02,4.418E-01,1.723E+00,2.274E-03,1.136E+00,2.160E+00,4.935E+00,6.620E-02,1.000E+00,1.000E+00,5.888E-02,4.023E+00,1.656E+00,-7.374E-02,1.964E+00,1.958E+00,4.935E+00,6.906E-02,1.000E+00,1.000E+00,1.072E-01,3.292E+00,1.763E+00,-1.258E-01,2.063E+00,1.571E+00,4.935E+00,7.391E-02,1.000E+00,1.000E+00,5.516E-02,5.049E+00
1.600E+01,0.000E+00,0.000E+00,3.452E-03,6.215E-04,0.000E+00,0.000E+00,9.766E-07,2.671E-03,1.022E-02,4.484E-01,1.729E+00,1.251E-02,1.067E+00,2.272E+00,4.935E+00,7.018E-02,1.000E+00,1.000E+00,5.929E-02,4.004E+00,1.664E+00,-8.621E-02,2.039E+00,1.911E+00,4.935E+00,7.391E-02,1.000E+00,1.000E+00,1.069E-01,3.299E+00,1.767E+00,-1.420E-01,2.159E+00,1.554E+00,4.935E+00,8.151E-02,1.000E+00,1.000E+00,5.529E-02,5.040E+00
1.700E+01,0.000E+00,0.000E+00,3.510E-03,6.213E-04,0.000E+00,0.000E+00,9.766E-07,2.709E-03,1.036E-02,4.551E-01,1.736E+00,2.274E-02,9.987E-01,2.385E+00,4.935E+00,7.415E-02,1.000E+00,1.000E+00,5.969E-02,3.985E+00,1.673E+00,-9.867E-02,2.114E+00,1.864E+00,4.935E+00,7.875E-02,1.000E+00,1.000E+00,1.066E-01,3.307E+00,1.773E+00,-1.581E-01,2.255E+00,1.536E+00,4.935E+00,8.910E-02,1.000E+00,1.000E+00,5.541E-02,5.031E+00
1.800E+01,0.000E+00,0.000E+00,3.569E-03,6.212E-04,0.000E+00,0.000E+00,9.766E-07,2.748E-03,1.050E-02,4.618E-01,1.745E+00,3.297E-02,9.302E-01,2.497E+00,4.935E+00,7.813E-02,1.000E+00,1.000E+00,6.009E-02,3.965E+00,1.682E+00,-1.111E-01,2.189E+00,1.817E+00,4.935E+00,8.360E-02,1.000E+00,1.000E+00,1.063E-01,3.314E+00,1.779E+00,-1.742E-01,2.350E+00,1.519E+00,4.935E+00,9.670E-02,1.000E+00,1.000E+00,5.554E-02,5.023E+00
1.900E+01,0.000E+00,0.000E+00,3.598E-03,6.212E-04,0.000E+00,0.000E+00,9.766E-07,2.768E-03,1.057E-02,4.651E-01,1.750E+00,3.808E-02,8.959E-01,2.553E+00,4.935E+00,8.012E-02,1.000E+00,1.000E+00,6.029E-02,3.956E+00,1.687E+00,-1.174E-01,2.227E+00,1.793E+00,4.935E+00,8.602E-02,1.000E+00,1.000E+00,1.062E-01,3.318E+00,1.782E+00,-1.823E-01,2.398E+00,1.510E+00,4.935E+00,1.005E-01,1.000E+00,1.000E+00,5.560E-02,5.018E+00
2.000E+01,0.000E+00,0.000E+00,3.627E-03,6.211E-04,0.000E+00,0.000E+00,9.766E-07,2.787E-03,1.063E-02,4.685E-01,1.755E+00,4.320E-02,8.617E-01,2.610E+00,4.935E+00,8.211E-02,1.000E+00,1.000E+00,6.049E-02,3.946E+00,1.692E+00,-1.236E-01,2.264E+00,1.770E+00,4.935E+00,8.845E-02,1.000E+00,1.000E+00,1.060E-01,3.322E+00,1.785E+00,-1.904E-01,2.446E+00,1.501E+00,4.935E+00,1.043E-01,1.000E+00,1.000E+00,5.567E-02,5.014E+00
2.100E+01,0.000E+00,0.000E+00,3.729E-03,6.305E-04,0.000E+00,0.000E+00,1.343E-06,2.909E-03,1.097E-02,4.834E-01,1.686E+00,-3.712E-03,1.147E+00,2.452E+00,4.935E+00,9.426E-02,1.000E+00,1.000E+00,5.987E-02,3.977E+00,1.687E+00,-1.308E-01,2.295E+00,1.808E+00,4.935E+00,9.500E-02,1.000E+00,1.000E+00,1.057E-01,3.329E+00,1.781E+00,-2.014E-01,2.504E+00,1.529E+00,4.935E+00,1.139E-01,1.000E+00,1.000E+00,5.544E-02,5.030E+00
2.200E+01,0.000E+00,0.000E+00,3.832E-03,6.399E-04,0.000E+00,0.000E+00,1.709E-06,3.030E-03,1.131E-02,4.983E-01,1.684E+00,-5.063E-02,1.431E+00,2.295E+00,4.935E+00,1.064E-01,1.000E+00,1.000E+00,5.925E-02,4.007E+00,1.683E+00,-1.379E-01,2.325E+00,1.847E+00,4.935E+00,1.016E-01,1.000E+00,1.000E+00,1.054E-01,3.337E+00,1.778E+00,-2.125E-01,2.561E+00,1.558E+00,4.935E+00,1.235E-01,1.000E+00,1.000E+00,5.521E-02,5.046E+00
2.300E+01,0.000E+00,0.000E+00,3.934E-03,6.493E-04,0.000E+00,0.000E+00,2.075E-06,3.151E-03,1.165E-02,5.132E-01,1.693E+00,-9.754E-02,1.716E+00,2.138E+00,4.935E+00,1.186E-01,1.000E+00,1.000E+00,5.863E-02,4.037E+00,1.678E+00,-1.451E-01,2.356E+00,1.885E+00,4.935E+00,1.081E-01,1.000E+00,1.000E+00,1.051E-01,3.345E+00,1.774E+00,-2.236E-01,2.618E+00,1.586E+00,4.935E+00,1.330E-01,1.000E+00,1.000E+00,5.498E-02,5.062E+00
2.400E+01,0.000E+00,0.000E+00,3.985E-03,6.540E-04,0.000E+00,0.000E+00,2.258E-06,3.212E-03,1.182E-02,5.207E-01,1.701E+00,-1.210E-01,1.859E+00,2.059E+00,4.935E+00,1.246E-01,1.000E+00,1.000E+00,5.832E-02,4.052E+00,1.676E+00,-1.487E-01,2.371E+00,1.905E+00,4.935E+00,1.114E-01,1.000E+00,1.000E+00,1.050E-01,3.349E+00,1.773E+00,-2.291E-01,2.647E+00,1.600E+00,4.935E+00,1.378E-01,1.000E+00,1.000E+00,5.486E-02,5.070E+00
2.500E+01,0.000E+00,0.000E+00,4.036E-03,6.587E-04,0.000E+00,0.000E+00,2.441E-06,3.273E-03,1.199E-02,5.281E-01,1.712E+00,-1.445E-01,2.001E+00,1.981E+00,4.935E+00,1.307E-01,1.000E+00,1.000E+00,5.801E-02,4.067E+00,1.674E+00,-1.523E-01,2.387E+00,1.924E+00,4.935E+00,1.147E-01,1.000E+00,1.000E+00,1.049E-01,3.353E+00,1.771E+00,-2.346E-01,2.676E+00,1.614E+00,4.935E+00,1.426E-01,1.000E+00,1.000E+00,5.475E-02,5.078E+00
2.600E+01,0.000E+00,0.000E+00,4.138E-03,6.681E-04,0.000E+00,0.000E+00,2.808E-06,3.394E-03,1.233E-02,5.430E-01,1.739E+00,-1.914E-01,2.286E+00,1.823E+00,4.935E+00,1.429E-01,1.000E+00,1.000E+00,5.740E-02,4.097E+00,1.670E+00,-1.594E-01,2.417E+00,1.963E+00,4.935E+00,1.212E-01,1.000E+00,1.000E+00,1.046E-01,3.361E+00,1.768E+00,-2.457E-01,2.733E+00,1.643E+00,4.935E+00,1.522E-01,1.000E+00,1.000E+00,5.452E-02,5.094E+00
2.700E+01,0.000E+00,0.000E+00,4.241E-03,6.775E-04,0.000E+00,0.000E+00,3.174E-06,3.516E-03,1.267E-02,5.580E-01,1.774E+00,-2.383E-01,2.571E+00,1.666E+00,4.935E+00,1.550E-01,1.000E+00,1.000E+00,5.678E-02,4.127E+00,1.665E+00,-1.666E-01,2.448E+00,2.001E+00,4.935E+00,1.278E-01,1.000E+00,1.000E+00,1.043E-01,3.368E+00,1.764E+00,-2.568E-01,2.791E+00,1.671E+00,4.935E+00,1.618E-01,1.000E+00,1.000E+00,5.429E-02,5.110E+00
2.800E+01,0.000E+00,0.000E+00,4.343E-03,6.869E-04,0.000E+00,0.000E+00,3.540E-06,3.637E-03,1.301E-02,5.729E-01,1.817E+00,-2.852E-01,2.856E+00,1.509E+00,4.935E+00,1.672E-01,1.000E+00,1.000E+00,5.616E-02,4.157E+00,1.661E+00,-1.738E-01,2.479E+00,2.040E+00,4.935E+00,1.343E-01,1.000E+00,1.000E+00,1.040E-01,3.376E+00,1.761E+00,-2.678E-01,2.848E+00,1.700E+00,4.935E+00,1.714E-01,1.000E+00,1.000E+00,5.406E-02,5.126E+00
2.900E+01,0.000E+00,0.000E+00,4.394E-03,6.916E-04,0.000E+00,0.000E+00,3.723E-06,3.698E-03,1.318E-02,5.803E-01,1.842E+00,-3.086E-01,2.998E+00,1.430E+00,4.935E+00,1.732E-01,1.000E+00,1.000E+00,5.585E-02,4.172E+00,1.659E+00,-1.774E-01,2.494E+00,2.059E+00,4.935E+00,1.376E-01,1.000E+00,1.000E+00,1.038E-01,3.380E+00,1.760E+00,-2.734E-01,2.877E+00,1.714E+00,4.935E+00,1.762E-01,1.000E+00,1.000E+00,5.395E-02,5.134E+00
3.000E+01,0.000E+00,0.000E+00,4.445E-03,6.963E-04,0.000E+00,0.000E+00,3.906E-06,3.759E-03,1.335E-02,5.878E-01,1.868E+00,-3.321E-01,3.141E+00,1.352E+00,4.935E+00,1.793E-01,1.000E+00,1.000E+00,5.554E-02,4.187E+00,1.657E+00,-1.810E-01,2.509E+00,2.079E+00,4.935E+00,1.409E-01,1.000E+00,1.000E+00,1.037E-01,3.384E+00,1.758E+00,-2.789E-01,2.905E+00,1.728E+00,4.935E+00,1.809E-01,1.000E+00,1.000E+00,5.383E-02,5.142E+00
3.100E+01,0.000E+00,0.000E+00,4.739E-03,6.625E-04,0.000E+00,0.000E+00,5.005E-06,4.092E-03,1.422E-02,6.264E-01,1.864E+00,-3.385E-01,3.164E+00,1.379E+00,4.935E+00,1.877E-01,1.000E+00,1.000E+00,5.541E-02,4.194E+00,1.660E+00,-1.951E-01,2.617E+00,2.058E+00,4.935E+00,1.484E-01,1.000E+00,1.000E+00,1.031E-01,3.401E+00,1.755E+00,-2.930E-01,3.027E+00,1.737E+00,4.935E+00,1.904E-01,1.000E+00,1.000E+00,5.342E-02,5.173E+00
3.200E+01,0.000E+00,0.000E+00,4.885E-03,6.456E-04,0.000E+00,0.000E+00,5.554E-06,4.258E-03,1.465E-02,6.457E-01,1.861E+00,-3.416E-01,3.175E+00,1.393E+00,4.935E+00,1.918E-01,1.000E+00,1.000E+00,5.534E-02,4.198E+00,1.661E+00,-2.022E-01,2.671E+00,2.048E+00,4.935E+00,1.522E-01,1.000E+00,1.000E+00,1.028E-01,3.410E+00,1.754E+00,-3.000E-01,3.088E+00,1.742E+00,4.935E+00,1.952E-01,1.000E+00,1.000E+00,5.321E-02,5.189E+00
3.300E+01,0.000E+00,0.000E+00,5.032E-03,6.287E-04,0.000E+00,0.000E+00,6.104E-06,4.425E-03,1.508E-02,6.651E-01,1.859E+00,-3.448E-01,3.187E+00,1.406E+00,4.935E+00,1.960E-01,1.000E+00,1.000E+00,5.528E-02,4.201E+00,1.663E+00,-2.092E-01,2.725E+00,2.038E+00,4.935E+00,1.560E-01,1.000E+00,1.000E+00,1.025E-01,3.418E+00,1.753E+00,-3.071E-01,3.149E+00,1.746E+00,4.935E+00,1.999E-01,1.000E+00,1.000E+00,5.300E-02,5.204E+00
3.400E+01,0.000E+00,0.000E+00,5.178E-03,6.118E-04,0.000E+00,0.000E+00,6.653E-06,4.591E-03,1.552E-02,6.844E-01,1.857E+00,-3.480E-01,3.198E+00,1.420E+00,4.935E+00,2.002E-01,1.000E+00,1.000E+00,5.521E-02,4.204E+00,1.664E+00,-2.163E-01,2.779E+00,2.028E+00,4.935E+00,1.598E-01,1.000E+00,1.000E+00,1.022E-01,3.427E+00,1.752E+00,-3.141E-01,3.210E+00,1.751E+00,4.935E+00,2.047E-01,1.000E+00,1.000E+00,5.279E-02,5.220E+00
3.500E+01,0.000E+00,0.000E+00,5.325E-03,5.948E-04,0.000E+00,0.000E+00,7.202E-06,4.757E-03,1.595E-02,7.037E-01,1.855E+00,-3.512E-01,3.210E+00,1.434E+00,4.935E+00,2.044E-01,1.000E+00,1.000E+00,5.515E-02,4.208E+00,1.666E+00,-2.234E-01,2.834E+00,2.018E+00,4.935E+00,1.635E-01,1.000E+00,1.000E+00,1.019E-01,3.435E+00,1.751E+00,-3.212E-01,3.271E+00,1.755E+00,4.935E+00,2.094E-01,1.000E+00,1.000E+00,5.259E-02,5.236E+00
3.600E+01,0.000E+00,0.000E+00,5.472E-03,5.779E-04,0.000E+00,0.000E+00,7.751E-06,4.924E-03,1.638E-02,7.230E-01,1.852E+00,-3.544E-01,3.221E+00,1.447E+00,4.935E+00,2.085E-01,1.000E+00,1.000E+00,5.508E-02,4.211E+00,1.668E+00,-2.304E-01,2.888E+00,2.008E+00,4.935E+00,1.673E-01,1.000E+00,1.000E+00,1.016E-01,3.444E+00,1.750E+00,-3.282E-01,3.332E+00,1.760E+00,4.935E+00,2.142E-01,1.000E+00,1.000E+00,5.238E-02,5.251E+00
3.700E+01,0.000E+00,0.000E+00,5.618E-03,5.610E-04,0.000E+00,0.000E+00,8.301E-06,5.090E-03,1.682E-02,7.423E-01,1.850E+00,-3.576E-01,3.233E+00,1.461E+00,4.935E+00,2.127E-01,1.000E+00,1.000E+00,5.502E-02,4.215E+00,1.670E+00,-2.375E-01,2.942E+00,1.998E+00,4.935E+00,1.711E-01,1.000E+00,1.000E+00,1.013E-01,3.452E+00,1.749E+00,-3.352E-01,3.393E+00,1.765E+00,4.935E+00,2.189E-01,1.000E+00,1.000E+00,5.217E-02,5.267E+00
