alpha,H,He,Mg,Si,O,Mg_1,O_1,Si_2,O_2,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
7.000E+01,0.000E+00,0.000E+00,2.435E-02,7.812E-07,3.906E-07,5.039E-05,1.059E-04,2.431E-02,7.302E-02,2.446E+00,1.522E+00,-5.916E-01,1.540E+01,1.955E+00,4.853E+00,2.906E-01,1.089E+00,1.000E+00,2.116E-01,1.744E+00,1.501E+00,-5.837E-01,1.361E+01,2.159E+00,4.835E+00,3.091E-01,1.109E+00,1.000E+00,9.625E-02,3.602E+00,1.481E+00,-7.559E-01,1.766E+01,2.573E+00,4.817E+00,4.954E-01,1.130E+00,1.000E+00,4.234E-02,6.138E+00
7.100E+01,0.000E+00,0.000E+00,2.528E-02,7.812E-07,5.859E-07,5.020E-05,1.166E-04,2.532E-02,7.605E-02,2.545E+00,1.501E+00,-5.852E-01,1.551E+01,2.028E+00,4.832E+00,2.927E-01,1.113E+00,1.000E+00,2.100E-01,1.755E+00,1.486E+00,-5.793E-01,1.368E+01,2.218E+00,4.822E+00,3.117E-01,1.124E+00,1.000E+00,9.643E-02,3.596E+00,1.471E+00,-7.740E-01,1.989E+01,2.564E+00,4.793E+00,4.976E-01,1.159E+00,1.000E+00,4.225E-02,6.148E+00
7.200E+01,0.000E+00,0.000E+00,2.621E-02,7.812E-07,7.812E-07,5.000E-05,1.273E-04,2.633E-02,7.908E-02,2.645E+00,1.481E+00,-5.789E-01,1.561E+01,2.101E+00,4.812E+00,2.948E-01,1.136E+00,1.000E+00,2.085E-01,1.766E+00,1.471E+00,-5.750E-01,1.375E+01,2.276E+00,4.810E+00,3.142E-01,1.139E+00,1.000E+00,9.661E-02,3.590E+00,1.464E+00,-7.921E-01,2.212E+01,2.554E+00,4.769E+00,4.998E-01,1.188E+00,1.000E+00,4.216E-02,6.157E+00
7.300E+01,0.000E+00,0.000E+00,2.774E-02,3.906E-07,3.906E-07,6.211E-05,1.242E-04,2.787E-02,8.351E-02,2.797E+00,1.431E+00,-5.536E-01,1.448E+01,2.368E+00,4.748E+00,3.032E-01,1.213E+00,1.000E+00,2.082E-01,1.768E+00,1.451E+00,-5.721E-01,1.397E+01,2.363E+00,4.774E+00,3.207E-01,1.181E+00,1.000E+00,9.624E-02,3.602E+00,1.417E+00,-7.915E-01,2.357E+01,2.770E+00,4.693E+00,5.141E-01,1.283E+00,1.000E+00,4.222E-02,6.151E+00
7.400E+01,0.000E+00,0.000E+00,2.927E-02,0.000E+00,0.000E+00,7.422E-05,1.211E-04,2.941E-02,8.793E-02,2.948E+00,1.389E+00,-5.283E-01,1.334E+01,2.635E+00,4.688E+00,3.116E-01,1.290E+00,1.000E+00,2.079E-01,1.771E+00,1.431E+00,-5.692E-01,1.419E+01,2.450E+00,4.740E+00,3.272E-01,1.223E+00,1.000E+00,9.587E-02,3.614E+00,1.375E+00,-7.910E-01,2.502E+01,2.985E+00,4.623E+00,5.283E-01,1.379E+00,1.000E+00,4.228E-02,6.145E+00
7.500E+01,0.000E+00,0.000E+00,3.100E-02,0.000E+00,0.000E+00,7.734E-05,1.242E-04,3.120E-02,9.334E-02,3.127E+00,1.356E+00,-5.228E-01,1.353E+01,2.825E+00,4.652E+00,3.164E-01,1.339E+00,1.000E+00,2.085E-01,1.766E+00,1.414E+00,-5.610E-01,1.378E+01,2.568E+00,4.721E+00,3.332E-01,1.248E+00,1.000E+00,9.477E-02,3.649E+00,1.350E+00,-7.858E-01,2.553E+01,3.120E+00,4.577E+00,5.303E-01,1.444E+00,1.000E+00,4.193E-02,6.183E+00
7.600E+01,0.000E+00,0.000E+00,3.272E-02,0.000E+00,0.000E+00,8.047E-05,1.273E-04,3.299E-02,9.875E-02,3.306E+00,1.325E+00,-5.173E-01,1.372E+01,3.015E+00,4.616E+00,3.211E-01,1.388E+00,1.000E+00,2.090E-01,1.762E+00,1.397E+00,-5.528E-01,1.337E+01,2.685E+00,4.702E+00,3.392E-01,1.273E+00,1.000E+00,9.367E-02,3.684E+00,1.326E+00,-7.807E-01,2.603E+01,3.256E+00,4.532E+00,5.322E-01,1.510E+00,1.000E+00,4.157E-02,6.221E+00
7.700E+01,0.000E+00,0.000E+00,3.458E-02,0.000E+00,0.000E+00,7.891E-05,1.340E-04,3.485E-02,1.043E-01,3.493E+00,1.294E+00,-5.061E-01,1.332E+01,3.275E+00,4.550E+00,3.330E-01,1.484E+00,1.000E+00,2.096E-01,1.758E+00,1.356E+00,-5.451E-01,1.334E+01,2.956E+00,4.640E+00,3.497E-01,1.355E+00,1.000E+00,9.283E-02,3.712E+00,1.291E+00,-7.605E-01,2.366E+01,3.606E+00,4.452E+00,5.426E-01,1.637E+00,1.000E+00,4.068E-02,6.320E+00
7.800E+01,0.000E+00,0.000E+00,3.644E-02,0.000E+00,0.000E+00,7.734E-05,1.406E-04,3.671E-02,1.099E-01,3.680E+00,1.266E+00,-4.950E-01,1.292E+01,3.536E+00,4.487E+00,3.449E-01,1.580E+00,1.000E+00,2.102E-01,1.754E+00,1.319E+00,-5.375E-01,1.331E+01,3.226E+00,4.581E+00,3.601E-01,1.438E+00,1.000E+00,9.199E-02,3.740E+00,1.263E+00,-7.403E-01,2.128E+01,3.956E+00,4.378E+00,5.529E-01,1.764E+00,1.000E+00,3.980E-02,6.420E+00
7.900E+01,0.000E+00,0.000E+00,3.807E-02,0.000E+00,0.000E+00,1.031E-04,1.762E-04,3.827E-02,1.147E-01,3.841E+00,1.228E+00,-4.756E-01,1.208E+01,3.988E+00,4.379E+00,3.581E-01,1.761E+00,1.000E+00,2.100E-01,1.755E+00,1.277E+00,-5.196E-01,1.269E+01,3.622E+00,4.483E+00,3.710E-01,1.587E+00,1.000E+00,9.101E-02,3.774E+00,1.224E+00,-7.388E-01,2.183E+01,4.332E+00,4.303E+00,5.635E-01,1.902E+00,1.000E+00,3.916E-02,6.496E+00
8.000E+01,0.000E+00,0.000E+00,3.971E-02,0.000E+00,0.000E+00,1.289E-04,2.117E-04,3.983E-02,1.195E-01,4.002E+00,1.197E+00,-4.562E-01,1.123E+01,4.441E+00,4.282E+00,3.714E-01,1.942E+00,1.000E+00,2.099E-01,1.756E+00,1.241E+00,-5.018E-01,1.207E+01,4.019E+00,4.394E+00,3.819E-01,1.735E+00,1.000E+00,9.003E-02,3.808E+00,1.188E+00,-7.373E-01,2.238E+01,4.707E+00,4.233E+00,5.740E-01,2.040E+00,1.000E+00,3.853E-02,6.572E+00
8.100E+01,0.000E+00,0.000E+00,4.016E-02,3.906E-07,3.906E-07,1.574E-04,2.395E-04,4.038E-02,1.209E-01,4.053E+00,1.114E+00,-4.360E-01,1.157E+01,5.476E+00,4.095E+00,3.736E-01,2.341E+00,1.000E+00,2.054E-01,1.790E+00,1.206E+00,-4.955E-01,1.182E+01,4.469E+00,4.309E+00,3.972E-01,1.890E+00,1.000E+00,8.837E-02,3.868E+00,1.141E+00,-7.306E-01,2.201E+01,5.379E+00,4.112E+00,5.923E-01,2.302E+00,1.000E+00,3.706E-02,6.763E+00
8.200E+01,0.000E+00,0.000E+00,4.061E-02,7.812E-07,7.812E-07,1.859E-04,2.672E-04,4.094E-02,1.224E-01,4.103E+00,1.047E+00,-4.157E-01,1.191E+01,6.510E+00,3.939E+00,3.759E-01,2.740E+00,1.000E+00,2.009E-01,1.823E+00,1.176E+00,-4.892E-01,1.158E+01,4.920E+00,4.230E+00,4.125E-01,2.045E+00,1.000E+00,8.670E-02,3.929E+00,1.101E+00,-7.240E-01,2.165E+01,6.050E+00,4.004E+00,6.106E-01,2.565E+00,1.000E+00,3.559E-02,6.954E+00
8.300E+01,0.000E+00,0.000E+00,3.827E-02,7.812E-07,3.906E-07,3.391E-04,4.312E-04,3.870E-02,1.156E-01,3.882E+00,1.011E+00,-4.052E-01,1.114E+01,7.730E+00,3.812E+00,3.849E-01,3.116E+00,1.000E+00,1.913E-01,1.905E+00,1.125E+00,-4.766E-01,1.114E+01,5.852E+00,4.071E+00,4.257E-01,2.399E+00,1.000E+00,8.408E-02,4.032E+00,1.056E+00,-7.142E-01,2.032E+01,7.152E+00,3.904E+00,6.187E-01,2.838E+00,1.000E+00,3.340E-02,7.291E+00
8.400E+01,0.000E+00,0.000E+00,3.593E-02,7.812E-07,0.000E+00,4.922E-04,5.953E-04,3.647E-02,1.088E-01,3.661E+00,9.847E-01,-3.948E-01,1.038E+01,8.950E+00,3.701E+00,3.939E-01,3.492E+00,1.000E+00,1.818E-01,1.986E+00,1.085E+00,-4.640E-01,1.070E+01,6.785E+00,3.934E+00,4.390E-01,2.753E+00,1.000E+00,8.146E-02,4.136E+00,1.022E+00,-7.044E-01,1.898E+01,8.254E+00,3.814E+00,6.267E-01,3.111E+00,1.000E+00,3.121E-02,7.628E+00
8.500E+01,0.000E+00,0.000E+00,2.624E-02,7.812E-07,0.000E+00,9.793E-04,9.301E-04,2.734E-02,8.102E-02,2.741E+00,9.727E-01,-3.680E-01,8.847E+00,1.043E+01,3.680E+00,3.956E-01,3.568E+00,1.000E+00,1.722E-01,2.085E+00,1.068E+00,-4.474E-01,9.591E+00,7.677E+00,3.869E+00,4.448E-01,2.940E+00,1.000E+00,7.775E-02,4.304E+00,1.021E+00,-6.886E-01,1.645E+01,8.918E+00,3.803E+00,6.319E-01,3.146E+00,1.000E+00,2.810E-02,8.256E+00
8.600E+01,0.000E+00,0.000E+00,1.656E-02,7.812E-07,0.000E+00,1.466E-03,1.265E-03,1.822E-02,5.322E-02,1.822E+00,9.771E-01,-3.411E-01,7.313E+00,1.192E+01,3.659E+00,3.973E-01,3.645E+00,1.000E+00,1.625E-01,2.184E+00,1.061E+00,-4.308E-01,8.477E+00,8.569E+00,3.809E+00,4.505E-01,3.127E+00,1.000E+00,7.405E-02,4.472E+00,1.028E+00,-6.727E-01,1.393E+01,9.582E+00,3.792E+00,6.370E-01,3.181E+00,1.000E+00,2.500E-02,8.883E+00
8.700E+01,0.000E+00,0.000E+00,8.350E-03,3.906E-07,0.000E+00,8.309E-04,7.078E-04,9.214E-03,2.694E-02,9.245E-01,1.011E+00,-5.062E-01,1.078E+01,9.654E+00,3.758E+00,5.207E-01,3.293E+00,1.000E+00,1.214E-01,3.038E+00,1.120E+00,-5.076E-01,8.472E+00,7.883E+00,3.873E+00,5.260E-01,2.929E+00,1.000E+00,6.864E-02,4.778E+00,9.779E-01,-7.937E-01,2.035E+01,1.039E+01,3.689E+00,7.112E-01,3.535E+00,1.000E+00,1.960E-02,1.084E+01
8.800E+01,0.000E+00,0.000E+00,1.414E-04,0.000E+00,0.000E+00,1.953E-04,1.508E-04,2.070E-04,6.555E-04,2.708E-02,1.096E+00,-6.712E-01,1.424E+01,7.391E+00,3.869E+00,6.442E-01,2.942E+00,1.000E+00,8.030E-02,3.893E+00,1.179E+00,-5.843E-01,8.466E+00,7.196E+00,3.942E+00,6.014E-01,2.731E+00,1.000E+00,6.323E-02,5.083E+00,9.485E-01,-9.146E-01,2.677E+01,1.121E+01,3.597E+00,7.854E-01,3.888E+00,1.000E+00,1.420E-02,1.279E+01
8.900E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.562E-06,0.000E+00,7.812E-07,1.562E-06,8.500E-04,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
