alpha,H,He,Si,O,Si_1,O_1,amu/ion,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
7.000E+01,0.000E+00,0.000E+00,1.644E-02,0.000E+00,1.942E-02,6.955E-02,2.120E+00,1.516E+00,-6.068E-01,1.491E+01,2.066E+00,4.858E+00,3.159E-01,1.084E+00,1.000E+00,9.562E-02,3.621E+00,1.493E+00,-7.980E-01,2.313E+01,2.368E+00,4.852E+00,4.768E-01,1.090E+00,1.000E+00,4.791E-02,5.608E+00
7.100E+01,0.000E+00,0.000E+00,1.709E-02,0.000E+00,2.034E-02,7.249E-02,2.211E+00,1.499E+00,-6.056E-01,1.508E+01,2.135E+00,4.837E+00,3.201E-01,1.107E+00,1.000E+00,9.532E-02,3.631E+00,1.472E+00,-7.973E-01,2.370E+01,2.454E+00,4.821E+00,4.804E-01,1.126E+00,1.000E+00,4.764E-02,5.631E+00
7.200E+01,0.000E+00,0.000E+00,1.774E-02,0.000E+00,2.125E-02,7.544E-02,2.302E+00,1.482E+00,-6.044E-01,1.526E+01,2.205E+00,4.817E+00,3.244E-01,1.131E+00,1.000E+00,9.501E-02,3.641E+00,1.453E+00,-7.966E-01,2.427E+01,2.540E+00,4.790E+00,4.839E-01,1.162E+00,1.000E+00,4.737E-02,5.654E+00
7.300E+01,0.000E+00,0.000E+00,1.855E-02,0.000E+00,2.263E-02,7.991E-02,2.435E+00,1.451E+00,-5.878E-01,1.477E+01,2.359E+00,4.782E+00,3.287E-01,1.171E+00,1.000E+00,9.552E-02,3.625E+00,1.421E+00,-7.993E-01,2.659E+01,2.647E+00,4.734E+00,4.940E-01,1.231E+00,1.000E+00,4.701E-02,5.686E+00
7.400E+01,0.000E+00,0.000E+00,1.936E-02,0.000E+00,2.401E-02,8.437E-02,2.568E+00,1.422E+00,-5.712E-01,1.428E+01,2.512E+00,4.749E+00,3.331E-01,1.212E+00,1.000E+00,9.603E-02,3.609E+00,1.391E+00,-8.021E-01,2.891E+01,2.755E+00,4.681E+00,5.040E-01,1.300E+00,1.000E+00,4.666E-02,5.718E+00
7.500E+01,0.000E+00,0.000E+00,2.052E-02,0.000E+00,2.551E-02,8.920E-02,2.720E+00,1.400E+00,-5.575E-01,1.358E+01,2.668E+00,4.700E+00,3.379E-01,1.275E+00,1.000E+00,9.561E-02,3.622E+00,1.355E+00,-7.784E-01,2.613E+01,3.025E+00,4.614E+00,5.114E-01,1.391E+00,1.000E+00,4.746E-02,5.647E+00
7.600E+01,0.000E+00,0.000E+00,2.167E-02,0.000E+00,2.701E-02,9.402E-02,2.871E+00,1.380E+00,-5.438E-01,1.287E+01,2.823E+00,4.652E+00,3.428E-01,1.338E+00,1.000E+00,9.519E-02,3.635E+00,1.326E+00,-7.548E-01,2.334E+01,3.295E+00,4.551E+00,5.188E-01,1.483E+00,1.000E+00,4.826E-02,5.577E+00
7.700E+01,0.000E+00,0.000E+00,2.211E-02,0.000E+00,2.923E-02,9.945E-02,3.033E+00,1.351E+00,-5.310E-01,1.249E+01,3.042E+00,4.618E+00,3.475E-01,1.385E+00,1.000E+00,9.350E-02,3.691E+00,1.289E+00,-7.410E-01,2.194E+01,3.656E+00,4.489E+00,5.302E-01,1.577E+00,1.000E+00,4.630E-02,5.756E+00
7.800E+01,0.000E+00,0.000E+00,2.256E-02,0.000E+00,3.144E-02,1.049E-01,3.195E+00,1.324E+00,-5.182E-01,1.211E+01,3.261E+00,4.585E+00,3.522E-01,1.432E+00,1.000E+00,9.180E-02,3.746E+00,1.257E+00,-7.273E-01,2.053E+01,4.018E+00,4.431E+00,5.417E-01,1.672E+00,1.000E+00,4.433E-02,5.936E+00
7.900E+01,0.000E+00,0.000E+00,2.337E-02,0.000E+00,3.311E-02,1.097E-01,3.342E+00,1.290E+00,-5.165E-01,1.230E+01,3.539E+00,4.511E+00,3.663E-01,1.543E+00,1.000E+00,9.128E-02,3.764E+00,1.228E+00,-7.212E-01,2.020E+01,4.340E+00,4.322E+00,5.547E-01,1.866E+00,1.000E+00,4.341E-02,6.029E+00
8.000E+01,0.000E+00,0.000E+00,2.418E-02,0.000E+00,3.478E-02,1.145E-01,3.489E+00,1.259E+00,-5.148E-01,1.250E+01,3.817E+00,4.442E+00,3.803E-01,1.654E+00,1.000E+00,9.076E-02,3.782E+00,1.202E+00,-7.151E-01,1.987E+01,4.662E+00,4.223E+00,5.677E-01,2.060E+00,1.000E+00,4.250E-02,6.122E+00
8.100E+01,0.000E+00,0.000E+00,2.381E-02,0.000E+00,3.620E-02,1.167E-01,3.553E+00,1.217E+00,-5.014E-01,1.193E+01,4.341E+00,4.330E+00,3.939E-01,1.851E+00,1.000E+00,8.966E-02,3.821E+00,1.145E+00,-6.992E-01,1.898E+01,5.524E+00,4.108E+00,5.767E-01,2.313E+00,1.000E+00,4.196E-02,6.180E+00
8.200E+01,0.000E+00,0.000E+00,2.344E-02,0.000E+00,3.763E-02,1.189E-01,3.618E+00,1.183E+00,-4.881E-01,1.137E+01,4.865E+00,4.228E+00,4.074E-01,2.049E+00,1.000E+00,8.855E-02,3.860E+00,1.099E+00,-6.832E-01,1.809E+01,6.386E+00,4.004E+00,5.857E-01,2.565E+00,1.000E+00,4.142E-02,6.237E+00
8.300E+01,0.000E+00,0.000E+00,2.172E-02,0.000E+00,3.619E-02,1.125E-01,3.428E+00,1.134E+00,-4.789E-01,1.108E+01,5.724E+00,4.083E+00,4.239E-01,2.370E+00,1.000E+00,8.532E-02,3.985E+00,1.055E+00,-6.704E-01,1.724E+01,7.472E+00,3.896E+00,5.942E-01,2.862E+00,1.000E+00,3.827E-02,6.629E+00
8.400E+01,0.000E+00,0.000E+00,2.000E-02,0.000E+00,3.476E-02,1.062E-01,3.238E+00,1.095E+00,-4.698E-01,1.078E+01,6.583E+00,3.957E+00,4.404E-01,2.691E+00,1.000E+00,8.208E-02,4.110E+00,1.020E+00,-6.576E-01,1.639E+01,8.557E+00,3.799E+00,6.028E-01,3.159E+00,1.000E+00,3.512E-02,7.020E+00
8.500E+01,0.000E+00,0.000E+00,1.478E-02,0.000E+00,2.665E-02,8.043E-02,2.451E+00,1.063E+00,-4.505E-01,9.700E+00,7.789E+00,3.876E+00,4.466E-01,2.920E+00,1.000E+00,7.777E-02,4.306E+00,1.027E+00,-6.562E-01,1.476E+01,8.990E+00,3.788E+00,6.127E-01,3.195E+00,1.000E+00,3.123E-02,7.688E+00
8.600E+01,0.000E+00,0.000E+00,9.557E-03,0.000E+00,1.855E-02,5.465E-02,1.663E+00,1.045E+00,-4.312E-01,8.622E+00,8.995E+00,3.802E+00,4.528E-01,3.149E+00,1.000E+00,7.345E-02,4.502E+00,1.038E+00,-6.549E-01,1.312E+01,9.422E+00,3.777E+00,6.226E-01,3.230E+00,1.000E+00,2.735E-02,8.356E+00
8.700E+01,0.000E+00,0.000E+00,4.823E-03,0.000E+00,9.473E-03,2.790E-02,8.475E-01,1.113E+00,-4.971E-01,8.275E+00,8.102E+00,3.897E+00,5.200E-01,2.858E+00,1.000E+00,7.115E-02,4.624E+00,9.763E-01,-7.299E-01,1.348E+01,1.304E+01,3.682E+00,7.040E-01,3.560E+00,1.000E+00,2.055E-02,1.070E+01
8.800E+01,0.000E+00,0.000E+00,8.984E-05,0.000E+00,3.965E-04,1.159E-03,3.203E-02,1.185E+00,-5.630E-01,7.929E+00,7.208E+00,4.004E+00,5.872E-01,2.567E+00,1.000E+00,6.884E-02,4.746E+00,9.331E-01,-8.049E-01,1.384E+01,1.666E+01,3.596E+00,7.854E-01,3.890E+00,1.000E+00,1.376E-02,1.304E+01
8.900E+01,0.000E+00,0.000E+00,9.766E-07,0.000E+00,3.906E-06,1.660E-05,8.853E-04,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,9.870E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
