alpha,H,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O
3.600E+01,0.000E+00,0.000E+00,4.239E-03,4.300E-03,0.000E+00,0.000E+00,1.831E-06,4.542E-03,1.735E-02,9.739E-01,1.761E+00,-2.751E-01,2.729E+00,1.788E+00,4.935E+00,1.920E-01,1.000E+00,1.000E+00,4.425E-02,4.999E+00,1.812E+00,-3.175E-01,3.296E+00,1.469E+00,4.935E+00,1.806E-01,1.000E+00,1.000E+00,5.915E-02,4.010E+00,1.625E+00,-1.544E-01,2.475E+00,2.170E+00,4.935E+00,1.265E-01,1.000E+00,1.000E+00,1.219E-01,2.952E+00
3.700E+01,0.000E+00,0.000E+00,4.355E-03,4.371E-03,0.000E+00,0.000E+00,1.953E-06,4.696E-03,1.777E-02,9.988E-01,1.762E+00,-2.798E-01,2.743E+00,1.793E+00,4.935E+00,1.966E-01,1.000E+00,1.000E+00,4.410E-02,5.010E+00,1.812E+00,-3.274E-01,3.373E+00,1.474E+00,4.935E+00,1.875E-01,1.000E+00,1.000E+00,5.896E-02,4.019E+00,1.628E+00,-1.611E-01,2.515E+00,2.151E+00,4.935E+00,1.297E-01,1.000E+00,1.000E+00,1.218E-01,2.954E+00
3.800E+01,0.000E+00,0.000E+00,4.471E-03,4.442E-03,0.000E+00,0.000E+00,2.075E-06,4.850E-03,1.819E-02,1.024E+00,1.763E+00,-2.845E-01,2.757E+00,1.799E+00,4.935E+00,2.012E-01,1.000E+00,1.000E+00,4.395E-02,5.022E+00,1.812E+00,-3.373E-01,3.450E+00,1.479E+00,4.935E+00,1.945E-01,1.000E+00,1.000E+00,5.877E-02,4.028E+00,1.632E+00,-1.679E-01,2.555E+00,2.132E+00,4.935E+00,1.330E-01,1.000E+00,1.000E+00,1.217E-01,2.956E+00
3.900E+01,0.000E+00,0.000E+00,4.587E-03,4.513E-03,0.000E+00,0.000E+00,2.197E-06,5.004E-03,1.861E-02,1.049E+00,1.764E+00,-2.892E-01,2.770E+00,1.804E+00,4.935E+00,2.057E-01,1.000E+00,1.000E+00,4.380E-02,5.033E+00,1.813E+00,-3.472E-01,3.527E+00,1.484E+00,4.935E+00,2.015E-01,1.000E+00,1.000E+00,5.859E-02,4.037E+00,1.636E+00,-1.746E-01,2.596E+00,2.113E+00,4.935E+00,1.362E-01,1.000E+00,1.000E+00,1.216E-01,2.959E+00
4.000E+01,0.000E+00,0.000E+00,4.703E-03,4.583E-03,0.000E+00,0.000E+00,2.319E-06,5.159E-03,1.903E-02,1.073E+00,1.765E+00,-2.939E-01,2.784E+00,1.810E+00,4.935E+00,2.103E-01,1.000E+00,1.000E+00,4.365E-02,5.045E+00,1.813E+00,-3.571E-01,3.604E+00,1.489E+00,4.935E+00,2.084E-01,1.000E+00,1.000E+00,5.840E-02,4.045E+00,1.640E+00,-1.813E-01,2.636E+00,2.094E+00,4.935E+00,1.394E-01,1.000E+00,1.000E+00,1.215E-01,2.961E+00
4.100E+01,0.000E+00,0.000E+00,4.820E-03,4.654E-03,0.000E+00,0.000E+00,2.441E-06,5.313E-03,1.945E-02,1.098E+00,1.766E+00,-2.987E-01,2.798E+00,1.815E+00,4.935E+00,2.149E-01,1.000E+00,1.000E+00,4.350E-02,5.056E+00,1.813E+00,-3.669E-01,3.681E+00,1.494E+00,4.935E+00,2.154E-01,1.000E+00,1.000E+00,5.821E-02,4.054E+00,1.645E+00,-1.880E-01,2.676E+00,2.074E+00,4.935E+00,1.426E-01,1.000E+00,1.000E+00,1.214E-01,2.963E+00
4.200E+01,0.000E+00,0.000E+00,4.936E-03,4.725E-03,0.000E+00,0.000E+00,2.563E-06,5.467E-03,1.987E-02,1.123E+00,1.767E+00,-3.034E-01,2.812E+00,1.821E+00,4.935E+00,2.194E-01,1.000E+00,1.000E+00,4.335E-02,5.068E+00,1.814E+00,-3.768E-01,3.758E+00,1.499E+00,4.935E+00,2.223E-01,1.000E+00,1.000E+00,5.803E-02,4.063E+00,1.649E+00,-1.947E-01,2.716E+00,2.055E+00,4.935E+00,1.458E-01,1.000E+00,1.000E+00,1.212E-01,2.965E+00
4.300E+01,0.000E+00,0.000E+00,5.052E-03,4.796E-03,0.000E+00,0.000E+00,2.686E-06,5.621E-03,2.029E-02,1.148E+00,1.767E+00,-3.081E-01,2.826E+00,1.826E+00,4.935E+00,2.240E-01,1.000E+00,1.000E+00,4.320E-02,5.079E+00,1.814E+00,-3.867E-01,3.834E+00,1.504E+00,4.935E+00,2.293E-01,1.000E+00,1.000E+00,5.784E-02,4.072E+00,1.653E+00,-2.014E-01,2.757E+00,2.036E+00,4.935E+00,1.490E-01,1.000E+00,1.000E+00,1.211E-01,2.967E+00
4.400E+01,0.000E+00,0.000E+00,5.168E-03,4.867E-03,0.000E+00,0.000E+00,2.808E-06,5.775E-03,2.071E-02,1.173E+00,1.768E+00,-3.128E-01,2.840E+00,1.832E+00,4.935E+00,2.286E-01,1.000E+00,1.000E+00,4.305E-02,5.091E+00,1.815E+00,-3.966E-01,3.911E+00,1.509E+00,4.935E+00,2.363E-01,1.000E+00,1.000E+00,5.765E-02,4.081E+00,1.658E+00,-2.081E-01,2.797E+00,2.017E+00,4.935E+00,1.522E-01,1.000E+00,1.000E+00,1.210E-01,2.970E+00
4.500E+01,0.000E+00,0.000E+00,5.284E-03,4.938E-03,0.000E+00,0.000E+00,2.930E-06,5.930E-03,2.113E-02,1.198E+00,1.769E+00,-3.175E-01,2.854E+00,1.837E+00,4.935E+00,2.332E-01,1.000E+00,1.000E+00,4.290E-02,5.102E+00,1.816E+00,-4.065E-01,3.988E+00,1.513E+00,4.935E+00,2.432E-01,1.000E+00,1.000E+00,5.747E-02,4.090E+00,1.662E+00,-2.149E-01,2.837E+00,1.998E+00,4.935E+00,1.554E-01,1.000E+00,1.000E+00,1.209E-01,2.972E+00
4.600E+01,0.000E+00,0.000E+00,5.457E-03,5.181E-03,0.000E+00,0.000E+00,3.418E-06,6.189E-03,2.215E-02,1.250E+00,1.774E+00,-3.832E-01,3.606E+00,1.731E+00,4.935E+00,2.585E-01,1.000E+00,1.000E+00,4.286E-02,5.105E+00,1.786E+00,-4.058E-01,3.859E+00,1.667E+00,4.935E+00,2.649E-01,1.000E+00,1.000E+00,5.785E-02,4.071E+00,1.667E+00,-2.287E-01,2.883E+00,2.008E+00,4.935E+00,1.667E-01,1.000E+00,1.000E+00,1.195E-01,3.002E+00
4.700E+01,0.000E+00,0.000E+00,5.543E-03,5.303E-03,0.000E+00,0.000E+00,3.662E-06,6.319E-03,2.266E-02,1.276E+00,1.782E+00,-4.160E-01,3.983E+00,1.678E+00,4.935E+00,2.712E-01,1.000E+00,1.000E+00,4.285E-02,5.107E+00,1.773E+00,-4.054E-01,3.794E+00,1.743E+00,4.935E+00,2.758E-01,1.000E+00,1.000E+00,5.805E-02,4.061E+00,1.669E+00,-2.356E-01,2.906E+00,2.013E+00,4.935E+00,1.723E-01,1.000E+00,1.000E+00,1.188E-01,3.017E+00
4.800E+01,0.000E+00,0.000E+00,5.630E-03,5.425E-03,0.000E+00,0.000E+00,3.906E-06,6.449E-03,2.317E-02,1.303E+00,1.794E+00,-4.488E-01,4.359E+00,1.624E+00,4.935E+00,2.838E-01,1.000E+00,1.000E+00,4.283E-02,5.108E+00,1.760E+00,-4.051E-01,3.730E+00,1.820E+00,4.935E+00,2.866E-01,1.000E+00,1.000E+00,5.824E-02,4.052E+00,1.672E+00,-2.425E-01,2.929E+00,2.018E+00,4.935E+00,1.779E-01,1.000E+00,1.000E+00,1.181E-01,3.032E+00
4.900E+01,0.000E+00,0.000E+00,5.929E-03,5.579E-03,0.000E+00,0.000E+00,2.441E-06,6.833E-03,2.436E-02,1.366E+00,1.766E+00,-4.688E-01,4.751E+00,1.705E+00,4.935E+00,3.022E-01,1.000E+00,1.000E+00,4.149E-02,5.220E+00,1.751E+00,-4.587E-01,4.690E+00,1.756E+00,4.935E+00,2.873E-01,1.000E+00,1.000E+00,5.730E-02,4.099E+00,1.672E+00,-2.215E-01,2.650E+00,2.094E+00,4.935E+00,1.784E-01,1.000E+00,1.000E+00,1.186E-01,3.022E+00
5.000E+01,0.000E+00,0.000E+00,6.079E-03,5.656E-03,0.000E+00,0.000E+00,1.709E-06,7.024E-03,2.496E-02,1.398E+00,1.753E+00,-4.788E-01,4.948E+00,1.746E+00,4.935E+00,3.114E-01,1.000E+00,1.000E+00,4.083E-02,5.276E+00,1.752E+00,-4.855E-01,5.171E+00,1.723E+00,4.935E+00,2.876E-01,1.000E+00,1.000E+00,5.683E-02,4.122E+00,1.673E+00,-2.109E-01,2.511E+00,2.132E+00,4.935E+00,1.787E-01,1.000E+00,1.000E+00,1.188E-01,3.017E+00
5.100E+01,0.000E+00,0.000E+00,6.229E-03,5.733E-03,0.000E+00,0.000E+00,9.766E-07,7.216E-03,2.555E-02,1.430E+00,1.741E+00,-4.887E-01,5.144E+00,1.786E+00,4.935E+00,3.205E-01,1.000E+00,1.000E+00,4.016E-02,5.332E+00,1.756E+00,-5.124E-01,5.651E+00,1.691E+00,4.935E+00,2.879E-01,1.000E+00,1.000E+00,5.636E-02,4.145E+00,1.676E+00,-2.004E-01,2.371E+00,2.170E+00,4.935E+00,1.790E-01,1.000E+00,1.000E+00,1.190E-01,3.013E+00
5.200E+01,0.000E+00,0.000E+00,6.633E-03,6.148E-03,0.000E+00,0.000E+00,1.953E-06,7.714E-03,2.716E-02,1.526E+00,1.754E+00,-5.294E-01,6.014E+00,1.680E+00,4.935E+00,3.233E-01,1.000E+00,1.000E+00,4.044E-02,5.307E+00,1.757E+00,-5.538E-01,6.799E+00,1.618E+00,4.935E+00,3.015E-01,1.000E+00,1.000E+00,5.554E-02,4.188E+00,1.654E+00,-2.307E-01,2.777E+00,2.164E+00,4.935E+00,1.865E-01,1.000E+00,1.000E+00,1.184E-01,3.027E+00
5.300E+01,0.000E+00,0.000E+00,6.836E-03,6.355E-03,0.000E+00,0.000E+00,2.441E-06,7.964E-03,2.796E-02,1.574E+00,1.765E+00,-5.498E-01,6.449E+00,1.627E+00,4.935E+00,3.247E-01,1.000E+00,1.000E+00,4.058E-02,5.295E+00,1.762E+00,-5.745E-01,7.372E+00,1.581E+00,4.935E+00,3.082E-01,1.000E+00,1.000E+00,5.512E-02,4.209E+00,1.645E+00,-2.458E-01,2.980E+00,2.161E+00,4.935E+00,1.903E-01,1.000E+00,1.000E+00,1.180E-01,3.034E+00
5.400E+01,0.000E+00,0.000E+00,7.038E-03,6.562E-03,0.000E+00,0.000E+00,2.930E-06,8.213E-03,2.876E-02,1.622E+00,1.777E+00,-5.701E-01,6.884E+00,1.574E+00,4.935E+00,3.260E-01,1.000E+00,1.000E+00,4.072E-02,5.283E+00,1.768E+00,-5.952E-01,7.946E+00,1.544E+00,4.935E+00,3.150E-01,1.000E+00,1.000E+00,5.471E-02,4.231E+00,1.638E+00,-2.609E-01,3.183E+00,2.158E+00,4.935E+00,1.940E-01,1.000E+00,1.000E+00,1.177E-01,3.041E+00
5.500E+01,0.000E+00,0.000E+00,7.454E-03,6.783E-03,0.000E+00,0.000E+00,4.883E-06,8.820E-03,3.048E-02,1.716E+00,1.742E+00,-5.750E-01,6.842E+00,1.728E+00,4.935E+00,3.453E-01,1.000E+00,1.000E+00,4.054E-02,5.298E+00,1.751E+00,-5.961E-01,7.864E+00,1.620E+00,4.935E+00,3.258E-01,1.000E+00,1.000E+00,5.483E-02,4.224E+00,1.644E+00,-2.665E-01,3.158E+00,2.166E+00,4.935E+00,1.999E-01,1.000E+00,1.000E+00,1.171E-01,3.054E+00
5.600E+01,0.000E+00,0.000E+00,7.661E-03,6.894E-03,0.000E+00,0.000E+00,5.859E-06,9.123E-03,3.133E-02,1.762E+00,1.726E+00,-5.775E-01,6.821E+00,1.804E+00,4.935E+00,3.550E-01,1.000E+00,1.000E+00,4.046E-02,5.306E+00,1.742E+00,-5.966E-01,7.822E+00,1.658E+00,4.935E+00,3.312E-01,1.000E+00,1.000E+00,5.490E-02,4.221E+00,1.646E+00,-2.692E-01,3.146E+00,2.170E+00,4.935E+00,2.028E-01,1.000E+00,1.000E+00,1.168E-01,3.061E+00
5.700E+01,0.000E+00,0.000E+00,7.869E-03,7.004E-03,0.000E+00,0.000E+00,6.836E-06,9.427E-03,3.219E-02,1.809E+00,1.710E+00,-5.799E-01,6.799E+00,1.881E+00,4.935E+00,3.646E-01,1.000E+00,1.000E+00,4.037E-02,5.313E+00,1.734E+00,-5.970E-01,7.781E+00,1.696E+00,4.935E+00,3.366E-01,1.000E+00,1.000E+00,5.496E-02,4.218E+00,1.649E+00,-2.720E-01,3.133E+00,2.174E+00,4.935E+00,2.057E-01,1.000E+00,1.000E+00,1.165E-01,3.068E+00
5.800E+01,0.000E+00,0.000E+00,8.395E-03,7.246E-03,0.000E+00,0.000E+00,5.859E-06,1.023E-02,3.429E-02,1.926E+00,1.694E+00,-6.222E-01,8.590E+00,1.835E+00,4.935E+00,3.693E-01,1.000E+00,1.000E+00,4.033E-02,5.317E+00,1.718E+00,-6.257E-01,8.643E+00,1.738E+00,4.935E+00,3.516E-01,1.000E+00,1.000E+00,5.480E-02,4.226E+00,1.649E+00,-3.071E-01,3.635E+00,2.075E+00,4.935E+00,2.127E-01,1.000E+00,1.000E+00,1.152E-01,3.098E+00
5.900E+01,0.000E+00,0.000E+00,8.657E-03,7.367E-03,0.000E+00,0.000E+00,5.371E-06,1.063E-02,3.534E-02,1.985E+00,1.691E+00,-6.433E-01,9.486E+00,1.812E+00,4.935E+00,3.717E-01,1.000E+00,1.000E+00,4.031E-02,5.319E+00,1.712E+00,-6.400E-01,9.073E+00,1.759E+00,4.935E+00,3.591E-01,1.000E+00,1.000E+00,5.472E-02,4.231E+00,1.653E+00,-3.247E-01,3.886E+00,2.025E+00,4.935E+00,2.162E-01,1.000E+00,1.000E+00,1.145E-01,3.113E+00
6.000E+01,0.000E+00,0.000E+00,8.920E-03,7.488E-03,0.000E+00,0.000E+00,4.883E-06,1.103E-02,3.640E-02,2.043E+00,1.691E+00,-6.645E-01,1.038E+01,1.789E+00,4.935E+00,3.740E-01,1.000E+00,1.000E+00,4.029E-02,5.320E+00,1.705E+00,-6.544E-01,9.504E+00,1.780E+00,4.935E+00,3.665E-01,1.000E+00,1.000E+00,5.464E-02,4.235E+00,1.657E+00,-3.423E-01,4.137E+00,1.975E+00,4.935E+00,2.197E-01,1.000E+00,1.000E+00,1.139E-01,3.128E+00
6.100E+01,0.000E+00,0.000E+00,9.569E-03,7.891E-03,0.000E+00,0.000E+00,4.883E-06,1.196E-02,3.910E-02,2.192E+00,1.655E+00,-6.672E-01,1.042E+01,1.948E+00,4.935E+00,3.944E-01,1.000E+00,1.000E+00,3.890E-02,5.449E+00,1.657E+00,-6.398E-01,9.149E+00,1.986E+00,4.935E+00,3.937E-01,1.000E+00,1.000E+00,5.139E-02,4.426E+00,1.649E+00,-3.594E-01,4.500E+00,1.966E+00,4.935E+00,2.226E-01,1.000E+00,1.000E+00,1.144E-01,3.114E+00
6.200E+01,0.000E+00,0.000E+00,9.894E-03,8.093E-03,0.000E+00,0.000E+00,4.883E-06,1.242E-02,4.046E-02,2.266E+00,1.638E+00,-6.685E-01,1.043E+01,2.028E+00,4.935E+00,4.046E-01,1.000E+00,1.000E+00,3.821E-02,5.513E+00,1.636E+00,-6.325E-01,8.971E+00,2.089E+00,4.935E+00,4.072E-01,1.000E+00,1.000E+00,4.976E-02,4.521E+00,1.645E+00,-3.680E-01,4.682E+00,1.961E+00,4.935E+00,2.240E-01,1.000E+00,1.000E+00,1.147E-01,3.107E+00
6.300E+01,0.000E+00,0.000E+00,1.022E-02,8.294E-03,0.000E+00,0.000E+00,4.883E-06,1.289E-02,4.181E-02,2.341E+00,1.622E+00,-6.699E-01,1.045E+01,2.107E+00,4.935E+00,4.149E-01,1.000E+00,1.000E+00,3.752E-02,5.577E+00,1.616E+00,-6.252E-01,8.794E+00,2.192E+00,4.935E+00,4.208E-01,1.000E+00,1.000E+00,4.814E-02,4.616E+00,1.642E+00,-3.766E-01,4.863E+00,1.956E+00,4.935E+00,2.255E-01,1.000E+00,1.000E+00,1.150E-01,3.100E+00
6.400E+01,0.000E+00,0.000E+00,1.106E-02,8.590E-03,0.000E+00,0.000E+00,5.859E-06,1.419E-02,4.491E-02,2.521E+00,1.597E+00,-6.709E-01,1.032E+01,2.252E+00,4.935E+00,4.385E-01,1.000E+00,1.000E+00,3.717E-02,5.611E+00,1.614E+00,-6.266E-01,8.029E+00,2.313E+00,4.935E+00,4.294E-01,1.000E+00,1.000E+00,4.924E-02,4.547E+00,1.626E+00,-4.325E-01,6.467E+00,1.873E+00,4.935E+00,2.366E-01,1.000E+00,1.000E+00,1.152E-01,3.097E+00
6.500E+01,0.000E+00,0.000E+00,1.149E-02,8.738E-03,0.000E+00,0.000E+00,6.348E-06,1.484E-02,4.646E-02,2.610E+00,1.585E+00,-6.715E-01,1.025E+01,2.324E+00,4.935E+00,4.503E-01,1.000E+00,1.000E+00,3.700E-02,5.628E+00,1.614E+00,-6.274E-01,7.647E+00,2.374E+00,4.935E+00,4.337E-01,1.000E+00,1.000E+00,4.979E-02,4.513E+00,1.626E+00,-4.604E-01,7.268E+00,1.831E+00,4.935E+00,2.421E-01,1.000E+00,1.000E+00,1.153E-01,3.095E+00
6.600E+01,0.000E+00,0.000E+00,1.191E-02,8.886E-03,0.000E+00,0.000E+00,6.836E-06,1.550E-02,4.801E-02,2.700E+00,1.573E+00,-6.720E-01,1.018E+01,2.396E+00,4.935E+00,4.621E-01,1.000E+00,1.000E+00,3.683E-02,5.645E+00,1.615E+00,-6.281E-01,7.264E+00,2.435E+00,4.935E+00,4.380E-01,1.000E+00,1.000E+00,5.035E-02,4.478E+00,1.630E+00,-4.884E-01,8.070E+00,1.789E+00,4.935E+00,2.476E-01,1.000E+00,1.000E+00,1.154E-01,3.093E+00
6.700E+01,0.000E+00,0.000E+00,1.281E-02,9.435E-03,0.000E+00,0.000E+00,6.836E-06,1.691E-02,5.170E-02,2.913E+00,1.569E+00,-6.810E-01,9.953E+00,2.477E+00,4.935E+00,4.859E-01,1.000E+00,1.000E+00,3.577E-02,5.755E+00,1.584E+00,-6.542E-01,8.381E+00,2.516E+00,4.935E+00,4.722E-01,1.000E+00,1.000E+00,4.837E-02,4.606E+00,1.599E+00,-5.404E-01,1.124E+01,1.750E+00,4.935E+00,2.584E-01,1.000E+00,1.000E+00,1.148E-01,3.107E+00
6.800E+01,0.000E+00,0.000E+00,1.327E-02,9.710E-03,0.000E+00,0.000E+00,6.836E-06,1.762E-02,5.355E-02,3.019E+00,1.567E+00,-6.856E-01,9.839E+00,2.518E+00,4.935E+00,4.979E-01,1.000E+00,1.000E+00,3.524E-02,5.811E+00,1.571E+00,-6.672E-01,8.939E+00,2.557E+00,4.935E+00,4.893E-01,1.000E+00,1.000E+00,4.737E-02,4.670E+00,1.594E+00,-5.665E-01,1.283E+01,1.730E+00,4.935E+00,2.639E-01,1.000E+00,1.000E+00,1.145E-01,3.113E+00
6.900E+01,0.000E+00,0.000E+00,1.372E-02,9.984E-03,0.000E+00,0.000E+00,6.836E-06,1.833E-02,5.539E-02,3.125E+00,1.565E+00,-6.901E-01,9.725E+00,2.558E+00,4.935E+00,5.098E-01,1.000E+00,1.000E+00,3.471E-02,5.866E+00,1.558E+00,-6.803E-01,9.498E+00,2.598E+00,4.935E+00,5.064E-01,1.000E+00,1.000E+00,4.638E-02,4.733E+00,1.593E+00,-5.925E-01,1.441E+01,1.711E+00,4.935E+00,2.693E-01,1.000E+00,1.000E+00,1.142E-01,3.120E+00
7.000E+01,0.000E+00,0.000E+00,1.476E-02,1.051E-02,0.000E+00,0.000E+00,8.789E-06,2.002E-02,5.979E-02,3.369E+00,1.528E+00,-7.028E-01,1.013E+01,2.783E+00,4.890E+00,5.315E-01,1.048E+00,1.000E+00,3.326E-02,6.036E+00,1.535E+00,-7.316E-01,1.243E+01,2.573E+00,4.910E+00,5.244E-01,1.026E+00,1.000E+00,4.585E-02,4.771E+00,1.545E+00,-5.810E-01,1.429E+01,1.884E+00,4.885E+00,2.781E-01,1.054E+00,1.000E+00,1.125E-01,3.160E+00
7.100E+01,0.000E+00,0.000E+00,1.529E-02,1.077E-02,0.000E+00,0.000E+00,9.766E-06,2.086E-02,6.199E-02,3.491E+00,1.510E+00,-7.092E-01,1.034E+01,2.896E+00,4.868E+00,5.423E-01,1.072E+00,1.000E+00,3.253E-02,6.121E+00,1.529E+00,-7.573E-01,1.390E+01,2.561E+00,4.898E+00,5.333E-01,1.039E+00,1.000E+00,4.558E-02,4.789E+00,1.524E+00,-5.752E-01,1.423E+01,1.971E+00,4.861E+00,2.825E-01,1.080E+00,1.000E+00,1.117E-01,3.180E+00
7.200E+01,0.000E+00,0.000E+00,1.581E-02,1.103E-02,0.000E+00,0.000E+00,1.074E-05,2.171E-02,6.419E-02,3.613E+00,1.494E+00,-7.155E-01,1.054E+01,3.008E+00,4.847E+00,5.532E-01,1.096E+00,1.000E+00,3.180E-02,6.206E+00,1.525E+00,-7.830E-01,1.537E+01,2.549E+00,4.886E+00,5.423E-01,1.052E+00,1.000E+00,4.531E-02,4.808E+00,1.503E+00,-5.695E-01,1.417E+01,2.058E+00,4.837E+00,2.869E-01,1.107E+00,1.000E+00,1.108E-01,3.200E+00
7.300E+01,0.000E+00,0.000E+00,1.651E-02,1.105E-02,0.000E+00,0.000E+00,6.836E-06,2.319E-02,6.727E-02,3.779E+00,1.472E+00,-7.663E-01,1.383E+01,2.964E+00,4.832E+00,5.681E-01,1.113E+00,1.000E+00,3.100E-02,6.310E+00,1.478E+00,-8.155E-01,2.028E+01,2.636E+00,4.823E+00,5.540E-01,1.124E+00,1.000E+00,4.454E-02,4.865E+00,1.482E+00,-5.633E-01,1.396E+01,2.161E+00,4.833E+00,2.932E-01,1.112E+00,1.000E+00,1.101E-01,3.217E+00
7.400E+01,0.000E+00,0.000E+00,1.722E-02,1.108E-02,0.000E+00,0.000E+00,2.930E-06,2.467E-02,7.036E-02,3.946E+00,1.464E+00,-8.171E-01,1.711E+01,2.920E+00,4.816E+00,5.830E-01,1.131E+00,1.000E+00,3.019E-02,6.415E+00,1.444E+00,-8.481E-01,2.520E+01,2.722E+00,4.763E+00,5.657E-01,1.195E+00,1.000E+00,4.376E-02,4.921E+00,1.462E+00,-5.572E-01,1.376E+01,2.264E+00,4.829E+00,2.995E-01,1.116E+00,1.000E+00,1.095E-01,3.233E+00
7.500E+01,0.000E+00,0.000E+00,1.803E-02,1.124E-02,0.000E+00,0.000E+00,1.953E-06,2.619E-02,7.366E-02,4.132E+00,1.416E+00,-8.613E-01,2.465E+01,2.970E+00,4.742E+00,5.971E-01,1.221E+00,1.000E+00,2.964E-02,6.491E+00,1.390E+00,-8.693E-01,3.110E+01,2.924E+00,4.671E+00,5.826E-01,1.313E+00,1.000E+00,4.322E-02,4.962E+00,1.423E+00,-5.465E-01,1.364E+01,2.462E+00,4.773E+00,3.042E-01,1.183E+00,1.000E+00,1.081E-01,3.268E+00
7.600E+01,0.000E+00,0.000E+00,1.885E-02,1.141E-02,0.000E+00,0.000E+00,9.766E-07,2.772E-02,7.697E-02,4.318E+00,1.389E+00,-9.056E-01,3.220E+01,3.021E+00,4.673E+00,6.112E-01,1.310E+00,1.000E+00,2.909E-02,6.567E+00,1.345E+00,-8.905E-01,3.700E+01,3.125E+00,4.586E+00,5.995E-01,1.431E+00,1.000E+00,4.268E-02,5.003E+00,1.388E+00,-5.359E-01,1.353E+01,2.660E+00,4.720E+00,3.089E-01,1.249E+00,1.000E+00,1.068E-01,3.302E+00
7.700E+01,0.000E+00,0.000E+00,1.962E-02,1.131E-02,0.000E+00,0.000E+00,1.465E-06,2.932E-02,7.988E-02,4.486E+00,1.341E+00,-9.075E-01,3.402E+01,3.312E+00,4.581E+00,6.301E-01,1.439E+00,1.000E+00,2.761E-02,6.794E+00,1.301E+00,-8.706E-01,3.366E+01,3.498E+00,4.501E+00,6.108E-01,1.559E+00,1.000E+00,4.118E-02,5.127E+00,1.355E+00,-5.314E-01,1.328E+01,2.904E+00,4.669E+00,3.290E-01,1.315E+00,1.000E+00,1.055E-01,3.336E+00
7.800E+01,0.000E+00,0.000E+00,2.039E-02,1.120E-02,0.000E+00,0.000E+00,1.953E-06,3.093E-02,8.280E-02,4.654E+00,1.298E+00,-9.095E-01,3.583E+01,3.604E+00,4.495E+00,6.491E-01,1.568E+00,1.000E+00,2.613E-02,7.021E+00,1.266E+00,-8.506E-01,3.033E+01,3.871E+00,4.422E+00,6.222E-01,1.687E+00,1.000E+00,3.967E-02,5.250E+00,1.326E+00,-5.268E-01,1.303E+01,3.147E+00,4.620E+00,3.490E-01,1.382E+00,1.000E+00,1.042E-01,3.370E+00
7.900E+01,0.000E+00,0.000E+00,2.071E-02,1.085E-02,0.000E+00,0.000E+00,2.441E-06,3.198E-02,8.417E-02,4.731E+00,1.247E+00,-9.070E-01,3.626E+01,4.052E+00,4.435E+00,6.649E-01,1.666E+00,1.000E+00,2.526E-02,7.172E+00,1.217E+00,-8.476E-01,3.168E+01,4.294E+00,4.329E+00,6.326E-01,1.853E+00,1.000E+00,3.861E-02,5.346E+00,1.287E+00,-5.162E-01,1.294E+01,3.461E+00,4.533E+00,3.606E-01,1.509E+00,1.000E+00,1.030E-01,3.402E+00
8.000E+01,0.000E+00,0.000E+00,2.104E-02,1.051E-02,0.000E+00,0.000E+00,2.930E-06,3.303E-02,8.555E-02,4.808E+00,1.202E+00,-9.045E-01,3.669E+01,4.500E+00,4.377E+00,6.808E-01,1.765E+00,1.000E+00,2.440E-02,7.323E+00,1.173E+00,-8.445E-01,3.303E+01,4.717E+00,4.243E+00,6.430E-01,2.018E+00,1.000E+00,3.754E-02,5.443E+00,1.251E+00,-5.056E-01,1.285E+01,3.774E+00,4.453E+00,3.722E-01,1.637E+00,1.000E+00,1.019E-01,3.435E+00
8.100E+01,0.000E+00,0.000E+00,2.056E-02,9.421E-03,0.000E+00,0.000E+00,3.418E-06,3.314E-02,8.361E-02,4.700E+00,1.152E+00,-9.075E-01,3.865E+01,5.044E+00,4.264E+00,6.995E-01,1.976E+00,1.000E+00,2.272E-02,7.664E+00,1.113E+00,-8.360E-01,3.204E+01,5.574E+00,4.120E+00,6.617E-01,2.284E+00,1.000E+00,3.553E-02,5.649E+00,1.207E+00,-4.929E-01,1.251E+01,4.277E+00,4.331E+00,3.861E-01,1.848E+00,1.000E+00,9.885E-02,3.525E+00
8.200E+01,0.000E+00,0.000E+00,2.009E-02,8.336E-03,0.000E+00,0.000E+00,3.906E-06,3.325E-02,8.167E-02,4.591E+00,1.108E+00,-9.104E-01,4.060E+01,5.588E+00,4.163E+00,7.182E-01,2.188E+00,1.000E+00,2.104E-02,8.005E+00,1.065E+00,-8.276E-01,3.104E+01,6.431E+00,4.010E+00,6.804E-01,2.550E+00,1.000E+00,3.351E-02,5.854E+00,1.169E+00,-4.802E-01,1.217E+01,4.780E+00,4.223E+00,3.999E-01,2.059E+00,1.000E+00,9.582E-02,3.615E+00
