alpha,H,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O
1.000E+01,0.000E+00,0.000E+00,2.541E-03,2.992E-03,0.000E+00,0.000E+00,9.766E-07,2.507E-03,1.064E-02,5.980E-01,1.738E+00,-3.448E-02,1.486E+00,1.761E+00,4.935E+00,4.638E-02,1.000E+00,1.000E+00,4.671E-02,4.817E+00,1.752E+00,-8.921E-02,1.887E+00,1.588E+00,4.935E+00,4.632E-02,1.000E+00,1.000E+00,6.122E-02,3.913E+00,1.603E+00,-3.362E-02,1.932E+00,2.083E+00,4.935E+00,3.486E-02,1.000E+00,1.000E+00,1.293E-01,2.808E+00
1.100E+01,0.000E+00,0.000E+00,2.593E-03,3.056E-03,0.000E+00,0.000E+00,8.545E-07,2.518E-03,1.077E-02,6.069E-01,1.737E+00,-3.883E-02,1.497E+00,1.777E+00,4.935E+00,5.030E-02,1.000E+00,1.000E+00,4.664E-02,4.822E+00,1.741E+00,-8.784E-02,1.857E+00,1.657E+00,4.935E+00,5.287E-02,1.000E+00,1.000E+00,6.118E-02,3.915E+00,1.605E+00,-3.947E-02,1.954E+00,2.083E+00,4.935E+00,3.842E-02,1.000E+00,1.000E+00,1.289E-01,2.814E+00
1.200E+01,0.000E+00,0.000E+00,2.645E-03,3.121E-03,0.000E+00,0.000E+00,7.324E-07,2.530E-03,1.089E-02,6.159E-01,1.737E+00,-4.319E-02,1.508E+00,1.792E+00,4.935E+00,5.423E-02,1.000E+00,1.000E+00,4.657E-02,4.827E+00,1.732E+00,-8.647E-02,1.827E+00,1.726E+00,4.935E+00,5.943E-02,1.000E+00,1.000E+00,6.113E-02,3.917E+00,1.607E+00,-4.533E-02,1.976E+00,2.082E+00,4.935E+00,4.198E-02,1.000E+00,1.000E+00,1.286E-01,2.821E+00
1.300E+01,0.000E+00,0.000E+00,2.697E-03,3.185E-03,0.000E+00,0.000E+00,6.104E-07,2.541E-03,1.102E-02,6.248E-01,1.736E+00,-4.754E-02,1.519E+00,1.808E+00,4.935E+00,5.815E-02,1.000E+00,1.000E+00,4.650E-02,4.832E+00,1.723E+00,-8.510E-02,1.798E+00,1.795E+00,4.935E+00,6.599E-02,1.000E+00,1.000E+00,6.109E-02,3.919E+00,1.609E+00,-5.118E-02,1.998E+00,2.082E+00,4.935E+00,4.555E-02,1.000E+00,1.000E+00,1.282E-01,2.827E+00
1.400E+01,0.000E+00,0.000E+00,2.723E-03,3.217E-03,0.000E+00,0.000E+00,5.493E-07,2.547E-03,1.108E-02,6.293E-01,1.736E+00,-4.971E-02,1.525E+00,1.815E+00,4.935E+00,6.011E-02,1.000E+00,1.000E+00,4.647E-02,4.835E+00,1.719E+00,-8.442E-02,1.783E+00,1.830E+00,4.935E+00,6.927E-02,1.000E+00,1.000E+00,6.107E-02,3.920E+00,1.610E+00,-5.410E-02,2.010E+00,2.082E+00,4.935E+00,4.733E-02,1.000E+00,1.000E+00,1.281E-01,2.830E+00
1.500E+01,0.000E+00,0.000E+00,2.749E-03,3.249E-03,0.000E+00,0.000E+00,4.883E-07,2.552E-03,1.115E-02,6.337E-01,1.736E+00,-5.189E-02,1.530E+00,1.823E+00,4.935E+00,6.207E-02,1.000E+00,1.000E+00,4.643E-02,4.837E+00,1.715E+00,-8.373E-02,1.768E+00,1.864E+00,4.935E+00,7.255E-02,1.000E+00,1.000E+00,6.105E-02,3.921E+00,1.612E+00,-5.703E-02,2.021E+00,2.082E+00,4.935E+00,4.911E-02,1.000E+00,1.000E+00,1.279E-01,2.834E+00
1.600E+01,0.000E+00,0.000E+00,2.801E-03,3.313E-03,0.000E+00,0.000E+00,3.662E-07,2.564E-03,1.127E-02,6.426E-01,1.735E+00,-5.624E-02,1.542E+00,1.838E+00,4.935E+00,6.600E-02,1.000E+00,1.000E+00,4.637E-02,4.842E+00,1.707E+00,-8.236E-02,1.738E+00,1.933E+00,4.935E+00,7.911E-02,1.000E+00,1.000E+00,6.100E-02,3.923E+00,1.614E+00,-6.288E-02,2.043E+00,2.082E+00,4.935E+00,5.267E-02,1.000E+00,1.000E+00,1.276E-01,2.840E+00
1.700E+01,0.000E+00,0.000E+00,2.853E-03,3.377E-03,0.000E+00,0.000E+00,2.441E-07,2.575E-03,1.140E-02,6.516E-01,1.735E+00,-6.059E-02,1.553E+00,1.854E+00,4.935E+00,6.992E-02,1.000E+00,1.000E+00,4.630E-02,4.847E+00,1.700E+00,-8.099E-02,1.708E+00,2.002E+00,4.935E+00,8.567E-02,1.000E+00,1.000E+00,6.096E-02,3.925E+00,1.616E+00,-6.874E-02,2.065E+00,2.082E+00,4.935E+00,5.623E-02,1.000E+00,1.000E+00,1.272E-01,2.846E+00
1.800E+01,0.000E+00,0.000E+00,2.905E-03,3.442E-03,0.000E+00,0.000E+00,1.221E-07,2.586E-03,1.153E-02,6.605E-01,1.734E+00,-6.494E-02,1.564E+00,1.869E+00,4.935E+00,7.384E-02,1.000E+00,1.000E+00,4.623E-02,4.852E+00,1.693E+00,-7.962E-02,1.678E+00,2.071E+00,4.935E+00,9.223E-02,1.000E+00,1.000E+00,6.092E-02,3.927E+00,1.618E+00,-7.459E-02,2.087E+00,2.081E+00,4.935E+00,5.980E-02,1.000E+00,1.000E+00,1.269E-01,2.853E+00
1.900E+01,0.000E+00,0.000E+00,2.931E-03,3.474E-03,0.000E+00,0.000E+00,6.104E-08,2.592E-03,1.159E-02,6.650E-01,1.734E+00,-6.711E-02,1.569E+00,1.877E+00,4.935E+00,7.580E-02,1.000E+00,1.000E+00,4.619E-02,4.854E+00,1.690E+00,-7.893E-02,1.663E+00,2.106E+00,4.935E+00,9.550E-02,1.000E+00,1.000E+00,6.090E-02,3.928E+00,1.620E+00,-7.751E-02,2.098E+00,2.081E+00,4.935E+00,6.158E-02,1.000E+00,1.000E+00,1.267E-01,2.856E+00
