alpha,H,He,Ca,Mg,Si,O,Ca_1,O_1,Mg_2,O_2,Si_3,O_3,amu/ion,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,3dK_Ca,3dTilt_Ca,3dM_Ca,3dN_Ca,energyK_Ca,energyE_Ca,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,3dK_O,3dTilt_O,3dM_O,3dN_O,energyK_O,energyE_O,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,3dK_Si,3dTilt_Si,3dM_Si,3dN_Si,energyK_Si,energyE_Si
5.700E+01,0.000E+00,0.000E+00,0.000E+00,5.632E-03,3.888E-03,0.000E+00,5.690E-03,7.252E-03,1.953E-06,4.883E-06,7.449E-03,2.709E-02,1.234E+00,1.684E+00,-5.558E-01,5.531E+00,2.173E+00,4.935E+00,3.935E-01,1.000E+00,1.000E+00,7.276E-02,3.772E+00,1.649E+00,-3.443E-01,3.743E+00,2.189E+00,4.935E+00,2.525E-01,1.000E+00,1.000E+00,1.936E-01,1.882E+00,1.634E+00,-4.176E-01,4.837E+00,2.167E+00,4.935E+00,2.812E-01,1.000E+00,1.000E+00,9.591E-02,3.612E+00,1.726E+00,-6.881E-01,1.000E+01,1.735E+00,4.935E+00,4.012E-01,1.000E+00,1.000E+00,4.862E-02,5.547E+00
5.800E+01,0.000E+00,0.000E+00,0.000E+00,6.056E-03,3.930E-03,0.000E+00,6.097E-03,7.775E-03,2.441E-06,3.906E-06,8.266E-03,2.897E-02,1.323E+00,1.641E+00,-6.080E-01,7.316E+00,2.220E+00,4.935E+00,4.104E-01,1.000E+00,1.000E+00,7.100E-02,3.843E+00,1.643E+00,-4.087E-01,5.183E+00,1.987E+00,4.935E+00,2.496E-01,1.000E+00,1.000E+00,1.982E-01,1.845E+00,1.627E+00,-4.573E-01,6.034E+00,2.045E+00,4.935E+00,2.798E-01,1.000E+00,1.000E+00,9.542E-02,3.628E+00,1.711E+00,-6.840E-01,9.565E+00,1.821E+00,4.935E+00,4.084E-01,1.000E+00,1.000E+00,4.802E-02,5.598E+00
5.900E+01,0.000E+00,0.000E+00,0.000E+00,6.268E-03,3.951E-03,0.000E+00,6.301E-03,8.036E-03,2.686E-06,3.418E-06,8.675E-03,2.991E-02,1.367E+00,1.626E+00,-6.342E-01,8.209E+00,2.243E+00,4.935E+00,4.188E-01,1.000E+00,1.000E+00,7.012E-02,3.878E+00,1.652E+00,-4.410E-01,5.903E+00,1.886E+00,4.935E+00,2.482E-01,1.000E+00,1.000E+00,2.005E-01,1.827E+00,1.628E+00,-4.772E-01,6.632E+00,1.984E+00,4.935E+00,2.792E-01,1.000E+00,1.000E+00,9.518E-02,3.636E+00,1.705E+00,-6.820E-01,9.346E+00,1.863E+00,4.935E+00,4.120E-01,1.000E+00,1.000E+00,4.772E-02,5.624E+00
6.000E+01,0.000E+00,0.000E+00,0.000E+00,6.480E-03,3.972E-03,0.000E+00,6.504E-03,8.298E-03,2.930E-06,2.930E-06,9.083E-03,3.085E-02,1.412E+00,1.614E+00,-6.603E-01,9.101E+00,2.266E+00,4.935E+00,4.272E-01,1.000E+00,1.000E+00,6.924E-02,3.914E+00,1.668E+00,-4.732E-01,6.623E+00,1.785E+00,4.935E+00,2.467E-01,1.000E+00,1.000E+00,2.027E-01,1.809E+00,1.633E+00,-4.971E-01,7.230E+00,1.924E+00,4.935E+00,2.785E-01,1.000E+00,1.000E+00,9.493E-02,3.643E+00,1.698E+00,-6.799E-01,9.127E+00,1.906E+00,4.935E+00,4.156E-01,1.000E+00,1.000E+00,4.742E-02,5.650E+00
6.100E+01,0.000E+00,0.000E+00,0.000E+00,6.981E-03,4.263E-03,0.000E+00,7.004E-03,8.913E-03,2.441E-06,6.836E-06,9.799E-03,3.328E-02,1.521E+00,1.597E+00,-6.488E-01,9.271E+00,2.305E+00,4.935E+00,4.233E-01,1.000E+00,1.000E+00,6.878E-02,3.933E+00,1.648E+00,-5.264E-01,9.039E+00,1.710E+00,4.935E+00,2.555E-01,1.000E+00,1.000E+00,1.993E-01,1.837E+00,1.625E+00,-5.098E-01,7.746E+00,1.926E+00,4.935E+00,2.833E-01,1.000E+00,1.000E+00,9.371E-02,3.683E+00,1.670E+00,-6.748E-01,8.965E+00,2.040E+00,4.935E+00,4.311E-01,1.000E+00,1.000E+00,4.605E-02,5.776E+00
6.200E+01,0.000E+00,0.000E+00,0.000E+00,7.231E-03,4.408E-03,0.000E+00,7.255E-03,9.221E-03,2.197E-06,8.789E-06,1.016E-02,3.450E-02,1.576E+00,1.588E+00,-6.430E-01,9.356E+00,2.325E+00,4.935E+00,4.214E-01,1.000E+00,1.000E+00,6.855E-02,3.943E+00,1.648E+00,-5.529E-01,1.025E+01,1.673E+00,4.935E+00,2.599E-01,1.000E+00,1.000E+00,1.975E-01,1.850E+00,1.621E+00,-5.161E-01,8.003E+00,1.927E+00,4.935E+00,2.857E-01,1.000E+00,1.000E+00,9.309E-02,3.704E+00,1.656E+00,-6.722E-01,8.884E+00,2.107E+00,4.935E+00,4.389E-01,1.000E+00,1.000E+00,4.537E-02,5.839E+00
6.300E+01,0.000E+00,0.000E+00,0.000E+00,7.481E-03,4.554E-03,0.000E+00,7.505E-03,9.528E-03,1.953E-06,1.074E-05,1.052E-02,3.571E-02,1.631E+00,1.579E+00,-6.372E-01,9.441E+00,2.345E+00,4.935E+00,4.194E-01,1.000E+00,1.000E+00,6.831E-02,3.953E+00,1.651E+00,-5.795E-01,1.146E+01,1.636E+00,4.935E+00,2.643E-01,1.000E+00,1.000E+00,1.958E-01,1.864E+00,1.618E+00,-5.224E-01,8.261E+00,1.928E+00,4.935E+00,2.881E-01,1.000E+00,1.000E+00,9.248E-02,3.724E+00,1.643E+00,-6.696E-01,8.803E+00,2.174E+00,4.935E+00,4.467E-01,1.000E+00,1.000E+00,4.468E-02,5.902E+00
6.400E+01,0.000E+00,0.000E+00,0.000E+00,8.240E-03,4.501E-03,0.000E+00,8.114E-03,1.025E-02,3.418E-06,1.367E-05,1.174E-02,3.873E-02,1.766E+00,1.546E+00,-7.231E-01,1.689E+01,2.160E+00,4.935E+00,4.354E-01,1.000E+00,1.000E+00,7.031E-02,3.871E+00,1.634E+00,-6.032E-01,1.329E+01,1.645E+00,4.935E+00,2.709E-01,1.000E+00,1.000E+00,2.005E-01,1.827E+00,1.605E+00,-5.571E-01,1.016E+01,1.875E+00,4.935E+00,2.909E-01,1.000E+00,1.000E+00,9.421E-02,3.668E+00,1.615E+00,-6.915E-01,1.033E+01,2.214E+00,4.935E+00,4.556E-01,1.000E+00,1.000E+00,4.496E-02,5.875E+00
6.500E+01,0.000E+00,0.000E+00,0.000E+00,8.620E-03,4.475E-03,0.000E+00,8.419E-03,1.061E-02,4.150E-06,1.514E-05,1.235E-02,4.023E-02,1.833E+00,1.555E+00,-7.661E-01,2.062E+01,2.068E+00,4.935E+00,4.434E-01,1.000E+00,1.000E+00,7.131E-02,3.831E+00,1.627E+00,-6.150E-01,1.421E+01,1.649E+00,4.935E+00,2.741E-01,1.000E+00,1.000E+00,2.029E-01,1.808E+00,1.603E+00,-5.744E-01,1.111E+01,1.849E+00,4.935E+00,2.924E-01,1.000E+00,1.000E+00,9.507E-02,3.640E+00,1.602E+00,-7.024E-01,1.109E+01,2.235E+00,4.935E+00,4.601E-01,1.000E+00,1.000E+00,4.510E-02,5.862E+00
6.600E+01,0.000E+00,0.000E+00,0.000E+00,8.999E-03,4.449E-03,0.000E+00,8.724E-03,1.097E-02,4.883E-06,1.660E-05,1.297E-02,4.174E-02,1.901E+00,1.572E+00,-8.090E-01,2.434E+01,1.976E+00,4.935E+00,4.514E-01,1.000E+00,1.000E+00,7.230E-02,3.790E+00,1.621E+00,-6.268E-01,1.513E+01,1.654E+00,4.935E+00,2.774E-01,1.000E+00,1.000E+00,2.053E-01,1.790E+00,1.603E+00,-5.917E-01,1.206E+01,1.822E+00,4.935E+00,2.938E-01,1.000E+00,1.000E+00,9.593E-02,3.612E+00,1.591E+00,-7.133E-01,1.186E+01,2.255E+00,4.935E+00,4.646E-01,1.000E+00,1.000E+00,4.524E-02,5.848E+00
