alpha,H,He,Mg,S,Mg_1,S_1,amu/ion,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,3dK_Mg,3dTilt_Mg,3dM_Mg,3dN_Mg,energyK_Mg,energyE_Mg,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.0,0.0066845703125,0.0133017578125,0.0064833984375,0.7458561771679689,1.7303594142787326,-0.005625633358271176,1.5525745858753577,1.564694944303457,8.283185307179584,0.0017266532908294045,1.0,1.0,0.2381029755786444,1.5748581224285547,1.7816153680183837,0.009679971612136514,1.287906039023842,1.5705382851293164,8.283185307179584,0.0,1.0,1.0,0.12665088470990302,2.5672508330992265
1.0,0.0,0.0,0.0,0.006752197265624987,0.013383178710937488,0.006517456054687501,0.7510984094246647,1.7248059615979,-0.014177161146274014,1.5935129842554274,1.5987747780837582,8.283185307179584,0.00844993362382858,1.0,1.0,0.23741777954163584,1.5788718970761277,1.7781152424820665,-0.002836259822502514,1.3421537245116466,1.5380434594054648,8.283185307179584,0.006868218844376808,1.0,1.0,0.12633138230813845,2.572583621905695
2.0,0.0,0.0,0.0,0.006819824218749975,0.013464599609374975,0.006551513671875,0.7563406416813603,1.7194262118965071,-0.022728688934276854,1.634451382635497,1.6328546118640594,8.283185307179584,0.015173213956827756,1.0,1.0,0.23673258350462725,1.5828856717237008,1.7863885055255637,-0.015352491257141542,1.3964014099994513,1.5055486336816135,8.283185307179584,0.013736437688753616,1.0,1.0,0.12601187990637386,2.5779164107121626
3.0,0.0,0.0,0.0,0.006887451171874962,0.013546020507812463,0.0065855712890625,0.761582873938056,1.7142103061018825,-0.031280216722279694,1.6753897810155665,1.6669344456443604,8.283185307179584,0.021896494289826932,1.0,1.0,0.23604738746761866,1.5868994463712736,1.7950671075763234,-0.02786872269178057,1.4506490954872557,1.4730538079577622,8.283185307179584,0.020604656533130424,1.0,1.0,0.1256923775046093,2.5832491995186304
4.0,0.0,0.0,0.0,0.006921264648437456,0.013586730957031206,0.0066026000976562495,0.7642039900664039,1.7116614534953392,-0.03555598061628111,1.6958589802056012,1.683974362534511,8.283185307179584,0.02525813445632652,1.0,1.0,0.23570478944911438,1.5889063336950602,1.7995601231552436,-0.03412683840910008,1.477772938231158,1.4568063950958365,8.283185307179584,0.024038765955318828,1.0,1.0,0.12553262630372702,2.5859155939218645
5.0,0.0,0.0,0.0,0.00695507812499995,0.013627441406249951,0.00661962890625,0.7668251061947517,1.709150911218634,-0.039831744510282534,1.716328179395636,1.7010142794246617,8.283185307179584,0.028619774622826107,1.0,1.0,0.2353621914306101,1.5909132210188466,1.8041572331333422,-0.0403849541264196,1.5048967809750604,1.4405589822339109,8.283185307179584,0.02747287537750723,1.0,1.0,0.12537287510284473,2.5885819883250987
6.0,0.0,0.0,0.0,0.007022705078124938,0.013708862304687437,0.006653686523437501,0.7720673384514475,1.704241745744326,-0.048383272298285374,1.7572665777757055,1.7350941132049629,8.283185307179584,0.035343054955825286,1.0,1.0,0.23467699539360154,1.5949269956664196,1.813668378340906,-0.052901185561058627,1.559144466462865,1.4080641565100596,8.283185307179584,0.03434109422188404,1.0,1.0,0.12505337270108016,2.5939147771315665
7.0,0.0,0.0,0.0,0.007090332031249925,0.013790283203124925,0.006687744140625,0.7773095707081432,1.6994770427506816,-0.056934800086288206,1.7982049761557752,1.7691739469852639,8.283185307179584,0.04206633528882446,1.0,1.0,0.23399179935659298,1.5989407703139924,1.82360895648628,-0.06541741699569766,1.6133921519506695,1.3755693307862082,8.283185307179584,0.04120931306626085,1.0,1.0,0.1247338702993156,2.5992475659380343
8.0,0.0,0.0,0.0,0.007157958984374912,0.013871704101562413,0.0067218017578125,0.782551802964839,1.6948513231206428,-0.06548632787429104,1.839143374535845,1.803253780765565,8.283185307179584,0.048789615621823636,1.0,1.0,0.23330660331958442,1.6029545449615654,1.83398612089885,-0.07793364843033668,1.6676398374384742,1.343074505062357,8.283185307179584,0.048077531910637655,1.0,1.0,0.12441436789755103,2.6045803547445026
9.0,0.0,0.0,0.0,0.007191772460937406,0.013912414550781156,0.0067388305664062495,0.7851729190931869,1.692588922282277,-0.06976209176829246,1.8596125737258797,1.8202936976557158,8.283185307179584,0.05215125578832322,1.0,1.0,0.23296400530108013,1.6049614322853518,1.8393404152802422,-0.0841917641476562,1.6947636801823767,1.326827092200431,8.283185307179584,0.051511641332826055,1.0,1.0,0.12425461669666875,2.6072467491477367
10.0,0.0,0.0,0.0,0.0072255859374999,0.0139531249999999,0.006755859375,0.7877940352215347,1.6903592941193248,-0.07403785566229389,1.8800817729159145,1.8373336145458663,8.283185307179584,0.05551289595482281,1.0,1.0,0.23262140728257583,1.6069683196091384,1.84480618269169,-0.09044987986497571,1.721887522926279,1.3105796793385054,8.283185307179584,0.05494575075501446,1.0,1.0,0.12409486549578647,2.6099131435509704
11.0,0.0,0.0,0.0,0.007363525390624913,0.014221923828124912,0.006904541015625,0.8035846218710889,1.6922509996763482,-0.08994602446777275,1.990940445781366,1.8122900971910325,8.283185307179584,0.06280786760652518,1.0,1.0,0.23140920923634767,1.61450271319416,1.8402880831748567,-0.09894286435594375,1.746572176851593,1.3452557665063254,8.283185307179584,0.06366138903810319,1.0,1.0,0.12367768651992987,2.6171664937166152
12.0,0.0,0.0,0.0,0.007501464843749925,0.014490722656249923,0.00705322265625,0.8193752085206432,1.6950505928832276,-0.1058541932732516,2.1017991186468175,1.7872465798361987,8.283185307179584,0.07010283925822754,1.0,1.0,0.23019701119011948,1.6220371067791817,1.8358727702484112,-0.10743584884691179,1.771256830776907,1.3799318536741456,8.283185307179584,0.0723770273211919,1.0,1.0,0.12326050754407328,2.6244198438822606
13.0,0.0,0.0,0.0,0.007639404296874938,0.014759521484374937,0.007201904296875,0.8351657951701974,1.698685752817196,-0.12176236207873045,2.2126577915122687,1.762203062481365,8.283185307179584,0.07739781090992989,1.0,1.0,0.22898481314389132,1.6295715003642033,1.8315545945058598,-0.11592883333787982,1.795941484702221,1.4146079408419656,8.283185307179584,0.08109266560428063,1.0,1.0,0.12284332856821668,2.6316731940479055
14.0,0.0,0.0,0.0,0.0077083740234374434,0.014893920898437444,0.0072762451171875,0.8430610884949745,1.700796328976315,-0.12971644648146988,2.2680871279449946,1.749681303803948,8.283185307179584,0.08104529673578108,1.0,1.0,0.22837871412077726,1.6333386971567143,1.8294302367870285,-0.12017532558336383,1.808283811664878,1.4319459844258757,8.283185307179584,0.08545048474582499,1.0,1.0,0.12263473908028838,2.635299869130728
15.0,0.0,0.0,0.0,0.00777734374999995,0.015028320312499949,0.007350585937499999,0.8509563818197518,1.7030923385679786,-0.1376705308842093,2.32351646437772,1.7371595451265311,8.283185307179584,0.08469278256163226,1.0,1.0,0.22777261509766317,1.6371058939492251,1.827328157196959,-0.12442181782884786,1.820626138627535,1.4492840280097856,8.283185307179584,0.08980830388736935,1.0,1.0,0.12242614959236009,2.6389265442135503
16.0,0.0,0.0,0.0,0.007915283203124963,0.015297119140624961,0.007499267578125,0.8667469684693061,1.708213565229515,-0.15357869968968815,2.4343751372431712,1.7121160277716974,8.283185307179584,0.09198775421333463,1.0,1.0,0.226560417051435,1.644640287534247,1.8231882891348876,-0.1329148023198159,1.8453107925528491,1.4839601151776058,8.283185307179584,0.09852394217045807,1.0,1.0,0.1220089706165035,2.646179894379195
17.0,0.0,0.0,0.0,0.008053222656249975,0.015565917968749975,0.007647949218749999,0.8825375551188603,1.713999167686003,-0.169486868495167,2.5452338101086225,1.6870725104168636,8.283185307179584,0.099282725865037,1.0,1.0,0.22534821900520685,1.6521746811192686,1.8191300330961133,-0.14140778681078392,1.8699954464781632,1.5186362023454258,8.283185307179584,0.10723958045354678,1.0,1.0,0.1215917916406469,2.65343324454484
18.0,0.0,0.0,0.0,0.008191162109374987,0.01583471679687499,0.007796630859374999,0.8983281417684146,1.7204046162810211,-0.18539503730064585,2.6560924829740737,1.6620289930620298,8.283185307179584,0.10657769751673937,1.0,1.0,0.2241360209589787,1.6597090747042902,1.8151486290272985,-0.14990077130175194,1.8946801004034772,1.5533122895132458,8.283185307179584,0.1159552187366355,1.0,1.0,0.12117461266479031,2.6606865947104854
