alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
74,0.000E+00,0.000E+00,1.741E-01,4.563E-03,0.000E+00,0.000E+00,1.515E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.522E+00,-7.417E-01,1.963E+01,2.199E+00,9.826E-02,2.792E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.454E+00,-3.845E-01,6.824E+00,2.598E+00,1.368E-01,2.411E+00
75,0.000E+00,0.000E+00,1.801E-01,4.723E-03,0.000E+00,4.883E-07,1.567E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.485E+00,-7.413E-01,2.008E+01,2.365E+00,9.598E-02,2.842E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.429E+00,-4.042E-01,7.605E+00,2.685E+00,1.355E-01,2.430E+00
76,0.000E+00,0.000E+00,1.860E-01,4.883E-03,0.000E+00,9.766E-07,1.619E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.452E+00,-7.408E-01,2.053E+01,2.530E+00,9.371E-02,2.892E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.407E+00,-4.239E-01,8.385E+00,2.772E+00,1.342E-01,2.449E+00
77,0.000E+00,0.000E+00,1.909E-01,5.106E-03,0.000E+00,9.766E-07,1.661E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.417E+00,-7.389E-01,2.095E+01,2.717E+00,9.237E-02,2.924E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.412E+00,-4.517E-01,9.611E+00,2.635E+00,1.276E-01,2.557E+00
78,0.000E+00,0.000E+00,1.958E-01,5.329E-03,0.000E+00,9.766E-07,1.704E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.384E+00,-7.371E-01,2.136E+01,2.904E+00,9.103E-02,2.955E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.423E+00,-4.794E-01,1.084E+01,2.499E+00,1.209E-01,2.665E+00
79,0.000E+00,0.000E+00,1.980E-01,5.277E-03,0.000E+00,9.766E-07,1.723E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.338E+00,-7.328E-01,2.149E+01,3.227E+00,8.913E-02,3.002E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.400E+00,-4.929E-01,1.162E+01,2.609E+00,1.190E-01,2.700E+00
80,0.000E+00,0.000E+00,2.002E-01,5.225E-03,0.000E+00,9.766E-07,1.741E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.296E+00,-7.285E-01,2.162E+01,3.550E+00,8.722E-02,3.050E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.379E+00,-5.063E-01,1.240E+01,2.719E+00,1.171E-01,2.734E+00
81,0.000E+00,0.000E+00,1.963E-01,4.927E-03,9.766E-07,9.766E-07,1.707E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.248E+00,-7.220E-01,2.146E+01,3.997E+00,8.316E-02,3.162E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.378E+00,-4.838E-01,1.082E+01,2.841E+00,1.145E-01,2.785E+00
82,0.000E+00,0.000E+00,1.923E-01,4.629E-03,1.953E-06,9.766E-07,1.673E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.207E+00,-7.156E-01,2.131E+01,4.445E+00,7.909E-02,3.275E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.384E+00,-4.614E-01,9.235E+00,2.963E+00,1.119E-01,2.836E+00
83,0.000E+00,0.000E+00,1.728E-01,3.720E-03,9.766E-07,4.883E-07,1.503E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.163E+00,-7.054E-01,1.984E+01,5.144E+00,7.501E-02,3.409E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.354E+00,-4.826E-01,1.056E+01,3.068E+00,1.064E-01,2.957E+00
84,0.000E+00,0.000E+00,1.534E-01,2.812E-03,0.000E+00,0.000E+00,1.334E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.130E+00,-6.952E-01,1.838E+01,5.844E+00,7.093E-02,3.543E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.329E+00,-5.038E-01,1.189E+01,3.173E+00,1.010E-01,3.077E+00
85,0.000E+00,0.000E+00,1.061E-01,1.644E-03,0.000E+00,0.000E+00,9.229E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.133E+00,-6.946E-01,1.716E+01,6.028E+00,6.315E-02,3.880E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.347E+00,-5.395E-01,1.586E+01,2.728E+00,1.065E-01,2.955E+00
86,0.000E+00,0.000E+00,5.883E-02,4.766E-04,0.000E+00,0.000E+00,5.120E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.137E+00,-6.939E-01,1.595E+01,6.212E+00,5.537E-02,4.217E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.398E+00,-5.752E-01,1.984E+01,2.284E+00,1.120E-01,2.834E+00
87,0.000E+00,0.000E+00,2.963E-02,2.383E-04,9.766E-07,5.371E-06,2.618E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.051E+00,-8.174E-01,2.485E+01,7.404E+00,4.370E-02,5.138E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.168E+00,-6.310E-01,1.756E+01,4.876E+00,7.881E-02,4.229E+00
88,0.000E+00,0.000E+00,4.385E-04,0.000E+00,1.953E-06,1.074E-05,1.159E-01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.997E-01,-9.408E-01,3.376E+01,8.596E+00,3.203E-02,6.060E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.086E+00,-6.868E-01,1.529E+01,7.468E+00,4.558E-02,5.624E+00
89,0.000E+00,0.000E+00,1.660E-05,0.000E+00,8.789E-06,1.855E-05,4.280E-02,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
