alpha,H,He,Mn,S,Mn_1,S_1,amu/ion,thetaK_Mn,thetaTilt_Mn,thetaM_Mn,thetaN_Mn,phiK_Mn,phiTilt_Mn,phiM_Mn,phiN_Mn,energyK_Mn,energyE_Mn,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
31,0.000E+00,0.000E+00,4.684E-02,5.909E-04,0.000E+00,0.000E+00,4.075E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.755E+00,-2.059E-01,2.445E+00,1.701E+00,1.282E-01,2.283E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.524E+00,-3.476E-02,1.983E+00,2.638E+00,1.570E-01,2.155E+00
32,0.000E+00,0.000E+00,4.802E-02,6.140E-04,0.000E+00,0.000E+00,4.178E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.753E+00,-2.177E-01,2.551E+00,1.698E+00,1.279E-01,2.287E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.515E+00,-2.820E-02,1.922E+00,2.752E+00,1.564E-01,2.162E+00
33,0.000E+00,0.000E+00,4.920E-02,6.370E-04,0.000E+00,0.000E+00,4.281E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.751E+00,-2.295E-01,2.658E+00,1.695E+00,1.276E-01,2.291E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.508E+00,-2.164E-02,1.860E+00,2.866E+00,1.557E-01,2.170E+00
34,0.000E+00,0.000E+00,5.038E-02,6.600E-04,0.000E+00,0.000E+00,4.383E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.750E+00,-2.413E-01,2.764E+00,1.691E+00,1.273E-01,2.295E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.501E+00,-1.508E-02,1.798E+00,2.980E+00,1.551E-01,2.178E+00
35,0.000E+00,0.000E+00,5.156E-02,6.830E-04,0.000E+00,0.000E+00,4.486E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.749E+00,-2.531E-01,2.871E+00,1.688E+00,1.270E-01,2.299E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.495E+00,-8.527E-03,1.736E+00,3.095E+00,1.544E-01,2.186E+00
36,0.000E+00,0.000E+00,5.274E-02,7.060E-04,0.000E+00,0.000E+00,4.589E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.749E+00,-2.649E-01,2.977E+00,1.685E+00,1.267E-01,2.303E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.490E+00,-1.970E-03,1.674E+00,3.209E+00,1.537E-01,2.193E+00
37,0.000E+00,0.000E+00,5.392E-02,7.290E-04,0.000E+00,0.000E+00,4.692E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.749E+00,-2.766E-01,3.084E+00,1.681E+00,1.264E-01,2.308E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.491E+00,4.587E-03,1.612E+00,3.323E+00,1.531E-01,2.201E+00
38,0.000E+00,0.000E+00,5.510E-02,7.520E-04,0.000E+00,0.000E+00,4.795E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.749E+00,-2.884E-01,3.190E+00,1.678E+00,1.261E-01,2.312E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.495E+00,1.114E-02,1.550E+00,3.437E+00,1.524E-01,2.209E+00
39,0.000E+00,0.000E+00,5.628E-02,7.750E-04,0.000E+00,0.000E+00,4.898E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.750E+00,-3.002E-01,3.297E+00,1.675E+00,1.258E-01,2.316E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.500E+00,1.770E-02,1.488E+00,3.552E+00,1.518E-01,2.217E+00
40,0.000E+00,0.000E+00,5.746E-02,7.980E-04,0.000E+00,0.000E+00,5.001E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.751E+00,-3.120E-01,3.403E+00,1.671E+00,1.255E-01,2.320E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.506E+00,2.426E-02,1.426E+00,3.666E+00,1.511E-01,2.225E+00
41,0.000E+00,0.000E+00,5.864E-02,8.210E-04,0.000E+00,0.000E+00,5.104E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.752E+00,-3.238E-01,3.510E+00,1.668E+00,1.253E-01,2.324E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.513E+00,3.082E-02,1.364E+00,3.780E+00,1.504E-01,2.232E+00
42,0.000E+00,0.000E+00,5.982E-02,8.441E-04,0.000E+00,0.000E+00,5.207E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.754E+00,-3.356E-01,3.616E+00,1.664E+00,1.250E-01,2.328E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.521E+00,3.737E-02,1.302E+00,3.894E+00,1.498E-01,2.240E+00
43,0.000E+00,0.000E+00,6.100E-02,8.671E-04,0.000E+00,0.000E+00,5.310E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.755E+00,-3.474E-01,3.723E+00,1.661E+00,1.247E-01,2.332E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.530E+00,4.393E-02,1.240E+00,4.009E+00,1.491E-01,2.248E+00
44,0.000E+00,0.000E+00,6.218E-02,8.901E-04,0.000E+00,0.000E+00,5.413E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.757E+00,-3.592E-01,3.829E+00,1.658E+00,1.244E-01,2.336E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.539E+00,5.049E-02,1.178E+00,4.123E+00,1.485E-01,2.256E+00
45,0.000E+00,0.000E+00,6.336E-02,9.131E-04,0.000E+00,0.000E+00,5.516E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.759E+00,-3.710E-01,3.935E+00,1.654E+00,1.241E-01,2.340E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.550E+00,5.704E-02,1.116E+00,4.237E+00,1.478E-01,2.264E+00
46,0.000E+00,0.000E+00,6.592E-02,9.956E-04,0.000E+00,0.000E+00,5.736E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.756E+00,-3.955E-01,4.255E+00,1.654E+00,1.225E-01,2.364E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.470E+00,-4.379E-03,1.606E+00,3.643E+00,1.480E-01,2.262E+00
47,0.000E+00,0.000E+00,6.719E-02,1.037E-03,0.000E+00,0.000E+00,5.846E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.755E+00,-4.078E-01,4.415E+00,1.654E+00,1.217E-01,2.376E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.478E+00,-3.509E-02,1.851E+00,3.346E+00,1.480E-01,2.261E+00
48,0.000E+00,0.000E+00,6.847E-02,1.078E-03,0.000E+00,0.000E+00,5.955E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.755E+00,-4.200E-01,4.574E+00,1.654E+00,1.209E-01,2.388E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.493E+00,-6.580E-02,2.095E+00,3.049E+00,1.481E-01,2.260E+00
49,0.000E+00,0.000E+00,7.207E-02,1.128E-03,0.000E+00,0.000E+00,6.270E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.744E+00,-4.453E-01,5.070E+00,1.664E+00,1.211E-01,2.384E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.491E+00,-9.653E-02,2.298E+00,3.054E+00,1.448E-01,2.303E+00
50,0.000E+00,0.000E+00,7.387E-02,1.154E-03,0.000E+00,0.000E+00,6.427E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.739E+00,-4.579E-01,5.317E+00,1.669E+00,1.212E-01,2.383E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.490E+00,-1.119E-01,2.400E+00,3.056E+00,1.432E-01,2.324E+00
