alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
10,0.000E+00,0.000E+00,5.325E-03,1.124E-02,3.008E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.594E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.772E+00,-4.688E-02,1.595E+00,1.535E+00,5.784E-02,4.157E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.717E+00,-4.717E-03,1.358E+00,1.867E+00,7.710E-02,3.322E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.424E+00,-4.419E-02,2.623E+00,2.858E+00,1.706E-01,2.011E+00
11,0.000E+00,0.000E+00,5.408E-03,1.140E-02,3.063E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.617E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.773E+00,-6.025E-02,1.670E+00,1.528E+00,5.786E-02,4.156E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.725E+00,-1.902E-02,1.428E+00,1.817E+00,7.687E-02,3.329E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.440E+00,-4.540E-02,2.579E+00,2.762E+00,1.697E-01,2.020E+00
12,0.000E+00,0.000E+00,5.491E-03,1.155E-02,3.118E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.639E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.775E+00,-7.361E-02,1.745E+00,1.520E+00,5.788E-02,4.155E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.733E+00,-3.333E-02,1.498E+00,1.767E+00,7.665E-02,3.336E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.457E+00,-4.662E-02,2.534E+00,2.667E+00,1.688E-01,2.029E+00
13,0.000E+00,0.000E+00,5.574E-03,1.171E-02,3.173E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.662E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.777E+00,-8.698E-02,1.820E+00,1.513E+00,5.790E-02,4.154E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.743E+00,-4.763E-02,1.568E+00,1.716E+00,7.642E-02,3.343E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.474E+00,-4.783E-02,2.489E+00,2.571E+00,1.679E-01,2.038E+00
14,0.000E+00,0.000E+00,5.616E-03,1.179E-02,3.200E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.673E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.778E+00,-9.366E-02,1.858E+00,1.509E+00,5.791E-02,4.154E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.748E+00,-5.478E-02,1.603E+00,1.691E+00,7.631E-02,3.347E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.483E+00,-4.844E-02,2.466E+00,2.524E+00,1.675E-01,2.043E+00
15,0.000E+00,0.000E+00,5.657E-03,1.187E-02,3.228E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.684E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E+00,-1.003E-01,1.895E+00,1.505E+00,5.791E-02,4.153E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.753E+00,-6.193E-02,1.638E+00,1.666E+00,7.620E-02,3.351E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.492E+00,-4.905E-02,2.444E+00,2.476E+00,1.670E-01,2.047E+00
16,0.000E+00,0.000E+00,5.740E-03,1.202E-02,3.282E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.707E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.781E+00,-1.137E-01,1.971E+00,1.498E+00,5.793E-02,4.153E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.764E+00,-7.624E-02,1.708E+00,1.616E+00,7.597E-02,3.358E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.511E+00,-5.026E-02,2.399E+00,2.381E+00,1.661E-01,2.056E+00
17,0.000E+00,0.000E+00,5.823E-03,1.218E-02,3.337E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.729E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.784E+00,-1.271E-01,2.046E+00,1.490E+00,5.795E-02,4.152E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.776E+00,-9.054E-02,1.778E+00,1.566E+00,7.574E-02,3.365E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.530E+00,-5.148E-02,2.354E+00,2.285E+00,1.652E-01,2.065E+00
18,0.000E+00,0.000E+00,5.906E-03,1.234E-02,3.392E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.752E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.787E+00,-1.404E-01,2.121E+00,1.483E+00,5.797E-02,4.151E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.789E+00,-1.048E-01,1.848E+00,1.516E+00,7.552E-02,3.372E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.551E+00,-5.270E-02,2.309E+00,2.190E+00,1.644E-01,2.074E+00
19,0.000E+00,0.000E+00,5.948E-03,1.242E-02,3.420E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.763E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.789E+00,-1.471E-01,2.158E+00,1.479E+00,5.797E-02,4.150E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.795E+00,-1.120E-01,1.883E+00,1.491E+00,7.541E-02,3.376E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.561E+00,-5.330E-02,2.287E+00,2.142E+00,1.639E-01,2.079E+00
