alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,phiK_S,phiTilt_S,phiM_S,phiN_S,energyK_S,energyE_S
40,0.000E+00,0.000E+00,9.335E-03,1.919E-02,6.477E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.721E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.808E+00,-3.230E-01,3.179E+00,1.546E+00,5.672E-02,4.216E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.781E+00,-3.251E-01,3.262E+00,1.633E+00,7.447E-02,3.406E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.506E+00,-4.957E-02,2.070E+00,2.806E+00,1.608E-01,2.114E+00
41,0.000E+00,0.000E+00,9.547E-03,1.960E-02,6.709E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.780E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.809E+00,-3.326E-01,3.238E+00,1.548E+00,5.653E-02,4.225E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.783E+00,-3.366E-01,3.345E+00,1.633E+00,7.443E-02,3.407E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.512E+00,-5.557E-02,2.114E+00,2.745E+00,1.600E-01,2.122E+00
42,0.000E+00,0.000E+00,9.758E-03,2.001E-02,6.941E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.838E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.811E+00,-3.421E-01,3.296E+00,1.549E+00,5.634E-02,4.235E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.785E+00,-3.481E-01,3.428E+00,1.633E+00,7.440E-02,3.408E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.517E+00,-6.156E-02,2.159E+00,2.685E+00,1.592E-01,2.130E+00
43,0.000E+00,0.000E+00,9.970E-03,2.042E-02,7.173E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.897E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.813E+00,-3.516E-01,3.354E+00,1.551E+00,5.616E-02,4.244E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.787E+00,-3.596E-01,3.511E+00,1.634E+00,7.436E-02,3.410E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.523E+00,-6.756E-02,2.204E+00,2.625E+00,1.585E-01,2.138E+00
44,0.000E+00,0.000E+00,1.018E-02,2.083E-02,7.405E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.956E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.815E+00,-3.611E-01,3.413E+00,1.553E+00,5.597E-02,4.254E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.788E+00,-3.711E-01,3.594E+00,1.634E+00,7.432E-02,3.411E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.530E+00,-7.356E-02,2.249E+00,2.564E+00,1.577E-01,2.146E+00
45,0.000E+00,0.000E+00,1.039E-02,2.124E-02,7.637E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.014E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.816E+00,-3.706E-01,3.471E+00,1.555E+00,5.579E-02,4.264E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.790E+00,-3.826E-01,3.677E+00,1.634E+00,7.429E-02,3.412E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.536E+00,-7.955E-02,2.294E+00,2.504E+00,1.570E-01,2.154E+00
46,0.000E+00,0.000E+00,1.071E-02,2.225E-02,8.135E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.148E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.808E+00,-3.854E-01,3.534E+00,1.614E+00,5.532E-02,4.288E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.797E+00,-4.173E-01,4.184E+00,1.566E+00,7.244E-02,3.475E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.522E+00,-7.585E-02,2.170E+00,2.746E+00,1.539E-01,2.190E+00
47,0.000E+00,0.000E+00,1.087E-02,2.276E-02,8.384E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.215E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.803E+00,-3.928E-01,3.566E+00,1.644E+00,5.509E-02,4.301E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.803E+00,-4.346E-01,4.438E+00,1.532E+00,7.152E-02,3.507E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.516E+00,-7.400E-02,2.109E+00,2.867E+00,1.524E-01,2.208E+00
48,0.000E+00,0.000E+00,1.103E-02,2.326E-02,8.633E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.282E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.799E+00,-4.002E-01,3.598E+00,1.674E+00,5.486E-02,4.313E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.810E+00,-4.520E-01,4.692E+00,1.499E+00,7.059E-02,3.539E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.512E+00,-7.215E-02,2.047E+00,2.989E+00,1.508E-01,2.226E+00
49,0.000E+00,0.000E+00,1.168E-02,2.442E-02,8.896E-04,0.000E+00,0.000E+00,0.000E+00,4.883E-07,3.453E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.795E+00,-4.635E-01,4.721E+00,1.578E+00,5.499E-02,4.306E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.793E+00,-4.920E-01,5.570E+00,1.505E+00,7.112E-02,3.520E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.543E+00,-8.976E-02,2.106E+00,2.757E+00,1.487E-01,2.253E+00
50,0.000E+00,0.000E+00,1.201E-02,2.500E-02,9.028E-04,0.000E+00,0.000E+00,0.000E+00,7.324E-07,3.538E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.801E+00,-4.951E-01,5.282E+00,1.530E+00,5.506E-02,4.303E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.788E+00,-5.121E-01,6.009E+00,1.509E+00,7.139E-02,3.511E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.559E+00,-9.856E-02,2.135E+00,2.641E+00,1.476E-01,2.267E+00
51,0.000E+00,0.000E+00,1.234E-02,2.558E-02,9.160E-04,0.000E+00,0.000E+00,0.000E+00,9.766E-07,3.623E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.811E+00,-5.268E-01,5.843E+00,1.483E+00,5.512E-02,4.299E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.783E+00,-5.321E-01,6.448E+00,1.512E+00,7.165E-02,3.501E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.576E+00,-1.074E-01,2.164E+00,2.525E+00,1.465E-01,2.280E+00
52,0.000E+00,0.000E+00,1.299E-02,2.690E-02,1.037E-03,0.000E+00,0.000E+00,0.000E+00,4.883E-07,3.816E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.789E+00,-5.527E-01,6.549E+00,1.529E+00,5.477E-02,4.319E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.785E+00,-5.636E-01,7.304E+00,1.480E+00,7.075E-02,3.534E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.543E+00,-1.344E-01,2.503E+00,2.627E+00,1.532E-01,2.201E+00
53,0.000E+00,0.000E+00,1.332E-02,2.756E-02,1.098E-03,0.000E+00,0.000E+00,0.000E+00,2.441E-07,3.912E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E+00,-5.657E-01,6.902E+00,1.552E+00,5.459E-02,4.328E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.787E+00,-5.793E-01,7.732E+00,1.463E+00,7.030E-02,3.550E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.528E+00,-1.480E-01,2.672E+00,2.678E+00,1.566E-01,2.161E+00
54,0.000E+00,0.000E+00,1.364E-02,2.823E-02,1.158E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.009E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.770E+00,-5.786E-01,7.254E+00,1.575E+00,5.441E-02,4.338E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.790E+00,-5.951E-01,8.160E+00,1.447E+00,6.985E-02,3.566E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.514E+00,-1.615E-01,2.842E+00,2.729E+00,1.599E-01,2.121E+00
55,0.000E+00,0.000E+00,1.439E-02,2.974E-02,1.236E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.226E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.754E+00,-5.964E-01,7.680E+00,1.628E+00,5.385E-02,4.370E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.760E+00,-6.002E-01,8.412E+00,1.541E+00,6.860E-02,3.612E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.518E+00,-1.775E-01,2.970E+00,2.696E+00,1.541E-01,2.190E+00
56,0.000E+00,0.000E+00,1.476E-02,3.050E-02,1.275E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.335E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E+00,-6.053E-01,7.893E+00,1.654E+00,5.356E-02,4.386E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.746E+00,-6.028E-01,8.538E+00,1.588E+00,6.798E-02,3.636E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.520E+00,-1.855E-01,3.034E+00,2.680E+00,1.511E-01,2.224E+00
57,0.000E+00,0.000E+00,1.514E-02,3.126E-02,1.314E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.444E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.740E+00,-6.141E-01,8.105E+00,1.680E+00,5.328E-02,4.402E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.732E+00,-6.054E-01,8.664E+00,1.634E+00,6.736E-02,3.659E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.522E+00,-1.935E-01,3.098E+00,2.664E+00,1.482E-01,2.259E+00
58,0.000E+00,0.000E+00,1.609E-02,3.333E-02,1.422E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.731E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.719E+00,-6.202E-01,8.446E+00,1.744E+00,5.246E-02,4.450E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.711E+00,-5.972E-01,8.490E+00,1.713E+00,6.667E-02,3.686E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.488E+00,-1.904E-01,3.146E+00,2.896E+00,1.420E-01,2.343E+00
59,0.000E+00,0.000E+00,1.657E-02,3.437E-02,1.476E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.874E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.708E+00,-6.232E-01,8.616E+00,1.775E+00,5.204E-02,4.474E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.701E+00,-5.931E-01,8.403E+00,1.752E+00,6.632E-02,3.699E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.472E+00,-1.889E-01,3.170E+00,3.013E+00,1.388E-01,2.385E+00
60,0.000E+00,0.000E+00,1.704E-02,3.541E-02,1.530E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.017E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.698E+00,-6.262E-01,8.786E+00,1.807E+00,5.163E-02,4.498E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.691E+00,-5.890E-01,8.316E+00,1.792E+00,6.597E-02,3.713E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.457E+00,-1.874E-01,3.195E+00,3.129E+00,1.357E-01,2.427E+00
61,0.000E+00,0.000E+00,1.819E-02,3.772E-02,1.728E-03,0.000E+00,0.000E+00,0.000E+00,4.883E-07,5.349E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.678E+00,-6.465E-01,9.597E+00,1.865E+00,5.155E-02,4.503E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.657E+00,-6.016E-01,8.716E+00,1.930E+00,6.519E-02,3.745E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.453E+00,-2.136E-01,3.541E+00,3.066E+00,1.397E-01,2.372E+00
62,0.000E+00,0.000E+00,1.876E-02,3.887E-02,1.827E-03,0.000E+00,0.000E+00,0.000E+00,7.324E-07,5.514E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.669E+00,-6.566E-01,1.000E+01,1.895E+00,5.151E-02,4.506E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.641E+00,-6.079E-01,8.916E+00,1.999E+00,6.479E-02,3.761E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.453E+00,-2.267E-01,3.714E+00,3.034E+00,1.417E-01,2.344E+00
63,0.000E+00,0.000E+00,1.933E-02,4.002E-02,1.926E-03,0.000E+00,0.000E+00,0.000E+00,9.766E-07,5.680E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.660E+00,-6.668E-01,1.041E+01,1.924E+00,5.147E-02,4.508E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.626E+00,-6.143E-01,9.117E+00,2.068E+00,6.440E-02,3.777E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.453E+00,-2.399E-01,3.887E+00,3.002E+00,1.437E-01,2.316E+00
64,0.000E+00,0.000E+00,2.071E-02,4.277E-02,2.090E-03,0.000E+00,0.000E+00,0.000E+00,4.883E-07,6.072E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.642E+00,-6.601E-01,9.911E+00,2.034E+00,5.003E-02,4.599E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.613E+00,-6.049E-01,8.520E+00,2.179E+00,6.343E-02,3.818E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.428E+00,-2.543E-01,4.263E+00,3.089E+00,1.447E-01,2.304E+00
65,0.000E+00,0.000E+00,2.139E-02,4.415E-02,2.173E-03,0.000E+00,0.000E+00,0.000E+00,2.441E-07,6.268E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.634E+00,-6.567E-01,9.662E+00,2.089E+00,4.931E-02,4.644E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.608E+00,-6.003E-01,8.222E+00,2.235E+00,6.295E-02,3.838E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.416E+00,-2.615E-01,4.451E+00,3.133E+00,1.452E-01,2.297E+00
66,0.000E+00,0.000E+00,2.208E-02,4.553E-02,2.255E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.464E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.627E+00,-6.534E-01,9.414E+00,2.144E+00,4.859E-02,4.690E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.603E+00,-5.956E-01,7.924E+00,2.291E+00,6.247E-02,3.858E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.406E+00,-2.687E-01,4.639E+00,3.177E+00,1.456E-01,2.291E+00
67,0.000E+00,0.000E+00,2.359E-02,4.876E-02,2.468E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.925E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.614E+00,-6.456E-01,8.712E+00,2.271E+00,4.747E-02,4.766E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.603E+00,-6.219E-01,8.481E+00,2.290E+00,6.094E-02,3.927E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.425E+00,-2.930E-01,5.084E+00,2.926E+00,1.366E-01,2.422E+00
68,0.000E+00,0.000E+00,2.435E-02,5.038E-02,2.574E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.155E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.609E+00,-6.417E-01,8.361E+00,2.334E+00,4.692E-02,4.804E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.604E+00,-6.351E-01,8.760E+00,2.290E+00,6.018E-02,3.962E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.437E+00,-3.052E-01,5.307E+00,2.801E+00,1.320E-01,2.488E+00
69,0.000E+00,0.000E+00,2.511E-02,5.200E-02,2.681E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.386E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.605E+00,-6.378E-01,8.011E+00,2.397E+00,4.636E-02,4.842E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.604E+00,-6.482E-01,9.039E+00,2.290E+00,5.942E-02,3.996E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.451E+00,-3.174E-01,5.529E+00,2.675E+00,1.275E-01,2.553E+00
70,0.000E+00,0.000E+00,2.690E-02,5.567E-02,2.958E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.908E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.576E+00,-6.685E-01,9.277E+00,2.484E+00,4.482E-02,4.957E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.589E+00,-6.720E-01,9.916E+00,2.338E+00,5.857E-02,4.037E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.451E+00,-3.073E-01,5.162E+00,2.761E+00,1.293E-01,2.524E+00
71,0.000E+00,0.000E+00,2.779E-02,5.751E-02,3.096E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.168E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.563E+00,-6.838E-01,9.910E+00,2.527E+00,4.405E-02,5.015E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.582E+00,-6.838E-01,1.035E+01,2.362E+00,5.815E-02,4.057E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.452E+00,-3.023E-01,4.979E+00,2.804E+00,1.303E-01,2.510E+00
72,0.000E+00,0.000E+00,2.869E-02,5.934E-02,3.234E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.429E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.551E+00,-6.991E-01,1.054E+01,2.570E+00,4.328E-02,5.072E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.576E+00,-6.957E-01,1.079E+01,2.386E+00,5.772E-02,4.077E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.453E+00,-2.972E-01,4.796E+00,2.847E+00,1.312E-01,2.495E+00
73,0.000E+00,0.000E+00,2.995E-02,6.214E-02,3.509E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.821E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.527E+00,-7.465E-01,1.369E+01,2.554E+00,4.227E-02,5.155E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.527E+00,-7.388E-01,1.470E+01,2.454E+00,5.678E-02,4.124E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.464E+00,-3.437E-01,5.673E+00,2.671E+00,1.285E-01,2.538E+00
74,0.000E+00,0.000E+00,3.121E-02,6.494E-02,3.783E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.213E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.516E+00,-7.939E-01,1.684E+01,2.538E+00,4.125E-02,5.237E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.494E+00,-7.819E-01,1.860E+01,2.522E+00,5.584E-02,4.171E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.483E+00,-3.903E-01,6.550E+00,2.494E+00,1.258E-01,2.581E+00
75,0.000E+00,0.000E+00,3.266E-02,6.792E-02,3.957E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.629E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.475E+00,-8.375E-01,2.372E+01,2.563E+00,4.019E-02,5.331E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.473E+00,-8.135E-01,2.256E+01,2.551E+00,5.422E-02,4.259E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.458E+00,-3.873E-01,6.878E+00,2.567E+00,1.299E-01,2.517E+00
76,0.000E+00,0.000E+00,3.411E-02,7.089E-02,4.130E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.005E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.453E+00,-8.811E-01,3.061E+01,2.588E+00,3.912E-02,5.425E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.458E+00,-8.451E-01,2.652E+01,2.580E+00,5.259E-02,4.347E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.434E+00,-3.843E-01,7.205E+00,2.640E+00,1.339E-01,2.453E+00
77,0.000E+00,0.000E+00,3.529E-02,7.329E-02,4.298E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.039E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.407E+00,-8.851E-01,3.230E+01,2.829E+00,3.778E-02,5.555E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.408E+00,-8.489E-01,2.893E+01,2.811E+00,5.122E-02,4.428E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.436E+00,-4.032E-01,7.790E+00,2.586E+00,1.237E-01,2.630E+00
78,0.000E+00,0.000E+00,3.646E-02,7.568E-02,4.467E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.074E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.365E+00,-8.890E-01,3.400E+01,3.070E+00,3.643E-02,5.685E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.363E+00,-8.527E-01,3.134E+01,3.041E+00,4.985E-02,4.508E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.439E+00,-4.220E-01,8.375E+00,2.532E+00,1.134E-01,2.807E+00
79,0.000E+00,0.000E+00,3.723E-02,7.718E-02,4.393E-03,0.000E+00,0.000E+00,0.000E+00,4.883E-07,1.096E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.325E+00,-8.808E-01,3.322E+01,3.363E+00,3.524E-02,5.812E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.308E+00,-8.424E-01,3.084E+01,3.438E+00,4.766E-02,4.653E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.361E+00,-4.599E-01,1.077E+01,2.859E+00,1.137E-01,2.801E+00
80,0.000E+00,0.000E+00,3.800E-02,7.868E-02,4.318E-03,0.000E+00,0.000E+00,0.000E+00,9.766E-07,1.117E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.290E+00,-8.726E-01,3.244E+01,3.656E+00,3.406E-02,5.939E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.261E+00,-8.322E-01,3.034E+01,3.835E+00,4.547E-02,4.797E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.302E+00,-4.978E-01,1.316E+01,3.186E+00,1.140E-01,2.795E+00
81,0.000E+00,0.000E+00,3.755E-02,7.779E-02,4.049E-03,0.000E+00,0.000E+00,0.000E+00,4.883E-07,1.105E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.230E+00,-8.645E-01,3.172E+01,4.235E+00,3.200E-02,6.194E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.216E+00,-8.292E-01,2.983E+01,4.319E+00,4.357E-02,4.940E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.318E+00,-5.017E-01,1.277E+01,3.119E+00,1.168E-01,2.741E+00
82,0.000E+00,0.000E+00,3.710E-02,7.690E-02,3.780E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.092E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.181E+00,-8.565E-01,3.100E+01,4.814E+00,2.993E-02,6.450E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.177E+00,-8.262E-01,2.932E+01,4.802E+00,4.167E-02,5.083E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.336E+00,-5.057E-01,1.238E+01,3.052E+00,1.197E-01,2.687E+00
83,0.000E+00,0.000E+00,3.368E-02,6.979E-02,3.042E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.904E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.137E+00,-8.530E-01,3.004E+01,5.475E+00,2.777E-02,6.780E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.140E+00,-8.185E-01,2.772E+01,5.395E+00,3.858E-02,5.364E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.310E+00,-4.972E-01,1.260E+01,3.191E+00,1.162E-01,2.753E+00
84,0.000E+00,0.000E+00,3.025E-02,6.268E-02,2.304E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.892E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.100E+00,-8.495E-01,2.907E+01,6.135E+00,2.560E-02,7.110E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.110E+00,-8.108E-01,2.611E+01,5.988E+00,3.548E-02,5.644E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.286E+00,-4.887E-01,1.282E+01,3.330E+00,1.128E-01,2.819E+00
85,0.000E+00,0.000E+00,2.098E-02,4.349E-02,1.348E-03,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.167E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.110E+00,-8.482E-01,2.714E+01,6.156E+00,2.298E-02,7.636E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.104E+00,-8.122E-01,2.487E+01,6.266E+00,3.137E-02,6.154E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.307E+00,-4.217E-01,9.616E+00,3.339E+00,1.105E-01,2.865E+00
86,0.000E+00,0.000E+00,1.170E-02,2.429E-02,3.926E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.442E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.120E+00,-8.470E-01,2.520E+01,6.177E+00,2.036E-02,8.161E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.098E+00,-8.136E-01,2.362E+01,6.545E+00,2.725E-02,6.663E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.361E+00,-3.547E-01,6.415E+00,3.347E+00,1.083E-01,2.912E+00
87,0.000E+00,0.000E+00,5.890E-03,1.221E-02,1.968E-04,0.000E+00,0.000E+00,0.000E+00,9.766E-07,1.788E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.499E-01,-8.949E-01,2.789E+01,1.068E+01,1.532E-02,1.002E+01,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.922E-01,-8.614E-01,2.688E+01,1.306E+01,2.158E-02,7.894E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.096E+00,-4.570E-01,7.562E+00,8.765E+00,9.281E-02,3.351E+00
