alpha,H,He,Fe,Cr,S,Fe_1,S_1,Cr_2,S_2,amu/ion,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,3dK_Cr,3dTilt_Cr,3dM_Cr,3dN_Cr,energyK_Cr,energyE_Cr,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,3dK_Fe,3dTilt_Fe,3dM_Fe,3dN_Fe,energyK_Fe,energyE_Fe,thetaK_S,thetaTilt_S,thetaM_S,thetaN_S,3dK_S,3dTilt_S,3dM_S,3dN_S,energyK_S,energyE_S
0.0,0.0,0.0,0.0053447265625,0.010931640625,0.000240234375,0.0,0.0,0.0,0.0,1.5570920889282314,1.7541372249331757,-0.0074390447788547824,1.478783879059165,1.5321224177782458,8.283185307179584,0.0,1.0,1.0,0.05867212079047128,4.1157032111205405,1.7204206069578387,-0.003920370658789052,1.4525264276663457,1.7170665982884696,8.283185307179584,0.009648092854016537,1.0,1.0,0.07671695615193065,3.333831545258936,1.5442517559402427,-0.07609817816630157,2.7065345128753764,2.0547575119651196,8.842759022862968,0.03940451249567955,1.2754063411559418,1.5015015341542648,0.18208726723755922,1.9046940866636686
1.0,0.0,0.0,0.0053422851562499995,0.01097021484375,0.00024780273437500003,0.0,0.0,0.0,0.0,1.561717179217241,1.7529546412051848,-0.009890672839129715,1.477449407251104,1.5527195285728403,8.283185307179584,0.004776136962928758,1.0,1.0,0.05856872581225195,4.120851077958129,1.71996827679253,-0.004002582537558134,1.4405925049259116,1.734474986022002,8.283185307179584,0.013292718886576516,1.0,1.0,0.07676441946909783,3.3323496238498516,1.5296119425311023,-0.07216765823399195,2.6952179135110415,2.1361575913717634,8.694706591140696,0.04100166573785366,1.2894136903379185,1.4559549222458017,0.18064725673196474,1.9180097919397445
2.0,0.0,0.0,0.00533984375,0.0110087890625,0.00025537109375,0.0,0.0,0.0,0.0,1.5663422695062508,1.7518127795908338,-0.012342300899404647,1.4761149354430432,1.573316639367435,8.283185307179584,0.009552273925857516,1.0,1.0,0.05846533083403262,4.125998944795718,1.7195718260106654,-0.004084794416327215,1.4286585821854776,1.7518833737555344,8.283185307179584,0.016937344919136493,1.0,1.0,0.07681188278626501,3.3308677024407665,1.5155546067594134,-0.06823713830168232,2.6839013141467065,2.2175576707784073,8.549583442080916,0.04259881898002778,1.3034210395198955,1.4104083103373384,0.1792072462263703,1.9313254972158203
3.0,0.0,0.0,0.0053374023437500005,0.01104736328125,0.000262939453125,0.0,0.0,0.0,0.0,1.5709673597952605,1.750709970298413,-0.01479392895967958,1.4747804636349824,1.5939137501620295,8.283185307179584,0.014328410888786274,1.0,1.0,0.058361935855813285,4.131146811633307,1.7192309671130241,-0.0041670062950962955,1.4167246594450436,1.7692917614890669,8.283185307179584,0.02058197095169647,1.0,1.0,0.07685934610343219,3.3293857810316814,1.5020399207996444,-0.06430661836937268,2.6725847147823716,2.2989577501850516,8.407323640633168,0.044195972222201896,1.3174283887018723,1.3648616984288753,0.17776723572077582,1.944641202491896
4.0,0.0,0.0,0.005336181640625,0.011066650390625,0.0002667236328125,0.0,0.0,0.0,0.0,1.5732799049397652,1.7501727149232922,-0.016019742989817044,1.4741132277309519,1.6042123055593267,8.283185307179584,0.016716479370250652,1.0,1.0,0.05831023836670361,4.133720745052102,1.7190813003011494,-0.004208112234480836,1.4107576980748266,1.777995955355833,8.283185307179584,0.02240428396797646,1.0,1.0,0.07688307776201578,3.328644820327139,1.4954746506017016,-0.06234135840321787,2.666926415100204,2.3396577898883733,8.337247355304271,0.044994548843288955,1.3244320632928606,1.3420883924746438,0.1770472304679786,1.9512990551299338
5.0,0.0,0.0,0.0053349609375,0.0110859375,0.0002705078125,0.0,0.0,0.0,0.0,1.5755924500842702,1.749644638555472,-0.017245557019954512,1.4734459918269214,1.614510860956624,8.283185307179584,0.01910454785171503,1.0,1.0,0.058258540877593946,4.136294678470897,1.7189454327703984,-0.004249218173865377,1.4047907367046095,1.7867001492225993,8.283185307179584,0.024226596984256447,1.0,1.0,0.07690680942059937,3.3279038596225963,1.4890317623871367,-0.060376098437063055,2.6612681154180367,2.3803578295916954,8.267862946301857,0.045793125464376014,1.331435737883849,1.3193150865204122,0.17632722521518135,1.9579569077679717
6.0,0.0,0.0,0.00533251953125,0.01112451171875,0.000278076171875,0.0,0.0,0.0,0.0,1.5802175403732799,1.7486152886841704,-0.019697185080229444,1.4721115200188604,1.6351079717512187,8.283185307179584,0.02388068481464379,1.0,1.0,0.05815514589937461,4.141442545308486,1.718714975505299,-0.004331430052634458,1.3928568139641755,1.8041085369561318,8.283185307179584,0.027871223016816424,1.0,1.0,0.07695427273776655,3.326421938213511,1.4764972891715193,-0.05644557850475342,2.6499515160537017,2.4617579089983392,8.13113876279472,0.04739027870655013,1.345443087065826,1.273768474611949,0.1748872147095869,1.9712726130440474
7.0,0.0,0.0,0.005330078125,0.011163085937500001,0.00028564453125,0.0,0.0,0.0,0.0,1.5848426306622896,1.7476204934838857,-0.022148813140504375,1.4707770482107994,1.6557050825458133,8.283185307179584,0.028656821777572547,1.0,1.0,0.058051750921155276,4.146590412146075,1.7185393674326517,-0.004413641931403539,1.3809228912237415,1.821516924689664,8.283185307179584,0.031515849049376404,1.0,1.0,0.07700173605493373,3.3249400168044265,1.4644065709875609,-0.05251505857244379,2.638634916689367,2.5431579884049835,7.997090089413949,0.04898743194872424,1.3594504362478028,1.228221862703486,0.17344720420399243,1.9845883183201232
8.0,0.0,0.0,0.005327636718750001,0.011201660156250001,0.000293212890625,0.0,0.0,0.0,0.0,1.5894677209512995,1.7466588864743848,-0.02460044120077931,1.4694425764027383,1.6763021933404079,8.283185307179584,0.033432958740501305,1.0,1.0,0.057948355942935945,4.1517382789836645,1.7184183999360099,-0.00449585381017262,1.3689889684833076,1.8389253124231963,8.283185307179584,0.035160475081936385,1.0,1.0,0.0770491993721009,3.323458095395342,1.4527322709976667,-0.048584538640134164,2.627318317325032,2.6245580678116274,7.865657474119946,0.050584585190898354,1.3734577854297796,1.182675250795023,0.17200719369839795,1.997904023596199
9.0,0.0,0.0,0.005326416015625,0.011220947265625,0.0002969970703125,0.0,0.0,0.0,0.0,1.5917802660958045,1.7461901166678053,-0.025826255230916778,1.4687753404987078,1.686600748737705,8.283185307179584,0.03582102722196569,1.0,1.0,0.05789665845382628,4.154312212402459,1.7183783464272098,-0.004536959749557161,1.3630220071130905,1.8476295062899626,8.283185307179584,0.03698278809821637,1.0,1.0,0.0770729310306845,3.3227171346907993,1.4470433751511396,-0.046619278673979345,2.6216600176428644,2.6652581075149495,7.800904021766927,0.05138316181198541,1.380461460020768,1.1599019448407915,0.17128718844560073,2.004561876234237
