alpha,H,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
67,0.000E+00,0.000E+00,0.000E+00,9.001E-03,0.000E+00,1.774E-02,2.190E-02,8.710E-03,3.136E-02,2.061E+00,1.516E+00,-7.699E-01,2.056E+01,2.268E+00,3.142E+00,-7.531E-04,2.558E+00,2.546E+00,7.014E-02,3.876E+00,1.569E+00,-5.963E-01,1.298E+01,1.918E+00,3.142E+00,-7.560E-04,2.659E+00,2.647E+00,9.187E-02,3.744E+00,1.579E+00,-7.652E-01,1.752E+01,2.093E+00,3.142E+00,-2.904E-04,2.483E+00,2.479E+00,4.912E-02,5.507E+00
68,0.000E+00,0.000E+00,0.000E+00,9.286E-03,0.000E+00,1.846E-02,2.267E-02,9.125E-03,3.264E-02,2.142E+00,1.507E+00,-7.882E-01,2.325E+01,2.261E+00,3.142E+00,-9.324E-04,2.577E+00,2.562E+00,7.039E-02,3.866E+00,1.563E+00,-5.988E-01,1.344E+01,1.920E+00,3.142E+00,-7.363E-04,2.640E+00,2.628E+00,9.169E-02,3.750E+00,1.569E+00,-7.891E-01,1.993E+01,2.094E+00,3.142E+00,-4.099E-04,2.470E+00,2.464E+00,4.849E-02,5.559E+00
69,0.000E+00,0.000E+00,0.000E+00,9.570E-03,0.000E+00,1.918E-02,2.345E-02,9.540E-03,3.392E-02,2.224E+00,1.500E+00,-8.066E-01,2.595E+01,2.254E+00,3.142E+00,-1.112E-03,2.595E+00,2.577E+00,7.063E-02,3.856E+00,1.557E+00,-6.013E-01,1.390E+01,1.922E+00,3.142E+00,-7.167E-04,2.620E+00,2.608E+00,9.151E-02,3.757E+00,1.563E+00,-8.131E-01,2.233E+01,2.095E+00,3.142E+00,-5.294E-04,2.457E+00,2.449E+00,4.785E-02,5.612E+00
70,0.000E+00,0.000E+00,0.000E+00,1.026E-02,0.000E+00,2.090E-02,2.533E-02,1.068E-02,3.730E-02,2.427E+00,1.453E+00,-8.104E-01,2.998E+01,2.387E+00,3.142E+00,-1.085E-03,2.610E+00,2.593E+00,6.926E-02,3.914E+00,1.521E+00,-6.066E-01,1.503E+01,2.032E+00,3.142E+00,1.349E-03,2.566E+00,2.587E+00,9.196E-02,3.741E+00,1.520E+00,-8.228E-01,2.559E+01,2.217E+00,3.142E+00,1.371E-03,2.396E+00,2.415E+00,4.743E-02,5.650E+00
71,0.000E+00,0.000E+00,0.000E+00,1.060E-02,0.000E+00,2.176E-02,2.627E-02,1.124E-02,3.898E-02,2.529E+00,1.431E+00,-8.123E-01,3.200E+01,2.454E+00,3.142E+00,-1.071E-03,2.617E+00,2.600E+00,6.857E-02,3.943E+00,1.504E+00,-6.093E-01,1.559E+01,2.086E+00,3.142E+00,2.382E-03,2.539E+00,2.577E+00,9.219E-02,3.733E+00,1.500E+00,-8.277E-01,2.722E+01,2.278E+00,3.142E+00,2.322E-03,2.365E+00,2.398E+00,4.721E-02,5.668E+00
72,0.000E+00,0.000E+00,0.000E+00,1.094E-02,0.000E+00,2.262E-02,2.721E-02,1.181E-02,4.067E-02,2.631E+00,1.411E+00,-8.142E-01,3.402E+01,2.521E+00,3.142E+00,-1.058E-03,2.625E+00,2.608E+00,6.788E-02,3.972E+00,1.488E+00,-6.119E-01,1.615E+01,2.141E+00,3.142E+00,3.415E-03,2.513E+00,2.566E+00,9.242E-02,3.726E+00,1.481E+00,-8.326E-01,2.885E+01,2.339E+00,3.142E+00,3.272E-03,2.334E+00,2.382E+00,4.700E-02,5.687E+00
73,0.000E+00,0.000E+00,0.000E+00,1.134E-02,0.000E+00,2.396E-02,2.845E-02,1.268E-02,4.336E-02,2.783E+00,1.383E+00,-7.903E-01,2.909E+01,2.755E+00,3.142E+00,1.432E-03,2.495E+00,2.516E+00,6.794E-02,3.969E+00,1.464E+00,-6.057E-01,1.606E+01,2.253E+00,3.142E+00,3.688E-03,2.467E+00,2.523E+00,9.181E-02,3.746E+00,1.439E+00,-8.004E-01,2.555E+01,2.579E+00,3.142E+00,8.516E-03,2.246E+00,2.364E+00,4.655E-02,5.728E+00
74,0.000E+00,0.000E+00,0.000E+00,1.174E-02,0.000E+00,2.529E-02,2.969E-02,1.355E-02,4.605E-02,2.935E+00,1.367E+00,-7.663E-01,2.417E+01,2.989E+00,3.142E+00,3.923E-03,2.366E+00,2.424E+00,6.801E-02,3.966E+00,1.441E+00,-5.995E-01,1.598E+01,2.365E+00,3.142E+00,3.962E-03,2.421E+00,2.480E+00,9.121E-02,3.767E+00,1.407E+00,-7.683E-01,2.226E+01,2.820E+00,3.142E+00,1.376E-02,2.157E+00,2.346E+00,4.611E-02,5.768E+00
75,0.000E+00,0.000E+00,0.000E+00,1.229E-02,0.000E+00,2.676E-02,3.108E-02,1.450E-02,4.918E-02,3.109E+00,1.330E+00,-7.542E-01,2.501E+01,3.168E+00,3.142E+00,3.572E-03,2.429E+00,2.483E+00,6.768E-02,3.981E+00,1.421E+00,-5.778E-01,1.465E+01,2.510E+00,3.142E+00,3.373E-03,2.439E+00,2.490E+00,9.182E-02,3.746E+00,1.371E+00,-7.703E-01,2.427E+01,2.969E+00,3.142E+00,6.812E-03,2.226E+00,2.320E+00,4.632E-02,5.748E+00
76,0.000E+00,0.000E+00,0.000E+00,1.283E-02,0.000E+00,2.823E-02,3.247E-02,1.546E-02,5.232E-02,3.283E+00,1.295E+00,-7.420E-01,2.584E+01,3.347E+00,3.142E+00,3.222E-03,2.492E+00,2.542E+00,6.734E-02,3.995E+00,1.404E+00,-5.562E-01,1.333E+01,2.656E+00,3.142E+00,2.785E-03,2.457E+00,2.499E+00,9.244E-02,3.725E+00,1.338E+00,-7.722E-01,2.629E+01,3.117E+00,3.142E+00,-1.375E-04,2.296E+00,2.294E+00,4.653E-02,5.729E+00
77,0.000E+00,0.000E+00,0.000E+00,1.341E-02,0.000E+00,2.972E-02,3.427E-02,1.637E-02,5.497E-02,3.455E+00,1.261E+00,-7.435E-01,2.606E+01,3.641E+00,3.142E+00,1.322E-02,2.255E+00,2.432E+00,6.555E-02,4.077E+00,1.367E+00,-5.491E-01,1.339E+01,2.885E+00,3.142E+00,5.173E-03,2.371E+00,2.446E+00,9.110E-02,3.771E+00,1.301E+00,-7.536E-01,2.433E+01,3.438E+00,3.142E+00,6.368E-03,2.222E+00,2.309E+00,4.600E-02,5.778E+00
78,0.000E+00,0.000E+00,0.000E+00,1.398E-02,0.000E+00,3.122E-02,3.606E-02,1.727E-02,5.762E-02,3.628E+00,1.231E+00,-7.449E-01,2.627E+01,3.935E+00,3.142E+00,2.321E-02,2.017E+00,2.322E+00,6.376E-02,4.159E+00,1.333E+00,-5.420E-01,1.346E+01,3.114E+00,3.142E+00,7.561E-03,2.285E+00,2.393E+00,8.976E-02,3.817E+00,1.271E+00,-7.350E-01,2.237E+01,3.759E+00,3.142E+00,1.287E-02,2.148E+00,2.323E+00,4.547E-02,5.827E+00
79,0.000E+00,0.000E+00,0.000E+00,1.405E-02,0.000E+00,3.259E-02,3.697E-02,1.857E-02,6.096E-02,3.790E+00,1.185E+00,-7.336E-01,2.575E+01,4.414E+00,3.142E+00,1.726E-02,2.105E+00,2.336E+00,6.073E-02,4.316E+00,1.307E+00,-5.313E-01,1.305E+01,3.339E+00,3.142E+00,8.345E-03,2.254E+00,2.372E+00,8.854E-02,3.861E+00,1.228E+00,-7.286E-01,2.231E+01,4.179E+00,3.142E+00,1.526E-02,2.091E+00,2.293E+00,4.334E-02,6.044E+00
