alpha,H,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
10,0.000E+00,0.000E+00,0.000E+00,1.856E-03,0.000E+00,2.844E-03,4.260E-03,1.015E-03,4.311E-03,3.312E-01,1.687E+00,-2.227E-02,1.417E+00,2.093E+00,3.142E+00,-5.801E-03,2.704E+00,2.607E+00,8.831E-02,3.259E+00,1.729E+00,-1.189E-01,2.240E+00,1.576E+00,3.142E+00,-1.553E-03,2.611E+00,2.586E+00,1.083E-01,3.262E+00,1.764E+00,-8.911E-02,1.879E+00,1.536E+00,3.142E+00,-4.117E-03,2.516E+00,2.453E+00,6.236E-02,4.601E+00
11,0.000E+00,0.000E+00,0.000E+00,1.878E-03,0.000E+00,2.913E-03,4.322E-03,1.038E-03,4.401E-03,3.377E-01,1.677E+00,-5.458E-02,1.667E+00,2.036E+00,3.142E+00,-4.256E-03,2.656E+00,2.583E+00,8.796E-02,3.269E+00,1.728E+00,-1.264E-01,2.268E+00,1.597E+00,3.142E+00,-1.329E-03,2.606E+00,2.585E+00,1.078E-01,3.276E+00,1.773E+00,-9.273E-02,1.850E+00,1.534E+00,3.142E+00,-3.385E-03,2.487E+00,2.435E+00,6.196E-02,4.625E+00
12,0.000E+00,0.000E+00,0.000E+00,1.899E-03,0.000E+00,2.982E-03,4.383E-03,1.061E-03,4.492E-03,3.442E-01,1.673E+00,-8.688E-02,1.916E+00,1.979E+00,3.142E+00,-2.712E-03,2.608E+00,2.559E+00,8.760E-02,3.280E+00,1.727E+00,-1.338E-01,2.296E+00,1.618E+00,3.142E+00,-1.105E-03,2.602E+00,2.584E+00,1.072E-01,3.290E+00,1.782E+00,-9.635E-02,1.821E+00,1.531E+00,3.142E+00,-2.653E-03,2.458E+00,2.416E+00,6.156E-02,4.648E+00
13,0.000E+00,0.000E+00,0.000E+00,1.921E-03,0.000E+00,3.051E-03,4.445E-03,1.085E-03,4.582E-03,3.507E-01,1.674E+00,-1.192E-01,2.166E+00,1.923E+00,3.142E+00,-1.167E-03,2.560E+00,2.535E+00,8.725E-02,3.290E+00,1.726E+00,-1.412E-01,2.324E+00,1.638E+00,3.142E+00,-8.809E-04,2.597E+00,2.583E+00,1.067E-01,3.305E+00,1.791E+00,-9.998E-02,1.792E+00,1.529E+00,3.142E+00,-1.922E-03,2.429E+00,2.398E+00,6.116E-02,4.672E+00
14,0.000E+00,0.000E+00,0.000E+00,1.931E-03,0.000E+00,3.086E-03,4.476E-03,1.096E-03,4.628E-03,3.539E-01,1.676E+00,-1.353E-01,2.290E+00,1.895E+00,3.142E+00,-3.948E-04,2.536E+00,2.523E+00,8.708E-02,3.295E+00,1.725E+00,-1.450E-01,2.338E+00,1.649E+00,3.142E+00,-7.688E-04,2.595E+00,2.582E+00,1.064E-01,3.312E+00,1.795E+00,-1.018E-01,1.778E+00,1.528E+00,3.142E+00,-1.556E-03,2.414E+00,2.389E+00,6.096E-02,4.683E+00
15,0.000E+00,0.000E+00,0.000E+00,1.942E-03,0.000E+00,3.121E-03,4.507E-03,1.108E-03,4.673E-03,3.571E-01,1.680E+00,-1.515E-01,2.415E+00,1.866E+00,3.142E+00,3.775E-04,2.512E+00,2.511E+00,8.690E-02,3.300E+00,1.725E+00,-1.487E-01,2.352E+00,1.659E+00,3.142E+00,-6.568E-04,2.592E+00,2.582E+00,1.062E-01,3.319E+00,1.800E+00,-1.036E-01,1.763E+00,1.527E+00,3.142E+00,-1.190E-03,2.399E+00,2.380E+00,6.076E-02,4.695E+00
16,0.000E+00,0.000E+00,0.000E+00,1.963E-03,0.000E+00,3.190E-03,4.569E-03,1.131E-03,4.763E-03,3.636E-01,1.689E+00,-1.838E-01,2.664E+00,1.810E+00,3.142E+00,1.922E-03,2.464E+00,2.487E+00,8.655E-02,3.310E+00,1.724E+00,-1.561E-01,2.380E+00,1.680E+00,3.142E+00,-4.326E-04,2.588E+00,2.581E+00,1.056E-01,3.333E+00,1.809E+00,-1.072E-01,1.735E+00,1.524E+00,3.142E+00,-4.581E-04,2.370E+00,2.361E+00,6.036E-02,4.719E+00
17,0.000E+00,0.000E+00,0.000E+00,1.985E-03,0.000E+00,3.259E-03,4.630E-03,1.155E-03,4.854E-03,3.701E-01,1.701E+00,-2.161E-01,2.914E+00,1.753E+00,3.142E+00,3.467E-03,2.416E+00,2.463E+00,8.620E-02,3.320E+00,1.723E+00,-1.636E-01,2.408E+00,1.701E+00,3.142E+00,-2.085E-04,2.583E+00,2.580E+00,1.051E-01,3.347E+00,1.818E+00,-1.109E-01,1.706E+00,1.522E+00,3.142E+00,2.736E-04,2.341E+00,2.343E+00,5.996E-02,4.742E+00
18,0.000E+00,0.000E+00,0.000E+00,2.006E-03,0.000E+00,3.328E-03,4.692E-03,1.178E-03,4.945E-03,3.766E-01,1.715E+00,-2.484E-01,3.163E+00,1.697E+00,3.142E+00,5.011E-03,2.368E+00,2.439E+00,8.585E-02,3.330E+00,1.722E+00,-1.710E-01,2.436E+00,1.722E+00,3.142E+00,1.562E-05,2.578E+00,2.579E+00,1.045E-01,3.361E+00,1.828E+00,-1.145E-01,1.677E+00,1.520E+00,3.142E+00,1.005E-03,2.312E+00,2.325E+00,5.956E-02,4.766E+00
19,0.000E+00,0.000E+00,0.000E+00,2.017E-03,0.000E+00,3.363E-03,4.723E-03,1.190E-03,4.990E-03,3.798E-01,1.723E+00,-2.646E-01,3.288E+00,1.669E+00,3.142E+00,5.784E-03,2.344E+00,2.427E+00,8.567E-02,3.335E+00,1.721E+00,-1.747E-01,2.450E+00,1.733E+00,3.142E+00,1.277E-04,2.576E+00,2.578E+00,1.043E-01,3.368E+00,1.832E+00,-1.163E-01,1.663E+00,1.518E+00,3.142E+00,1.371E-03,2.297E+00,2.316E+00,5.936E-02,4.777E+00
20,0.000E+00,0.000E+00,0.000E+00,2.027E-03,0.000E+00,3.397E-03,4.754E-03,1.201E-03,5.035E-03,3.831E-01,1.732E+00,-2.807E-01,3.413E+00,1.640E+00,3.142E+00,6.556E-03,2.320E+00,2.415E+00,8.550E-02,3.340E+00,1.721E+00,-1.784E-01,2.464E+00,1.743E+00,3.142E+00,2.398E-04,2.574E+00,2.577E+00,1.040E-01,3.376E+00,1.837E+00,-1.181E-01,1.648E+00,1.517E+00,3.142E+00,1.737E-03,2.282E+00,2.306E+00,5.916E-02,4.789E+00
21,0.000E+00,0.000E+00,0.000E+00,2.106E-03,0.000E+00,3.498E-03,4.883E-03,1.233E-03,5.191E-03,3.949E-01,1.739E+00,-2.896E-01,3.420E+00,1.639E+00,3.142E+00,6.626E-03,2.322E+00,2.419E+00,8.478E-02,3.363E+00,1.720E+00,-1.888E-01,2.534E+00,1.751E+00,3.142E+00,5.409E-05,2.578E+00,2.578E+00,1.033E-01,3.397E+00,1.821E+00,-1.559E-01,1.988E+00,1.486E+00,3.142E+00,1.472E-03,2.291E+00,2.311E+00,5.871E-02,4.818E+00
22,0.000E+00,0.000E+00,0.000E+00,2.185E-03,0.000E+00,3.598E-03,5.011E-03,1.264E-03,5.346E-03,4.067E-01,1.746E+00,-2.985E-01,3.428E+00,1.637E+00,3.142E+00,6.697E-03,2.325E+00,2.422E+00,8.406E-02,3.386E+00,1.719E+00,-1.992E-01,2.603E+00,1.760E+00,3.142E+00,-1.316E-04,2.581E+00,2.579E+00,1.025E-01,3.418E+00,1.814E+00,-1.937E-01,2.329E+00,1.455E+00,3.142E+00,1.208E-03,2.300E+00,2.317E+00,5.826E-02,4.847E+00
23,0.000E+00,0.000E+00,0.000E+00,2.264E-03,0.000E+00,3.698E-03,5.140E-03,1.295E-03,5.502E-03,4.185E-01,1.753E+00,-3.074E-01,3.436E+00,1.635E+00,3.142E+00,6.767E-03,2.327E+00,2.426E+00,8.334E-02,3.408E+00,1.718E+00,-2.096E-01,2.673E+00,1.768E+00,3.142E+00,-3.172E-04,2.585E+00,2.580E+00,1.018E-01,3.439E+00,1.814E+00,-2.315E-01,2.669E+00,1.424E+00,3.142E+00,9.429E-04,2.309E+00,2.322E+00,5.781E-02,4.876E+00
24,0.000E+00,0.000E+00,0.000E+00,2.303E-03,0.000E+00,3.748E-03,5.204E-03,1.311E-03,5.580E-03,4.244E-01,1.756E+00,-3.118E-01,3.439E+00,1.634E+00,3.142E+00,6.803E-03,2.328E+00,2.427E+00,8.298E-02,3.420E+00,1.718E+00,-2.148E-01,2.707E+00,1.772E+00,3.142E+00,-4.101E-04,2.587E+00,2.581E+00,1.014E-01,3.449E+00,1.816E+00,-2.504E-01,2.839E+00,1.409E+00,3.142E+00,8.106E-04,2.313E+00,2.324E+00,5.758E-02,4.891E+00
25,0.000E+00,0.000E+00,0.000E+00,2.343E-03,0.000E+00,3.798E-03,5.269E-03,1.327E-03,5.658E-03,4.303E-01,1.759E+00,-3.163E-01,3.443E+00,1.634E+00,3.142E+00,6.838E-03,2.329E+00,2.429E+00,8.262E-02,3.431E+00,1.718E+00,-2.200E-01,2.742E+00,1.776E+00,3.142E+00,-5.029E-04,2.589E+00,2.581E+00,1.011E-01,3.460E+00,1.819E+00,-2.693E-01,3.010E+00,1.393E+00,3.142E+00,6.782E-04,2.317E+00,2.327E+00,5.736E-02,4.905E+00
26,0.000E+00,0.000E+00,0.000E+00,2.422E-03,0.000E+00,3.898E-03,5.397E-03,1.358E-03,5.813E-03,4.421E-01,1.766E+00,-3.252E-01,3.451E+00,1.632E+00,3.142E+00,6.909E-03,2.332E+00,2.432E+00,8.189E-02,3.454E+00,1.717E+00,-2.305E-01,2.812E+00,1.784E+00,3.142E+00,-6.886E-04,2.593E+00,2.582E+00,1.003E-01,3.481E+00,1.828E+00,-3.071E-01,3.350E+00,1.362E+00,3.142E+00,4.135E-04,2.326E+00,2.332E+00,5.691E-02,4.934E+00
27,0.000E+00,0.000E+00,0.000E+00,2.500E-03,0.000E+00,3.998E-03,5.526E-03,1.389E-03,5.969E-03,4.539E-01,1.773E+00,-3.341E-01,3.459E+00,1.630E+00,3.142E+00,6.979E-03,2.334E+00,2.436E+00,8.117E-02,3.476E+00,1.717E+00,-2.409E-01,2.881E+00,1.792E+00,3.142E+00,-8.742E-04,2.597E+00,2.583E+00,9.960E-02,3.502E+00,1.840E+00,-3.449E-01,3.690E+00,1.331E+00,3.142E+00,1.487E-04,2.335E+00,2.337E+00,5.646E-02,4.963E+00
28,0.000E+00,0.000E+00,0.000E+00,2.579E-03,0.000E+00,4.098E-03,5.655E-03,1.421E-03,6.125E-03,4.657E-01,1.779E+00,-3.430E-01,3.466E+00,1.628E+00,3.142E+00,7.050E-03,2.336E+00,2.439E+00,8.045E-02,3.499E+00,1.717E+00,-2.513E-01,2.951E+00,1.801E+00,3.142E+00,-1.060E-03,2.601E+00,2.584E+00,9.887E-02,3.523E+00,1.855E+00,-3.827E-01,4.031E+00,1.300E+00,3.142E+00,-1.160E-04,2.344E+00,2.342E+00,5.601E-02,4.992E+00
29,0.000E+00,0.000E+00,0.000E+00,2.619E-03,0.000E+00,4.148E-03,5.719E-03,1.436E-03,6.202E-03,4.716E-01,1.782E+00,-3.474E-01,3.470E+00,1.628E+00,3.142E+00,7.085E-03,2.337E+00,2.441E+00,8.009E-02,3.510E+00,1.717E+00,-2.565E-01,2.985E+00,1.805E+00,3.142E+00,-1.153E-03,2.603E+00,2.584E+00,9.851E-02,3.533E+00,1.863E+00,-4.016E-01,4.201E+00,1.284E+00,3.142E+00,-2.483E-04,2.348E+00,2.345E+00,5.579E-02,5.007E+00
30,0.000E+00,0.000E+00,0.000E+00,2.658E-03,0.000E+00,4.198E-03,5.783E-03,1.452E-03,6.280E-03,4.775E-01,1.785E+00,-3.519E-01,3.474E+00,1.627E+00,3.142E+00,7.120E-03,2.339E+00,2.443E+00,7.973E-02,3.522E+00,1.717E+00,-2.617E-01,3.020E+00,1.809E+00,3.142E+00,-1.246E-03,2.605E+00,2.585E+00,9.814E-02,3.544E+00,1.872E+00,-4.205E-01,4.371E+00,1.269E+00,3.142E+00,-3.807E-04,2.352E+00,2.347E+00,5.556E-02,5.021E+00
31,0.000E+00,0.000E+00,0.000E+00,2.826E-03,0.000E+00,4.513E-03,6.203E-03,1.606E-03,6.849E-03,5.148E-01,1.784E+00,-3.754E-01,3.761E+00,1.616E+00,3.142E+00,5.665E-03,2.368E+00,2.450E+00,7.961E-02,3.526E+00,1.715E+00,-2.694E-01,3.075E+00,1.821E+00,3.142E+00,-1.013E-03,2.610E+00,2.593E+00,9.801E-02,3.548E+00,1.845E+00,-4.323E-01,4.525E+00,1.356E+00,3.142E+00,-1.032E-03,2.380E+00,2.364E+00,5.519E-02,5.048E+00
32,0.000E+00,0.000E+00,0.000E+00,2.910E-03,0.000E+00,4.671E-03,6.412E-03,1.683E-03,7.133E-03,5.335E-01,1.783E+00,-3.871E-01,3.905E+00,1.610E+00,3.142E+00,4.938E-03,2.382E+00,2.454E+00,7.955E-02,3.528E+00,1.715E+00,-2.733E-01,3.102E+00,1.827E+00,3.142E+00,-8.961E-04,2.612E+00,2.598E+00,9.794E-02,3.550E+00,1.832E+00,-4.382E-01,4.601E+00,1.399E+00,3.142E+00,-1.358E-03,2.394E+00,2.373E+00,5.500E-02,5.061E+00
33,0.000E+00,0.000E+00,0.000E+00,2.993E-03,0.000E+00,4.828E-03,6.622E-03,1.760E-03,7.417E-03,5.522E-01,1.784E+00,-3.989E-01,4.048E+00,1.605E+00,3.142E+00,4.210E-03,2.397E+00,2.457E+00,7.949E-02,3.530E+00,1.714E+00,-2.772E-01,3.130E+00,1.833E+00,3.142E+00,-7.796E-04,2.615E+00,2.602E+00,9.788E-02,3.552E+00,1.820E+00,-4.441E-01,4.678E+00,1.443E+00,3.142E+00,-1.683E-03,2.408E+00,2.382E+00,5.481E-02,5.074E+00
34,0.000E+00,0.000E+00,0.000E+00,3.077E-03,0.000E+00,4.986E-03,6.831E-03,1.838E-03,7.702E-03,5.709E-01,1.784E+00,-4.107E-01,4.192E+00,1.600E+00,3.142E+00,3.483E-03,2.411E+00,2.461E+00,7.943E-02,3.532E+00,1.713E+00,-2.811E-01,3.157E+00,1.839E+00,3.142E+00,-6.631E-04,2.617E+00,2.606E+00,9.781E-02,3.554E+00,1.808E+00,-4.500E-01,4.754E+00,1.487E+00,3.142E+00,-2.009E-03,2.422E+00,2.390E+00,5.462E-02,5.088E+00
35,0.000E+00,0.000E+00,0.000E+00,3.161E-03,0.000E+00,5.143E-03,7.041E-03,1.915E-03,7.986E-03,5.895E-01,1.785E+00,-4.224E-01,4.336E+00,1.594E+00,3.142E+00,2.755E-03,2.426E+00,2.464E+00,7.936E-02,3.534E+00,1.713E+00,-2.850E-01,3.184E+00,1.845E+00,3.142E+00,-5.466E-04,2.619E+00,2.611E+00,9.775E-02,3.556E+00,1.797E+00,-4.559E-01,4.831E+00,1.530E+00,3.142E+00,-2.335E-03,2.435E+00,2.399E+00,5.444E-02,5.101E+00
36,0.000E+00,0.000E+00,0.000E+00,3.245E-03,0.000E+00,5.301E-03,7.251E-03,1.992E-03,8.270E-03,6.082E-01,1.786E+00,-4.342E-01,4.479E+00,1.589E+00,3.142E+00,2.028E-03,2.440E+00,2.468E+00,7.930E-02,3.536E+00,1.712E+00,-2.889E-01,3.212E+00,1.852E+00,3.142E+00,-4.302E-04,2.622E+00,2.615E+00,9.769E-02,3.558E+00,1.786E+00,-4.618E-01,4.908E+00,1.574E+00,3.142E+00,-2.660E-03,2.449E+00,2.408E+00,5.425E-02,5.114E+00
37,0.000E+00,0.000E+00,0.000E+00,3.329E-03,0.000E+00,5.458E-03,7.460E-03,2.069E-03,8.555E-03,6.269E-01,1.787E+00,-4.459E-01,4.623E+00,1.583E+00,3.142E+00,1.300E-03,2.455E+00,2.471E+00,7.924E-02,3.538E+00,1.711E+00,-2.927E-01,3.239E+00,1.858E+00,3.142E+00,-3.137E-04,2.624E+00,2.619E+00,9.762E-02,3.559E+00,1.775E+00,-4.677E-01,4.984E+00,1.617E+00,3.142E+00,-2.986E-03,2.463E+00,2.416E+00,5.406E-02,5.128E+00
38,0.000E+00,0.000E+00,0.000E+00,3.412E-03,0.000E+00,5.616E-03,7.670E-03,2.146E-03,8.839E-03,6.455E-01,1.789E+00,-4.577E-01,4.767E+00,1.578E+00,3.142E+00,5.728E-04,2.469E+00,2.475E+00,7.918E-02,3.540E+00,1.711E+00,-2.966E-01,3.267E+00,1.864E+00,3.142E+00,-1.972E-04,2.627E+00,2.624E+00,9.756E-02,3.561E+00,1.764E+00,-4.736E-01,5.061E+00,1.661E+00,3.142E+00,-3.312E-03,2.477E+00,2.425E+00,5.387E-02,5.141E+00
39,0.000E+00,0.000E+00,0.000E+00,3.496E-03,0.000E+00,5.774E-03,7.880E-03,2.223E-03,9.123E-03,6.642E-01,1.791E+00,-4.695E-01,4.910E+00,1.573E+00,3.142E+00,-1.547E-04,2.484E+00,2.478E+00,7.912E-02,3.542E+00,1.710E+00,-3.005E-01,3.294E+00,1.870E+00,3.142E+00,-8.071E-05,2.629E+00,2.628E+00,9.749E-02,3.563E+00,1.754E+00,-4.795E-01,5.138E+00,1.704E+00,3.142E+00,-3.637E-03,2.491E+00,2.434E+00,5.368E-02,5.154E+00
40,0.000E+00,0.000E+00,0.000E+00,3.580E-03,0.000E+00,5.931E-03,8.089E-03,2.300E-03,9.408E-03,6.829E-01,1.793E+00,-4.812E-01,5.054E+00,1.567E+00,3.142E+00,-8.822E-04,2.498E+00,2.482E+00,7.906E-02,3.545E+00,1.709E+00,-3.044E-01,3.321E+00,1.876E+00,3.142E+00,3.577E-05,2.632E+00,2.632E+00,9.743E-02,3.565E+00,1.744E+00,-4.854E-01,5.214E+00,1.748E+00,3.142E+00,-3.963E-03,2.504E+00,2.442E+00,5.350E-02,5.168E+00
41,0.000E+00,0.000E+00,0.000E+00,3.664E-03,0.000E+00,6.089E-03,8.299E-03,2.377E-03,9.692E-03,7.015E-01,1.796E+00,-4.930E-01,5.197E+00,1.562E+00,3.142E+00,-1.610E-03,2.513E+00,2.485E+00,7.900E-02,3.547E+00,1.709E+00,-3.083E-01,3.349E+00,1.882E+00,3.142E+00,1.523E-04,2.634E+00,2.637E+00,9.736E-02,3.567E+00,1.735E+00,-4.913E-01,5.291E+00,1.791E+00,3.142E+00,-4.289E-03,2.518E+00,2.451E+00,5.331E-02,5.181E+00
42,0.000E+00,0.000E+00,0.000E+00,3.748E-03,0.000E+00,6.246E-03,8.509E-03,2.454E-03,9.976E-03,7.202E-01,1.798E+00,-5.048E-01,5.341E+00,1.556E+00,3.142E+00,-2.337E-03,2.527E+00,2.489E+00,7.893E-02,3.549E+00,1.708E+00,-3.122E-01,3.376E+00,1.888E+00,3.142E+00,2.687E-04,2.636E+00,2.641E+00,9.730E-02,3.569E+00,1.725E+00,-4.972E-01,5.368E+00,1.835E+00,3.142E+00,-4.614E-03,2.532E+00,2.460E+00,5.312E-02,5.194E+00
43,0.000E+00,0.000E+00,0.000E+00,3.831E-03,0.000E+00,6.404E-03,8.718E-03,2.531E-03,1.026E-02,7.389E-01,1.801E+00,-5.165E-01,5.485E+00,1.551E+00,3.142E+00,-3.065E-03,2.542E+00,2.492E+00,7.887E-02,3.551E+00,1.708E+00,-3.161E-01,3.404E+00,1.894E+00,3.142E+00,3.852E-04,2.639E+00,2.645E+00,9.723E-02,3.571E+00,1.716E+00,-5.031E-01,5.444E+00,1.878E+00,3.142E+00,-4.940E-03,2.546E+00,2.468E+00,5.293E-02,5.208E+00
44,0.000E+00,0.000E+00,0.000E+00,3.915E-03,0.000E+00,6.561E-03,8.928E-03,2.608E-03,1.054E-02,7.575E-01,1.804E+00,-5.283E-01,5.628E+00,1.545E+00,3.142E+00,-3.792E-03,2.556E+00,2.496E+00,7.881E-02,3.553E+00,1.707E+00,-3.199E-01,3.431E+00,1.900E+00,3.142E+00,5.017E-04,2.641E+00,2.650E+00,9.717E-02,3.573E+00,1.707E+00,-5.090E-01,5.521E+00,1.922E+00,3.142E+00,-5.265E-03,2.560E+00,2.477E+00,5.275E-02,5.221E+00
45,0.000E+00,0.000E+00,0.000E+00,3.999E-03,0.000E+00,6.719E-03,9.138E-03,2.686E-03,1.083E-02,7.762E-01,1.807E+00,-5.400E-01,5.772E+00,1.540E+00,3.142E+00,-4.520E-03,2.570E+00,2.499E+00,7.875E-02,3.555E+00,1.707E+00,-3.238E-01,3.458E+00,1.907E+00,3.142E+00,6.182E-04,2.644E+00,2.654E+00,9.710E-02,3.575E+00,1.698E+00,-5.149E-01,5.597E+00,1.966E+00,3.142E+00,-5.591E-03,2.573E+00,2.486E+00,5.256E-02,5.234E+00
46,0.000E+00,0.000E+00,0.000E+00,4.196E-03,0.000E+00,7.030E-03,9.591E-03,2.889E-03,1.146E-02,8.173E-01,1.769E+00,-5.843E-01,7.291E+00,1.586E+00,3.142E+00,-2.972E-03,2.605E+00,2.558E+00,7.428E-02,3.722E+00,1.688E+00,-3.301E-01,3.535E+00,2.000E+00,3.142E+00,-1.004E-03,2.676E+00,2.659E+00,9.455E-02,3.658E+00,1.739E+00,-5.183E-01,5.425E+00,1.818E+00,3.142E+00,5.066E-05,2.478E+00,2.477E+00,5.325E-02,5.184E+00
47,0.000E+00,0.000E+00,0.000E+00,4.294E-03,0.000E+00,7.186E-03,9.817E-03,2.990E-03,1.177E-02,8.378E-01,1.755E+00,-6.064E-01,8.051E+00,1.609E+00,3.142E+00,-2.199E-03,2.622E+00,2.587E+00,7.204E-02,3.806E+00,1.679E+00,-3.333E-01,3.573E+00,2.046E+00,3.142E+00,-1.815E-03,2.692E+00,2.662E+00,9.328E-02,3.699E+00,1.761E+00,-5.200E-01,5.339E+00,1.744E+00,3.142E+00,2.872E-03,2.430E+00,2.472E+00,5.360E-02,5.159E+00
48,0.000E+00,0.000E+00,0.000E+00,4.393E-03,0.000E+00,7.342E-03,1.004E-02,3.092E-03,1.209E-02,8.584E-01,1.743E+00,-6.286E-01,8.811E+00,1.631E+00,3.142E+00,-1.425E-03,2.639E+00,2.616E+00,6.981E-02,3.890E+00,1.670E+00,-3.364E-01,3.611E+00,2.092E+00,3.142E+00,-2.626E-03,2.709E+00,2.664E+00,9.200E-02,3.740E+00,1.784E+00,-5.217E-01,5.252E+00,1.671E+00,3.142E+00,5.692E-03,2.383E+00,2.467E+00,5.395E-02,5.134E+00
49,0.000E+00,0.000E+00,0.000E+00,4.607E-03,0.000E+00,7.861E-03,1.059E-02,3.272E-03,1.299E-02,9.136E-01,1.735E+00,-6.181E-01,8.357E+00,1.681E+00,3.142E+00,-6.919E-05,2.564E+00,2.562E+00,7.194E-02,3.806E+00,1.678E+00,-3.906E-01,4.487E+00,1.937E+00,3.142E+00,-1.780E-03,2.725E+00,2.694E+00,9.284E-02,3.712E+00,1.781E+00,-5.261E-01,5.254E+00,1.691E+00,3.142E+00,2.228E-03,2.393E+00,2.426E+00,5.262E-02,5.232E+00
50,0.000E+00,0.000E+00,0.000E+00,4.714E-03,0.000E+00,8.120E-03,1.087E-02,3.362E-03,1.344E-02,9.412E-01,1.732E+00,-6.128E-01,8.130E+00,1.706E+00,3.142E+00,6.088E-04,2.526E+00,2.535E+00,7.300E-02,3.764E+00,1.688E+00,-4.177E-01,4.925E+00,1.860E+00,3.142E+00,-1.357E-03,2.733E+00,2.709E+00,9.325E-02,3.698E+00,1.780E+00,-5.282E-01,5.255E+00,1.701E+00,3.142E+00,4.964E-04,2.398E+00,2.406E+00,5.195E-02,5.282E+00
51,0.000E+00,0.000E+00,0.000E+00,4.821E-03,0.000E+00,8.380E-03,1.115E-02,3.452E-03,1.389E-02,9.688E-01,1.729E+00,-6.076E-01,7.903E+00,1.731E+00,3.142E+00,1.287E-03,2.488E+00,2.508E+00,7.407E-02,3.722E+00,1.702E+00,-4.448E-01,5.363E+00,1.782E+00,3.142E+00,-9.342E-04,2.741E+00,2.725E+00,9.367E-02,3.684E+00,1.779E+00,-5.304E-01,5.255E+00,1.711E+00,3.142E+00,-1.236E-03,2.404E+00,2.386E+00,5.129E-02,5.331E+00
52,0.000E+00,0.000E+00,0.000E+00,4.981E-03,0.000E+00,8.865E-03,1.173E-02,3.786E-03,1.488E-02,1.027E+00,1.720E+00,-6.415E-01,8.864E+00,1.749E+00,3.142E+00,-7.904E-04,2.582E+00,2.568E+00,7.192E-02,3.807E+00,1.683E+00,-4.293E-01,4.992E+00,1.907E+00,3.142E+00,-4.675E-04,2.706E+00,2.698E+00,9.393E-02,3.676E+00,1.753E+00,-5.672E-01,6.068E+00,1.774E+00,3.142E+00,-1.950E-03,2.459E+00,2.429E+00,5.056E-02,5.389E+00
53,0.000E+00,0.000E+00,0.000E+00,5.062E-03,0.000E+00,9.107E-03,1.202E-02,3.953E-03,1.537E-02,1.057E+00,1.717E+00,-6.584E-01,9.345E+00,1.758E+00,3.142E+00,-1.829E-03,2.629E+00,2.599E+00,7.084E-02,3.849E+00,1.675E+00,-4.216E-01,4.807E+00,1.970E+00,3.142E+00,-2.341E-04,2.688E+00,2.684E+00,9.406E-02,3.671E+00,1.742E+00,-5.856E-01,6.474E+00,1.805E+00,3.142E+00,-2.307E-03,2.487E+00,2.451E+00,5.020E-02,5.417E+00
54,0.000E+00,0.000E+00,0.000E+00,5.142E-03,0.000E+00,9.350E-03,1.231E-02,4.120E-03,1.587E-02,1.086E+00,1.714E+00,-6.753E-01,9.825E+00,1.767E+00,3.142E+00,-2.868E-03,2.676E+00,2.629E+00,6.976E-02,3.892E+00,1.668E+00,-4.139E-01,4.621E+00,2.033E+00,3.142E+00,-7.914E-07,2.671E+00,2.671E+00,9.419E-02,3.667E+00,1.732E+00,-6.040E-01,6.881E+00,1.837E+00,3.142E+00,-2.664E-03,2.514E+00,2.473E+00,4.983E-02,5.446E+00
55,0.000E+00,0.000E+00,0.000E+00,5.460E-03,0.000E+00,1.006E-02,1.302E-02,4.517E-03,1.723E-02,1.168E+00,1.678E+00,-6.308E-01,8.353E+00,1.955E+00,3.142E+00,-2.425E-03,2.600E+00,2.561E+00,6.969E-02,3.895E+00,1.650E+00,-4.023E-01,4.571E+00,2.102E+00,3.142E+00,-8.397E-04,2.695E+00,2.680E+00,9.411E-02,3.670E+00,1.717E+00,-6.221E-01,7.328E+00,1.884E+00,3.142E+00,-4.269E-03,2.607E+00,2.538E+00,5.131E-02,5.332E+00
56,0.000E+00,0.000E+00,0.000E+00,5.620E-03,0.000E+00,1.041E-02,1.338E-02,4.715E-03,1.791E-02,1.209E+00,1.666E+00,-6.085E-01,7.618E+00,2.048E+00,3.142E+00,-2.204E-03,2.562E+00,2.527E+00,6.965E-02,3.897E+00,1.641E+00,-3.965E-01,4.546E+00,2.137E+00,3.142E+00,-1.259E-03,2.707E+00,2.685E+00,9.406E-02,3.671E+00,1.711E+00,-6.312E-01,7.551E+00,1.907E+00,3.142E+00,-5.071E-03,2.654E+00,2.570E+00,5.204E-02,5.275E+00
