alpha,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
44,0.000E+00,2.916E-02,0.000E+00,1.085E-02,0.000E+00,1.475E-05,1.733E-05,1.838E-02,6.040E-02,2.926E-02,5.627E-02,4.148E+00,1.784E+00,-4.518E-01,5.158E+00,1.504E+00,3.142E+00,2.880E-03,2.411E+00,2.454E+00,9.712E-02,4.489E+00,1.618E+00,-1.400E-01,2.393E+00,2.201E+00,3.142E+00,2.370E-03,2.662E+00,2.702E+00,3.236E-01,1.438E+00,1.671E+00,-2.669E-01,3.319E+00,1.928E+00,3.142E+00,8.089E-04,2.619E+00,2.632E+00,1.269E-01,3.559E+00,1.734E+00,-4.513E-01,5.104E+00,1.714E+00,3.142E+00,1.093E-02,2.113E+00,2.256E+00,7.810E-02,5.487E+00
45,0.000E+00,2.986E-02,0.000E+00,1.100E-02,0.000E+00,1.563E-05,1.797E-05,1.892E-02,6.199E-02,2.995E-02,5.742E-02,4.246E+00,1.783E+00,-4.554E-01,5.223E+00,1.506E+00,3.142E+00,3.046E-03,2.408E+00,2.454E+00,9.701E-02,4.493E+00,1.619E+00,-1.329E-01,2.305E+00,2.228E+00,3.142E+00,2.246E-03,2.662E+00,2.700E+00,3.228E-01,1.441E+00,1.669E+00,-2.662E-01,3.305E+00,1.942E+00,3.142E+00,8.003E-04,2.622E+00,2.635E+00,1.266E-01,3.567E+00,1.728E+00,-4.516E-01,5.139E+00,1.735E+00,3.142E+00,1.202E-02,2.092E+00,2.250E+00,7.773E-02,5.510E+00
46,0.000E+00,3.139E-02,0.000E+00,1.142E-02,0.000E+00,1.582E-05,2.168E-05,2.000E-02,6.529E-02,3.148E-02,6.005E-02,4.459E+00,1.747E+00,-4.532E-01,5.485E+00,1.592E+00,3.142E+00,2.956E-03,2.398E+00,2.441E+00,9.740E-02,4.476E+00,1.605E+00,-1.127E-01,2.146E+00,2.361E+00,3.142E+00,1.303E-03,2.695E+00,2.717E+00,3.236E-01,1.437E+00,1.662E+00,-2.621E-01,3.293E+00,1.968E+00,3.142E+00,2.822E-04,2.646E+00,2.650E+00,1.261E-01,3.582E+00,1.652E+00,-5.347E-01,1.047E+01,1.586E+00,3.142E+00,9.247E-03,2.175E+00,2.297E+00,7.812E-02,5.485E+00
47,0.000E+00,3.292E-02,0.000E+00,1.184E-02,0.000E+00,1.602E-05,2.539E-05,2.107E-02,6.859E-02,3.302E-02,6.268E-02,4.673E+00,1.713E+00,-4.509E-01,5.747E+00,1.677E+00,3.142E+00,2.867E-03,2.387E+00,2.429E+00,9.780E-02,4.460E+00,1.594E+00,-9.243E-02,1.988E+00,2.493E+00,3.142E+00,3.590E-04,2.729E+00,2.734E+00,3.244E-01,1.434E+00,1.655E+00,-2.581E-01,3.280E+00,1.994E+00,3.142E+00,-2.359E-04,2.669E+00,2.665E+00,1.255E-01,3.596E+00,1.667E+00,-6.179E-01,1.581E+01,1.437E+00,3.142E+00,6.470E-03,2.258E+00,2.343E+00,7.850E-02,5.460E+00
48,0.000E+00,3.445E-02,0.000E+00,1.226E-02,0.000E+00,1.621E-05,2.910E-05,2.215E-02,7.190E-02,3.455E-02,6.531E-02,4.887E+00,1.680E+00,-4.487E-01,6.009E+00,1.762E+00,3.142E+00,2.778E-03,2.376E+00,2.417E+00,9.819E-02,4.443E+00,1.586E+00,-7.221E-02,1.829E+00,2.625E+00,3.142E+00,-5.845E-04,2.762E+00,2.751E+00,3.252E-01,1.430E+00,1.648E+00,-2.540E-01,3.268E+00,2.021E+00,3.142E+00,-7.541E-04,2.693E+00,2.680E+00,1.250E-01,3.611E+00,1.721E+00,-7.010E-01,2.114E+01,1.287E+00,3.142E+00,3.694E-03,2.341E+00,2.390E+00,7.888E-02,5.435E+00
49,0.000E+00,3.522E-02,0.000E+00,1.248E-02,0.000E+00,1.631E-05,3.096E-05,2.269E-02,7.355E-02,3.532E-02,6.663E-02,4.994E+00,1.664E+00,-4.476E-01,6.140E+00,1.805E+00,3.142E+00,2.733E-03,2.370E+00,2.410E+00,9.838E-02,4.435E+00,1.583E+00,-6.210E-02,1.750E+00,2.692E+00,3.142E+00,-1.056E-03,2.778E+00,2.759E+00,3.256E-01,1.429E+00,1.645E+00,-2.520E-01,3.262E+00,2.034E+00,3.142E+00,-1.013E-03,2.705E+00,2.688E+00,1.247E-01,3.618E+00,1.758E+00,-7.426E-01,2.381E+01,1.212E+00,3.142E+00,2.306E-03,2.382E+00,2.414E+00,7.908E-02,5.423E+00
50,0.000E+00,3.598E-02,0.000E+00,1.269E-02,0.000E+00,1.641E-05,3.281E-05,2.323E-02,7.520E-02,3.608E-02,6.794E-02,5.101E+00,1.649E+00,-4.464E-01,6.271E+00,1.848E+00,3.142E+00,2.689E-03,2.365E+00,2.404E+00,9.858E-02,4.426E+00,1.581E+00,-5.199E-02,1.671E+00,2.758E+00,3.142E+00,-1.528E-03,2.795E+00,2.768E+00,3.260E-01,1.427E+00,1.642E+00,-2.499E-01,3.255E+00,2.047E+00,3.142E+00,-1.272E-03,2.717E+00,2.695E+00,1.245E-01,3.625E+00,1.799E+00,-7.842E-01,2.648E+01,1.138E+00,3.142E+00,9.176E-04,2.423E+00,2.437E+00,7.927E-02,5.411E+00
51,0.000E+00,3.826E-02,0.000E+00,1.321E-02,0.000E+00,2.275E-05,3.984E-05,2.501E-02,8.087E-02,3.835E-02,7.143E-02,5.426E+00,1.630E+00,-4.689E-01,7.647E+00,1.783E+00,3.142E+00,2.764E-03,2.385E+00,2.426E+00,9.771E-02,4.465E+00,1.559E+00,-8.139E-02,2.046E+00,2.627E+00,3.142E+00,-1.943E-03,2.805E+00,2.771E+00,3.247E-01,1.433E+00,1.629E+00,-2.693E-01,3.706E+00,1.995E+00,3.142E+00,-9.000E-04,2.706E+00,2.691E+00,1.247E-01,3.620E+00,1.769E+00,-7.622E-01,2.481E+01,1.202E+00,3.142E+00,1.881E-04,2.430E+00,2.433E+00,7.929E-02,5.409E+00
52,0.000E+00,4.054E-02,0.000E+00,1.373E-02,0.000E+00,2.910E-05,4.688E-05,2.680E-02,8.654E-02,4.062E-02,7.492E-02,5.751E+00,1.622E+00,-4.913E-01,9.022E+00,1.718E+00,3.142E+00,2.839E-03,2.404E+00,2.447E+00,9.685E-02,4.504E+00,1.548E+00,-1.108E-01,2.422E+00,2.495E+00,3.142E+00,-2.357E-03,2.815E+00,2.773E+00,3.234E-01,1.439E+00,1.621E+00,-2.887E-01,4.156E+00,1.943E+00,3.142E+00,-5.278E-04,2.696E+00,2.686E+00,1.249E-01,3.615E+00,1.741E+00,-7.402E-01,2.314E+01,1.266E+00,3.142E+00,-5.414E-04,2.436E+00,2.428E+00,7.931E-02,5.408E+00
53,0.000E+00,4.282E-02,0.000E+00,1.425E-02,0.000E+00,3.545E-05,5.391E-05,2.858E-02,9.220E-02,4.289E-02,7.842E-02,6.076E+00,1.621E+00,-5.138E-01,1.040E+01,1.652E+00,3.142E+00,2.913E-03,2.424E+00,2.468E+00,9.598E-02,4.543E+00,1.547E+00,-1.402E-01,2.797E+00,2.364E+00,3.142E+00,-2.772E-03,2.825E+00,2.776E+00,3.221E-01,1.444E+00,1.617E+00,-3.081E-01,4.607E+00,1.891E+00,3.142E+00,-1.556E-04,2.685E+00,2.682E+00,1.251E-01,3.609E+00,1.716E+00,-7.182E-01,2.147E+01,1.329E+00,3.142E+00,-1.271E-03,2.443E+00,2.424E+00,7.932E-02,5.407E+00
