alpha,He,Na,Al,Si,O,Na_1,O_1,Si_2,O_2,Al_3,O_3,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Na,phiTilt_Na,phiM_Na,phiN_Na,thetaK_Na,thetaTilt_Na,thetaM_Na,thetaN_Na,energyK_Na,energyE_Na,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
64,0.000E+00,6.655E-02,0.000E+00,1.871E-02,0.000E+00,1.185E-04,1.355E-04,4.812E-02,1.523E-01,6.680E-02,1.144E-01,9.481E+00,1.589E+00,-5.775E-01,1.627E+01,1.586E+00,3.142E+00,2.207E-03,2.560E+00,2.595E+00,9.266E-02,4.690E+00,1.598E+00,-3.400E-01,6.323E+00,1.696E+00,3.142E+00,-4.140E-03,2.788E+00,2.716E+00,3.223E-01,1.443E+00,1.629E+00,-4.272E-01,8.471E+00,1.550E+00,3.142E+00,1.399E-03,2.642E+00,2.666E+00,1.272E-01,3.552E+00,1.601E+00,-5.862E-01,1.369E+01,1.702E+00,3.142E+00,-3.313E-03,2.560E+00,2.508E+00,8.050E-02,5.334E+00
65,0.000E+00,6.832E-02,0.000E+00,1.897E-02,0.000E+00,1.258E-04,1.422E-04,4.964E-02,1.568E-01,6.860E-02,1.170E-01,9.735E+00,1.576E+00,-5.706E-01,1.613E+01,1.623E+00,3.142E+00,2.052E-03,2.566E+00,2.598E+00,9.281E-02,4.683E+00,1.595E+00,-3.475E-01,6.558E+00,1.694E+00,3.142E+00,-4.039E-03,2.776E+00,2.705E+00,3.233E-01,1.439E+00,1.628E+00,-4.304E-01,8.701E+00,1.538E+00,3.142E+00,1.355E-03,2.644E+00,2.667E+00,1.273E-01,3.548E+00,1.596E+00,-5.831E-01,1.377E+01,1.710E+00,3.142E+00,-3.084E-03,2.573E+00,2.524E+00,8.066E-02,5.324E+00
66,0.000E+00,7.339E-02,0.000E+00,1.923E-02,0.000E+00,1.457E-04,1.729E-04,5.439E-02,1.707E-01,7.362E-02,1.232E-01,1.045E+01,1.555E+00,-5.508E-01,1.504E+01,1.707E+00,3.142E+00,2.509E-03,2.518E+00,2.557E+00,9.450E-02,4.608E+00,1.581E+00,-3.533E-01,7.038E+00,1.699E+00,3.142E+00,-2.683E-03,2.744E+00,2.697E+00,3.200E-01,1.454E+00,1.603E+00,-4.184E-01,8.476E+00,1.626E+00,3.142E+00,1.569E-03,2.641E+00,2.667E+00,1.270E-01,3.556E+00,1.577E+00,-5.625E-01,1.313E+01,1.768E+00,3.142E+00,-1.837E-03,2.504E+00,2.474E+00,7.972E-02,5.384E+00
67,0.000E+00,7.846E-02,0.000E+00,1.949E-02,0.000E+00,1.656E-04,2.035E-04,5.914E-02,1.846E-01,7.864E-02,1.293E-01,1.116E+01,1.536E+00,-5.310E-01,1.396E+01,1.790E+00,3.142E+00,2.965E-03,2.470E+00,2.515E+00,9.620E-02,4.534E+00,1.568E+00,-3.590E-01,7.517E+00,1.703E+00,3.142E+00,-1.326E-03,2.713E+00,2.689E+00,3.166E-01,1.469E+00,1.579E+00,-4.063E-01,8.250E+00,1.714E+00,3.142E+00,1.783E-03,2.639E+00,2.668E+00,1.267E-01,3.564E+00,1.559E+00,-5.419E-01,1.249E+01,1.827E+00,3.142E+00,-5.896E-04,2.435E+00,2.424E+00,7.879E-02,5.444E+00
68,0.000E+00,8.352E-02,0.000E+00,1.975E-02,0.000E+00,1.855E-04,2.342E-04,6.390E-02,1.985E-01,8.367E-02,1.355E-01,1.188E+01,1.521E+00,-5.113E-01,1.287E+01,1.874E+00,3.142E+00,3.422E-03,2.422E+00,2.473E+00,9.789E-02,4.459E+00,1.556E+00,-3.647E-01,7.997E+00,1.708E+00,3.142E+00,2.993E-05,2.682E+00,2.681E+00,3.133E-01,1.484E+00,1.557E+00,-3.943E-01,8.025E+00,1.803E+00,3.142E+00,1.996E-03,2.636E+00,2.669E+00,1.264E-01,3.572E+00,1.543E+00,-5.213E-01,1.185E+01,1.886E+00,3.142E+00,6.575E-04,2.366E+00,2.374E+00,7.785E-02,5.504E+00
69,0.000E+00,8.606E-02,0.000E+00,1.988E-02,0.000E+00,1.955E-04,2.495E-04,6.627E-02,2.054E-01,8.618E-02,1.386E-01,1.224E+01,1.514E+00,-5.014E-01,1.233E+01,1.915E+00,3.142E+00,3.650E-03,2.398E+00,2.452E+00,9.874E-02,4.422E+00,1.550E+00,-3.676E-01,8.236E+00,1.710E+00,3.142E+00,7.081E-04,2.666E+00,2.677E+00,3.116E-01,1.491E+00,1.547E+00,-3.883E-01,7.912E+00,1.847E+00,3.142E+00,2.103E-03,2.634E+00,2.669E+00,1.263E-01,3.575E+00,1.536E+00,-5.109E-01,1.153E+01,1.915E+00,3.142E+00,1.281E-03,2.332E+00,2.349E+00,7.739E-02,5.534E+00
70,0.000E+00,8.859E-02,0.000E+00,2.001E-02,0.000E+00,2.055E-04,2.648E-04,6.865E-02,2.124E-01,8.869E-02,1.417E-01,1.259E+01,1.508E+00,-4.915E-01,1.178E+01,1.957E+00,3.142E+00,3.879E-03,2.374E+00,2.431E+00,9.959E-02,4.384E+00,1.545E+00,-3.705E-01,8.476E+00,1.713E+00,3.142E+00,1.386E-03,2.650E+00,2.674E+00,3.099E-01,1.499E+00,1.537E+00,-3.823E-01,7.799E+00,1.891E+00,3.142E+00,2.210E-03,2.633E+00,2.670E+00,1.262E-01,3.579E+00,1.528E+00,-5.006E-01,1.120E+01,1.945E+00,3.142E+00,1.905E-03,2.298E+00,2.324E+00,7.692E-02,5.563E+00
71,0.000E+00,9.347E-02,0.000E+00,2.026E-02,1.172E-06,2.242E-04,2.684E-04,7.350E-02,2.276E-01,9.379E-02,1.468E-01,1.331E+01,1.523E+00,-4.601E-01,1.002E+01,1.949E+00,3.142E+00,2.208E-03,2.343E+00,2.376E+00,9.846E-02,4.432E+00,1.537E+00,-3.405E-01,7.381E+00,1.797E+00,3.142E+00,1.161E-03,2.643E+00,2.663E+00,3.147E-01,1.477E+00,1.534E+00,-3.575E-01,7.011E+00,1.946E+00,3.142E+00,4.715E-04,2.654E+00,2.662E+00,1.252E-01,3.604E+00,1.528E+00,-4.917E-01,1.058E+01,1.980E+00,3.142E+00,2.835E-03,2.285E+00,2.324E+00,7.580E-02,5.640E+00
72,0.000E+00,9.834E-02,0.000E+00,2.051E-02,2.344E-06,2.430E-04,2.719E-04,7.835E-02,2.429E-01,9.888E-02,1.518E-01,1.403E+01,1.548E+00,-4.287E-01,8.266E+00,1.941E+00,3.142E+00,5.378E-04,2.313E+00,2.321E+00,9.734E-02,4.479E+00,1.537E+00,-3.105E-01,6.285E+00,1.881E+00,3.142E+00,9.367E-04,2.636E+00,2.652E+00,3.195E-01,1.455E+00,1.535E+00,-3.326E-01,6.222E+00,2.002E+00,3.142E+00,-1.267E-03,2.675E+00,2.654E+00,1.243E-01,3.629E+00,1.528E+00,-4.828E-01,9.958E+00,2.015E+00,3.142E+00,3.765E-03,2.272E+00,2.324E+00,7.468E-02,5.717E+00
73,0.000E+00,1.045E-01,0.000E+00,2.081E-02,1.562E-06,2.441E-04,2.770E-04,8.406E-02,2.587E-01,1.049E-01,1.597E-01,1.488E+01,1.528E+00,-4.252E-01,8.428E+00,2.003E+00,3.142E+00,-9.053E-04,2.378E+00,2.365E+00,9.863E-02,4.425E+00,1.529E+00,-3.081E-01,6.346E+00,1.900E+00,3.142E+00,-7.644E-04,2.723E+00,2.709E+00,3.129E-01,1.485E+00,1.507E+00,-3.334E-01,6.634E+00,2.066E+00,3.142E+00,-3.339E-04,2.640E+00,2.634E+00,1.255E-01,3.599E+00,1.504E+00,-4.670E-01,9.717E+00,2.114E+00,3.142E+00,2.516E-04,2.317E+00,2.320E+00,7.520E-02,5.681E+00
74,0.000E+00,1.107E-01,0.000E+00,2.111E-02,7.812E-07,2.453E-04,2.820E-04,8.977E-02,2.746E-01,1.109E-01,1.677E-01,1.574E+01,1.509E+00,-4.217E-01,8.590E+00,2.066E+00,3.142E+00,-2.348E-03,2.443E+00,2.408E+00,9.992E-02,4.371E+00,1.521E+00,-3.056E-01,6.406E+00,1.920E+00,3.142E+00,-2.466E-03,2.809E+00,2.766E+00,3.063E-01,1.516E+00,1.481E+00,-3.342E-01,7.045E+00,2.130E+00,3.142E+00,5.997E-04,2.604E+00,2.614E+00,1.266E-01,3.568E+00,1.481E+00,-4.511E-01,9.476E+00,2.213E+00,3.142E+00,-3.262E-03,2.362E+00,2.316E+00,7.571E-02,5.645E+00
75,0.000E+00,1.170E-01,0.000E+00,2.119E-02,3.906E-07,2.410E-04,2.914E-04,9.596E-02,2.925E-01,1.171E-01,1.748E-01,1.663E+01,1.478E+00,-3.972E-01,7.921E+00,2.256E+00,3.142E+00,1.059E-03,2.424E+00,2.439E+00,9.990E-02,4.371E+00,1.505E+00,-2.846E-01,6.109E+00,1.985E+00,3.142E+00,2.348E-04,2.661E+00,2.662E+00,3.191E-01,1.459E+00,1.480E+00,-3.336E-01,6.929E+00,2.162E+00,3.142E+00,1.442E-03,2.578E+00,2.601E+00,1.252E-01,3.606E+00,1.479E+00,-4.329E-01,8.487E+00,2.300E+00,3.142E+00,-1.797E-04,2.312E+00,2.309E+00,7.550E-02,5.660E+00
76,0.000E+00,1.232E-01,0.000E+00,2.128E-02,0.000E+00,2.367E-04,3.008E-04,1.022E-01,3.105E-01,1.234E-01,1.819E-01,1.752E+01,1.452E+00,-3.727E-01,7.252E+00,2.446E+00,3.142E+00,4.467E-03,2.404E+00,2.471E+00,9.989E-02,4.372E+00,1.489E+00,-2.636E-01,5.811E+00,2.051E+00,3.142E+00,2.935E-03,2.513E+00,2.559E+00,3.320E-01,1.402E+00,1.478E+00,-3.329E-01,6.812E+00,2.194E+00,3.142E+00,2.284E-03,2.552E+00,2.588E+00,1.238E-01,3.644E+00,1.483E+00,-4.146E-01,7.498E+00,2.387E+00,3.142E+00,2.903E-03,2.263E+00,2.303E+00,7.529E-02,5.675E+00
77,0.000E+00,1.300E-01,0.000E+00,2.096E-02,7.812E-07,2.398E-04,3.098E-04,1.093E-01,3.309E-01,1.302E-01,1.887E-01,1.848E+01,1.417E+00,-3.542E-01,6.868E+00,2.706E+00,3.142E+00,2.264E-03,2.415E+00,2.449E+00,9.713E-02,4.491E+00,1.463E+00,-2.535E-01,5.596E+00,2.221E+00,3.142E+00,4.610E-03,2.510E+00,2.583E+00,3.239E-01,1.437E+00,1.453E+00,-3.077E-01,6.369E+00,2.342E+00,3.142E+00,2.364E-03,2.505E+00,2.542E+00,1.247E-01,3.620E+00,1.426E+00,-4.062E-01,7.937E+00,2.638E+00,3.142E+00,8.735E-03,2.137E+00,2.249E+00,7.705E-02,5.557E+00
78,0.000E+00,1.368E-01,0.000E+00,2.064E-02,1.562E-06,2.430E-04,3.188E-04,1.164E-01,3.514E-01,1.370E-01,1.954E-01,1.945E+01,1.386E+00,-3.356E-01,6.484E+00,2.966E+00,3.142E+00,6.010E-05,2.427E+00,2.428E+00,9.437E-02,4.610E+00,1.440E+00,-2.434E-01,5.382E+00,2.392E+00,3.142E+00,6.284E-03,2.507E+00,2.607E+00,3.157E-01,1.472E+00,1.431E+00,-2.826E-01,5.926E+00,2.490E+00,3.142E+00,2.443E-03,2.459E+00,2.496E+00,1.255E-01,3.596E+00,1.374E+00,-3.977E-01,8.377E+00,2.888E+00,3.142E+00,1.457E-02,2.012E+00,2.196E+00,7.881E-02,5.440E+00
79,0.000E+00,1.432E-01,0.000E+00,1.887E-02,2.344E-06,2.461E-04,3.055E-04,1.246E-01,3.722E-01,1.435E-01,2.002E-01,2.036E+01,1.381E+00,-3.385E-01,6.799E+00,2.922E+00,3.142E+00,8.693E-03,2.197E+00,2.304E+00,9.497E-02,4.583E+00,1.414E+00,-2.412E-01,5.624E+00,2.482E+00,3.142E+00,4.981E-03,2.499E+00,2.577E+00,3.168E-01,1.467E+00,1.421E+00,-2.751E-01,5.777E+00,2.570E+00,3.142E+00,1.643E-03,2.465E+00,2.490E+00,1.265E-01,3.570E+00,1.346E+00,-3.831E-01,8.015E+00,3.138E+00,3.142E+00,1.032E-02,2.034E+00,2.163E+00,7.801E-02,5.492E+00
80,0.000E+00,1.495E-01,0.000E+00,1.710E-02,3.125E-06,2.492E-04,2.922E-04,1.328E-01,3.930E-01,1.499E-01,2.050E-01,2.127E+01,1.377E+00,-3.415E-01,7.114E+00,2.879E+00,3.142E+00,1.733E-02,1.966E+00,2.180E+00,9.558E-02,4.556E+00,1.390E+00,-2.389E-01,5.866E+00,2.572E+00,3.142E+00,3.678E-03,2.491E+00,2.548E+00,3.179E-01,1.462E+00,1.412E+00,-2.675E-01,5.628E+00,2.649E+00,3.142E+00,8.416E-04,2.472E+00,2.485E+00,1.275E-01,3.544E+00,1.322E+00,-3.685E-01,7.654E+00,3.389E+00,3.142E+00,6.063E-03,2.055E+00,2.131E+00,7.721E-02,5.544E+00
81,0.000E+00,1.539E-01,0.000E+00,1.571E-02,4.297E-06,2.426E-04,2.766E-04,1.385E-01,4.063E-01,1.542E-01,2.090E-01,2.188E+01,1.319E+00,-3.204E-01,6.908E+00,3.348E+00,3.142E+00,1.750E-02,1.917E+00,2.127E+00,9.353E-02,4.651E+00,1.325E+00,-2.179E-01,5.782E+00,3.023E+00,3.142E+00,7.221E-03,2.360E+00,2.464E+00,3.199E-01,1.454E+00,1.366E+00,-2.554E-01,5.514E+00,3.009E+00,3.142E+00,4.194E-03,2.359E+00,2.418E+00,1.260E-01,3.583E+00,1.279E+00,-3.475E-01,7.426E+00,3.793E+00,3.142E+00,7.523E-03,2.005E+00,2.096E+00,7.617E-02,5.615E+00
82,0.000E+00,1.582E-01,0.000E+00,1.431E-02,5.469E-06,2.359E-04,2.609E-04,1.443E-01,4.195E-01,1.585E-01,2.130E-01,2.250E+01,1.271E+00,-2.994E-01,6.703E+00,3.817E+00,3.142E+00,1.766E-02,1.868E+00,2.074E+00,9.149E-02,4.746E+00,1.271E+00,-1.970E-01,5.698E+00,3.473E+00,3.142E+00,1.076E-02,2.228E+00,2.379E+00,3.219E-01,1.445E+00,1.327E+00,-2.433E-01,5.400E+00,3.369E+00,3.142E+00,7.547E-03,2.245E+00,2.351E+00,1.246E-01,3.622E+00,1.241E+00,-3.265E-01,7.198E+00,4.198E+00,3.142E+00,8.983E-03,1.955E+00,2.062E+00,7.513E-02,5.686E+00
83,0.000E+00,1.553E-01,0.000E+00,1.079E-02,5.859E-06,2.191E-04,2.270E-04,1.447E-01,4.168E-01,1.555E-01,2.038E-01,2.207E+01,1.209E+00,-2.838E-01,6.505E+00,4.638E+00,3.142E+00,2.350E-02,1.740E+00,1.995E+00,9.052E-02,4.794E+00,1.224E+00,-1.863E-01,5.698E+00,3.958E+00,3.142E+00,1.673E-02,2.046E+00,2.257E+00,3.121E-01,1.490E+00,1.276E+00,-2.321E-01,5.505E+00,3.807E+00,3.142E+00,1.055E-02,2.080E+00,2.213E+00,1.221E-01,3.694E+00,1.184E+00,-3.187E-01,7.473E+00,4.843E+00,3.142E+00,4.900E-02,1.524E+00,1.964E+00,7.160E-02,5.957E+00
84,0.000E+00,1.523E-01,0.000E+00,7.259E-03,6.250E-06,2.023E-04,1.930E-04,1.452E-01,4.141E-01,1.524E-01,1.946E-01,2.164E+01,1.161E+00,-2.683E-01,6.308E+00,5.458E+00,3.142E+00,2.934E-02,1.612E+00,1.917E+00,8.954E-02,4.842E+00,1.184E+00,-1.755E-01,5.698E+00,4.443E+00,3.142E+00,2.269E-02,1.864E+00,2.135E+00,3.023E-01,1.535E+00,1.232E+00,-2.210E-01,5.610E+00,4.245E+00,3.142E+00,1.355E-02,1.915E+00,2.075E+00,1.196E-01,3.766E+00,1.134E+00,-3.109E-01,7.748E+00,5.489E+00,3.142E+00,8.901E-02,1.092E+00,1.866E+00,6.808E-02,6.227E+00
85,0.000E+00,1.255E-01,0.000E+00,4.234E-03,4.688E-06,1.820E-04,1.730E-04,1.215E-01,3.433E-01,1.257E-01,1.587E-01,1.785E+01,1.055E+00,-2.551E-01,6.641E+00,7.618E+00,3.142E+00,5.918E-02,1.352E+00,1.891E+00,8.676E-02,4.991E+00,1.096E+00,-1.731E-01,6.400E+00,5.512E+00,3.142E+00,4.615E-02,1.514E+00,1.948E+00,3.044E-01,1.525E+00,1.162E+00,-2.142E-01,5.782E+00,5.206E+00,3.142E+00,4.835E-02,1.472E+00,1.885E+00,1.152E-01,3.908E+00,9.624E-01,-2.764E-01,7.815E+00,1.013E+01,3.142E+00,8.608E-02,1.060E+00,1.781E+00,6.649E-02,6.367E+00
86,0.000E+00,9.876E-02,0.000E+00,1.208E-03,3.125E-06,1.617E-04,1.531E-04,9.790E-02,2.726E-01,9.904E-02,1.228E-01,1.406E+01,9.793E-01,-2.419E-01,6.973E+00,9.777E+00,3.142E+00,8.901E-02,1.092E+00,1.866E+00,8.397E-02,5.140E+00,1.025E+00,-1.706E-01,7.101E+00,6.581E+00,3.142E+00,6.961E-02,1.164E+00,1.762E+00,3.065E-01,1.515E+00,1.106E+00,-2.074E-01,5.955E+00,6.168E+00,3.142E+00,8.315E-02,1.029E+00,1.695E+00,1.108E-01,4.050E+00,8.692E-01,-2.419E-01,7.882E+00,1.476E+01,3.142E+00,8.315E-02,1.029E+00,1.695E+00,6.491E-02,6.507E+00
87,0.000E+00,4.982E-02,0.000E+00,6.590E-04,1.562E-06,8.086E-05,7.734E-05,4.933E-02,1.375E-01,4.993E-02,6.192E-02,7.090E+00,1.253E+00,-1.210E-01,3.487E+00,4.889E+00,1.571E+00,4.451E-02,5.460E-01,9.330E-01,4.199E-02,2.570E+00,1.330E+00,-8.531E-02,3.550E+00,3.291E+00,1.571E+00,3.480E-02,5.820E-01,8.812E-01,1.532E-01,7.574E-01,1.415E+00,-1.037E-01,2.978E+00,3.084E+00,1.571E+00,4.157E-02,5.144E-01,8.477E-01,5.538E-02,2.025E+00,1.119E+00,-1.209E-01,3.941E+00,7.381E+00,1.571E+00,4.157E-02,5.144E-01,8.477E-01,3.245E-02,3.253E+00
88,0.000E+00,8.820E-04,0.000E+00,1.102E-04,0.000E+00,0.000E+00,1.562E-06,7.617E-04,2.362E-03,8.250E-04,1.084E-03,1.222E-01,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
