alpha,H,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
0,0.000E+00,0.000E+00,2.758E-03,3.828E-04,0.000E+00,0.000E+00,0.000E+00,5.360E-03,1.117E-02,4.014E-01,1.763E+00,-1.848E-02,1.567E+00,1.463E+00,3.142E+00,-1.091E-03,2.520E+00,2.503E+00,8.930E-02,3.508E+00,1.699E+00,-3.014E-02,1.764E+00,1.655E+00,3.142E+00,-7.452E-03,2.819E+00,2.690E+00,2.116E-01,1.744E+00,1.720E+00,2.536E-02,1.467E+00,1.684E+00,3.142E+00,-3.743E-03,2.726E+00,2.663E+00,1.226E-01,2.937E+00
1,0.000E+00,0.000E+00,2.776E-03,3.885E-04,0.000E+00,0.000E+00,2.441E-07,5.401E-03,1.127E-02,4.045E-01,1.762E+00,-2.832E-02,1.615E+00,1.471E+00,3.142E+00,-1.494E-03,2.531E+00,2.508E+00,8.948E-02,3.502E+00,1.693E+00,-2.946E-02,1.748E+00,1.700E+00,3.142E+00,-6.544E-03,2.792E+00,2.678E+00,2.109E-01,1.749E+00,1.697E+00,1.137E-02,1.547E+00,1.716E+00,3.142E+00,-3.515E-03,2.716E+00,2.657E+00,1.228E-01,2.934E+00
2,0.000E+00,0.000E+00,2.794E-03,3.943E-04,0.000E+00,0.000E+00,4.883E-07,5.441E-03,1.136E-02,4.076E-01,1.762E+00,-3.817E-02,1.664E+00,1.479E+00,3.142E+00,-1.897E-03,2.543E+00,2.513E+00,8.966E-02,3.496E+00,1.687E+00,-2.877E-02,1.731E+00,1.744E+00,3.142E+00,-5.635E-03,2.765E+00,2.667E+00,2.103E-01,1.753E+00,1.678E+00,-2.618E-03,1.628E+00,1.749E+00,3.142E+00,-3.287E-03,2.707E+00,2.651E+00,1.229E-01,2.931E+00
3,0.000E+00,0.000E+00,2.813E-03,4.000E-04,0.000E+00,0.000E+00,7.324E-07,5.482E-03,1.146E-02,4.108E-01,1.761E+00,-4.801E-02,1.713E+00,1.488E+00,3.142E+00,-2.300E-03,2.554E+00,2.518E+00,8.984E-02,3.491E+00,1.681E+00,-2.809E-02,1.715E+00,1.789E+00,3.142E+00,-4.727E-03,2.738E+00,2.655E+00,2.097E-01,1.758E+00,1.672E+00,-1.661E-02,1.709E+00,1.781E+00,3.142E+00,-3.059E-03,2.697E+00,2.645E+00,1.231E-01,2.927E+00
4,0.000E+00,0.000E+00,2.822E-03,4.029E-04,0.000E+00,0.000E+00,8.545E-07,5.502E-03,1.151E-02,4.124E-01,1.761E+00,-5.293E-02,1.737E+00,1.492E+00,3.142E+00,-2.501E-03,2.560E+00,2.520E+00,8.993E-02,3.488E+00,1.679E+00,-2.775E-02,1.707E+00,1.812E+00,3.142E+00,-4.273E-03,2.724E+00,2.650E+00,2.094E-01,1.760E+00,1.669E+00,-2.360E-02,1.749E+00,1.798E+00,3.142E+00,-2.945E-03,2.692E+00,2.642E+00,1.232E-01,2.926E+00
5,0.000E+00,0.000E+00,2.831E-03,4.058E-04,0.000E+00,0.000E+00,9.766E-07,5.522E-03,1.156E-02,4.139E-01,1.761E+00,-5.785E-02,1.762E+00,1.496E+00,3.142E+00,-2.703E-03,2.566E+00,2.523E+00,9.003E-02,3.485E+00,1.676E+00,-2.741E-02,1.698E+00,1.834E+00,3.142E+00,-3.819E-03,2.710E+00,2.644E+00,2.091E-01,1.762E+00,1.666E+00,-3.060E-02,1.789E+00,1.814E+00,3.142E+00,-2.831E-03,2.687E+00,2.640E+00,1.232E-01,2.924E+00
6,0.000E+00,0.000E+00,2.849E-03,4.115E-04,0.000E+00,0.000E+00,1.221E-06,5.562E-03,1.165E-02,4.171E-01,1.761E+00,-6.769E-02,1.810E+00,1.504E+00,3.142E+00,-3.106E-03,2.577E+00,2.527E+00,9.021E-02,3.480E+00,1.671E+00,-2.672E-02,1.682E+00,1.879E+00,3.142E+00,-2.910E-03,2.683E+00,2.633E+00,2.084E-01,1.767E+00,1.661E+00,-4.459E-02,1.870E+00,1.846E+00,3.142E+00,-2.603E-03,2.677E+00,2.634E+00,1.234E-01,2.921E+00
7,0.000E+00,0.000E+00,2.868E-03,4.172E-04,0.000E+00,0.000E+00,1.465E-06,5.603E-03,1.175E-02,4.202E-01,1.760E+00,-7.753E-02,1.859E+00,1.512E+00,3.142E+00,-3.508E-03,2.588E+00,2.532E+00,9.039E-02,3.474E+00,1.666E+00,-2.604E-02,1.665E+00,1.924E+00,3.142E+00,-2.002E-03,2.656E+00,2.621E+00,2.078E-01,1.771E+00,1.656E+00,-5.857E-02,1.951E+00,1.879E+00,3.142E+00,-2.375E-03,2.667E+00,2.628E+00,1.236E-01,2.918E+00
8,0.000E+00,0.000E+00,2.886E-03,4.230E-04,0.000E+00,0.000E+00,1.709E-06,5.643E-03,1.185E-02,4.234E-01,1.760E+00,-8.738E-02,1.908E+00,1.521E+00,3.142E+00,-3.911E-03,2.600E+00,2.537E+00,9.057E-02,3.469E+00,1.661E+00,-2.535E-02,1.649E+00,1.969E+00,3.142E+00,-1.093E-03,2.629E+00,2.610E+00,2.072E-01,1.776E+00,1.652E+00,-7.256E-02,2.032E+00,1.912E+00,3.142E+00,-2.148E-03,2.658E+00,2.622E+00,1.237E-01,2.915E+00
9,0.000E+00,0.000E+00,2.895E-03,4.258E-04,0.000E+00,0.000E+00,1.831E-06,5.663E-03,1.190E-02,4.249E-01,1.760E+00,-9.230E-02,1.932E+00,1.525E+00,3.142E+00,-4.113E-03,2.605E+00,2.540E+00,9.066E-02,3.466E+00,1.659E+00,-2.501E-02,1.641E+00,1.991E+00,3.142E+00,-6.389E-04,2.615E+00,2.604E+00,2.069E-01,1.778E+00,1.650E+00,-7.956E-02,2.072E+00,1.928E+00,3.142E+00,-2.034E-03,2.653E+00,2.619E+00,1.238E-01,2.913E+00
10,0.000E+00,0.000E+00,2.904E-03,4.287E-04,0.000E+00,0.000E+00,1.953E-06,5.684E-03,1.195E-02,4.265E-01,1.761E+00,-9.722E-02,1.957E+00,1.529E+00,3.142E+00,-4.314E-03,2.611E+00,2.542E+00,9.075E-02,3.463E+00,1.657E+00,-2.467E-02,1.632E+00,2.014E+00,3.142E+00,-1.847E-04,2.601E+00,2.598E+00,2.066E-01,1.780E+00,1.648E+00,-8.655E-02,2.112E+00,1.944E+00,3.142E+00,-1.920E-03,2.648E+00,2.616E+00,1.239E-01,2.912E+00
11,0.000E+00,0.000E+00,3.004E-03,4.414E-04,0.000E+00,0.000E+00,1.709E-06,5.773E-03,1.213E-02,4.347E-01,1.763E+00,-1.209E-01,2.115E+00,1.511E+00,3.142E+00,-4.358E-03,2.613E+00,2.544E+00,9.016E-02,3.482E+00,1.648E+00,-5.313E-02,1.860E+00,1.992E+00,3.142E+00,8.758E-06,2.597E+00,2.597E+00,2.072E-01,1.776E+00,1.647E+00,-9.795E-02,2.179E+00,1.953E+00,3.142E+00,-2.107E-03,2.653E+00,2.619E+00,1.228E-01,2.935E+00
12,0.000E+00,0.000E+00,3.104E-03,4.541E-04,0.000E+00,0.000E+00,1.465E-06,5.863E-03,1.231E-02,4.428E-01,1.768E+00,-1.446E-01,2.273E+00,1.492E+00,3.142E+00,-4.402E-03,2.616E+00,2.545E+00,8.958E-02,3.500E+00,1.643E+00,-8.159E-02,2.088E+00,1.969E+00,3.142E+00,2.022E-04,2.592E+00,2.595E+00,2.077E-01,1.772E+00,1.647E+00,-1.094E-01,2.246E+00,1.963E+00,3.142E+00,-2.295E-03,2.659E+00,2.621E+00,1.217E-01,2.958E+00
13,0.000E+00,0.000E+00,3.203E-03,4.668E-04,0.000E+00,0.000E+00,1.221E-06,5.952E-03,1.250E-02,4.509E-01,1.773E+00,-1.683E-01,2.431E+00,1.474E+00,3.142E+00,-4.446E-03,2.618E+00,2.547E+00,8.900E-02,3.519E+00,1.641E+00,-1.101E-01,2.315E+00,1.947E+00,3.142E+00,3.957E-04,2.587E+00,2.593E+00,2.083E-01,1.768E+00,1.647E+00,-1.208E-01,2.312E+00,1.972E+00,3.142E+00,-2.483E-03,2.664E+00,2.623E+00,1.206E-01,2.981E+00
14,0.000E+00,0.000E+00,3.253E-03,4.731E-04,0.000E+00,0.000E+00,1.099E-06,5.997E-03,1.259E-02,4.550E-01,1.777E+00,-1.802E-01,2.510E+00,1.465E+00,3.142E+00,-4.468E-03,2.620E+00,2.548E+00,8.871E-02,3.528E+00,1.641E+00,-1.243E-01,2.429E+00,1.936E+00,3.142E+00,4.925E-04,2.585E+00,2.593E+00,2.086E-01,1.766E+00,1.647E+00,-1.265E-01,2.346E+00,1.976E+00,3.142E+00,-2.576E-03,2.667E+00,2.624E+00,1.201E-01,2.993E+00
15,0.000E+00,0.000E+00,3.303E-03,4.795E-04,0.000E+00,0.000E+00,9.766E-07,6.042E-03,1.268E-02,4.591E-01,1.780E+00,-1.920E-01,2.589E+00,1.456E+00,3.142E+00,-4.490E-03,2.621E+00,2.549E+00,8.841E-02,3.537E+00,1.642E+00,-1.385E-01,2.543E+00,1.925E+00,3.142E+00,5.892E-04,2.582E+00,2.592E+00,2.089E-01,1.763E+00,1.647E+00,-1.322E-01,2.379E+00,1.981E+00,3.142E+00,-2.670E-03,2.670E+00,2.625E+00,1.195E-01,3.004E+00
16,0.000E+00,0.000E+00,3.403E-03,4.922E-04,0.000E+00,0.000E+00,7.324E-07,6.131E-03,1.287E-02,4.672E-01,1.788E+00,-2.157E-01,2.747E+00,1.438E+00,3.142E+00,-4.534E-03,2.623E+00,2.550E+00,8.783E-02,3.556E+00,1.645E+00,-1.670E-01,2.771E+00,1.903E+00,3.142E+00,7.827E-04,2.577E+00,2.590E+00,2.095E-01,1.759E+00,1.647E+00,-1.436E-01,2.446E+00,1.990E+00,3.142E+00,-2.858E-03,2.675E+00,2.628E+00,1.184E-01,3.027E+00
17,0.000E+00,0.000E+00,3.503E-03,5.049E-04,0.000E+00,0.000E+00,4.883E-07,6.220E-03,1.305E-02,4.754E-01,1.797E+00,-2.394E-01,2.905E+00,1.419E+00,3.142E+00,-4.578E-03,2.626E+00,2.552E+00,8.725E-02,3.574E+00,1.650E+00,-1.954E-01,2.999E+00,1.880E+00,3.142E+00,9.762E-04,2.573E+00,2.588E+00,2.101E-01,1.755E+00,1.648E+00,-1.550E-01,2.513E+00,1.999E+00,3.142E+00,-3.045E-03,2.681E+00,2.630E+00,1.174E-01,3.050E+00
18,0.000E+00,0.000E+00,3.602E-03,5.176E-04,0.000E+00,0.000E+00,2.441E-07,6.310E-03,1.323E-02,4.835E-01,1.806E+00,-2.631E-01,3.063E+00,1.401E+00,3.142E+00,-4.622E-03,2.628E+00,2.553E+00,8.666E-02,3.593E+00,1.657E+00,-2.239E-01,3.226E+00,1.858E+00,3.142E+00,1.170E-03,2.568E+00,2.587E+00,2.106E-01,1.751E+00,1.648E+00,-1.664E-01,2.579E+00,2.009E+00,3.142E+00,-3.233E-03,2.686E+00,2.632E+00,1.163E-01,3.074E+00
19,0.000E+00,0.000E+00,3.652E-03,5.239E-04,0.000E+00,0.000E+00,1.221E-07,6.355E-03,1.333E-02,4.876E-01,1.811E+00,-2.750E-01,3.142E+00,1.392E+00,3.142E+00,-4.644E-03,2.629E+00,2.554E+00,8.637E-02,3.602E+00,1.661E+00,-2.381E-01,3.340E+00,1.847E+00,3.142E+00,1.266E-03,2.566E+00,2.586E+00,2.109E-01,1.749E+00,1.648E+00,-1.721E-01,2.613E+00,2.013E+00,3.142E+00,-3.327E-03,2.689E+00,2.633E+00,1.157E-01,3.085E+00
20,0.000E+00,0.000E+00,3.702E-03,5.303E-04,0.000E+00,0.000E+00,0.000E+00,6.399E-03,1.342E-02,4.917E-01,1.816E+00,-2.868E-01,3.221E+00,1.383E+00,3.142E+00,-4.666E-03,2.631E+00,2.555E+00,8.608E-02,3.611E+00,1.665E+00,-2.524E-01,3.454E+00,1.836E+00,3.142E+00,1.363E-03,2.563E+00,2.585E+00,2.112E-01,1.747E+00,1.648E+00,-1.778E-01,2.646E+00,2.018E+00,3.142E+00,-3.421E-03,2.691E+00,2.634E+00,1.152E-01,3.097E+00
21,0.000E+00,0.000E+00,3.773E-03,5.005E-04,0.000E+00,0.000E+00,0.000E+00,6.678E-03,1.397E-02,5.089E-01,1.814E+00,-2.928E-01,3.254E+00,1.399E+00,3.142E+00,-4.468E-03,2.629E+00,2.557E+00,8.542E-02,3.634E+00,1.663E+00,-2.494E-01,3.385E+00,1.862E+00,3.142E+00,6.308E-04,2.575E+00,2.585E+00,2.100E-01,1.756E+00,1.649E+00,-1.889E-01,2.732E+00,2.015E+00,3.142E+00,-3.252E-03,2.697E+00,2.643E+00,1.151E-01,3.099E+00
22,0.000E+00,0.000E+00,3.844E-03,4.707E-04,0.000E+00,0.000E+00,0.000E+00,6.957E-03,1.452E-02,5.262E-01,1.812E+00,-2.987E-01,3.287E+00,1.415E+00,3.142E+00,-4.270E-03,2.627E+00,2.558E+00,8.477E-02,3.657E+00,1.662E+00,-2.465E-01,3.316E+00,1.889E+00,3.142E+00,-1.015E-04,2.588E+00,2.586E+00,2.087E-01,1.765E+00,1.649E+00,-2.000E-01,2.817E+00,2.012E+00,3.142E+00,-3.084E-03,2.703E+00,2.651E+00,1.150E-01,3.101E+00
23,0.000E+00,0.000E+00,3.914E-03,4.409E-04,0.000E+00,0.000E+00,0.000E+00,7.235E-03,1.507E-02,5.435E-01,1.810E+00,-3.047E-01,3.320E+00,1.431E+00,3.142E+00,-4.072E-03,2.625E+00,2.560E+00,8.411E-02,3.680E+00,1.660E+00,-2.436E-01,3.247E+00,1.916E+00,3.142E+00,-8.338E-04,2.600E+00,2.586E+00,2.075E-01,1.774E+00,1.650E+00,-2.111E-01,2.903E+00,2.009E+00,3.142E+00,-2.916E-03,2.709E+00,2.660E+00,1.149E-01,3.104E+00
24,0.000E+00,0.000E+00,3.950E-03,4.260E-04,0.000E+00,0.000E+00,0.000E+00,7.375E-03,1.534E-02,5.521E-01,1.809E+00,-3.077E-01,3.337E+00,1.439E+00,3.142E+00,-3.973E-03,2.624E+00,2.560E+00,8.379E-02,3.692E+00,1.660E+00,-2.422E-01,3.213E+00,1.929E+00,3.142E+00,-1.200E-03,2.606E+00,2.586E+00,2.068E-01,1.779E+00,1.651E+00,-2.167E-01,2.946E+00,2.008E+00,3.142E+00,-2.831E-03,2.712E+00,2.664E+00,1.148E-01,3.105E+00
25,0.000E+00,0.000E+00,3.985E-03,4.111E-04,0.000E+00,0.000E+00,0.000E+00,7.514E-03,1.562E-02,5.608E-01,1.808E+00,-3.107E-01,3.353E+00,1.447E+00,3.142E+00,-3.874E-03,2.624E+00,2.561E+00,8.346E-02,3.703E+00,1.660E+00,-2.407E-01,3.178E+00,1.943E+00,3.142E+00,-1.566E-03,2.612E+00,2.586E+00,2.062E-01,1.784E+00,1.651E+00,-2.222E-01,2.989E+00,2.006E+00,3.142E+00,-2.747E-03,2.715E+00,2.668E+00,1.148E-01,3.106E+00
26,0.000E+00,0.000E+00,4.056E-03,3.813E-04,0.000E+00,0.000E+00,0.000E+00,7.793E-03,1.617E-02,5.780E-01,1.805E+00,-3.166E-01,3.387E+00,1.464E+00,3.142E+00,-3.676E-03,2.622E+00,2.563E+00,8.280E-02,3.726E+00,1.659E+00,-2.378E-01,3.109E+00,1.969E+00,3.142E+00,-2.298E-03,2.625E+00,2.587E+00,2.050E-01,1.793E+00,1.653E+00,-2.333E-01,3.074E+00,2.003E+00,3.142E+00,-2.579E-03,2.720E+00,2.677E+00,1.147E-01,3.108E+00
27,0.000E+00,0.000E+00,4.126E-03,3.516E-04,0.000E+00,0.000E+00,0.000E+00,8.072E-03,1.672E-02,5.953E-01,1.803E+00,-3.226E-01,3.420E+00,1.480E+00,3.142E+00,-3.478E-03,2.620E+00,2.564E+00,8.215E-02,3.749E+00,1.658E+00,-2.349E-01,3.040E+00,1.996E+00,3.142E+00,-3.031E-03,2.637E+00,2.587E+00,2.037E-01,1.802E+00,1.654E+00,-2.444E-01,3.160E+00,2.000E+00,3.142E+00,-2.411E-03,2.726E+00,2.685E+00,1.146E-01,3.111E+00
28,0.000E+00,0.000E+00,4.197E-03,3.218E-04,0.000E+00,0.000E+00,0.000E+00,8.350E-03,1.727E-02,6.126E-01,1.801E+00,-3.286E-01,3.453E+00,1.496E+00,3.142E+00,-3.280E-03,2.618E+00,2.565E+00,8.149E-02,3.772E+00,1.658E+00,-2.320E-01,2.972E+00,2.023E+00,3.142E+00,-3.763E-03,2.649E+00,2.587E+00,2.025E-01,1.812E+00,1.656E+00,-2.556E-01,3.245E+00,1.997E+00,3.142E+00,-2.242E-03,2.732E+00,2.694E+00,1.145E-01,3.113E+00
29,0.000E+00,0.000E+00,4.232E-03,3.069E-04,0.000E+00,0.000E+00,0.000E+00,8.490E-03,1.754E-02,6.212E-01,1.800E+00,-3.316E-01,3.469E+00,1.504E+00,3.142E+00,-3.181E-03,2.617E+00,2.566E+00,8.116E-02,3.784E+00,1.658E+00,-2.306E-01,2.937E+00,2.036E+00,3.142E+00,-4.129E-03,2.655E+00,2.588E+00,2.018E-01,1.816E+00,1.657E+00,-2.611E-01,3.288E+00,1.996E+00,3.142E+00,-2.158E-03,2.735E+00,2.698E+00,1.144E-01,3.114E+00
30,0.000E+00,0.000E+00,4.268E-03,2.920E-04,0.000E+00,0.000E+00,0.000E+00,8.629E-03,1.782E-02,6.299E-01,1.799E+00,-3.346E-01,3.486E+00,1.512E+00,3.142E+00,-3.082E-03,2.617E+00,2.567E+00,8.083E-02,3.795E+00,1.658E+00,-2.291E-01,2.903E+00,2.049E+00,3.142E+00,-4.495E-03,2.661E+00,2.588E+00,2.012E-01,1.821E+00,1.657E+00,-2.667E-01,3.331E+00,1.994E+00,3.142E+00,-2.074E-03,2.738E+00,2.702E+00,1.144E-01,3.116E+00
31,0.000E+00,0.000E+00,4.608E-03,2.555E-04,0.000E+00,2.441E-07,4.883E-07,9.369E-03,1.916E-02,6.787E-01,1.782E+00,-3.477E-01,3.660E+00,1.568E+00,3.142E+00,-2.963E-03,2.617E+00,2.569E+00,8.027E-02,3.817E+00,1.649E+00,-2.445E-01,3.118E+00,2.052E+00,3.142E+00,-3.758E-03,2.651E+00,2.589E+00,2.001E-01,1.830E+00,1.652E+00,-2.732E-01,3.400E+00,2.021E+00,3.142E+00,-2.041E-03,2.738E+00,2.703E+00,1.134E-01,3.141E+00
32,0.000E+00,0.000E+00,4.778E-03,2.372E-04,0.000E+00,3.662E-07,7.324E-07,9.739E-03,1.983E-02,7.031E-01,1.774E+00,-3.543E-01,3.748E+00,1.596E+00,3.142E+00,-2.904E-03,2.616E+00,2.570E+00,7.998E-02,3.828E+00,1.645E+00,-2.522E-01,3.226E+00,2.054E+00,3.142E+00,-3.390E-03,2.645E+00,2.590E+00,1.995E-01,1.835E+00,1.649E+00,-2.765E-01,3.434E+00,2.034E+00,3.142E+00,-2.025E-03,2.738E+00,2.703E+00,1.128E-01,3.153E+00
33,0.000E+00,0.000E+00,4.948E-03,2.190E-04,0.000E+00,4.883E-07,9.766E-07,1.011E-02,2.050E-02,7.275E-01,1.766E+00,-3.608E-01,3.835E+00,1.624E+00,3.142E+00,-2.845E-03,2.616E+00,2.571E+00,7.970E-02,3.839E+00,1.641E+00,-2.599E-01,3.334E+00,2.055E+00,3.142E+00,-3.022E-03,2.640E+00,2.591E+00,1.989E-01,1.840E+00,1.647E+00,-2.798E-01,3.469E+00,2.048E+00,3.142E+00,-2.009E-03,2.738E+00,2.704E+00,1.123E-01,3.166E+00
34,0.000E+00,0.000E+00,5.119E-03,2.007E-04,0.000E+00,6.104E-07,1.221E-06,1.048E-02,2.117E-02,7.519E-01,1.758E+00,-3.674E-01,3.922E+00,1.652E+00,3.142E+00,-2.786E-03,2.616E+00,2.572E+00,7.941E-02,3.850E+00,1.638E+00,-2.676E-01,3.442E+00,2.057E+00,3.142E+00,-2.653E-03,2.635E+00,2.591E+00,1.983E-01,1.844E+00,1.644E+00,-2.831E-01,3.503E+00,2.061E+00,3.142E+00,-1.992E-03,2.739E+00,2.704E+00,1.118E-01,3.178E+00
35,0.000E+00,0.000E+00,5.289E-03,1.825E-04,0.000E+00,7.324E-07,1.465E-06,1.085E-02,2.184E-02,7.763E-01,1.751E+00,-3.740E-01,4.009E+00,1.680E+00,3.142E+00,-2.727E-03,2.616E+00,2.572E+00,7.913E-02,3.861E+00,1.635E+00,-2.753E-01,3.549E+00,2.058E+00,3.142E+00,-2.285E-03,2.630E+00,2.592E+00,1.977E-01,1.849E+00,1.641E+00,-2.864E-01,3.538E+00,2.075E+00,3.142E+00,-1.976E-03,2.739E+00,2.705E+00,1.113E-01,3.191E+00
36,0.000E+00,0.000E+00,5.459E-03,1.642E-04,0.000E+00,8.545E-07,1.709E-06,1.122E-02,2.251E-02,8.007E-01,1.743E+00,-3.805E-01,4.097E+00,1.707E+00,3.142E+00,-2.667E-03,2.616E+00,2.573E+00,7.884E-02,3.872E+00,1.632E+00,-2.830E-01,3.657E+00,2.060E+00,3.142E+00,-1.916E-03,2.624E+00,2.593E+00,1.972E-01,1.854E+00,1.639E+00,-2.896E-01,3.572E+00,2.088E+00,3.142E+00,-1.960E-03,2.739E+00,2.705E+00,1.108E-01,3.203E+00
37,0.000E+00,0.000E+00,5.629E-03,1.460E-04,0.000E+00,9.766E-07,1.953E-06,1.159E-02,2.319E-02,8.251E-01,1.736E+00,-3.871E-01,4.184E+00,1.735E+00,3.142E+00,-2.608E-03,2.616E+00,2.574E+00,7.856E-02,3.883E+00,1.629E+00,-2.907E-01,3.765E+00,2.061E+00,3.142E+00,-1.548E-03,2.619E+00,2.593E+00,1.966E-01,1.858E+00,1.636E+00,-2.929E-01,3.607E+00,2.101E+00,3.142E+00,-1.943E-03,2.739E+00,2.706E+00,1.103E-01,3.216E+00
38,0.000E+00,0.000E+00,5.800E-03,1.277E-04,0.000E+00,1.099E-06,2.197E-06,1.196E-02,2.386E-02,8.495E-01,1.729E+00,-3.937E-01,4.271E+00,1.763E+00,3.142E+00,-2.549E-03,2.616E+00,2.575E+00,7.827E-02,3.894E+00,1.627E+00,-2.983E-01,3.873E+00,2.063E+00,3.142E+00,-1.179E-03,2.614E+00,2.594E+00,1.960E-01,1.863E+00,1.634E+00,-2.962E-01,3.641E+00,2.115E+00,3.142E+00,-1.927E-03,2.739E+00,2.706E+00,1.098E-01,3.228E+00
39,0.000E+00,0.000E+00,5.970E-03,1.095E-04,0.000E+00,1.221E-06,2.441E-06,1.233E-02,2.453E-02,8.739E-01,1.722E+00,-4.003E-01,4.359E+00,1.791E+00,3.142E+00,-2.490E-03,2.616E+00,2.576E+00,7.799E-02,3.905E+00,1.625E+00,-3.060E-01,3.980E+00,2.064E+00,3.142E+00,-8.111E-04,2.608E+00,2.595E+00,1.954E-01,1.868E+00,1.631E+00,-2.995E-01,3.676E+00,2.128E+00,3.142E+00,-1.911E-03,2.739E+00,2.707E+00,1.093E-01,3.241E+00
40,0.000E+00,0.000E+00,6.140E-03,9.125E-05,0.000E+00,1.343E-06,2.686E-06,1.270E-02,2.520E-02,8.983E-01,1.716E+00,-4.068E-01,4.446E+00,1.819E+00,3.142E+00,-2.430E-03,2.616E+00,2.577E+00,7.770E-02,3.916E+00,1.623E+00,-3.137E-01,4.088E+00,2.066E+00,3.142E+00,-4.426E-04,2.603E+00,2.595E+00,1.948E-01,1.872E+00,1.629E+00,-3.028E-01,3.710E+00,2.142E+00,3.142E+00,-1.894E-03,2.740E+00,2.707E+00,1.088E-01,3.253E+00
