alpha,H,He,Mg,Al,O,Mg_1,O_1,Al_2,O_2,amu/ion,phiK_Al,phiTilt_Al,phiM_Al,phiN_Al,thetaK_Al,thetaTilt_Al,thetaM_Al,thetaN_Al,energyK_Al,energyE_Al,phiK_Mg,phiTilt_Mg,phiM_Mg,phiN_Mg,thetaK_Mg,thetaTilt_Mg,thetaM_Mg,thetaN_Mg,energyK_Mg,energyE_Mg,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
51,0.000E+00,0.000E+00,8.790E-03,0.000E+00,0.000E+00,8.789E-06,1.074E-05,1.838E-02,3.636E-02,1.292E+00,1.637E+00,-4.726E-01,5.748E+00,2.108E+00,3.142E+00,-2.925E-03,2.704E+00,2.655E+00,7.607E-02,3.980E+00,1.614E+00,-3.452E-01,4.292E+00,2.178E+00,3.142E+00,-1.544E-03,2.807E+00,2.780E+00,1.853E-01,1.954E+00,1.615E+00,-3.741E-01,4.792E+00,2.114E+00,3.142E+00,-6.594E-04,2.725E+00,2.713E+00,1.053E-01,3.340E+00
52,0.000E+00,0.000E+00,9.376E-03,0.000E+00,0.000E+00,7.813E-06,1.221E-05,1.957E-02,3.847E-02,1.372E+00,1.631E+00,-5.018E-01,6.375E+00,2.107E+00,3.142E+00,-2.255E-03,2.676E+00,2.639E+00,7.583E-02,3.990E+00,1.611E+00,-3.570E-01,4.387E+00,2.206E+00,3.142E+00,-2.604E-03,2.754E+00,2.710E+00,1.859E-01,1.948E+00,1.614E+00,-3.616E-01,4.544E+00,2.155E+00,3.142E+00,-8.216E-04,2.773E+00,2.759E+00,1.055E-01,3.335E+00
53,0.000E+00,0.000E+00,9.670E-03,0.000E+00,0.000E+00,7.324E-06,1.294E-05,2.016E-02,3.953E-02,1.412E+00,1.629E+00,-5.164E-01,6.688E+00,2.106E+00,3.142E+00,-1.919E-03,2.662E+00,2.630E+00,7.571E-02,3.995E+00,1.610E+00,-3.629E-01,4.434E+00,2.220E+00,3.142E+00,-3.134E-03,2.728E+00,2.675E+00,1.863E-01,1.945E+00,1.613E+00,-3.553E-01,4.420E+00,2.175E+00,3.142E+00,-9.028E-04,2.798E+00,2.782E+00,1.056E-01,3.332E+00
54,0.000E+00,0.000E+00,9.963E-03,0.000E+00,0.000E+00,6.836E-06,1.367E-05,2.075E-02,4.058E-02,1.452E+00,1.627E+00,-5.310E-01,7.001E+00,2.105E+00,3.142E+00,-1.584E-03,2.648E+00,2.622E+00,7.559E-02,4.000E+00,1.609E+00,-3.688E-01,4.482E+00,2.234E+00,3.142E+00,-3.664E-03,2.701E+00,2.640E+00,1.866E-01,1.942E+00,1.613E+00,-3.491E-01,4.296E+00,2.195E+00,3.142E+00,-9.839E-04,2.822E+00,2.805E+00,1.057E-01,3.330E+00
55,0.000E+00,0.000E+00,1.068E-02,0.000E+00,0.000E+00,1.025E-05,1.904E-05,2.211E-02,4.344E-02,1.551E+00,1.636E+00,-5.308E-01,7.065E+00,2.046E+00,3.142E+00,-1.152E-03,2.646E+00,2.627E+00,7.558E-02,4.000E+00,1.614E+00,-3.725E-01,4.550E+00,2.198E+00,3.142E+00,-4.994E-03,2.857E+00,2.766E+00,1.876E-01,1.933E+00,1.609E+00,-3.748E-01,4.787E+00,2.156E+00,3.142E+00,-1.953E-03,2.858E+00,2.823E+00,1.047E-01,3.356E+00
56,0.000E+00,0.000E+00,1.103E-02,0.000E+00,0.000E+00,1.196E-05,2.173E-05,2.279E-02,4.487E-02,1.601E+00,1.641E+00,-5.307E-01,7.097E+00,2.016E+00,3.142E+00,-9.364E-04,2.645E+00,2.629E+00,7.558E-02,4.000E+00,1.616E+00,-3.743E-01,4.584E+00,2.181E+00,3.142E+00,-5.660E-03,2.934E+00,2.829E+00,1.882E-01,1.928E+00,1.608E+00,-3.877E-01,5.033E+00,2.136E+00,3.142E+00,-2.438E-03,2.876E+00,2.832E+00,1.042E-01,3.369E+00
57,0.000E+00,0.000E+00,1.139E-02,0.000E+00,0.000E+00,1.367E-05,2.441E-05,2.348E-02,4.629E-02,1.651E+00,1.646E+00,-5.306E-01,7.129E+00,1.987E+00,3.142E+00,-7.204E-04,2.643E+00,2.631E+00,7.558E-02,4.001E+00,1.618E+00,-3.761E-01,4.619E+00,2.163E+00,3.142E+00,-6.325E-03,3.012E+00,2.892E+00,1.887E-01,1.924E+00,1.608E+00,-4.006E-01,5.279E+00,2.117E+00,3.142E+00,-2.923E-03,2.895E+00,2.841E+00,1.038E-01,3.382E+00
58,0.000E+00,0.000E+00,1.215E-02,0.000E+00,0.000E+00,1.123E-05,2.832E-05,2.519E-02,4.959E-02,1.769E+00,1.617E+00,-5.202E-01,6.771E+00,2.164E+00,3.142E+00,-1.074E-03,2.664E+00,2.646E+00,7.513E-02,4.019E+00,1.614E+00,-4.232E-01,5.591E+00,2.089E+00,3.142E+00,-2.737E-03,2.869E+00,2.816E+00,1.892E-01,1.920E+00,1.595E+00,-3.856E-01,5.018E+00,2.207E+00,3.142E+00,-2.041E-03,2.843E+00,2.806E+00,1.036E-01,3.387E+00
59,0.000E+00,0.000E+00,1.253E-02,0.000E+00,0.000E+00,1.001E-05,3.027E-05,2.604E-02,5.124E-02,1.828E+00,1.605E+00,-5.150E-01,6.593E+00,2.252E+00,3.142E+00,-1.251E-03,2.674E+00,2.653E+00,7.491E-02,4.029E+00,1.616E+00,-4.468E-01,6.078E+00,2.052E+00,3.142E+00,-9.424E-04,2.798E+00,2.779E+00,1.894E-01,1.918E+00,1.590E+00,-3.781E-01,4.887E+00,2.252E+00,3.142E+00,-1.600E-03,2.818E+00,2.789E+00,1.035E-01,3.389E+00
60,0.000E+00,0.000E+00,1.291E-02,0.000E+00,0.000E+00,8.789E-06,3.223E-05,2.690E-02,5.288E-02,1.887E+00,1.593E+00,-5.099E-01,6.414E+00,2.341E+00,3.142E+00,-1.427E-03,2.684E+00,2.660E+00,7.468E-02,4.038E+00,1.620E+00,-4.704E-01,6.564E+00,2.015E+00,3.142E+00,8.518E-04,2.727E+00,2.741E+00,1.896E-01,1.916E+00,1.584E+00,-3.706E-01,4.757E+00,2.297E+00,3.142E+00,-1.160E-03,2.792E+00,2.772E+00,1.034E-01,3.391E+00
