alpha,He,Fe,Si,O,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
62,0.000E+00,1.312E-01,6.539E-02,2.607E-01,1.334E+01,1.683E+00,-6.739E-01,1.751E+01,1.453E+00,3.142E+00,8.491E-04,2.271E+00,2.283E+00,8.880E-02,4.658E+00,1.700E+00,-3.862E-01,6.356E+00,1.426E+00,3.142E+00,-1.254E-03,2.552E+00,2.533E+00,1.993E-01,2.312E+00,1.709E+00,-5.820E-01,1.258E+01,1.368E+00,3.142E+00,2.941E-03,2.221E+00,2.261E+00,8.997E-02,4.811E+00
63,0.000E+00,1.380E-01,6.882E-02,2.743E-01,1.403E+01,1.659E+00,-6.491E-01,1.577E+01,1.543E+00,3.142E+00,2.012E-03,2.257E+00,2.285E+00,8.816E-02,4.689E+00,1.682E+00,-3.869E-01,6.544E+00,1.469E+00,3.142E+00,-6.227E-04,2.543E+00,2.533E+00,1.991E-01,2.314E+00,1.694E+00,-5.587E-01,1.151E+01,1.424E+00,3.142E+00,1.786E-03,2.233E+00,2.257E+00,9.040E-02,4.790E+00
64,0.000E+00,1.414E-01,7.053E-02,2.811E-01,1.438E+01,1.649E+00,-6.367E-01,1.490E+01,1.588E+00,3.142E+00,2.593E-03,2.251E+00,2.286E+00,8.783E-02,4.705E+00,1.673E+00,-3.873E-01,6.638E+00,1.490E+00,3.142E+00,-3.072E-04,2.538E+00,2.533E+00,1.990E-01,2.315E+00,1.687E+00,-5.470E-01,1.098E+01,1.452E+00,3.142E+00,1.208E-03,2.239E+00,2.255E+00,9.061E-02,4.779E+00
65,0.000E+00,1.448E-01,7.224E-02,2.879E-01,1.472E+01,1.641E+00,-6.243E-01,1.403E+01,1.633E+00,3.142E+00,3.175E-03,2.244E+00,2.287E+00,8.751E-02,4.720E+00,1.664E+00,-3.877E-01,6.732E+00,1.511E+00,3.142E+00,8.353E-06,2.533E+00,2.533E+00,1.989E-01,2.317E+00,1.682E+00,-5.353E-01,1.045E+01,1.480E+00,3.142E+00,6.299E-04,2.245E+00,2.254E+00,9.082E-02,4.768E+00
66,0.000E+00,1.542E-01,7.689E-02,3.064E-01,1.567E+01,1.623E+00,-6.097E-01,1.344E+01,1.695E+00,3.142E+00,5.344E-03,2.185E+00,2.254E+00,8.879E-02,4.660E+00,1.658E+00,-3.871E-01,6.859E+00,1.517E+00,3.142E+00,-7.428E-04,2.538E+00,2.527E+00,1.974E-01,2.334E+00,1.676E+00,-5.371E-01,1.068E+01,1.485E+00,3.142E+00,8.535E-04,2.258E+00,2.270E+00,9.148E-02,4.737E+00
67,0.000E+00,1.636E-01,8.154E-02,3.250E-01,1.662E+01,1.607E+00,-5.951E-01,1.285E+01,1.757E+00,3.142E+00,7.513E-03,2.126E+00,2.222E+00,9.008E-02,4.601E+00,1.651E+00,-3.866E-01,6.985E+00,1.523E+00,3.142E+00,-1.494E-03,2.544E+00,2.520E+00,1.959E-01,2.351E+00,1.671E+00,-5.389E-01,1.091E+01,1.491E+00,3.142E+00,1.077E-03,2.271E+00,2.285E+00,9.214E-02,4.706E+00
68,0.000E+00,1.730E-01,8.619E-02,3.435E-01,1.758E+01,1.592E+00,-5.804E-01,1.227E+01,1.819E+00,3.142E+00,9.681E-03,2.067E+00,2.189E+00,9.136E-02,4.541E+00,1.645E+00,-3.860E-01,7.112E+00,1.528E+00,3.142E+00,-2.245E-03,2.549E+00,2.514E+00,1.944E-01,2.368E+00,1.667E+00,-5.406E-01,1.115E+01,1.496E+00,3.142E+00,1.301E-03,2.283E+00,2.301E+00,9.279E-02,4.675E+00
69,0.000E+00,1.776E-01,8.851E-02,3.528E-01,1.805E+01,1.585E+00,-5.731E-01,1.197E+01,1.850E+00,3.142E+00,1.077E-02,2.038E+00,2.172E+00,9.200E-02,4.511E+00,1.641E+00,-3.857E-01,7.176E+00,1.531E+00,3.142E+00,-2.621E-03,2.552E+00,2.511E+00,1.937E-01,2.377E+00,1.664E+00,-5.415E-01,1.126E+01,1.498E+00,3.142E+00,1.413E-03,2.290E+00,2.309E+00,9.312E-02,4.659E+00
70,0.000E+00,1.823E-01,9.083E-02,3.621E-01,1.853E+01,1.579E+00,-5.658E-01,1.168E+01,1.881E+00,3.142E+00,1.185E-02,2.009E+00,2.156E+00,9.265E-02,4.481E+00,1.638E+00,-3.855E-01,7.239E+00,1.534E+00,3.142E+00,-2.996E-03,2.555E+00,2.508E+00,1.929E-01,2.386E+00,1.662E+00,-5.424E-01,1.138E+01,1.501E+00,3.142E+00,1.524E-03,2.296E+00,2.317E+00,9.345E-02,4.643E+00
71,0.000E+00,1.910E-01,9.512E-02,3.791E-01,1.940E+01,1.559E+00,-5.582E-01,1.179E+01,1.938E+00,3.142E+00,6.842E-03,2.079E+00,2.165E+00,9.117E-02,4.548E+00,1.624E+00,-3.555E-01,6.405E+00,1.623E+00,3.142E+00,-9.114E-04,2.503E+00,2.488E+00,1.949E-01,2.363E+00,1.623E+00,-4.948E-01,1.001E+01,1.624E+00,3.142E+00,6.932E-03,2.204E+00,2.296E+00,9.151E-02,4.737E+00
