alpha,He,Fe,Si,O,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
10,0.000E+00,3.302E-02,1.627E-02,6.525E-02,3.345E+00,2.013E+00,-3.087E-01,3.437E+00,8.093E-01,3.142E+00,1.661E-02,1.924E+00,2.124E+00,9.767E-02,4.270E+00,1.740E+00,-2.191E-02,1.423E+00,1.755E+00,3.142E+00,1.286E-03,2.392E+00,2.411E+00,2.073E-01,2.226E+00,1.800E+00,-1.129E-01,1.799E+00,1.540E+00,3.142E+00,-1.216E-04,2.282E+00,2.280E+00,9.753E-02,4.462E+00
11,0.000E+00,3.361E-02,1.661E-02,6.643E-02,3.406E+00,1.981E+00,-3.011E-01,3.308E+00,8.937E-01,3.142E+00,1.469E-02,1.959E+00,2.136E+00,9.849E-02,4.240E+00,1.738E+00,-2.984E-02,1.464E+00,1.759E+00,3.142E+00,1.026E-03,2.405E+00,2.420E+00,2.077E-01,2.223E+00,1.796E+00,-1.159E-01,1.799E+00,1.572E+00,3.142E+00,-3.953E-05,2.284E+00,2.284E+00,9.698E-02,4.486E+00
12,0.000E+00,3.420E-02,1.695E-02,6.760E-02,3.468E+00,1.953E+00,-2.936E-01,3.179E+00,9.781E-01,3.142E+00,1.276E-02,1.993E+00,2.148E+00,9.930E-02,4.209E+00,1.737E+00,-3.777E-02,1.505E+00,1.764E+00,3.142E+00,7.668E-04,2.419E+00,2.430E+00,2.080E-01,2.219E+00,1.792E+00,-1.189E-01,1.798E+00,1.604E+00,3.142E+00,4.259E-05,2.287E+00,2.288E+00,9.643E-02,4.511E+00
13,0.000E+00,3.480E-02,1.729E-02,6.878E-02,3.529E+00,1.928E+00,-2.861E-01,3.050E+00,1.062E+00,3.142E+00,1.084E-02,2.028E+00,2.160E+00,1.001E-01,4.178E+00,1.736E+00,-4.570E-02,1.546E+00,1.768E+00,3.142E+00,5.072E-04,2.432E+00,2.439E+00,2.084E-01,2.216E+00,1.788E+00,-1.219E-01,1.798E+00,1.636E+00,3.142E+00,1.247E-04,2.290E+00,2.291E+00,9.589E-02,4.535E+00
14,0.000E+00,3.509E-02,1.746E-02,6.937E-02,3.560E+00,1.917E+00,-2.823E-01,2.986E+00,1.105E+00,3.142E+00,9.881E-03,2.046E+00,2.166E+00,1.005E-01,4.163E+00,1.735E+00,-4.966E-02,1.567E+00,1.770E+00,3.142E+00,3.775E-04,2.439E+00,2.444E+00,2.085E-01,2.214E+00,1.786E+00,-1.234E-01,1.798E+00,1.652E+00,3.142E+00,1.658E-04,2.291E+00,2.293E+00,9.561E-02,4.547E+00
15,0.000E+00,3.539E-02,1.763E-02,6.996E-02,3.591E+00,1.906E+00,-2.785E-01,2.921E+00,1.147E+00,3.142E+00,8.920E-03,2.063E+00,2.172E+00,1.009E-01,4.147E+00,1.735E+00,-5.363E-02,1.587E+00,1.773E+00,3.142E+00,2.477E-04,2.446E+00,2.449E+00,2.087E-01,2.212E+00,1.785E+00,-1.249E-01,1.797E+00,1.669E+00,3.142E+00,2.068E-04,2.292E+00,2.295E+00,9.534E-02,4.560E+00
16,0.000E+00,3.598E-02,1.797E-02,7.113E-02,3.652E+00,1.887E+00,-2.710E-01,2.792E+00,1.231E+00,3.142E+00,6.998E-03,2.098E+00,2.184E+00,1.018E-01,4.116E+00,1.734E+00,-6.156E-02,1.628E+00,1.777E+00,3.142E+00,-1.190E-05,2.459E+00,2.458E+00,2.091E-01,2.209E+00,1.781E+00,-1.279E-01,1.797E+00,1.701E+00,3.142E+00,2.890E-04,2.295E+00,2.299E+00,9.479E-02,4.584E+00
17,0.000E+00,3.657E-02,1.831E-02,7.231E-02,3.714E+00,1.870E+00,-2.635E-01,2.663E+00,1.316E+00,3.142E+00,5.076E-03,2.133E+00,2.196E+00,1.026E-01,4.086E+00,1.733E+00,-6.949E-02,1.670E+00,1.782E+00,3.142E+00,-2.715E-04,2.472E+00,2.468E+00,2.094E-01,2.205E+00,1.778E+00,-1.309E-01,1.796E+00,1.733E+00,3.142E+00,3.711E-04,2.298E+00,2.303E+00,9.424E-02,4.609E+00
18,0.000E+00,3.716E-02,1.865E-02,7.348E-02,3.775E+00,1.856E+00,-2.559E-01,2.534E+00,1.400E+00,3.142E+00,3.154E-03,2.168E+00,2.207E+00,1.034E-01,4.055E+00,1.733E+00,-7.742E-02,1.711E+00,1.786E+00,3.142E+00,-5.310E-04,2.486E+00,2.477E+00,2.097E-01,2.202E+00,1.774E+00,-1.340E-01,1.796E+00,1.765E+00,3.142E+00,4.532E-04,2.300E+00,2.307E+00,9.369E-02,4.633E+00
19,0.000E+00,3.746E-02,1.882E-02,7.407E-02,3.806E+00,1.849E+00,-2.522E-01,2.470E+00,1.442E+00,3.142E+00,2.193E-03,2.185E+00,2.213E+00,1.038E-01,4.039E+00,1.732E+00,-8.139E-02,1.731E+00,1.788E+00,3.142E+00,-6.608E-04,2.492E+00,2.482E+00,2.099E-01,2.200E+00,1.773E+00,-1.355E-01,1.796E+00,1.781E+00,3.142E+00,4.943E-04,2.302E+00,2.308E+00,9.342E-02,4.645E+00
20,0.000E+00,3.775E-02,1.899E-02,7.466E-02,3.836E+00,1.843E+00,-2.484E-01,2.405E+00,1.484E+00,3.142E+00,1.232E-03,2.203E+00,2.219E+00,1.042E-01,4.024E+00,1.732E+00,-8.535E-02,1.752E+00,1.790E+00,3.142E+00,-7.906E-04,2.499E+00,2.487E+00,2.101E-01,2.198E+00,1.771E+00,-1.370E-01,1.796E+00,1.797E+00,3.142E+00,5.353E-04,2.303E+00,2.310E+00,9.314E-02,4.658E+00
21,0.000E+00,3.877E-02,1.950E-02,7.676E-02,3.941E+00,1.851E+00,-2.582E-01,2.443E+00,1.467E+00,3.142E+00,1.015E-03,2.203E+00,2.216E+00,1.030E-01,4.071E+00,1.732E+00,-9.945E-02,1.862E+00,1.757E+00,3.142E+00,-7.612E-04,2.501E+00,2.489E+00,2.094E-01,2.205E+00,1.773E+00,-1.571E-01,1.946E+00,1.751E+00,3.142E+00,-7.773E-05,2.322E+00,2.321E+00,9.338E-02,4.647E+00
22,0.000E+00,3.979E-02,2.001E-02,7.885E-02,4.046E+00,1.858E+00,-2.680E-01,2.481E+00,1.451E+00,3.142E+00,7.984E-04,2.203E+00,2.214E+00,1.018E-01,4.118E+00,1.734E+00,-1.136E-01,1.973E+00,1.724E+00,3.142E+00,-7.317E-04,2.503E+00,2.492E+00,2.088E-01,2.211E+00,1.776E+00,-1.773E-01,2.097E+00,1.705E+00,3.142E+00,-6.908E-04,2.342E+00,2.331E+00,9.362E-02,4.636E+00
23,0.000E+00,4.080E-02,2.052E-02,8.095E-02,4.150E+00,1.866E+00,-2.778E-01,2.520E+00,1.434E+00,3.142E+00,5.816E-04,2.203E+00,2.211E+00,1.006E-01,4.164E+00,1.737E+00,-1.277E-01,2.083E+00,1.690E+00,3.142E+00,-7.023E-04,2.505E+00,2.494E+00,2.082E-01,2.218E+00,1.782E+00,-1.974E-01,2.248E+00,1.659E+00,3.142E+00,-1.304E-03,2.361E+00,2.341E+00,9.386E-02,4.625E+00
24,0.000E+00,4.131E-02,2.078E-02,8.200E-02,4.202E+00,1.870E+00,-2.827E-01,2.539E+00,1.425E+00,3.142E+00,4.733E-04,2.203E+00,2.209E+00,9.999E-02,4.188E+00,1.739E+00,-1.347E-01,2.138E+00,1.674E+00,3.142E+00,-6.875E-04,2.506E+00,2.495E+00,2.078E-01,2.221E+00,1.785E+00,-2.075E-01,2.324E+00,1.637E+00,3.142E+00,-1.610E-03,2.371E+00,2.347E+00,9.398E-02,4.619E+00
25,0.000E+00,4.182E-02,2.103E-02,8.305E-02,4.255E+00,1.874E+00,-2.876E-01,2.558E+00,1.417E+00,3.142E+00,3.649E-04,2.203E+00,2.208E+00,9.939E-02,4.211E+00,1.741E+00,-1.418E-01,2.193E+00,1.657E+00,3.142E+00,-6.728E-04,2.507E+00,2.497E+00,2.075E-01,2.225E+00,1.789E+00,-2.176E-01,2.399E+00,1.614E+00,3.142E+00,-1.917E-03,2.381E+00,2.352E+00,9.410E-02,4.614E+00
26,0.000E+00,4.283E-02,2.154E-02,8.514E-02,4.359E+00,1.882E+00,-2.974E-01,2.596E+00,1.400E+00,3.142E+00,1.482E-04,2.203E+00,2.205E+00,9.818E-02,4.258E+00,1.745E+00,-1.559E-01,2.303E+00,1.624E+00,3.142E+00,-6.434E-04,2.509E+00,2.499E+00,2.069E-01,2.231E+00,1.798E+00,-2.377E-01,2.550E+00,1.568E+00,3.142E+00,-2.530E-03,2.400E+00,2.362E+00,9.434E-02,4.603E+00
27,0.000E+00,4.385E-02,2.205E-02,8.724E-02,4.464E+00,1.889E+00,-3.072E-01,2.634E+00,1.383E+00,3.142E+00,-6.854E-05,2.203E+00,2.202E+00,9.697E-02,4.305E+00,1.751E+00,-1.700E-01,2.414E+00,1.590E+00,3.142E+00,-6.139E-04,2.511E+00,2.501E+00,2.062E-01,2.238E+00,1.808E+00,-2.579E-01,2.701E+00,1.522E+00,3.142E+00,-3.143E-03,2.420E+00,2.373E+00,9.458E-02,4.592E+00
28,0.000E+00,4.486E-02,2.256E-02,8.934E-02,4.568E+00,1.897E+00,-3.170E-01,2.672E+00,1.366E+00,3.142E+00,-2.853E-04,2.203E+00,2.199E+00,9.576E-02,4.352E+00,1.757E+00,-1.841E-01,2.524E+00,1.557E+00,3.142E+00,-5.845E-04,2.513E+00,2.504E+00,2.056E-01,2.244E+00,1.820E+00,-2.780E-01,2.852E+00,1.476E+00,3.142E+00,-3.756E-03,2.439E+00,2.383E+00,9.482E-02,4.581E+00
29,0.000E+00,4.537E-02,2.282E-02,9.039E-02,4.621E+00,1.901E+00,-3.219E-01,2.691E+00,1.357E+00,3.142E+00,-3.936E-04,2.203E+00,2.198E+00,9.516E-02,4.375E+00,1.761E+00,-1.911E-01,2.579E+00,1.540E+00,3.142E+00,-5.697E-04,2.514E+00,2.505E+00,2.053E-01,2.248E+00,1.826E+00,-2.881E-01,2.927E+00,1.454E+00,3.142E+00,-4.062E-03,2.449E+00,2.388E+00,9.494E-02,4.575E+00
30,0.000E+00,4.588E-02,2.307E-02,9.143E-02,4.673E+00,1.905E+00,-3.268E-01,2.710E+00,1.349E+00,3.142E+00,-5.020E-04,2.203E+00,2.196E+00,9.455E-02,4.399E+00,1.765E+00,-1.982E-01,2.634E+00,1.524E+00,3.142E+00,-5.550E-04,2.515E+00,2.506E+00,2.049E-01,2.251E+00,1.833E+00,-2.982E-01,3.003E+00,1.431E+00,3.142E+00,-4.369E-03,2.459E+00,2.393E+00,9.506E-02,4.570E+00
31,0.000E+00,4.879E-02,2.449E-02,9.718E-02,4.967E+00,1.896E+00,-3.259E-01,2.683E+00,1.391E+00,3.142E+00,2.073E-04,2.199E+00,2.201E+00,9.437E-02,4.407E+00,1.762E+00,-1.923E-01,2.567E+00,1.548E+00,3.142E+00,-5.552E-04,2.523E+00,2.515E+00,2.046E-01,2.254E+00,1.831E+00,-3.005E-01,3.007E+00,1.443E+00,3.142E+00,-3.203E-03,2.427E+00,2.379E+00,9.501E-02,4.572E+00
32,0.000E+00,5.025E-02,2.521E-02,1.000E-01,5.115E+00,1.891E+00,-3.254E-01,2.669E+00,1.412E+00,3.142E+00,5.619E-04,2.197E+00,2.204E+00,9.427E-02,4.411E+00,1.760E+00,-1.894E-01,2.533E+00,1.561E+00,3.142E+00,-5.553E-04,2.528E+00,2.519E+00,2.045E-01,2.256E+00,1.830E+00,-3.016E-01,3.009E+00,1.450E+00,3.142E+00,-2.621E-03,2.412E+00,2.371E+00,9.499E-02,4.573E+00
33,0.000E+00,5.170E-02,2.592E-02,1.029E-01,5.262E+00,1.887E+00,-3.249E-01,2.655E+00,1.433E+00,3.142E+00,9.165E-04,2.194E+00,2.206E+00,9.418E-02,4.415E+00,1.759E+00,-1.865E-01,2.499E+00,1.573E+00,3.142E+00,-5.554E-04,2.532E+00,2.523E+00,2.043E-01,2.258E+00,1.830E+00,-3.028E-01,3.011E+00,1.456E+00,3.142E+00,-2.038E-03,2.396E+00,2.364E+00,9.496E-02,4.574E+00
34,0.000E+00,5.316E-02,2.663E-02,1.058E-01,5.409E+00,1.882E+00,-3.245E-01,2.641E+00,1.455E+00,3.142E+00,1.271E-03,2.192E+00,2.209E+00,9.409E-02,4.419E+00,1.758E+00,-1.836E-01,2.466E+00,1.585E+00,3.142E+00,-5.555E-04,2.536E+00,2.527E+00,2.042E-01,2.259E+00,1.829E+00,-3.040E-01,3.013E+00,1.462E+00,3.142E+00,-1.455E-03,2.381E+00,2.357E+00,9.494E-02,4.575E+00
35,0.000E+00,5.461E-02,2.734E-02,1.087E-01,5.556E+00,1.878E+00,-3.240E-01,2.627E+00,1.476E+00,3.142E+00,1.626E-03,2.190E+00,2.212E+00,9.400E-02,4.423E+00,1.757E+00,-1.806E-01,2.432E+00,1.598E+00,3.142E+00,-5.556E-04,2.540E+00,2.532E+00,2.040E-01,2.261E+00,1.828E+00,-3.051E-01,3.015E+00,1.468E+00,3.142E+00,-8.723E-04,2.365E+00,2.350E+00,9.492E-02,4.576E+00
36,0.000E+00,5.607E-02,2.805E-02,1.115E-01,5.703E+00,1.874E+00,-3.236E-01,2.613E+00,1.497E+00,3.142E+00,1.980E-03,2.188E+00,2.214E+00,9.390E-02,4.427E+00,1.756E+00,-1.777E-01,2.398E+00,1.610E+00,3.142E+00,-5.557E-04,2.545E+00,2.536E+00,2.039E-01,2.263E+00,1.827E+00,-3.063E-01,3.017E+00,1.475E+00,3.142E+00,-2.895E-04,2.350E+00,2.342E+00,9.489E-02,4.577E+00
37,0.000E+00,5.752E-02,2.877E-02,1.144E-01,5.851E+00,1.870E+00,-3.231E-01,2.599E+00,1.518E+00,3.142E+00,2.335E-03,2.186E+00,2.217E+00,9.381E-02,4.431E+00,1.755E+00,-1.748E-01,2.364E+00,1.622E+00,3.142E+00,-5.558E-04,2.549E+00,2.540E+00,2.037E-01,2.264E+00,1.826E+00,-3.075E-01,3.019E+00,1.481E+00,3.142E+00,2.933E-04,2.334E+00,2.335E+00,9.487E-02,4.579E+00
38,0.000E+00,5.898E-02,2.948E-02,1.173E-01,5.998E+00,1.866E+00,-3.227E-01,2.585E+00,1.539E+00,3.142E+00,2.690E-03,2.184E+00,2.219E+00,9.372E-02,4.435E+00,1.754E+00,-1.719E-01,2.331E+00,1.635E+00,3.142E+00,-5.559E-04,2.553E+00,2.544E+00,2.036E-01,2.266E+00,1.825E+00,-3.086E-01,3.021E+00,1.487E+00,3.142E+00,8.761E-04,2.318E+00,2.328E+00,9.485E-02,4.580E+00
39,0.000E+00,6.043E-02,3.019E-02,1.201E-01,6.145E+00,1.862E+00,-3.222E-01,2.571E+00,1.561E+00,3.142E+00,3.044E-03,2.182E+00,2.222E+00,9.362E-02,4.439E+00,1.753E+00,-1.690E-01,2.297E+00,1.647E+00,3.142E+00,-5.560E-04,2.557E+00,2.549E+00,2.034E-01,2.268E+00,1.824E+00,-3.098E-01,3.024E+00,1.493E+00,3.142E+00,1.459E-03,2.303E+00,2.321E+00,9.482E-02,4.581E+00
40,0.000E+00,6.189E-02,3.090E-02,1.230E-01,6.292E+00,1.858E+00,-3.218E-01,2.558E+00,1.582E+00,3.142E+00,3.399E-03,2.179E+00,2.224E+00,9.353E-02,4.443E+00,1.753E+00,-1.660E-01,2.263E+00,1.659E+00,3.142E+00,-5.561E-04,2.562E+00,2.553E+00,2.032E-01,2.269E+00,1.823E+00,-3.110E-01,3.026E+00,1.500E+00,3.142E+00,2.042E-03,2.287E+00,2.313E+00,9.480E-02,4.582E+00
41,0.000E+00,6.334E-02,3.161E-02,1.259E-01,6.439E+00,1.854E+00,-3.213E-01,2.544E+00,1.603E+00,3.142E+00,3.754E-03,2.177E+00,2.227E+00,9.344E-02,4.447E+00,1.752E+00,-1.631E-01,2.230E+00,1.672E+00,3.142E+00,-5.562E-04,2.566E+00,2.557E+00,2.031E-01,2.271E+00,1.823E+00,-3.121E-01,3.028E+00,1.506E+00,3.142E+00,2.624E-03,2.272E+00,2.306E+00,9.477E-02,4.583E+00
42,0.000E+00,6.480E-02,3.232E-02,1.288E-01,6.587E+00,1.850E+00,-3.209E-01,2.530E+00,1.624E+00,3.142E+00,4.108E-03,2.175E+00,2.230E+00,9.335E-02,4.451E+00,1.752E+00,-1.602E-01,2.196E+00,1.684E+00,3.142E+00,-5.563E-04,2.570E+00,2.561E+00,2.029E-01,2.273E+00,1.822E+00,-3.133E-01,3.030E+00,1.512E+00,3.142E+00,3.207E-03,2.256E+00,2.299E+00,9.475E-02,4.584E+00
43,0.000E+00,6.625E-02,3.304E-02,1.316E-01,6.734E+00,1.846E+00,-3.204E-01,2.516E+00,1.645E+00,3.142E+00,4.463E-03,2.173E+00,2.232E+00,9.325E-02,4.455E+00,1.751E+00,-1.573E-01,2.162E+00,1.696E+00,3.142E+00,-5.564E-04,2.574E+00,2.566E+00,2.028E-01,2.274E+00,1.821E+00,-3.144E-01,3.032E+00,1.518E+00,3.142E+00,3.790E-03,2.241E+00,2.291E+00,9.473E-02,4.585E+00
44,0.000E+00,6.771E-02,3.375E-02,1.345E-01,6.881E+00,1.843E+00,-3.200E-01,2.502E+00,1.666E+00,3.142E+00,4.817E-03,2.171E+00,2.235E+00,9.316E-02,4.459E+00,1.751E+00,-1.544E-01,2.128E+00,1.709E+00,3.142E+00,-5.565E-04,2.579E+00,2.570E+00,2.026E-01,2.276E+00,1.820E+00,-3.156E-01,3.034E+00,1.525E+00,3.142E+00,4.373E-03,2.225E+00,2.284E+00,9.470E-02,4.586E+00
45,0.000E+00,6.916E-02,3.446E-02,1.374E-01,7.028E+00,1.839E+00,-3.195E-01,2.488E+00,1.688E+00,3.142E+00,5.172E-03,2.169E+00,2.237E+00,9.307E-02,4.463E+00,1.751E+00,-1.514E-01,2.095E+00,1.721E+00,3.142E+00,-5.566E-04,2.583E+00,2.574E+00,2.025E-01,2.278E+00,1.819E+00,-3.168E-01,3.036E+00,1.531E+00,3.142E+00,4.956E-03,2.210E+00,2.277E+00,9.468E-02,4.587E+00
46,0.000E+00,7.221E-02,3.597E-02,1.435E-01,7.339E+00,1.823E+00,-3.648E-01,3.132E+00,1.623E+00,3.142E+00,4.148E-03,2.202E+00,2.257E+00,9.230E-02,4.497E+00,1.740E+00,-1.456E-01,2.060E+00,1.777E+00,3.142E+00,-1.967E-04,2.556E+00,2.552E+00,2.013E-01,2.290E+00,1.799E+00,-3.119E-01,3.095E+00,1.577E+00,3.142E+00,2.967E-03,2.262E+00,2.301E+00,9.415E-02,4.611E+00
47,0.000E+00,7.526E-02,3.749E-02,1.496E-01,7.650E+00,1.821E+00,-4.101E-01,3.776E+00,1.558E+00,3.142E+00,3.123E-03,2.236E+00,2.278E+00,9.154E-02,4.531E+00,1.730E+00,-1.397E-01,2.025E+00,1.833E+00,3.142E+00,1.632E-04,2.528E+00,2.531E+00,2.002E-01,2.303E+00,1.779E+00,-3.070E-01,3.155E+00,1.624E+00,3.142E+00,9.776E-04,2.314E+00,2.326E+00,9.363E-02,4.636E+00
48,0.000E+00,7.831E-02,3.900E-02,1.558E-01,7.961E+00,1.829E+00,-4.553E-01,4.420E+00,1.493E+00,3.142E+00,2.099E-03,2.269E+00,2.298E+00,9.078E-02,4.566E+00,1.720E+00,-1.339E-01,1.990E+00,1.889E+00,3.142E+00,5.231E-04,2.501E+00,2.509E+00,1.990E-01,2.316E+00,1.760E+00,-3.022E-01,3.214E+00,1.670E+00,3.142E+00,-1.011E-03,2.366E+00,2.350E+00,9.310E-02,4.660E+00
49,0.000E+00,7.984E-02,3.976E-02,1.589E-01,8.117E+00,1.836E+00,-4.780E-01,4.742E+00,1.460E+00,3.142E+00,1.586E-03,2.286E+00,2.308E+00,9.040E-02,4.583E+00,1.715E+00,-1.309E-01,1.972E+00,1.917E+00,3.142E+00,7.030E-04,2.488E+00,2.498E+00,1.984E-01,2.322E+00,1.750E+00,-2.997E-01,3.244E+00,1.693E+00,3.142E+00,-2.006E-03,2.392E+00,2.362E+00,9.284E-02,4.672E+00
50,0.000E+00,8.136E-02,4.052E-02,1.619E-01,8.273E+00,1.844E+00,-5.006E-01,5.064E+00,1.428E+00,3.142E+00,1.074E-03,2.303E+00,2.318E+00,9.002E-02,4.600E+00,1.710E+00,-1.280E-01,1.955E+00,1.945E+00,3.142E+00,8.830E-04,2.474E+00,2.487E+00,1.979E-01,2.329E+00,1.741E+00,-2.973E-01,3.273E+00,1.717E+00,3.142E+00,-3.000E-03,2.418E+00,2.374E+00,9.257E-02,4.684E+00
