alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
57,0.000E+00,0.000E+00,1.436E-02,0.000E+00,0.000E+00,1.046E-03,2.901E-03,7.781E-03,2.795E-02,1.573E+00,1.726E+00,-6.224E-01,8.288E+00,1.738E+00,3.142E+00,-2.553E-03,2.458E+00,2.420E+00,5.172E-02,4.397E+00,1.661E+00,-3.409E-01,3.818E+00,2.075E+00,3.142E+00,-2.278E-03,2.783E+00,2.743E+00,9.880E-02,3.524E+00,1.711E+00,-5.723E-01,7.024E+00,1.823E+00,3.142E+00,-3.609E-03,2.680E+00,2.620E+00,4.713E-02,5.675E+00
58,0.000E+00,0.000E+00,1.524E-02,0.000E+00,0.000E+00,1.317E-03,3.523E-03,8.288E-03,2.950E-02,1.686E+00,1.725E+00,-6.285E-01,8.181E+00,1.765E+00,3.142E+00,-3.506E-03,2.507E+00,2.453E+00,5.075E-02,4.455E+00,1.659E+00,-3.798E-01,4.638E+00,1.949E+00,3.142E+00,-2.376E-03,2.786E+00,2.745E+00,9.869E-02,3.527E+00,1.699E+00,-5.473E-01,6.464E+00,1.894E+00,3.142E+00,-4.241E-03,2.679E+00,2.609E+00,4.607E-02,5.773E+00
59,0.000E+00,0.000E+00,1.568E-02,0.000E+00,0.000E+00,1.453E-03,3.834E-03,8.542E-03,3.028E-02,1.743E+00,1.725E+00,-6.315E-01,8.128E+00,1.779E+00,3.142E+00,-3.982E-03,2.532E+00,2.470E+00,5.026E-02,4.484E+00,1.663E+00,-3.993E-01,5.047E+00,1.886E+00,3.142E+00,-2.424E-03,2.788E+00,2.745E+00,9.863E-02,3.529E+00,1.694E+00,-5.348E-01,6.184E+00,1.929E+00,3.142E+00,-4.558E-03,2.678E+00,2.603E+00,4.554E-02,5.822E+00
60,0.000E+00,0.000E+00,1.612E-02,0.000E+00,0.000E+00,1.589E-03,4.145E-03,8.795E-03,3.106E-02,1.799E+00,1.725E+00,-6.345E-01,8.074E+00,1.792E+00,3.142E+00,-4.459E-03,2.556E+00,2.486E+00,4.978E-02,4.513E+00,1.670E+00,-4.188E-01,5.457E+00,1.823E+00,3.142E+00,-2.473E-03,2.789E+00,2.746E+00,9.857E-02,3.531E+00,1.690E+00,-5.222E-01,5.904E+00,1.964E+00,3.142E+00,-4.874E-03,2.677E+00,2.597E+00,4.500E-02,5.871E+00
61,0.000E+00,0.000E+00,1.727E-02,0.000E+00,0.000E+00,1.627E-03,4.201E-03,9.465E-03,3.343E-02,1.923E+00,1.703E+00,-6.521E-01,8.389E+00,1.893E+00,3.142E+00,-4.482E-03,2.550E+00,2.480E+00,4.972E-02,4.516E+00,1.658E+00,-4.580E-01,6.551E+00,1.795E+00,3.142E+00,-2.260E-03,2.800E+00,2.760E+00,9.864E-02,3.528E+00,1.655E+00,-5.879E-01,7.985E+00,1.993E+00,3.142E+00,-4.121E-03,2.670E+00,2.602E+00,4.492E-02,5.880E+00
62,0.000E+00,0.000E+00,1.784E-02,0.000E+00,0.000E+00,1.647E-03,4.229E-03,9.801E-03,3.461E-02,1.985E+00,1.693E+00,-6.609E-01,8.547E+00,1.943E+00,3.142E+00,-4.493E-03,2.547E+00,2.477E+00,4.969E-02,4.518E+00,1.655E+00,-4.775E-01,7.099E+00,1.781E+00,3.142E+00,-2.153E-03,2.805E+00,2.767E+00,9.868E-02,3.527E+00,1.645E+00,-6.207E-01,9.026E+00,2.007E+00,3.142E+00,-3.745E-03,2.666E+00,2.604E+00,4.487E-02,5.884E+00
63,0.000E+00,0.000E+00,1.841E-02,0.000E+00,0.000E+00,1.666E-03,4.258E-03,1.014E-02,3.579E-02,2.046E+00,1.683E+00,-6.697E-01,8.704E+00,1.994E+00,3.142E+00,-4.505E-03,2.544E+00,2.474E+00,4.967E-02,4.520E+00,1.654E+00,-4.971E-01,7.646E+00,1.767E+00,3.142E+00,-2.046E-03,2.811E+00,2.775E+00,9.872E-02,3.526E+00,1.638E+00,-6.535E-01,1.007E+01,2.021E+00,3.142E+00,-3.369E-03,2.662E+00,2.607E+00,4.483E-02,5.888E+00
64,0.000E+00,0.000E+00,1.947E-02,0.000E+00,0.000E+00,2.214E-03,5.340E-03,1.089E-02,3.780E-02,2.206E+00,1.673E+00,-6.520E-01,7.439E+00,2.153E+00,3.142E+00,-5.706E-03,2.664E+00,2.570E+00,4.726E-02,4.681E+00,1.630E+00,-5.288E-01,9.191E+00,1.779E+00,3.142E+00,-1.616E-03,2.776E+00,2.747E+00,9.881E-02,3.524E+00,1.637E+00,-6.515E-01,9.697E+00,2.056E+00,3.142E+00,2.193E-03,2.536E+00,2.567E+00,4.511E-02,5.861E+00
65,0.000E+00,0.000E+00,2.000E-02,0.000E+00,0.000E+00,2.489E-03,5.881E-03,1.126E-02,3.880E-02,2.287E+00,1.672E+00,-6.431E-01,6.806E+00,2.233E+00,3.142E+00,-6.307E-03,2.724E+00,2.618E+00,4.605E-02,4.761E+00,1.621E+00,-5.446E-01,9.963E+00,1.785E+00,3.142E+00,-1.401E-03,2.758E+00,2.734E+00,9.885E-02,3.522E+00,1.637E+00,-6.505E-01,9.513E+00,2.073E+00,3.142E+00,4.974E-03,2.472E+00,2.547E+00,4.525E-02,5.848E+00
66,0.000E+00,0.000E+00,2.054E-02,0.000E+00,0.000E+00,2.763E-03,6.422E-03,1.164E-02,3.980E-02,2.367E+00,1.673E+00,-6.343E-01,6.173E+00,2.312E+00,3.142E+00,-6.907E-03,2.784E+00,2.666E+00,4.485E-02,4.841E+00,1.614E+00,-5.604E-01,1.074E+01,1.791E+00,3.142E+00,-1.186E-03,2.741E+00,2.720E+00,9.890E-02,3.521E+00,1.637E+00,-6.496E-01,9.329E+00,2.090E+00,3.142E+00,7.754E-03,2.409E+00,2.527E+00,4.539E-02,5.835E+00
67,0.000E+00,0.000E+00,2.211E-02,0.000E+00,0.000E+00,3.089E-03,7.148E-03,1.257E-02,4.296E-02,2.561E+00,1.630E+00,-6.925E-01,8.714E+00,2.315E+00,3.142E+00,-6.181E-03,2.746E+00,2.641E+00,4.503E-02,4.828E+00,1.585E+00,-5.809E-01,1.265E+01,1.822E+00,3.142E+00,-1.325E-03,2.735E+00,2.712E+00,9.858E-02,3.530E+00,1.618E+00,-6.984E-01,1.229E+01,2.046E+00,3.142E+00,6.771E-03,2.368E+00,2.468E+00,4.512E-02,5.860E+00
68,0.000E+00,0.000E+00,2.290E-02,0.000E+00,0.000E+00,3.253E-03,7.512E-03,1.303E-02,4.454E-02,2.659E+00,1.617E+00,-7.216E-01,9.984E+00,2.317E+00,3.142E+00,-5.818E-03,2.727E+00,2.629E+00,4.512E-02,4.822E+00,1.573E+00,-5.911E-01,1.361E+01,1.837E+00,3.142E+00,-1.394E-03,2.732E+00,2.708E+00,9.842E-02,3.535E+00,1.614E+00,-7.229E-01,1.377E+01,2.024E+00,3.142E+00,6.280E-03,2.347E+00,2.439E+00,4.499E-02,5.873E+00
69,0.000E+00,0.000E+00,2.369E-02,0.000E+00,0.000E+00,3.416E-03,7.875E-03,1.349E-02,4.612E-02,2.756E+00,1.608E+00,-7.508E-01,1.126E+01,2.319E+00,3.142E+00,-5.455E-03,2.707E+00,2.616E+00,4.521E-02,4.815E+00,1.563E+00,-6.014E-01,1.457E+01,1.853E+00,3.142E+00,-1.463E-03,2.730E+00,2.704E+00,9.826E-02,3.540E+00,1.614E+00,-7.473E-01,1.525E+01,2.003E+00,3.142E+00,5.788E-03,2.326E+00,2.409E+00,4.486E-02,5.885E+00
70,0.000E+00,0.000E+00,2.541E-02,0.000E+00,0.000E+00,3.997E-03,8.958E-03,1.461E-02,4.959E-02,2.989E+00,1.523E+00,-8.640E-01,2.931E+01,2.210E+00,3.142E+00,-4.349E-03,2.659E+00,2.587E+00,4.456E-02,4.862E+00,1.525E+00,-6.038E-01,1.570E+01,1.961E+00,3.142E+00,1.584E-03,2.647E+00,2.673E+00,9.804E-02,3.547E+00,1.547E+00,-7.784E-01,2.036E+01,2.148E+00,3.142E+00,4.151E-03,2.385E+00,2.446E+00,4.401E-02,5.969E+00
71,0.000E+00,0.000E+00,2.627E-02,0.000E+00,0.000E+00,4.287E-03,9.499E-03,1.516E-02,5.132E-02,3.105E+00,1.526E+00,-9.207E-01,3.834E+01,2.155E+00,3.142E+00,-3.797E-03,2.635E+00,2.573E+00,4.424E-02,4.886E+00,1.507E+00,-6.050E-01,1.627E+01,2.015E+00,3.142E+00,3.107E-03,2.606E+00,2.657E+00,9.793E-02,3.550E+00,1.521E+00,-7.939E-01,2.291E+01,2.220E+00,3.142E+00,3.332E-03,2.415E+00,2.464E+00,4.359E-02,6.011E+00
72,0.000E+00,0.000E+00,2.713E-02,0.000E+00,0.000E+00,4.577E-03,1.004E-02,1.572E-02,5.305E-02,3.221E+00,1.541E+00,-9.773E-01,4.736E+01,2.100E+00,3.142E+00,-3.244E-03,2.610E+00,2.558E+00,4.392E-02,4.909E+00,1.490E+00,-6.063E-01,1.683E+01,2.069E+00,3.142E+00,4.630E-03,2.565E+00,2.641E+00,9.782E-02,3.553E+00,1.497E+00,-8.095E-01,2.547E+01,2.293E+00,3.142E+00,2.513E-03,2.444E+00,2.483E+00,4.317E-02,6.053E+00
73,0.000E+00,0.000E+00,2.844E-02,0.000E+00,0.000E+00,5.072E-03,1.105E-02,1.669E-02,5.565E-02,3.408E+00,1.497E+00,-9.560E-01,4.412E+01,2.288E+00,3.142E+00,-1.534E-03,2.546E+00,2.521E+00,4.323E-02,4.962E+00,1.461E+00,-5.843E-01,1.553E+01,2.229E+00,3.142E+00,3.865E-03,2.564E+00,2.627E+00,9.690E-02,3.582E+00,1.472E+00,-8.087E-01,2.646E+01,2.388E+00,3.142E+00,2.193E-03,2.524E+00,2.558E+00,4.150E-02,6.234E+00
74,0.000E+00,0.000E+00,2.975E-02,0.000E+00,0.000E+00,5.567E-03,1.206E-02,1.766E-02,5.825E-02,3.594E+00,1.459E+00,-9.347E-01,4.088E+01,2.475E+00,3.142E+00,1.765E-04,2.482E+00,2.485E+00,4.254E-02,5.014E+00,1.436E+00,-5.624E-01,1.423E+01,2.389E+00,3.142E+00,3.100E-03,2.563E+00,2.613E+00,9.599E-02,3.610E+00,1.448E+00,-8.078E-01,2.745E+01,2.484E+00,3.142E+00,1.873E-03,2.603E+00,2.634E+00,3.984E-02,6.415E+00
75,0.000E+00,0.000E+00,3.118E-02,0.000E+00,0.000E+00,6.083E-03,1.297E-02,1.857E-02,6.108E-02,3.787E+00,1.410E+00,-9.198E-01,3.870E+01,2.755E+00,3.142E+00,-1.319E-04,2.517E+00,2.515E+00,4.125E-02,5.120E+00,1.424E+00,-5.635E-01,1.437E+01,2.460E+00,3.142E+00,3.407E-03,2.528E+00,2.582E+00,9.657E-02,3.592E+00,1.406E+00,-7.934E-01,2.775E+01,2.670E+00,3.142E+00,3.883E-03,2.476E+00,2.535E+00,3.952E-02,6.453E+00
76,0.000E+00,0.000E+00,3.261E-02,0.000E+00,0.000E+00,6.599E-03,1.387E-02,1.949E-02,6.390E-02,3.980E+00,1.367E+00,-9.050E-01,3.651E+01,3.035E+00,3.142E+00,-4.402E-04,2.552E+00,2.545E+00,3.996E-02,5.226E+00,1.411E+00,-5.647E-01,1.450E+01,2.531E+00,3.142E+00,3.714E-03,2.492E+00,2.550E+00,9.716E-02,3.574E+00,1.367E+00,-7.791E-01,2.804E+01,2.857E+00,3.142E+00,5.893E-03,2.350E+00,2.437E+00,3.920E-02,6.490E+00
77,0.000E+00,0.000E+00,3.361E-02,0.000E+00,0.000E+00,7.366E-03,1.506E-02,2.040E-02,6.625E-02,4.162E+00,1.322E+00,-8.855E-01,3.300E+01,3.411E+00,3.142E+00,2.681E-03,2.475E+00,2.515E+00,3.974E-02,5.244E+00,1.374E+00,-5.528E-01,1.448E+01,2.734E+00,3.142E+00,3.883E-03,2.454E+00,2.514E+00,9.587E-02,3.614E+00,1.317E+00,-7.719E-01,2.780E+01,3.202E+00,3.142E+00,4.681E-03,2.392E+00,2.461E+00,3.965E-02,6.438E+00
78,0.000E+00,0.000E+00,3.462E-02,0.000E+00,0.000E+00,8.134E-03,1.624E-02,2.132E-02,6.860E-02,4.344E+00,1.287E+00,-8.661E-01,2.949E+01,3.786E+00,3.142E+00,5.802E-03,2.399E+00,2.486E+00,3.953E-02,5.262E+00,1.339E+00,-5.410E-01,1.447E+01,2.938E+00,3.142E+00,4.052E-03,2.416E+00,2.477E+00,9.459E-02,3.654E+00,1.274E+00,-7.647E-01,2.756E+01,3.546E+00,3.142E+00,3.470E-03,2.434E+00,2.486E+00,4.009E-02,6.386E+00
79,0.000E+00,0.000E+00,3.504E-02,0.000E+00,0.000E+00,9.028E-03,1.798E-02,2.195E-02,6.964E-02,4.479E+00,1.241E+00,-8.717E-01,3.250E+01,4.114E+00,3.142E+00,3.976E-03,2.374E+00,2.433E+00,3.795E-02,5.409E+00,1.304E+00,-5.267E-01,1.364E+01,3.255E+00,3.142E+00,6.900E-03,2.347E+00,2.448E+00,9.415E-02,3.669E+00,1.251E+00,-7.397E-01,2.420E+01,3.849E+00,3.142E+00,7.400E-03,2.297E+00,2.400E+00,3.829E-02,6.609E+00
80,0.000E+00,0.000E+00,3.546E-02,0.000E+00,0.000E+00,9.922E-03,1.972E-02,2.259E-02,7.067E-02,4.615E+00,1.200E+00,-8.773E-01,3.551E+01,4.442E+00,3.142E+00,2.149E-03,2.349E+00,2.380E+00,3.636E-02,5.556E+00,1.275E+00,-5.125E-01,1.282E+01,3.572E+00,3.142E+00,9.748E-03,2.278E+00,2.418E+00,9.371E-02,3.683E+00,1.236E+00,-7.148E-01,2.084E+01,4.151E+00,3.142E+00,1.133E-02,2.160E+00,2.313E+00,3.649E-02,6.832E+00
81,0.000E+00,0.000E+00,3.457E-02,0.000E+00,0.000E+00,1.091E-02,2.092E-02,2.269E-02,6.960E-02,4.626E+00,1.136E+00,-8.680E-01,3.377E+01,5.303E+00,3.142E+00,2.609E-02,2.034E+00,2.355E+00,3.444E-02,5.762E+00,1.230E+00,-5.055E-01,1.277E+01,4.026E+00,3.142E+00,1.591E-02,2.107E+00,2.314E+00,9.158E-02,3.755E+00,1.168E+00,-7.202E-01,2.260E+01,4.841E+00,3.142E+00,1.467E-02,2.100E+00,2.294E+00,3.592E-02,6.910E+00
82,0.000E+00,0.000E+00,3.368E-02,0.000E+00,0.000E+00,1.190E-02,2.213E-02,2.280E-02,6.853E-02,4.637E+00,1.087E+00,-8.588E-01,3.203E+01,6.164E+00,3.142E+00,5.003E-02,1.718E+00,2.330E+00,3.252E-02,5.968E+00,1.191E+00,-4.985E-01,1.272E+01,4.480E+00,3.142E+00,2.207E-02,1.936E+00,2.211E+00,8.946E-02,3.828E+00,1.111E+00,-7.256E-01,2.437E+01,5.531E+00,3.142E+00,1.800E-02,2.041E+00,2.275E+00,3.535E-02,6.988E+00
83,0.000E+00,0.000E+00,3.007E-02,0.000E+00,0.000E+00,1.156E-02,2.086E-02,2.078E-02,6.187E-02,4.232E+00,1.037E+00,-8.392E-01,2.987E+01,7.243E+00,3.142E+00,6.952E-02,1.530E+00,2.326E+00,3.045E-02,6.232E+00,1.140E+00,-4.790E-01,1.175E+01,5.366E+00,3.142E+00,5.554E-02,1.567E+00,2.135E+00,8.708E-02,3.916E+00,1.075E+00,-7.101E-01,2.108E+01,6.531E+00,3.142E+00,5.351E-02,1.615E+00,2.147E+00,3.282E-02,7.389E+00
84,0.000E+00,0.000E+00,2.647E-02,0.000E+00,0.000E+00,1.122E-02,1.959E-02,1.877E-02,5.520E-02,3.828E+00,9.981E-01,-8.196E-01,2.770E+01,8.322E+00,3.142E+00,8.901E-02,1.341E+00,2.321E+00,2.839E-02,6.497E+00,1.104E+00,-4.595E-01,1.078E+01,6.253E+00,3.142E+00,8.901E-02,1.198E+00,2.060E+00,8.471E-02,4.005E+00,1.057E+00,-6.945E-01,1.779E+01,7.531E+00,3.142E+00,8.901E-02,1.190E+00,2.019E+00,3.028E-02,7.790E+00
85,0.000E+00,0.000E+00,1.857E-02,0.000E+00,0.000E+00,8.196E-03,1.408E-02,1.330E-02,3.893E-02,2.716E+00,1.028E+00,-8.131E-01,2.391E+01,8.111E+00,3.142E+00,8.901E-02,1.241E+00,2.131E+00,2.389E-02,7.327E+00,1.113E+00,-4.411E-01,9.518E+00,6.461E+00,3.142E+00,8.901E-02,1.075E+00,1.834E+00,8.066E-02,4.177E+00,1.081E+00,-6.933E-01,1.672E+01,7.208E+00,3.142E+00,8.901E-02,1.085E+00,1.838E+00,2.659E-02,8.604E+00
86,0.000E+00,0.000E+00,1.067E-02,0.000E+00,0.000E+00,5.175E-03,8.570E-03,7.825E-03,2.266E-02,1.604E+00,1.064E+00,-8.065E-01,2.013E+01,7.901E+00,3.142E+00,8.901E-02,1.140E+00,1.942E+00,1.940E-02,8.158E+00,1.129E+00,-4.226E-01,8.251E+00,6.669E+00,3.142E+00,8.901E-02,9.528E-01,1.608E+00,7.660E-02,4.350E+00,1.108E+00,-6.921E-01,1.564E+01,6.885E+00,3.142E+00,8.901E-02,9.796E-01,1.657E+00,2.290E-02,9.418E+00
87,0.000E+00,0.000E+00,5.342E-03,0.000E+00,0.000E+00,2.634E-03,4.382E-03,3.951E-03,1.143E-02,8.090E-01,8.696E-01,-9.181E-01,3.803E+01,1.240E+01,3.142E+00,8.901E-02,1.135E+00,1.928E+00,1.558E-02,9.441E+00,1.191E+00,-5.485E-01,1.054E+01,5.552E+00,3.142E+00,8.900E-02,8.064E-01,1.375E+00,7.385E-02,4.487E+00,1.026E+00,-7.793E-01,2.149E+01,8.321E+00,3.142E+00,-2.734E-01,1.016E+01,1.169E+00,1.972E-02,1.053E+01
88,0.000E+00,0.000E+00,1.367E-05,0.000E+00,0.000E+00,9.375E-05,1.934E-04,7.715E-05,2.070E-04,1.413E-02,7.699E-01,-1.030E+00,5.593E+01,1.689E+01,3.142E+00,8.901E-02,1.129E+00,1.915E+00,1.177E-02,1.072E+01,1.286E+00,-6.744E-01,1.282E+01,4.435E+00,3.142E+00,8.900E-02,6.601E-01,1.143E+00,7.110E-02,4.623E+00,9.700E-01,-8.666E-01,2.734E+01,9.756E+00,3.142E+00,-6.359E-01,1.934E+01,6.806E-01,1.653E-02,1.164E+01
89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.953E-06,9.766E-07,0.000E+00,1.000E-03,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
