alpha,H,He,Fe,Si,O,Fe_1,O_1,Si_2,O_2,amu/ion,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
27,0.000E+00,0.000E+00,6.246E-03,0.000E+00,0.000E+00,3.101E-05,1.299E-04,3.135E-03,1.219E-02,6.364E-01,1.766E+00,-1.552E-01,1.907E+00,1.808E+00,3.142E+00,-5.082E-03,2.492E+00,2.416E+00,5.714E-02,4.106E+00,1.677E+00,-1.724E-01,2.613E+00,1.851E+00,3.142E+00,-3.185E-03,2.772E+00,2.717E+00,1.036E-01,3.386E+00,1.722E+00,-2.182E-01,2.809E+00,1.713E+00,3.142E+00,-2.651E-03,2.615E+00,2.573E+00,5.353E-02,5.164E+00
28,0.000E+00,0.000E+00,6.407E-03,0.000E+00,0.000E+00,3.308E-05,1.392E-04,3.202E-03,1.247E-02,6.519E-01,1.761E+00,-1.541E-01,1.880E+00,1.855E+00,3.142E+00,-4.694E-03,2.477E+00,2.407E+00,5.696E-02,4.115E+00,1.682E+00,-1.804E-01,2.649E+00,1.840E+00,3.142E+00,-3.135E-03,2.765E+00,2.711E+00,1.032E-01,3.397E+00,1.737E+00,-2.538E-01,3.071E+00,1.656E+00,3.142E+00,-2.496E-03,2.639E+00,2.599E+00,5.367E-02,5.154E+00
29,0.000E+00,0.000E+00,6.487E-03,0.000E+00,0.000E+00,3.412E-05,1.438E-04,3.235E-03,1.261E-02,6.597E-01,1.758E+00,-1.535E-01,1.867E+00,1.879E+00,3.142E+00,-4.499E-03,2.470E+00,2.402E+00,5.686E-02,4.120E+00,1.684E+00,-1.845E-01,2.666E+00,1.834E+00,3.142E+00,-3.110E-03,2.762E+00,2.708E+00,1.030E-01,3.403E+00,1.746E+00,-2.716E-01,3.202E+00,1.627E+00,3.142E+00,-2.419E-03,2.651E+00,2.612E+00,5.374E-02,5.149E+00
30,0.000E+00,0.000E+00,6.567E-03,0.000E+00,0.000E+00,3.516E-05,1.484E-04,3.269E-03,1.275E-02,6.675E-01,1.756E+00,-1.530E-01,1.854E+00,1.903E+00,3.142E+00,-4.305E-03,2.462E+00,2.398E+00,5.677E-02,4.124E+00,1.687E+00,-1.885E-01,2.684E+00,1.829E+00,3.142E+00,-3.085E-03,2.759E+00,2.706E+00,1.028E-01,3.408E+00,1.755E+00,-2.894E-01,3.334E+00,1.599E+00,3.142E+00,-2.342E-03,2.663E+00,2.624E+00,5.381E-02,5.144E+00
31,0.000E+00,0.000E+00,6.945E-03,0.000E+00,0.000E+00,7.788E-05,2.621E-04,3.481E-03,1.353E-02,7.112E-01,1.743E+00,-1.907E-01,2.210E+00,1.855E+00,3.142E+00,-3.502E-03,2.446E+00,2.394E+00,5.642E-02,4.143E+00,1.689E+00,-2.004E-01,2.762E+00,1.828E+00,3.142E+00,-2.624E-03,2.757E+00,2.712E+00,1.025E-01,3.417E+00,1.760E+00,-3.000E-01,3.353E+00,1.610E+00,3.142E+00,-2.530E-03,2.658E+00,2.616E+00,5.287E-02,5.219E+00
32,0.000E+00,0.000E+00,7.133E-03,0.000E+00,0.000E+00,9.924E-05,3.189E-04,3.587E-03,1.392E-02,7.330E-01,1.740E+00,-2.096E-01,2.388E+00,1.832E+00,3.142E+00,-3.100E-03,2.438E+00,2.392E+00,5.624E-02,4.152E+00,1.690E+00,-2.064E-01,2.800E+00,1.828E+00,3.142E+00,-2.393E-03,2.756E+00,2.715E+00,1.024E-01,3.421E+00,1.762E+00,-3.053E-01,3.362E+00,1.616E+00,3.142E+00,-2.624E-03,2.655E+00,2.612E+00,5.240E-02,5.257E+00
33,0.000E+00,0.000E+00,7.322E-03,0.000E+00,0.000E+00,1.206E-04,3.757E-04,3.693E-03,1.432E-02,7.549E-01,1.738E+00,-2.285E-01,2.566E+00,1.808E+00,3.142E+00,-2.698E-03,2.430E+00,2.389E+00,5.607E-02,4.161E+00,1.691E+00,-2.124E-01,2.839E+00,1.828E+00,3.142E+00,-2.163E-03,2.756E+00,2.718E+00,1.022E-01,3.426E+00,1.764E+00,-3.105E-01,3.372E+00,1.621E+00,3.142E+00,-2.719E-03,2.652E+00,2.608E+00,5.194E-02,5.295E+00
34,0.000E+00,0.000E+00,7.510E-03,0.000E+00,0.000E+00,1.420E-04,4.326E-04,3.800E-03,1.471E-02,7.767E-01,1.738E+00,-2.474E-01,2.745E+00,1.784E+00,3.142E+00,-2.296E-03,2.422E+00,2.387E+00,5.589E-02,4.170E+00,1.692E+00,-2.183E-01,2.878E+00,1.828E+00,3.142E+00,-1.933E-03,2.755E+00,2.721E+00,1.020E-01,3.430E+00,1.766E+00,-3.158E-01,3.381E+00,1.627E+00,3.142E+00,-2.813E-03,2.650E+00,2.604E+00,5.147E-02,5.332E+00
35,0.000E+00,0.000E+00,7.699E-03,0.000E+00,0.000E+00,1.633E-04,4.894E-04,3.906E-03,1.510E-02,7.986E-01,1.740E+00,-2.663E-01,2.923E+00,1.760E+00,3.142E+00,-1.894E-03,2.414E+00,2.385E+00,5.571E-02,4.180E+00,1.693E+00,-2.243E-01,2.917E+00,1.827E+00,3.142E+00,-1.702E-03,2.754E+00,2.724E+00,1.019E-01,3.434E+00,1.768E+00,-3.211E-01,3.391E+00,1.633E+00,3.142E+00,-2.907E-03,2.647E+00,2.600E+00,5.100E-02,5.370E+00
36,0.000E+00,0.000E+00,7.888E-03,0.000E+00,0.000E+00,1.847E-04,5.462E-04,4.012E-03,1.549E-02,8.204E-01,1.742E+00,-2.852E-01,3.101E+00,1.736E+00,3.142E+00,-1.492E-03,2.406E+00,2.383E+00,5.554E-02,4.189E+00,1.694E+00,-2.302E-01,2.955E+00,1.827E+00,3.142E+00,-1.472E-03,2.753E+00,2.728E+00,1.017E-01,3.439E+00,1.770E+00,-3.264E-01,3.401E+00,1.638E+00,3.142E+00,-3.001E-03,2.645E+00,2.596E+00,5.053E-02,5.408E+00
