alpha,He,Ca,Si,O,Ca_1,O_1,Si_2,O_2,amu/ion,phiK_Ca,phiTilt_Ca,phiM_Ca,phiN_Ca,thetaK_Ca,thetaTilt_Ca,thetaM_Ca,thetaN_Ca,energyK_Ca,energyE_Ca,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
26,0.000E+00,0.000E+00,1.182E-02,0.000E+00,2.404E-02,3.027E-02,1.226E-02,4.169E-02,2.791E+00,1.789E+00,-2.734E-01,2.663E+00,1.679E+00,3.142E+00,8.640E-03,2.245E+00,2.363E+00,1.181E-01,3.663E+00,1.697E+00,-1.664E-01,2.359E+00,1.883E+00,3.142E+00,-5.924E-04,2.585E+00,2.576E+00,1.244E-01,3.628E+00,1.754E+00,-3.015E-01,3.100E+00,1.742E+00,3.142E+00,-1.216E-03,2.320E+00,2.303E+00,8.185E-02,5.252E+00
27,0.000E+00,0.000E+00,1.202E-02,0.000E+00,2.469E-02,3.092E-02,1.272E-02,4.303E-02,2.867E+00,1.795E+00,-2.702E-01,2.557E+00,1.695E+00,3.142E+00,6.923E-03,2.272E+00,2.367E+00,1.180E-01,3.664E+00,1.694E+00,-1.692E-01,2.370E+00,1.904E+00,3.142E+00,-4.699E-04,2.589E+00,2.581E+00,1.240E-01,3.639E+00,1.745E+00,-3.062E-01,3.148E+00,1.784E+00,3.142E+00,-1.549E-03,2.325E+00,2.303E+00,8.188E-02,5.251E+00
28,0.000E+00,0.000E+00,1.222E-02,0.000E+00,2.533E-02,3.157E-02,1.318E-02,4.437E-02,2.944E+00,1.801E+00,-2.670E-01,2.450E+00,1.711E+00,3.142E+00,5.206E-03,2.298E+00,2.371E+00,1.180E-01,3.666E+00,1.692E+00,-1.720E-01,2.381E+00,1.925E+00,3.142E+00,-3.473E-04,2.592E+00,2.587E+00,1.236E-01,3.651E+00,1.735E+00,-3.110E-01,3.195E+00,1.825E+00,3.142E+00,-1.883E-03,2.330E+00,2.304E+00,8.190E-02,5.249E+00
29,0.000E+00,0.000E+00,1.232E-02,0.000E+00,2.566E-02,3.190E-02,1.341E-02,4.505E-02,2.982E+00,1.805E+00,-2.655E-01,2.397E+00,1.719E+00,3.142E+00,4.347E-03,2.312E+00,2.373E+00,1.180E-01,3.667E+00,1.690E+00,-1.735E-01,2.386E+00,1.936E+00,3.142E+00,-2.860E-04,2.594E+00,2.590E+00,1.233E-01,3.657E+00,1.731E+00,-3.134E-01,3.219E+00,1.846E+00,3.142E+00,-2.050E-03,2.333E+00,2.304E+00,8.192E-02,5.248E+00
30,0.000E+00,0.000E+00,1.242E-02,0.000E+00,2.598E-02,3.222E-02,1.364E-02,4.572E-02,3.020E+00,1.808E+00,-2.639E-01,2.344E+00,1.727E+00,3.142E+00,3.488E-03,2.325E+00,2.375E+00,1.179E-01,3.668E+00,1.689E+00,-1.749E-01,2.392E+00,1.946E+00,3.142E+00,-2.247E-04,2.596E+00,2.592E+00,1.231E-01,3.663E+00,1.726E+00,-3.157E-01,3.243E+00,1.867E+00,3.142E+00,-2.217E-03,2.335E+00,2.304E+00,8.193E-02,5.248E+00
31,0.000E+00,0.000E+00,1.309E-02,0.000E+00,2.775E-02,3.421E-02,1.469E-02,4.897E-02,3.223E+00,1.770E+00,-2.969E-01,3.011E+00,1.691E+00,3.142E+00,4.940E-03,2.315E+00,2.386E+00,1.174E-01,3.682E+00,1.688E+00,-1.871E-01,2.520E+00,1.919E+00,3.142E+00,1.467E-05,2.596E+00,2.596E+00,1.228E-01,3.674E+00,1.727E+00,-3.325E-01,3.454E+00,1.836E+00,3.142E+00,-1.738E-03,2.339E+00,2.315E+00,8.121E-02,5.294E+00
32,0.000E+00,0.000E+00,1.343E-02,0.000E+00,2.863E-02,3.520E-02,1.522E-02,5.060E-02,3.325E+00,1.757E+00,-3.135E-01,3.344E+00,1.673E+00,3.142E+00,5.666E-03,2.310E+00,2.391E+00,1.172E-01,3.690E+00,1.688E+00,-1.932E-01,2.584E+00,1.906E+00,3.142E+00,1.344E-04,2.595E+00,2.598E+00,1.226E-01,3.679E+00,1.728E+00,-3.409E-01,3.560E+00,1.820E+00,3.142E+00,-1.499E-03,2.341E+00,2.320E+00,8.084E-02,5.317E+00
33,0.000E+00,0.000E+00,1.377E-02,0.000E+00,2.951E-02,3.619E-02,1.575E-02,5.222E-02,3.426E+00,1.747E+00,-3.300E-01,3.678E+00,1.655E+00,3.142E+00,6.392E-03,2.305E+00,2.396E+00,1.169E-01,3.697E+00,1.689E+00,-1.993E-01,2.649E+00,1.892E+00,3.142E+00,2.541E-04,2.595E+00,2.599E+00,1.224E-01,3.684E+00,1.730E+00,-3.493E-01,3.666E+00,1.805E+00,3.142E+00,-1.259E-03,2.342E+00,2.325E+00,8.048E-02,5.340E+00
34,0.000E+00,0.000E+00,1.410E-02,0.000E+00,3.039E-02,3.719E-02,1.628E-02,5.385E-02,3.528E+00,1.740E+00,-3.465E-01,4.011E+00,1.636E+00,3.142E+00,7.118E-03,2.299E+00,2.402E+00,1.167E-01,3.704E+00,1.689E+00,-2.054E-01,2.713E+00,1.879E+00,3.142E+00,3.738E-04,2.595E+00,2.601E+00,1.222E-01,3.690E+00,1.731E+00,-3.576E-01,3.771E+00,1.789E+00,3.142E+00,-1.020E-03,2.344E+00,2.330E+00,8.012E-02,5.363E+00
35,0.000E+00,0.000E+00,1.444E-02,0.000E+00,3.128E-02,3.818E-02,1.681E-02,5.547E-02,3.630E+00,1.735E+00,-3.631E-01,4.345E+00,1.618E+00,3.142E+00,7.843E-03,2.294E+00,2.407E+00,1.164E-01,3.712E+00,1.690E+00,-2.115E-01,2.777E+00,1.865E+00,3.142E+00,4.935E-04,2.595E+00,2.603E+00,1.220E-01,3.695E+00,1.733E+00,-3.660E-01,3.877E+00,1.773E+00,3.142E+00,-7.802E-04,2.346E+00,2.335E+00,7.976E-02,5.386E+00
