alpha,H,He,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
73,0.000E+00,0.000E+00,1.855E-02,0.000E+00,2.263E-02,7.991E-02,2.435E+00,1.460E+00,-5.925E-01,1.504E+01,2.303E+00,3.142E+00,1.184E-03,2.541E+00,2.560E+00,9.595E-02,3.611E+00,1.426E+00,-8.090E-01,2.909E+01,2.562E+00,3.142E+00,1.353E-03,2.408E+00,2.428E+00,4.710E-02,5.680E+00
74,0.000E+00,0.000E+00,1.936E-02,0.000E+00,2.401E-02,8.437E-02,2.568E+00,1.436E+00,-5.836E-01,1.491E+01,2.419E+00,3.142E+00,8.865E-04,2.517E+00,2.531E+00,9.572E-02,3.618E+00,1.392E+00,-8.083E-01,3.122E+01,2.693E+00,3.142E+00,1.846E-03,2.406E+00,2.433E+00,4.617E-02,5.762E+00
75,0.000E+00,0.000E+00,2.052E-02,0.000E+00,2.551E-02,8.920E-02,2.720E+00,1.421E+00,-5.640E-01,1.377E+01,2.532E+00,3.142E+00,4.601E-03,2.446E+00,2.515E+00,9.517E-02,3.636E+00,1.357E+00,-7.829E-01,2.759E+01,2.960E+00,3.142E+00,6.413E-03,2.283E+00,2.371E+00,4.744E-02,5.651E+00
76,0.000E+00,0.000E+00,2.167E-02,0.000E+00,2.701E-02,9.402E-02,2.871E+00,1.410E+00,-5.444E-01,1.262E+01,2.645E+00,3.142E+00,8.315E-03,2.375E+00,2.500E+00,9.461E-02,3.654E+00,1.332E+00,-7.575E-01,2.396E+01,3.228E+00,3.142E+00,1.098E-02,2.160E+00,2.309E+00,4.870E-02,5.539E+00
77,0.000E+00,0.000E+00,2.211E-02,0.000E+00,2.923E-02,9.945E-02,3.033E+00,1.380E+00,-5.334E-01,1.242E+01,2.833E+00,3.142E+00,6.746E-03,2.363E+00,2.463E+00,9.361E-02,3.686E+00,1.300E+00,-7.457E-01,2.280E+01,3.517E+00,3.142E+00,9.623E-03,2.179E+00,2.310E+00,4.679E-02,5.712E+00
78,0.000E+00,0.000E+00,2.256E-02,0.000E+00,3.144E-02,1.049E-01,3.195E+00,1.353E+00,-5.224E-01,1.221E+01,3.022E+00,3.142E+00,5.178E-03,2.351E+00,2.427E+00,9.262E-02,3.719E+00,1.272E+00,-7.339E-01,2.164E+01,3.807E+00,3.142E+00,8.265E-03,2.199E+00,2.312E+00,4.487E-02,5.884E+00
79,0.000E+00,0.000E+00,2.337E-02,0.000E+00,3.311E-02,1.097E-01,3.342E+00,1.318E+00,-5.221E-01,1.240E+01,3.287E+00,3.142E+00,6.910E-03,2.272E+00,2.369E+00,9.170E-02,3.750E+00,1.239E+00,-7.320E-01,2.178E+01,4.122E+00,3.142E+00,1.055E-02,2.138E+00,2.278E+00,4.401E-02,5.969E+00
80,0.000E+00,0.000E+00,2.418E-02,0.000E+00,3.478E-02,1.145E-01,3.489E+00,1.286E+00,-5.218E-01,1.260E+01,3.553E+00,3.142E+00,8.643E-03,2.194E+00,2.311E+00,9.078E-02,3.782E+00,1.210E+00,-7.300E-01,2.193E+01,4.437E+00,3.142E+00,1.284E-02,2.077E+00,2.244E+00,4.315E-02,6.054E+00
81,0.000E+00,0.000E+00,2.381E-02,0.000E+00,3.620E-02,1.167E-01,3.553E+00,1.247E+00,-5.128E-01,1.238E+01,3.958E+00,3.142E+00,2.356E-02,1.959E+00,2.242E+00,8.894E-02,3.847E+00,1.160E+00,-7.143E-01,2.042E+01,5.180E+00,3.142E+00,3.117E-02,1.847E+00,2.212E+00,4.193E-02,6.186E+00
82,0.000E+00,0.000E+00,2.344E-02,0.000E+00,3.763E-02,1.189E-01,3.618E+00,1.213E+00,-5.038E-01,1.216E+01,4.363E+00,3.142E+00,3.848E-02,1.724E+00,2.172E+00,8.711E-02,3.913E+00,1.122E+00,-6.986E-01,1.891E+01,5.924E+00,3.142E+00,4.950E-02,1.618E+00,2.180E+00,4.070E-02,6.317E+00
83,0.000E+00,0.000E+00,2.172E-02,0.000E+00,3.619E-02,1.125E-01,3.428E+00,1.163E+00,-4.927E-01,1.178E+01,5.106E+00,3.142E+00,6.375E-02,1.445E+00,2.087E+00,8.517E-02,3.988E+00,1.072E+00,-6.831E-01,1.814E+01,6.959E+00,3.142E+00,6.925E-02,1.386E+00,2.079E+00,3.762E-02,6.710E+00
84,0.000E+00,0.000E+00,2.000E-02,0.000E+00,3.476E-02,1.062E-01,3.238E+00,1.122E+00,-4.815E-01,1.141E+01,5.849E+00,3.142E+00,8.901E-02,1.166E+00,2.002E+00,8.323E-02,4.063E+00,1.032E+00,-6.675E-01,1.738E+01,7.994E+00,3.142E+00,8.901E-02,1.155E+00,1.978E+00,3.454E-02,7.103E+00
85,0.000E+00,0.000E+00,1.478E-02,0.000E+00,2.665E-02,8.043E-02,2.451E+00,1.081E+00,-4.617E-01,1.023E+01,7.100E+00,3.142E+00,8.901E-02,1.161E+00,1.990E+00,7.822E-02,4.289E+00,1.044E+00,-6.710E-01,1.565E+01,8.281E+00,3.142E+00,8.901E-02,1.046E+00,1.776E+00,3.096E-02,7.726E+00
86,0.000E+00,0.000E+00,9.557E-03,0.000E+00,1.855E-02,5.465E-02,1.663E+00,1.057E+00,-4.419E-01,9.048E+00,8.351E+00,3.142E+00,8.901E-02,1.155E+00,1.978E+00,7.322E-02,4.514E+00,1.060E+00,-6.745E-01,1.392E+01,8.569E+00,3.142E+00,8.901E-02,9.365E-01,1.574E+00,2.739E-02,8.348E+00
87,0.000E+00,0.000E+00,4.823E-03,0.000E+00,9.473E-03,2.790E-02,8.475E-01,1.130E+00,-5.090E-01,8.646E+00,7.482E+00,3.142E+00,-2.610E-01,6.879E+00,1.279E+00,7.101E-02,4.631E+00,9.815E-01,-7.415E-01,1.404E+01,1.253E+01,3.142E+00,-2.225E-01,6.237E+00,1.149E+00,2.057E-02,1.069E+01
88,0.000E+00,0.000E+00,8.984E-05,0.000E+00,3.965E-04,1.159E-03,3.203E-02,1.207E+00,-5.761E-01,8.245E+00,6.614E+00,3.142E+00,-6.109E-01,1.260E+01,5.798E-01,6.881E-02,4.747E+00,9.320E-01,-8.084E-01,1.416E+01,1.650E+01,3.142E+00,-5.340E-01,1.154E+01,7.235E-01,1.376E-02,1.304E+01
89,0.000E+00,0.000E+00,9.766E-07,0.000E+00,3.906E-06,1.660E-05,8.853E-04,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.142E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
