alpha,H,He,Si,O,Si_1,O_1,amu/ion,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O,phiK_Si,phiTilt_Si,phiM_Si,phiN_Si,thetaK_Si,thetaTilt_Si,thetaM_Si,thetaN_Si,energyK_Si,energyE_Si
32,0.000E+00,0.000E+00,4.351E-03,0.000E+00,3.463E-03,1.483E-02,4.564E-01,1.707E+00,-2.910E-01,3.267E+00,1.859E+00,3.142E+00,-2.105E-03,2.671E+00,2.636E+00,1.044E-01,3.365E+00,1.721E+00,-3.228E-01,3.468E+00,1.824E+00,3.142E+00,-5.402E-03,2.477E+00,2.396E+00,5.699E-02,4.929E+00
33,0.000E+00,0.000E+00,4.467E-03,0.000E+00,3.605E-03,1.534E-02,4.718E-01,1.705E+00,-2.955E-01,3.313E+00,1.870E+00,3.142E+00,-2.084E-03,2.671E+00,2.637E+00,1.042E-01,3.370E+00,1.714E+00,-3.481E-01,3.891E+00,1.799E+00,3.142E+00,-5.205E-03,2.477E+00,2.399E+00,5.671E-02,4.948E+00
34,0.000E+00,0.000E+00,4.582E-03,0.000E+00,3.748E-03,1.585E-02,4.873E-01,1.702E+00,-3.001E-01,3.360E+00,1.881E+00,3.142E+00,-2.062E-03,2.672E+00,2.638E+00,1.040E-01,3.376E+00,1.709E+00,-3.734E-01,4.314E+00,1.774E+00,3.142E+00,-5.007E-03,2.477E+00,2.402E+00,5.643E-02,4.967E+00
35,0.000E+00,0.000E+00,4.697E-03,0.000E+00,3.891E-03,1.636E-02,5.027E-01,1.699E+00,-3.046E-01,3.406E+00,1.892E+00,3.142E+00,-2.041E-03,2.673E+00,2.639E+00,1.038E-01,3.381E+00,1.708E+00,-3.987E-01,4.738E+00,1.749E+00,3.142E+00,-4.810E-03,2.477E+00,2.405E+00,5.614E-02,4.987E+00
36,0.000E+00,0.000E+00,4.812E-03,0.000E+00,4.033E-03,1.688E-02,5.182E-01,1.697E+00,-3.091E-01,3.452E+00,1.903E+00,3.142E+00,-2.020E-03,2.674E+00,2.640E+00,1.036E-01,3.386E+00,1.710E+00,-4.239E-01,5.161E+00,1.724E+00,3.142E+00,-4.612E-03,2.477E+00,2.408E+00,5.586E-02,5.006E+00
37,0.000E+00,0.000E+00,4.927E-03,0.000E+00,4.176E-03,1.739E-02,5.337E-01,1.695E+00,-3.136E-01,3.498E+00,1.913E+00,3.142E+00,-1.998E-03,2.674E+00,2.641E+00,1.035E-01,3.391E+00,1.714E+00,-4.492E-01,5.584E+00,1.698E+00,3.142E+00,-4.415E-03,2.477E+00,2.411E+00,5.557E-02,5.025E+00
38,0.000E+00,0.000E+00,5.042E-03,0.000E+00,4.318E-03,1.790E-02,5.491E-01,1.692E+00,-3.182E-01,3.544E+00,1.924E+00,3.142E+00,-1.977E-03,2.675E+00,2.642E+00,1.033E-01,3.396E+00,1.719E+00,-4.745E-01,6.008E+00,1.673E+00,3.142E+00,-4.217E-03,2.478E+00,2.414E+00,5.529E-02,5.045E+00
39,0.000E+00,0.000E+00,5.158E-03,0.000E+00,4.461E-03,1.841E-02,5.646E-01,1.690E+00,-3.227E-01,3.590E+00,1.935E+00,3.142E+00,-1.955E-03,2.676E+00,2.643E+00,1.031E-01,3.401E+00,1.726E+00,-4.998E-01,6.431E+00,1.648E+00,3.142E+00,-4.019E-03,2.478E+00,2.417E+00,5.501E-02,5.064E+00
40,0.000E+00,0.000E+00,5.273E-03,0.000E+00,4.604E-03,1.893E-02,5.800E-01,1.688E+00,-3.272E-01,3.636E+00,1.946E+00,3.142E+00,-1.934E-03,2.677E+00,2.645E+00,1.029E-01,3.407E+00,1.735E+00,-5.251E-01,6.854E+00,1.623E+00,3.142E+00,-3.822E-03,2.478E+00,2.421E+00,5.472E-02,5.083E+00
41,0.000E+00,0.000E+00,5.388E-03,0.000E+00,4.746E-03,1.944E-02,5.955E-01,1.685E+00,-3.317E-01,3.682E+00,1.957E+00,3.142E+00,-1.913E-03,2.678E+00,2.646E+00,1.027E-01,3.412E+00,1.744E+00,-5.504E-01,7.278E+00,1.598E+00,3.142E+00,-3.624E-03,2.478E+00,2.424E+00,5.444E-02,5.103E+00
42,0.000E+00,0.000E+00,5.503E-03,0.000E+00,4.889E-03,1.995E-02,6.109E-01,1.683E+00,-3.362E-01,3.728E+00,1.967E+00,3.142E+00,-1.891E-03,2.678E+00,2.647E+00,1.025E-01,3.417E+00,1.755E+00,-5.756E-01,7.701E+00,1.572E+00,3.142E+00,-3.427E-03,2.478E+00,2.427E+00,5.416E-02,5.122E+00
43,0.000E+00,0.000E+00,5.618E-03,0.000E+00,5.031E-03,2.046E-02,6.264E-01,1.681E+00,-3.408E-01,3.775E+00,1.978E+00,3.142E+00,-1.870E-03,2.679E+00,2.648E+00,1.023E-01,3.422E+00,1.766E+00,-6.009E-01,8.124E+00,1.547E+00,3.142E+00,-3.229E-03,2.478E+00,2.430E+00,5.387E-02,5.141E+00
44,0.000E+00,0.000E+00,5.733E-03,0.000E+00,5.174E-03,2.098E-02,6.418E-01,1.679E+00,-3.453E-01,3.821E+00,1.989E+00,3.142E+00,-1.849E-03,2.680E+00,2.649E+00,1.021E-01,3.427E+00,1.779E+00,-6.262E-01,8.548E+00,1.522E+00,3.142E+00,-3.031E-03,2.479E+00,2.433E+00,5.359E-02,5.160E+00
45,0.000E+00,0.000E+00,5.849E-03,0.000E+00,5.316E-03,2.149E-02,6.573E-01,1.677E+00,-3.498E-01,3.867E+00,2.000E+00,3.142E+00,-1.827E-03,2.681E+00,2.650E+00,1.020E-01,3.432E+00,1.792E+00,-6.515E-01,8.971E+00,1.497E+00,3.142E+00,-2.834E-03,2.479E+00,2.436E+00,5.330E-02,5.180E+00
46,0.000E+00,0.000E+00,6.179E-03,0.000E+00,5.673E-03,2.301E-02,7.012E-01,1.671E+00,-3.525E-01,3.829E+00,2.060E+00,3.142E+00,-1.463E-03,2.661E+00,2.637E+00,1.009E-01,3.463E+00,1.793E+00,-6.377E-01,8.225E+00,1.527E+00,3.142E+00,-3.430E-03,2.485E+00,2.433E+00,5.337E-02,5.175E+00
47,0.000E+00,0.000E+00,6.344E-03,0.000E+00,5.851E-03,2.377E-02,7.232E-01,1.668E+00,-3.539E-01,3.810E+00,2.089E+00,3.142E+00,-1.281E-03,2.651E+00,2.630E+00,1.004E-01,3.478E+00,1.794E+00,-6.309E-01,7.852E+00,1.541E+00,3.142E+00,-3.728E-03,2.488E+00,2.431E+00,5.340E-02,5.172E+00
48,0.000E+00,0.000E+00,6.509E-03,0.000E+00,6.029E-03,2.453E-02,7.451E-01,1.665E+00,-3.553E-01,3.791E+00,2.119E+00,3.142E+00,-1.099E-03,2.642E+00,2.624E+00,9.982E-02,3.494E+00,1.796E+00,-6.240E-01,7.479E+00,1.556E+00,3.142E+00,-4.026E-03,2.491E+00,2.430E+00,5.344E-02,5.170E+00
49,0.000E+00,0.000E+00,6.931E-03,0.000E+00,6.412E-03,2.584E-02,7.890E-01,1.671E+00,-3.816E-01,4.188E+00,2.039E+00,3.142E+00,-2.610E-03,2.684E+00,2.640E+00,9.983E-02,3.493E+00,1.772E+00,-6.116E-01,7.326E+00,1.635E+00,3.142E+00,-2.230E-03,2.429E+00,2.396E+00,5.308E-02,5.196E+00
50,0.000E+00,0.000E+00,7.142E-03,0.000E+00,6.603E-03,2.650E-02,8.109E-01,1.675E+00,-3.947E-01,4.387E+00,1.999E+00,3.142E+00,-3.366E-03,2.704E+00,2.648E+00,9.983E-02,3.493E+00,1.760E+00,-6.053E-01,7.249E+00,1.675E+00,3.142E+00,-1.332E-03,2.399E+00,2.379E+00,5.290E-02,5.210E+00
51,0.000E+00,0.000E+00,7.353E-03,0.000E+00,6.794E-03,2.716E-02,8.328E-01,1.680E+00,-4.079E-01,4.585E+00,1.959E+00,3.142E+00,-4.122E-03,2.725E+00,2.656E+00,9.984E-02,3.493E+00,1.749E+00,-5.991E-01,7.172E+00,1.714E+00,3.142E+00,-4.345E-04,2.368E+00,2.362E+00,5.272E-02,5.223E+00
52,0.000E+00,0.000E+00,7.660E-03,0.000E+00,7.373E-03,2.909E-02,8.880E-01,1.659E+00,-3.964E-01,4.456E+00,2.066E+00,3.142E+00,-2.366E-03,2.686E+00,2.646E+00,9.849E-02,3.534E+00,1.737E+00,-6.355E-01,8.274E+00,1.727E+00,3.142E+00,-1.925E-03,2.461E+00,2.431E+00,5.205E-02,5.273E+00
53,0.000E+00,0.000E+00,7.814E-03,0.000E+00,7.663E-03,3.006E-02,9.156E-01,1.650E+00,-3.907E-01,4.391E+00,2.119E+00,3.142E+00,-1.488E-03,2.666E+00,2.641E+00,9.782E-02,3.554E+00,1.732E+00,-6.537E-01,8.825E+00,1.733E+00,3.142E+00,-2.670E-03,2.508E+00,2.466E+00,5.172E-02,5.298E+00
54,0.000E+00,0.000E+00,7.968E-03,0.000E+00,7.952E-03,3.102E-02,9.432E-01,1.641E+00,-3.850E-01,4.326E+00,2.172E+00,3.142E+00,-6.106E-04,2.646E+00,2.636E+00,9.715E-02,3.574E+00,1.729E+00,-6.719E-01,9.376E+00,1.739E+00,3.142E+00,-3.415E-03,2.554E+00,2.501E+00,5.139E-02,5.323E+00
55,0.000E+00,0.000E+00,8.397E-03,0.000E+00,8.594E-03,3.329E-02,1.009E+00,1.634E+00,-4.315E-01,5.374E+00,2.071E+00,3.142E+00,-2.702E-04,2.657E+00,2.653E+00,9.634E-02,3.599E+00,1.716E+00,-6.661E-01,9.185E+00,1.793E+00,3.142E+00,-3.157E-03,2.518E+00,2.469E+00,5.152E-02,5.313E+00
56,0.000E+00,0.000E+00,8.612E-03,0.000E+00,8.915E-03,3.442E-02,1.042E+00,1.635E+00,-4.548E-01,5.899E+00,2.020E+00,3.142E+00,-1.001E-04,2.663E+00,2.661E+00,9.594E-02,3.612E+00,1.710E+00,-6.632E-01,9.089E+00,1.819E+00,3.142E+00,-3.028E-03,2.500E+00,2.453E+00,5.159E-02,5.308E+00
57,0.000E+00,0.000E+00,8.827E-03,0.000E+00,9.235E-03,3.555E-02,1.075E+00,1.640E+00,-4.781E-01,6.423E+00,1.969E+00,3.142E+00,7.012E-05,2.669E+00,2.670E+00,9.554E-02,3.624E+00,1.705E+00,-6.603E-01,8.993E+00,1.846E+00,3.142E+00,-2.899E-03,2.481E+00,2.438E+00,5.165E-02,5.303E+00
