alpha,He,Fe,Cr,O,Fe_1,O_1,Cr_2,O_2,amu/ion,phiK_Cr,phiTilt_Cr,phiM_Cr,phiN_Cr,thetaK_Cr,thetaTilt_Cr,thetaM_Cr,thetaN_Cr,energyK_Cr,energyE_Cr,phiK_Fe,phiTilt_Fe,phiM_Fe,phiN_Fe,thetaK_Fe,thetaTilt_Fe,thetaM_Fe,thetaN_Fe,energyK_Fe,energyE_Fe,phiK_O,phiTilt_O,phiM_O,phiN_O,thetaK_O,thetaTilt_O,thetaM_O,thetaN_O,energyK_O,energyE_O
44,0.000E+00,4.683E-02,0.000E+00,2.573E-05,9.869E-04,2.951E-03,4.773E-02,1.406E-01,7.449E+00,1.774E+00,-4.459E-01,4.665E+00,1.629E+00,3.142E+00,9.310E-04,2.364E+00,2.378E+00,6.498E-02,6.217E+00,1.763E+00,-3.194E-01,3.108E+00,1.758E+00,3.142E+00,-4.304E-03,2.586E+00,2.518E+00,9.368E-02,4.437E+00,1.632E+00,-1.908E-01,2.945E+00,1.992E+00,3.142E+00,-1.452E-03,2.790E+00,2.765E+00,1.410E-01,3.221E+00
45,0.000E+00,4.780E-02,0.000E+00,2.734E-05,1.049E-03,3.105E-03,4.878E-02,1.436E-01,7.612E+00,1.773E+00,-4.488E-01,4.678E+00,1.639E+00,3.142E+00,9.685E-04,2.362E+00,2.376E+00,6.463E-02,6.245E+00,1.765E+00,-3.136E-01,2.983E+00,1.783E+00,3.142E+00,-4.690E-03,2.607E+00,2.532E+00,9.331E-02,4.452E+00,1.632E+00,-1.931E-01,2.966E+00,1.989E+00,3.142E+00,-1.661E-03,2.799E+00,2.769E+00,1.407E-01,3.226E+00
46,0.000E+00,4.968E-02,0.000E+00,3.223E-05,1.333E-03,3.618E-03,5.097E-02,1.496E-01,7.951E+00,1.757E+00,-4.859E-01,5.836E+00,1.584E+00,3.142E+00,-1.883E-04,2.374E+00,2.371E+00,6.498E-02,6.215E+00,1.751E+00,-3.218E-01,3.087E+00,1.834E+00,3.142E+00,-4.497E-03,2.575E+00,2.505E+00,9.451E-02,4.402E+00,1.638E+00,-2.023E-01,3.064E+00,1.946E+00,3.142E+00,-1.807E-03,2.818E+00,2.786E+00,1.418E-01,3.203E+00
47,0.000E+00,5.157E-02,0.000E+00,3.711E-05,1.618E-03,4.131E-03,5.317E-02,1.556E-01,8.291E+00,1.753E+00,-5.229E-01,6.994E+00,1.529E+00,3.142E+00,-1.345E-03,2.386E+00,2.367E+00,6.533E-02,6.186E+00,1.738E+00,-3.300E-01,3.191E+00,1.885E+00,3.142E+00,-4.304E-03,2.544E+00,2.477E+00,9.572E-02,4.352E+00,1.644E+00,-2.115E-01,3.161E+00,1.903E+00,3.142E+00,-1.953E-03,2.837E+00,2.802E+00,1.428E-01,3.181E+00
48,0.000E+00,5.345E-02,0.000E+00,4.199E-05,1.902E-03,4.644E-03,5.536E-02,1.616E-01,8.631E+00,1.758E+00,-5.599E-01,8.151E+00,1.474E+00,3.142E+00,-2.502E-03,2.399E+00,2.362E+00,6.568E-02,6.156E+00,1.725E+00,-3.382E-01,3.295E+00,1.935E+00,3.142E+00,-4.111E-03,2.513E+00,2.450E+00,9.692E-02,4.302E+00,1.651E+00,-2.206E-01,3.259E+00,1.861E+00,3.142E+00,-2.100E-03,2.856E+00,2.818E+00,1.439E-01,3.158E+00
49,0.000E+00,5.440E-02,0.000E+00,4.443E-05,2.044E-03,4.900E-03,5.646E-02,1.646E-01,8.801E+00,1.764E+00,-5.784E-01,8.730E+00,1.447E+00,3.142E+00,-3.080E-03,2.405E+00,2.360E+00,6.585E-02,6.141E+00,1.719E+00,-3.422E-01,3.347E+00,1.961E+00,3.142E+00,-4.015E-03,2.497E+00,2.436E+00,9.752E-02,4.277E+00,1.654E+00,-2.252E-01,3.307E+00,1.839E+00,3.142E+00,-2.173E-03,2.865E+00,2.826E+00,1.445E-01,3.147E+00
50,0.000E+00,5.534E-02,0.000E+00,4.688E-05,2.186E-03,5.156E-03,5.755E-02,1.676E-01,8.971E+00,1.771E+00,-5.969E-01,9.309E+00,1.419E+00,3.142E+00,-3.659E-03,2.411E+00,2.358E+00,6.603E-02,6.126E+00,1.713E+00,-3.463E-01,3.399E+00,1.986E+00,3.142E+00,-3.919E-03,2.481E+00,2.422E+00,9.812E-02,4.252E+00,1.658E+00,-2.298E-01,3.356E+00,1.818E+00,3.142E+00,-2.246E-03,2.875E+00,2.834E+00,1.450E-01,3.135E+00
51,0.000E+00,5.746E-02,0.000E+00,5.225E-05,3.266E-03,7.054E-03,6.075E-02,1.753E-01,9.469E+00,1.752E+00,-6.077E-01,1.047E+01,1.420E+00,3.142E+00,-3.054E-03,2.406E+00,2.361E+00,6.615E-02,6.116E+00,1.667E+00,-3.797E-01,4.574E+00,1.925E+00,3.142E+00,-3.826E-03,2.491E+00,2.433E+00,9.728E-02,4.288E+00,1.648E+00,-2.332E-01,3.462E+00,1.837E+00,3.142E+00,-1.897E-03,2.859E+00,2.824E+00,1.446E-01,3.143E+00
52,0.000E+00,5.958E-02,0.000E+00,5.762E-05,4.347E-03,8.951E-03,6.394E-02,1.830E-01,9.968E+00,1.736E+00,-6.185E-01,1.164E+01,1.421E+00,3.142E+00,-2.450E-03,2.400E+00,2.365E+00,6.628E-02,6.106E+00,1.644E+00,-4.130E-01,5.748E+00,1.863E+00,3.142E+00,-3.734E-03,2.500E+00,2.443E+00,9.644E-02,4.323E+00,1.638E+00,-2.367E-01,3.568E+00,1.856E+00,3.142E+00,-1.548E-03,2.842E+00,2.814E+00,1.442E-01,3.151E+00
53,0.000E+00,6.171E-02,0.000E+00,6.299E-05,5.427E-03,1.085E-02,6.714E-02,1.907E-01,1.047E+01,1.723E+00,-6.294E-01,1.280E+01,1.423E+00,3.142E+00,-1.845E-03,2.395E+00,2.368E+00,6.640E-02,6.095E+00,1.634E+00,-4.464E-01,6.923E+00,1.802E+00,3.142E+00,-3.641E-03,2.509E+00,2.453E+00,9.560E-02,4.359E+00,1.629E+00,-2.401E-01,3.675E+00,1.875E+00,3.142E+00,-1.200E-03,2.826E+00,2.804E+00,1.439E-01,3.159E+00
54,0.000E+00,6.277E-02,0.000E+00,6.567E-05,5.967E-03,1.180E-02,6.873E-02,1.946E-01,1.072E+01,1.718E+00,-6.348E-01,1.338E+01,1.423E+00,3.142E+00,-1.543E-03,2.392E+00,2.370E+00,6.646E-02,6.090E+00,1.633E+00,-4.631E-01,7.510E+00,1.771E+00,3.142E+00,-3.595E-03,2.513E+00,2.459E+00,9.519E-02,4.377E+00,1.624E+00,-2.418E-01,3.728E+00,1.885E+00,3.142E+00,-1.025E-03,2.818E+00,2.799E+00,1.437E-01,3.163E+00
55,0.000E+00,6.383E-02,0.000E+00,6.836E-05,6.507E-03,1.275E-02,7.033E-02,1.984E-01,1.096E+01,1.713E+00,-6.402E-01,1.396E+01,1.424E+00,3.142E+00,-1.241E-03,2.390E+00,2.372E+00,6.652E-02,6.085E+00,1.633E+00,-4.797E-01,8.097E+00,1.741E+00,3.142E+00,-3.548E-03,2.518E+00,2.464E+00,9.477E-02,4.394E+00,1.620E+00,-2.436E-01,3.781E+00,1.895E+00,3.142E+00,-8.512E-04,2.810E+00,2.794E+00,1.435E-01,3.167E+00
56,0.000E+00,6.595E-02,0.000E+00,7.373E-05,7.588E-03,1.464E-02,7.352E-02,2.061E-01,1.146E+01,1.704E+00,-6.510E-01,1.512E+01,1.425E+00,3.142E+00,-6.364E-04,2.384E+00,2.375E+00,6.665E-02,6.075E+00,1.640E+00,-5.131E-01,9.272E+00,1.680E+00,3.142E+00,-3.456E-03,2.527E+00,2.474E+00,9.393E-02,4.430E+00,1.611E+00,-2.470E-01,3.887E+00,1.914E+00,3.142E+00,-5.025E-04,2.793E+00,2.784E+00,1.431E-01,3.175E+00
57,0.000E+00,6.808E-02,0.000E+00,7.910E-05,8.668E-03,1.654E-02,7.672E-02,2.138E-01,1.196E+01,1.696E+00,-6.618E-01,1.629E+01,1.426E+00,3.142E+00,-3.202E-05,2.379E+00,2.378E+00,6.677E-02,6.065E+00,1.653E+00,-5.464E-01,1.045E+01,1.618E+00,3.142E+00,-3.363E-03,2.536E+00,2.484E+00,9.309E-02,4.465E+00,1.603E+00,-2.504E-01,3.993E+00,1.933E+00,3.142E+00,-1.538E-04,2.777E+00,2.774E+00,1.427E-01,3.183E+00
58,0.000E+00,7.020E-02,0.000E+00,8.447E-05,9.749E-03,1.844E-02,7.991E-02,2.215E-01,1.246E+01,1.690E+00,-6.726E-01,1.745E+01,1.427E+00,3.142E+00,5.724E-04,2.373E+00,2.382E+00,6.690E-02,6.054E+00,1.669E+00,-5.798E-01,1.162E+01,1.557E+00,3.142E+00,-3.271E-03,2.546E+00,2.495E+00,9.225E-02,4.501E+00,1.595E+00,-2.539E-01,4.099E+00,1.952E+00,3.142E+00,1.948E-04,2.761E+00,2.764E+00,1.423E-01,3.191E+00
59,0.000E+00,7.126E-02,0.000E+00,8.716E-05,1.029E-02,1.939E-02,8.151E-02,2.253E-01,1.271E+01,1.688E+00,-6.780E-01,1.803E+01,1.428E+00,3.142E+00,8.746E-04,2.371E+00,2.383E+00,6.696E-02,6.049E+00,1.679E+00,-5.965E-01,1.221E+01,1.526E+00,3.142E+00,-3.225E-03,2.550E+00,2.500E+00,9.183E-02,4.519E+00,1.591E+00,-2.556E-01,4.152E+00,1.962E+00,3.142E+00,3.692E-04,2.752E+00,2.759E+00,1.421E-01,3.195E+00
60,0.000E+00,7.232E-02,0.000E+00,8.984E-05,1.083E-02,2.033E-02,8.310E-02,2.292E-01,1.296E+01,1.685E+00,-6.834E-01,1.861E+01,1.429E+00,3.142E+00,1.177E-03,2.368E+00,2.385E+00,6.702E-02,6.044E+00,1.690E+00,-6.131E-01,1.280E+01,1.496E+00,3.142E+00,-3.178E-03,2.555E+00,2.505E+00,9.141E-02,4.536E+00,1.587E+00,-2.573E-01,4.205E+00,1.971E+00,3.142E+00,5.435E-04,2.744E+00,2.754E+00,1.420E-01,3.199E+00
61,0.000E+00,7.549E-02,0.000E+00,9.609E-05,1.255E-02,2.314E-02,8.801E-02,2.411E-01,1.372E+01,1.662E+00,-6.697E-01,1.797E+01,1.495E+00,3.142E+00,2.007E-03,2.375E+00,2.404E+00,6.658E-02,6.081E+00,1.672E+00,-6.211E-01,1.429E+01,1.497E+00,3.142E+00,-1.909E-03,2.529E+00,2.499E+00,9.212E-02,4.505E+00,1.580E+00,-2.825E-01,4.798E+00,1.920E+00,3.142E+00,7.244E-05,2.739E+00,2.740E+00,1.422E-01,3.194E+00
62,0.000E+00,7.867E-02,0.000E+00,1.023E-04,1.427E-02,2.594E-02,9.292E-02,2.531E-01,1.449E+01,1.640E+00,-6.559E-01,1.732E+01,1.562E+00,3.142E+00,2.836E-03,2.381E+00,2.423E+00,6.614E-02,6.118E+00,1.657E+00,-6.291E-01,1.578E+01,1.499E+00,3.142E+00,-6.388E-04,2.502E+00,2.492E+00,9.283E-02,4.474E+00,1.578E+00,-3.077E-01,5.392E+00,1.869E+00,3.142E+00,-3.986E-04,2.733E+00,2.726E+00,1.424E-01,3.189E+00
